Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",39.13,39.42,37.28,38.10,"3,114,000",38.10
"Jun 10, 2016",39.49,39.67,38.20,39.60,"2,751,100",39.60
"Jun 9, 2016",41.33,42.49,40.08,40.21,"2,736,500",40.21
"Jun 8, 2016",40.80,42.29,40.50,41.55,"2,395,300",41.55
"Jun 7, 2016",40.68,41.38,39.50,40.58,"2,604,900",40.58
"Jun 6, 2016",36.94,40.73,36.48,40.68,"5,696,300",40.68
"Jun 3, 2016",36.77,36.83,34.63,36.07,"2,783,300",36.07
"Jun 2, 2016",35.40,36.88,35.40,36.81,"2,785,300",36.81
"Jun 1, 2016",35.83,35.89,35.08,35.51,"1,677,700",35.51
"May 31, 2016",36.21,36.40,35.23,35.43,"2,860,200",35.43
"May 27, 2016",34.90,35.62,34.36,35.61,"1,524,400",35.61
"May 26, 2016",35.05,35.22,34.35,34.90,"1,748,700",34.90
"May 25, 2016",35.28,35.70,34.47,35.27,"2,674,600",35.27
"May 24, 2016",34.53,35.43,34.26,34.90,"2,315,900",34.90
"May 23, 2016",33.98,34.80,33.56,34.25,"2,113,100",34.25
"May 20, 2016",32.98,34.13,32.88,34.04,"3,145,000",34.04
"May 19, 2016",32.27,33.48,32.00,32.84,"2,192,300",32.84
"May 18, 2016",31.44,32.95,31.44,32.51,"3,178,200",32.51
"May 17, 2016",29.93,32.72,29.90,31.71,"4,279,700",31.71
"May 16, 2016",28.16,30.18,28.16,30.03,"2,486,000",30.03
"May 13, 2016",27.63,28.80,27.63,28.11,"1,558,500",28.11
"May 12, 2016",28.70,28.82,27.17,27.81,"1,907,100",27.81
"May 11, 2016",29.55,30.29,28.41,28.49,"2,102,300",28.49
"May 10, 2016",29.56,29.94,28.46,29.81,"2,338,500",29.81
"May 9, 2016",27.66,29.51,27.25,29.25,"2,838,200",29.25
"May 6, 2016",28.03,28.50,26.50,27.65,"2,944,900",27.65
"May 5, 2016",27.89,27.95,26.56,27.05,"3,501,900",27.05
"May 4, 2016",29.03,29.65,27.19,27.53,"4,718,200",27.53
"May 3, 2016",31.81,32.21,29.75,30.00,"4,287,700",30.00
"May 2, 2016",34.16,34.25,30.58,33.00,"8,111,900",33.00
"Apr 29, 2016",33.04,33.15,31.74,32.30,"2,095,700",32.30
"Apr 28, 2016",32.48,33.57,32.08,32.40,"2,080,400",32.40
"Apr 27, 2016",32.18,33.05,31.00,32.63,"2,619,600",32.63
"Apr 26, 2016",34.17,34.50,31.77,32.62,"2,892,600",32.62
"Apr 25, 2016",33.94,35.18,33.75,34.18,"1,960,700",34.18
"Apr 22, 2016",33.60,34.19,32.35,34.02,"2,329,200",34.02
"Apr 21, 2016",33.35,34.22,33.00,33.69,"2,264,400",33.69
"Apr 20, 2016",33.70,34.28,32.95,33.35,"1,879,600",33.35
"Apr 19, 2016",33.50,34.43,33.15,33.66,"2,350,700",33.66
"Apr 18, 2016",33.42,33.86,32.85,33.47,"2,281,100",33.47
"Apr 15, 2016",33.68,33.97,32.92,33.52,"3,694,600",33.52
"Apr 14, 2016",33.34,35.14,33.24,33.79,"3,745,900",33.79
"Apr 13, 2016",32.56,33.31,31.82,33.22,"2,736,300",33.22
"Apr 12, 2016",31.07,32.34,30.43,32.24,"2,791,200",32.24
"Apr 11, 2016",32.18,32.40,30.90,31.11,"2,359,000",31.11
"Apr 8, 2016",32.90,33.10,31.29,31.78,"2,356,500",31.78
"Apr 7, 2016",32.70,34.06,31.80,32.26,"3,903,700",32.26
