Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",9.51,9.63,9.08,9.11,"1,814,400",9.11
"Jun 10, 2016",9.95,9.95,9.52,9.55,"2,053,700",9.55
"Jun 9, 2016",9.51,10.06,9.47,9.73,"2,174,800",9.73
"Jun 8, 2016",9.52,9.65,9.35,9.61,"1,207,000",9.61
"Jun 7, 2016",9.87,9.87,9.51,9.51,"1,103,500",9.51
"Jun 6, 2016",9.66,9.87,9.44,9.86,"1,436,700",9.86
"Jun 3, 2016",9.84,9.85,9.45,9.64,"1,691,000",9.64
"Jun 2, 2016",9.42,9.85,9.34,9.83,"1,597,200",9.83
"Jun 1, 2016",9.31,9.55,9.23,9.42,"1,327,800",9.42
"May 31, 2016",9.17,9.44,9.16,9.35,"1,390,500",9.35
"May 27, 2016",9.06,9.16,8.96,9.10,"912,600",9.10
"May 26, 2016",9.04,9.15,8.87,9.05,"1,116,400",9.05
"May 25, 2016",8.94,9.15,8.90,9.05,"1,318,900",9.05
"May 24, 2016",8.57,8.90,8.45,8.89,"1,315,800",8.89
"May 23, 2016",8.43,8.68,8.38,8.49,"850,600",8.49
"May 20, 2016",8.20,8.55,8.14,8.42,"1,411,000",8.42
"May 19, 2016",8.12,8.35,7.97,8.15,"1,143,800",8.15
"May 18, 2016",8.00,8.29,7.99,8.16,"1,251,100",8.16
"May 17, 2016",8.19,8.30,7.96,8.01,"1,294,900",8.01
"May 16, 2016",8.19,8.36,8.07,8.24,"1,293,500",8.24
"May 13, 2016",7.91,8.17,7.88,8.14,"1,120,400",8.14
"May 12, 2016",8.02,8.18,7.70,7.91,"1,411,400",7.91
"May 11, 2016",8.28,8.43,7.96,7.97,"1,027,800",7.97
"May 10, 2016",8.33,8.49,8.05,8.31,"1,002,600",8.31
"May 9, 2016",7.90,8.44,7.90,8.31,"1,689,500",8.31
"May 6, 2016",7.84,8.01,7.65,7.92,"1,542,500",7.92
"May 5, 2016",8.10,8.19,7.77,7.93,"1,319,200",7.93
"May 4, 2016",8.14,8.32,7.99,8.02,"1,595,400",8.02
"May 3, 2016",8.65,8.76,8.12,8.25,"2,234,500",8.25
"May 2, 2016",8.57,8.84,8.36,8.82,"1,358,400",8.82
"Apr 29, 2016",8.73,8.88,8.55,8.55,"1,305,200",8.55
"Apr 28, 2016",8.88,9.13,8.73,8.80,"1,163,100",8.80
"Apr 27, 2016",8.84,9.05,8.75,8.87,"1,085,900",8.87
"Apr 26, 2016",9.15,9.15,8.82,8.88,"864,000",8.88
"Apr 25, 2016",9.10,9.35,9.04,9.14,"1,107,200",9.14
"Apr 22, 2016",9.10,9.26,8.84,9.10,"2,030,800",9.10
"Apr 21, 2016",8.45,9.21,8.40,9.03,"1,837,700",9.03
"Apr 20, 2016",8.54,8.60,8.29,8.43,"1,316,300",8.43
"Apr 19, 2016",8.65,8.68,8.38,8.45,"957,000",8.45
"Apr 18, 2016",8.59,8.75,8.48,8.65,"1,085,400",8.65
"Apr 15, 2016",8.49,8.67,8.40,8.60,"1,216,600",8.60
"Apr 14, 2016",8.33,8.56,8.18,8.52,"1,054,800",8.52
"Apr 13, 2016",8.22,8.37,8.16,8.36,"966,300",8.36
"Apr 12, 2016",7.90,8.15,7.86,8.12,"1,268,400",8.12
"Apr 11, 2016",8.09,8.25,7.88,7.88,"983,400",7.88
"Apr 8, 2016",8.18,8.18,7.83,8.05,"960,800",8.05
"Apr 7, 2016",8.10,8.28,7.95,8.05,"1,565,500",8.05
"Apr 6, 2016",7.90,8.19,7.86,8.19,"1,999,100",8.19
"Apr 5, 2016",7.82,8.03,7.69,7.89,"1,003,900",7.89
"Apr 4, 2016",7.99,8.15,7.83,7.85,"1,785,800",7.85
"Apr 1, 2016",7.70,8.03,7.55,7.92,"1,877,200",7.92
"Mar 31, 2016",7.51,7.92,7.51,7.72,"1,815,800",7.72
"Mar 30, 2016",7.58,7.77,7.42,7.52,"1,727,300",7.52
"Mar 29, 2016",7.25,7.67,7.20,7.56,"1,440,800",7.56
"Mar 28, 2016",7.40,7.46,7.23,7.29,"851,300",7.29
"Mar 24, 2016",7.09,7.49,6.98,7.38,"1,172,200",7.38
"Mar 23, 2016",7.39,7.57,7.15,7.15,"1,204,700",7.15
"Mar 22, 2016",7.17,7.50,7.17,7.44,"1,360,100",7.44
"Mar 21, 2016",7.23,7.43,7.11,7.23,"1,217,900",7.23
"Mar 18, 2016",7.14,7.37,7.00,7.26,"3,820,500",7.26
"Mar 17, 2016",7.07,7.20,6.90,7.02,"2,155,800",7.02
"Mar 16, 2016",7.09,7.28,6.87,7.06,"1,863,600",7.06
"Mar 15, 2016",7.52,7.60,7.12,7.14,"1,950,000",7.14
"Mar 14, 2016",7.50,7.69,7.33,7.55,"1,407,700",7.55
"Mar 11, 2016",7.18,7.51,7.08,7.50,"1,417,700",7.50
"Mar 10, 2016",7.27,7.44,7.04,7.12,"1,311,200",7.12
"Mar 9, 2016",7.57,7.60,7.14,7.24,"1,953,000",7.24
"Mar 8, 2016",7.82,7.83,7.45,7.48,"1,331,700",7.48
"Mar 7, 2016",7.27,7.88,7.16,7.86,"1,501,900",7.86
"Mar 4, 2016",7.65,7.70,7.23,7.29,"2,291,100",7.29
"Mar 3, 2016",7.78,7.82,7.35,7.63,"1,728,900",7.63
"Mar 2, 2016",7.59,7.80,7.46,7.80,"2,175,800",7.80
"Mar 1, 2016",7.46,7.65,7.29,7.60,"2,309,900",7.60
"Feb 29, 2016",7.33,7.51,7.26,7.39,"1,525,100",7.39
"Feb 26, 2016",7.18,7.61,7.03,7.35,"2,258,800",7.35
"Feb 25, 2016",6.65,7.30,6.65,6.85,"2,163,000",6.85
"Feb 24, 2016",6.62,6.69,6.25,6.65,"1,413,800",6.65
"Feb 23, 2016",6.86,6.95,6.66,6.70,"1,731,900",6.70
"Feb 22, 2016",6.84,6.98,6.79,6.90,"1,310,900",6.90
"Feb 19, 2016",6.38,6.74,6.31,6.70,"1,388,200",6.70
"Feb 18, 2016",6.34,6.56,6.23,6.41,"2,211,700",6.41
"Feb 17, 2016",6.30,6.59,6.05,6.48,"1,610,300",6.48
"Feb 16, 2016",6.21,6.44,6.09,6.27,"2,443,600",6.27
"Feb 12, 2016",5.70,6.26,5.57,6.07,"2,029,500",6.07
"Feb 11, 2016",5.75,5.94,5.61,5.63,"1,652,100",5.63
"Feb 10, 2016",6.02,6.28,5.91,5.92,"887,500",5.92
"Feb 9, 2016",5.75,6.15,5.68,5.96,"1,119,300",5.96
"Feb 8, 2016",6.21,6.35,5.67,5.86,"2,084,800",5.86
"Feb 5, 2016",6.61,6.71,6.24,6.32,"2,487,900",6.32
"Feb 4, 2016",6.45,6.96,6.35,6.70,"1,601,900",6.70
"Feb 3, 2016",6.45,6.55,6.04,6.45,"1,498,200",6.45
"Feb 2, 2016",6.62,6.68,6.21,6.41,"1,767,100",6.41
"Feb 1, 2016",6.73,6.88,6.51,6.79,"1,536,900",6.79
"Jan 29, 2016",7.09,7.13,6.43,6.76,"2,905,100",6.76
"Jan 28, 2016",7.25,7.35,6.69,6.99,"1,631,900",6.99
"Jan 27, 2016",7.48,7.65,7.13,7.17,"1,463,400",7.17
"Jan 26, 2016",7.63,7.70,7.11,7.50,"1,662,900",7.50
"Jan 25, 2016",7.33,7.77,7.21,7.54,"1,818,300",7.54
"Jan 22, 2016",7.43,7.54,7.08,7.42,"1,965,800",7.42
"Jan 21, 2016",7.63,7.97,7.18,7.19,"1,898,000",7.19
"Jan 20, 2016",7.11,7.81,6.82,7.61,"2,299,300",7.61
"Jan 19, 2016",7.70,7.70,7.08,7.29,"1,293,700",7.29
"Jan 15, 2016",7.49,7.76,7.15,7.56,"1,906,500",7.56
"Jan 14, 2016",7.87,8.16,7.23,7.95,"2,324,400",7.95
"Jan 13, 2016",8.61,8.61,7.76,7.84,"2,036,800",7.84
"Jan 12, 2016",8.38,8.76,8.08,8.57,"1,708,700",8.57
"Jan 11, 2016",8.91,9.05,7.99,8.29,"2,288,700",8.29
"Jan 8, 2016",9.10,9.40,8.75,8.89,"1,929,600",8.89
"Jan 7, 2016",9.50,9.65,8.92,9.00,"2,401,900",9.00
"Jan 6, 2016",10.11,10.16,9.66,9.89,"1,934,500",9.89
"Jan 5, 2016",10.40,10.50,10.11,10.30,"2,114,500",10.30
"Jan 4, 2016",10.55,10.66,10.16,10.35,"3,350,100",10.35
"Dec 31, 2015",10.78,10.83,10.57,10.79,"1,603,500",10.79
"Dec 30, 2015",10.38,10.95,10.17,10.76,"3,449,900",10.76
"Dec 29, 2015",10.10,10.49,10.08,10.42,"1,437,100",10.42
"Dec 28, 2015",10.17,10.21,9.96,10.05,"950,300",10.05
"Dec 24, 2015",10.14,10.39,10.14,10.28,"609,600",10.28
"Dec 23, 2015",9.98,10.18,9.94,10.13,"852,800",10.13
"Dec 22, 2015",9.87,10.12,9.72,9.89,"1,071,400",9.89
"Dec 21, 2015",9.88,9.90,9.51,9.81,"1,250,600",9.81
"Dec 18, 2015",9.66,9.99,9.47,9.81,"4,167,900",9.81
"Dec 17, 2015",10.00,10.03,9.53,9.66,"1,073,600",9.66
"Dec 16, 2015",9.80,9.96,9.66,9.92,"1,674,000",9.92
"Dec 15, 2015",9.25,9.82,9.24,9.71,"1,900,400",9.71
"Dec 14, 2015",9.09,9.51,8.87,9.13,"2,083,000",9.13
"Dec 11, 2015",9.67,9.88,9.19,9.22,"1,650,600",9.22
"Dec 10, 2015",9.46,9.99,9.36,9.90,"2,653,900",9.90
"Dec 9, 2015",9.78,9.82,9.33,9.46,"1,547,200",9.46
"Dec 8, 2015",9.65,9.91,9.65,9.80,"1,757,400",9.80
"Dec 7, 2015",9.69,9.95,9.44,9.75,"5,299,200",9.75
"Dec 4, 2015",9.49,9.73,9.33,9.58,"2,254,700",9.58
"Dec 3, 2015",9.92,10.00,9.39,9.49,"2,356,700",9.49
"Dec 2, 2015",10.03,10.21,9.85,9.88,"1,801,400",9.88
"Dec 1, 2015",10.23,10.30,9.96,10.04,"4,241,200",10.04
"Nov 30, 2015",10.30,10.49,10.07,10.18,"2,972,200",10.18
"Nov 27, 2015",10.09,10.39,10.09,10.15,"935,000",10.15
"Nov 25, 2015",9.92,10.31,9.90,10.09,"2,887,200",10.09
"Nov 24, 2015",9.82,10.06,9.81,9.93,"2,400,200",9.93
"Nov 23, 2015",9.83,9.97,9.80,9.86,"2,001,400",9.86
"Nov 20, 2015",9.98,10.00,9.81,9.84,"1,334,800",9.84
"Nov 19, 2015",10.08,10.17,9.75,9.88,"1,672,600",9.88
"Nov 18, 2015",10.02,10.17,9.86,10.06,"2,631,300",10.06
"Nov 17, 2015",10.02,10.31,9.87,9.98,"2,004,300",9.98
"Nov 16, 2015",10.02,10.24,9.69,9.99,"1,733,100",9.99
"Nov 13, 2015",9.81,10.30,9.64,9.97,"1,710,700",9.97
"Nov 12, 2015",10.03,10.18,9.77,9.85,"2,044,700",9.85
"Nov 11, 2015",10.40,10.47,10.08,10.10,"2,427,800",10.10
"Nov 10, 2015",10.38,10.63,10.19,10.40,"3,140,400",10.40
"Nov 9, 2015",9.90,10.54,9.80,10.38,"3,765,900",10.38
"Nov 6, 2015",9.37,10.16,9.21,10.05,"4,960,300",10.05
"Nov 5, 2015",8.96,9.00,8.68,8.99,"1,266,400",8.99
"Nov 4, 2015",8.99,9.12,8.69,8.96,"1,637,200",8.96
"Nov 3, 2015",8.56,8.97,8.46,8.93,"2,116,700",8.93
"Nov 2, 2015",7.86,8.71,7.82,8.68,"3,182,000",8.68
"Oct 30, 2015",7.78,7.92,7.68,7.82,"1,269,600",7.82
"Oct 29, 2015",7.86,7.95,7.73,7.76,"2,522,400",7.76
"Oct 28, 2015",8.15,8.15,7.52,7.87,"3,836,900",7.87
"Oct 27, 2015",8.07,8.17,7.90,8.13,"3,152,800",8.13
"Oct 26, 2015",8.10,8.30,7.98,8.09,"1,414,500",8.09
"Oct 23, 2015",8.09,8.14,7.49,8.10,"5,450,900",8.10
"Oct 22, 2015",7.85,8.59,7.41,7.99,"4,450,500",7.99
"Oct 21, 2015",7.95,8.06,7.57,7.83,"1,836,900",7.83
"Oct 20, 2015",7.95,8.05,7.76,7.86,"2,380,300",7.86
"Oct 19, 2015",7.57,7.99,7.44,7.94,"2,088,800",7.94
"Oct 16, 2015",7.68,8.06,7.24,7.53,"2,753,200",7.53
"Oct 15, 2015",7.12,7.65,7.00,7.60,"3,006,600",7.60
