Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",26.98,27.30,26.14,26.23,"463,800",26.23
"Jun 10, 2016",27.20,27.41,26.65,27.07,"214,600",27.07
"Jun 9, 2016",27.82,28.28,27.41,27.52,"243,500",27.52
"Jun 8, 2016",28.41,28.49,27.50,27.93,"459,400",27.93
"Jun 7, 2016",29.51,29.51,28.23,28.26,"501,200",28.26
"Jun 6, 2016",29.05,29.77,28.53,29.70,"359,000",29.70
"Jun 3, 2016",29.10,29.20,28.17,28.90,"571,200",28.90
"Jun 2, 2016",28.86,29.57,28.80,29.10,"633,100",29.10
"Jun 1, 2016",28.45,29.11,28.10,28.95,"472,200",28.95
"May 31, 2016",27.42,28.91,27.31,28.45,"716,300",28.45
"May 27, 2016",26.97,27.62,26.86,27.29,"908,500",27.29
"May 26, 2016",27.24,27.44,26.81,26.88,"554,500",26.88
"May 25, 2016",27.66,28.21,27.07,27.21,"424,900",27.21
"May 24, 2016",26.81,27.70,26.09,27.59,"550,600",27.59
"May 23, 2016",26.33,26.90,26.11,26.65,"604,300",26.65
"May 20, 2016",25.50,26.35,23.85,26.31,"752,800",26.31
"May 19, 2016",26.41,26.41,25.70,25.71,"405,900",25.71
"May 18, 2016",26.11,26.55,25.98,26.54,"560,900",26.54
"May 17, 2016",26.83,26.98,25.77,26.25,"676,700",26.25
"May 16, 2016",26.56,27.10,26.02,26.88,"692,100",26.88
"May 13, 2016",26.13,26.62,25.82,26.41,"534,900",26.41
"May 12, 2016",26.54,26.54,25.79,26.26,"498,600",26.26
"May 11, 2016",27.19,27.64,26.35,26.40,"301,900",26.40
"May 10, 2016",27.26,27.43,26.80,27.36,"333,700",27.36
"May 9, 2016",26.24,27.59,26.24,27.13,"561,300",27.13
"May 6, 2016",25.41,26.22,25.35,26.11,"487,700",26.11
"May 5, 2016",25.68,26.35,25.30,25.64,"438,300",25.64
"May 4, 2016",25.56,25.85,25.02,25.46,"555,400",25.46
