Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.08,5.22,4.81,4.83,"52,300",4.83
"Jun 10, 2016",5.17,5.23,5.00,5.10,"69,200",5.10
"Jun 9, 2016",5.53,5.59,5.18,5.23,"53,600",5.23
"Jun 8, 2016",5.55,5.64,5.36,5.54,"72,000",5.54
"Jun 7, 2016",5.62,5.71,5.28,5.51,"80,700",5.51
"Jun 6, 2016",5.46,5.60,5.17,5.53,"57,300",5.53
"Jun 3, 2016",5.47,5.54,5.32,5.44,"67,900",5.44
"Jun 2, 2016",5.56,5.72,5.27,5.50,"89,500",5.50
"Jun 1, 2016",5.33,5.75,5.31,5.54,"161,700",5.54
"May 31, 2016",5.13,5.34,5.00,5.32,"80,900",5.32
"May 27, 2016",5.08,5.30,4.68,5.12,"70,000",5.12
"May 26, 2016",5.23,5.26,4.97,5.02,"44,100",5.02
"May 25, 2016",5.17,5.26,5.11,5.19,"52,100",5.19
"May 24, 2016",4.87,5.15,4.82,5.14,"86,700",5.14
"May 23, 2016",4.60,4.95,4.55,4.87,"187,900",4.87
"May 20, 2016",4.53,4.63,4.46,4.60,"59,200",4.60
"May 19, 2016",4.27,4.67,4.23,4.55,"386,500",4.55
"May 18, 2016",4.39,4.49,4.20,4.28,"63,300",4.28
"May 17, 2016",4.17,4.44,4.17,4.40,"80,500",4.40
"May 16, 2016",4.50,4.50,3.96,4.17,"123,100",4.17
"May 13, 2016",3.67,4.06,3.67,4.03,"103,300",4.03
"May 12, 2016",3.87,3.88,3.61,3.67,"92,000",3.67
"May 11, 2016",4.07,4.10,3.83,3.84,"69,200",3.84
"May 10, 2016",4.27,4.27,4.04,4.08,"61,100",4.08
"May 9, 2016",4.15,4.27,4.13,4.23,"50,100",4.23
"May 6, 2016",4.19,4.20,3.99,4.15,"67,600",4.15
"May 5, 2016",3.90,4.32,3.89,4.12,"124,300",4.12
"May 4, 2016",4.16,4.19,3.85,3.86,"101,300",3.86
"May 3, 2016",4.10,4.28,4.10,4.19,"63,600",4.19
"May 2, 2016",4.21,4.21,3.97,4.07,"99,000",4.07
"Apr 29, 2016",4.15,4.15,3.88,4.01,"63,500",4.01
"Apr 28, 2016",4.15,4.31,4.15,4.19,"70,700",4.19
"Apr 27, 2016",4.35,4.37,4.15,4.16,"107,100",4.16
"Apr 26, 2016",4.63,4.64,4.34,4.37,"136,800",4.37
"Apr 25, 2016",4.67,4.69,4.44,4.66,"161,300",4.66
"Apr 22, 2016",4.47,4.74,4.44,4.70,"84,500",4.70
"Apr 21, 2016",4.41,4.50,4.38,4.47,"26,900",4.47
"Apr 20, 2016",4.49,4.60,4.35,4.43,"39,400",4.43
"Apr 19, 2016",4.44,4.55,4.28,4.46,"62,300",4.46
"Apr 18, 2016",4.39,4.42,4.30,4.39,"60,800",4.39
"Apr 15, 2016",4.41,4.49,4.31,4.39,"76,800",4.39
"Apr 14, 2016",4.39,4.44,4.31,4.39,"192,200",4.39
"Apr 13, 2016",4.28,4.42,4.22,4.37,"89,400",4.37
"Apr 12, 2016",4.28,4.33,4.16,4.27,"36,100",4.27
"Apr 11, 2016",4.52,4.52,4.18,4.25,"123,600",4.25
"Apr 8, 2016",4.63,4.71,4.41,4.50,"125,900",4.50
"Apr 7, 2016",4.42,4.58,4.39,4.56,"299,700",4.56
"Apr 6, 2016",4.21,4.38,4.16,4.38,"166,300",4.38
"Apr 5, 2016",4.20,4.42,4.13,4.18,"129,200",4.18
"Apr 4, 2016",3.90,4.40,3.90,4.21,"305,700",4.21
"Apr 1, 2016",3.85,4.03,3.81,3.93,"223,500",3.93
"Mar 31, 2016",3.59,3.80,3.15,3.79,"140,300",3.79
"Mar 30, 2016",3.72,3.80,3.55,3.62,"104,800",3.62
"Mar 29, 2016",3.61,3.74,3.40,3.68,"141,600",3.68
"Mar 28, 2016",3.81,3.89,3.57,3.63,"132,200",3.63
"Mar 24, 2016",3.80,3.96,3.76,3.81,"141,600",3.81
"Mar 23, 2016",4.11,4.13,3.79,3.80,"187,300",3.80
"Mar 22, 2016",4.08,4.19,4.03,4.09,"99,200",4.09
"Mar 21, 2016",4.06,4.17,4.01,4.08,"91,400",4.08
"Mar 18, 2016",4.00,4.12,3.85,4.03,"313,400",4.03
"Mar 17, 2016",4.17,4.19,4.01,4.07,"125,300",4.07
"Mar 16, 2016",4.40,4.48,4.10,4.18,"65,200",4.18
"Mar 15, 2016",4.66,4.68,4.29,4.38,"64,000",4.38
"Mar 14, 2016",4.55,4.65,4.41,4.62,"63,200",4.62
