Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",15.89,16.38,15.70,15.87,"220,700",15.87
"Jun 10, 2016",16.68,17.34,15.51,15.97,"292,400",15.97
"Jun 9, 2016",17.09,17.58,16.87,17.00,"143,200",17.00
"Jun 8, 2016",17.32,17.35,16.85,17.29,"106,900",17.29
"Jun 7, 2016",17.25,17.42,16.79,17.23,"124,200",17.23
"Jun 6, 2016",17.17,17.59,16.85,17.38,"163,300",17.38
"Jun 3, 2016",17.43,17.45,16.25,17.03,"161,000",17.03
"Jun 2, 2016",16.99,17.71,16.97,17.56,"192,700",17.56
"Jun 1, 2016",16.78,17.26,16.11,17.07,"166,700",17.07
"May 31, 2016",16.53,17.00,16.53,16.82,"139,200",16.82
"May 27, 2016",16.24,16.41,15.95,16.38,"148,600",16.38
"May 26, 2016",16.28,16.43,16.14,16.14,"96,700",16.14
"May 25, 2016",16.30,16.45,16.13,16.27,"147,200",16.27
"May 24, 2016",16.08,16.31,15.88,16.15,"166,100",16.15
"May 23, 2016",15.89,16.43,15.80,16.05,"150,800",16.05
"May 20, 2016",15.21,15.95,14.99,15.83,"195,300",15.83
"May 19, 2016",15.29,15.69,14.93,15.04,"191,300",15.04
"May 18, 2016",15.09,15.55,15.09,15.43,"275,200",15.43
"May 17, 2016",15.44,15.62,15.10,15.22,"240,100",15.22
"May 16, 2016",14.50,15.51,14.47,15.40,"353,700",15.40
"May 13, 2016",14.23,14.84,14.11,14.58,"211,900",14.58
"May 12, 2016",14.75,14.75,13.94,14.28,"238,000",14.28
"May 11, 2016",15.04,16.30,14.73,14.81,"349,000",14.81
"May 10, 2016",15.14,15.30,14.72,15.10,"251,900",15.10
"May 9, 2016",14.76,15.46,14.44,15.10,"224,000",15.10
"May 6, 2016",15.07,15.07,14.50,14.70,"242,400",14.70
"May 5, 2016",15.92,15.99,14.96,14.96,"245,900",14.96
"May 4, 2016",16.07,16.18,15.43,15.73,"226,200",15.73
"May 3, 2016",16.82,16.93,16.13,16.15,"264,400",16.15
"May 2, 2016",16.90,17.03,16.30,17.00,"211,200",17.00
"Apr 29, 2016",16.57,17.27,16.29,16.88,"410,200",16.88
"Apr 28, 2016",18.96,19.00,14.58,16.69,"1,013,900",16.69
"Apr 27, 2016",17.55,18.00,17.25,17.50,"446,700",17.50
"Apr 26, 2016",18.49,18.49,17.55,17.62,"271,200",17.62
"Apr 25, 2016",18.85,19.15,18.26,18.38,"136,300",18.38
"Apr 22, 2016",18.11,18.83,17.70,18.83,"288,700",18.83
"Apr 21, 2016",17.24,18.30,17.21,18.08,"180,200",18.08
"Apr 20, 2016",18.16,18.17,16.75,17.28,"275,100",17.28
"Apr 19, 2016",18.79,18.98,17.52,17.70,"291,700",17.70
"Apr 18, 2016",18.00,18.86,17.76,18.59,"333,700",18.59
"Apr 15, 2016",18.09,18.33,17.81,18.06,"241,400",18.06
"Apr 14, 2016",17.81,18.44,17.26,18.23,"204,600",18.23
"Apr 13, 2016",16.75,17.95,16.57,17.81,"299,300",17.81
"Apr 12, 2016",16.69,16.95,16.16,16.60,"160,400",16.60
"Apr 11, 2016",17.17,17.41,16.62,16.73,"156,600",16.73
"Apr 8, 2016",17.71,17.71,16.76,17.10,"256,500",17.10
"Apr 7, 2016",17.35,17.80,17.13,17.43,"274,000",17.43
"Apr 6, 2016",16.39,17.45,16.22,17.34,"357,600",17.34
"Apr 5, 2016",16.25,16.53,15.82,16.36,"242,600",16.36
"Apr 4, 2016",15.71,16.54,15.34,16.32,"245,500",16.32
"Apr 1, 2016",14.52,16.02,14.43,15.65,"354,600",15.65
"Mar 31, 2016",14.06,14.87,13.73,14.46,"272,700",14.46
"Mar 30, 2016",14.55,15.08,14.02,14.12,"365,700",14.12
"Mar 29, 2016",14.17,14.57,13.81,14.54,"304,100",14.54
"Mar 28, 2016",14.23,14.60,13.72,14.16,"503,500",14.16
"Mar 24, 2016",13.46,14.39,13.31,14.17,"255,000",14.17
"Mar 23, 2016",14.13,14.28,13.30,13.59,"280,400",13.59
"Mar 22, 2016",13.82,14.41,13.71,14.12,"280,400",14.12
"Mar 21, 2016",12.63,14.44,12.57,13.91,"526,200",13.91
"Mar 18, 2016",12.51,12.77,12.07,12.64,"487,200",12.64
"Mar 17, 2016",12.88,13.18,12.09,12.42,"516,500",12.42
"Mar 16, 2016",13.28,13.46,12.93,12.99,"178,600",12.99
"Mar 15, 2016",14.75,14.76,13.26,13.35,"298,400",13.35
"Mar 14, 2016",14.19,15.33,14.19,14.89,"245,800",14.89
"Mar 11, 2016",13.74,14.30,13.66,14.27,"227,700",14.27
"Mar 10, 2016",13.95,14.28,13.30,13.64,"238,500",13.64
"Mar 9, 2016",14.00,14.09,13.51,13.81,"315,000",13.81
"Mar 8, 2016",15.25,15.30,13.90,13.98,"411,900",13.98
"Mar 7, 2016",13.52,15.62,13.28,15.29,"358,000",15.29
"Mar 4, 2016",14.19,14.25,13.38,13.66,"436,300",13.66
"Mar 3, 2016",13.99,14.42,13.73,14.27,"352,000",14.27
"Mar 2, 2016",13.18,14.06,12.30,13.92,"236,100",13.92
"Mar 1, 2016",12.99,13.31,12.28,13.20,"276,400",13.20
"Feb 29, 2016",13.12,13.33,12.50,12.80,"357,500",12.80
