Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.87,12.43,11.70,11.82,"206,500",11.82
"Jun 10, 2016",12.22,12.49,11.86,11.99,"304,600",11.99
"Jun 9, 2016",12.56,12.88,12.36,12.42,"325,000",12.42
"Jun 8, 2016",12.27,12.80,12.13,12.66,"286,000",12.66
"Jun 7, 2016",12.42,12.55,12.05,12.24,"351,100",12.24
"Jun 6, 2016",11.82,12.57,11.55,12.49,"242,200",12.49
"Jun 3, 2016",12.21,12.37,11.30,11.73,"303,000",11.73
"Jun 2, 2016",12.23,12.48,12.05,12.27,"874,400",12.27
"Jun 1, 2016",12.18,12.61,12.07,12.33,"365,300",12.33
"May 31, 2016",11.80,12.31,11.75,12.29,"294,700",12.29
"May 27, 2016",11.26,11.74,11.07,11.71,"343,300",11.71
"May 26, 2016",10.89,11.46,10.81,11.37,"413,200",11.37
"May 25, 2016",10.95,11.34,10.86,11.00,"292,200",11.00
"May 24, 2016",11.03,11.06,10.29,10.91,"448,200",10.91
"May 23, 2016",10.41,11.19,10.41,10.87,"393,300",10.87
"May 20, 2016",9.82,10.64,9.81,10.47,"431,700",10.47
"May 19, 2016",10.21,10.21,9.40,9.83,"619,400",9.83
"May 18, 2016",9.43,10.29,9.43,10.12,"835,900",10.12
"May 17, 2016",8.63,10.00,8.63,9.55,"1,448,500",9.55
"May 16, 2016",7.50,9.33,7.26,8.91,"6,271,300",8.91
"May 13, 2016",10.24,10.94,10.16,10.69,"257,100",10.69
"May 12, 2016",10.83,10.90,9.88,10.21,"357,900",10.21
"May 11, 2016",11.70,11.74,10.70,10.74,"505,800",10.74
"May 10, 2016",12.16,12.48,11.41,11.56,"340,500",11.56
"May 9, 2016",11.74,12.45,11.59,12.33,"413,600",12.33
"May 6, 2016",11.89,12.05,11.29,11.63,"254,600",11.63
"May 5, 2016",11.95,12.34,11.52,12.03,"421,800",12.03
"May 4, 2016",12.04,12.44,11.55,11.86,"369,500",11.86
"May 3, 2016",12.85,12.96,10.90,12.21,"1,511,700",12.21
"May 2, 2016",13.01,13.29,12.62,13.27,"351,500",13.27
"Apr 29, 2016",13.53,13.86,12.62,12.95,"331,600",12.95
"Apr 28, 2016",13.69,14.07,13.34,13.63,"397,000",13.63
"Apr 27, 2016",14.71,14.83,13.34,13.66,"512,700",13.66
"Apr 26, 2016",15.70,15.81,14.70,14.76,"488,800",14.76
"Apr 25, 2016",14.28,16.23,14.18,15.63,"790,000",15.63
"Apr 22, 2016",14.49,14.53,14.03,14.36,"453,300",14.36
"Apr 21, 2016",13.39,14.60,13.39,14.42,"345,700",14.42
"Apr 20, 2016",13.43,13.83,13.30,13.46,"188,100",13.46
"Apr 19, 2016",13.81,13.89,13.16,13.38,"207,700",13.38
"Apr 18, 2016",13.61,14.19,13.48,13.76,"259,200",13.76
"Apr 15, 2016",13.20,13.93,12.93,13.75,"363,300",13.75
"Apr 14, 2016",13.38,13.49,12.70,13.20,"696,500",13.20
"Apr 13, 2016",13.08,13.38,12.85,13.30,"621,700",13.30
"Apr 12, 2016",13.53,13.73,12.85,12.99,"490,200",12.99
