Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.83,3.95,3.60,3.70,"301,900",3.70
"Jun 10, 2016",3.91,4.00,3.76,3.89,"196,400",3.89
"Jun 9, 2016",4.14,4.19,3.90,3.92,"173,300",3.92
"Jun 8, 2016",4.36,4.39,4.14,4.17,"216,600",4.17
"Jun 7, 2016",4.41,4.60,4.35,4.52,"111,100",4.52
"Jun 6, 2016",4.51,4.66,4.33,4.46,"163,100",4.46
"Jun 3, 2016",4.67,4.69,4.37,4.46,"86,100",4.46
"Jun 2, 2016",4.53,4.70,4.34,4.68,"132,100",4.68
"Jun 1, 2016",4.51,4.70,4.49,4.52,"170,700",4.52
"May 31, 2016",4.54,4.69,4.48,4.52,"144,000",4.52
"May 27, 2016",4.31,4.56,4.17,4.50,"205,900",4.50
"May 26, 2016",4.32,4.39,4.16,4.24,"128,300",4.24
"May 25, 2016",4.22,4.59,4.18,4.32,"132,200",4.32
"May 24, 2016",4.35,4.58,4.21,4.42,"481,000",4.42
"May 23, 2016",4.10,4.50,4.09,4.33,"175,000",4.33
"May 20, 2016",3.96,4.20,3.95,4.09,"196,600",4.09
"May 19, 2016",4.03,4.18,3.84,3.92,"169,300",3.92
"May 18, 2016",3.79,4.10,3.75,4.08,"202,600",4.08
"May 17, 2016",3.75,4.04,3.72,3.86,"287,400",3.86
"May 16, 2016",3.66,3.90,3.65,3.86,"239,600",3.86
"May 13, 2016",3.89,3.89,3.62,3.64,"370,500",3.64
"May 12, 2016",4.14,4.14,4.14,4.14,"126,700",4.14
"May 11, 2016",4.30,4.30,4.13,4.14,"283,200",4.14
"May 10, 2016",4.08,4.40,3.95,4.32,"220,500",4.32
"May 9, 2016",4.15,4.15,3.89,4.03,"374,900",4.03
"May 6, 2016",4.70,4.83,4.10,4.14,"542,100",4.14
"May 5, 2016",5.05,5.26,4.75,4.83,"326,600",4.83
"May 4, 2016",5.30,5.35,4.97,4.99,"216,900",4.99
"May 3, 2016",5.62,5.68,5.36,5.37,"204,800",5.37
"May 2, 2016",5.67,5.76,5.49,5.70,"229,300",5.70
"Apr 29, 2016",5.68,5.86,5.58,5.64,"220,100",5.64
"Apr 28, 2016",5.75,5.79,5.61,5.68,"350,500",5.68
"Apr 27, 2016",6.11,6.12,5.71,5.75,"430,100",5.75
"Apr 26, 2016",6.10,6.22,6.03,6.14,"165,900",6.14
"Apr 25, 2016",6.25,6.31,5.99,6.11,"194,300",6.11
"Apr 22, 2016",6.14,6.27,5.99,6.24,"200,000",6.24
"Apr 21, 2016",5.67,6.16,5.67,6.11,"403,000",6.11
"Apr 20, 2016",5.56,5.71,5.52,5.65,"196,200",5.65
"Apr 19, 2016",5.65,5.74,5.27,5.53,"296,700",5.53
"Apr 18, 2016",5.46,5.61,5.27,5.58,"353,900",5.58
"Apr 15, 2016",5.28,5.47,5.18,5.36,"260,900",5.36
"Apr 14, 2016",5.36,5.46,5.26,5.30,"260,400",5.30
"Apr 13, 2016",5.19,5.43,5.10,5.34,"345,700",5.34
"Apr 12, 2016",5.12,5.22,5.00,5.09,"218,700",5.09
"Apr 11, 2016",5.22,5.33,5.08,5.11,"186,300",5.11
"Apr 8, 2016",5.39,5.39,5.18,5.20,"328,600",5.20
"Apr 7, 2016",5.46,5.55,5.25,5.29,"292,500",5.29
"Apr 6, 2016",5.38,5.65,5.31,5.49,"403,500",5.49
"Apr 5, 2016",5.37,5.45,5.25,5.35,"162,900",5.35
"Apr 4, 2016",5.22,5.50,5.12,5.41,"448,200",5.41
"Apr 1, 2016",5.09,5.27,5.04,5.20,"277,700",5.20
"Mar 31, 2016",5.01,5.39,4.94,5.17,"363,100",5.17
"Mar 30, 2016",5.09,5.23,4.85,4.97,"397,000",4.97
"Mar 29, 2016",4.99,5.10,4.84,5.08,"362,000",5.08
"Mar 28, 2016",5.06,5.14,4.86,5.00,"295,900",5.00
"Mar 24, 2016",4.89,5.26,4.77,5.09,"225,600",5.09
"Mar 23, 2016",5.36,5.58,4.94,4.96,"407,700",4.96
"Mar 22, 2016",5.34,5.56,5.19,5.40,"231,800",5.40
"Mar 21, 2016",5.17,5.47,5.03,5.38,"269,100",5.38
"Mar 18, 2016",5.03,5.25,4.83,5.21,"434,300",5.21
"Mar 17, 2016",4.90,5.05,4.66,4.99,"263,500",4.99
"Mar 16, 2016",4.86,4.98,4.81,4.90,"234,700",4.90
"Mar 15, 2016",5.21,5.21,4.85,4.87,"339,800",4.87
"Mar 14, 2016",5.18,5.35,5.13,5.28,"190,800",5.28
"Mar 11, 2016",5.16,5.20,4.98,5.18,"440,000",5.18
"Mar 10, 2016",5.17,5.35,5.04,5.07,"299,300",5.07
"Mar 9, 2016",5.20,5.25,5.00,5.12,"446,800",5.12
"Mar 8, 2016",5.66,5.70,5.16,5.18,"279,300",5.18
"Mar 7, 2016",5.35,5.81,5.09,5.66,"386,700",5.66
"Mar 4, 2016",5.18,5.49,5.12,5.36,"363,500",5.36
"Mar 3, 2016",5.59,5.82,5.30,5.33,"543,900",5.33
"Mar 2, 2016",5.44,5.85,5.16,5.70,"460,500",5.70
"Mar 1, 2016",5.16,5.46,4.96,5.44,"334,900",5.44
"Feb 29, 2016",5.53,5.57,5.05,5.12,"482,900",5.12
"Feb 26, 2016",5.34,5.55,5.14,5.53,"294,300",5.53
"Feb 25, 2016",5.30,5.51,5.15,5.30,"218,700",5.30
"Feb 24, 2016",5.30,5.38,5.02,5.29,"287,800",5.29
"Feb 23, 2016",5.49,5.57,5.26,5.35,"417,300",5.35
"Feb 22, 2016",5.56,5.69,5.26,5.51,"517,500",5.51
"Feb 19, 2016",5.20,5.55,4.92,5.50,"450,600",5.50
"Feb 18, 2016",5.20,5.33,4.97,5.25,"378,200",5.25
"Feb 17, 2016",5.02,5.32,4.88,5.20,"504,600",5.20
"Feb 16, 2016",4.84,5.00,4.67,4.96,"476,400",4.96
"Feb 12, 2016",4.80,4.90,4.64,4.80,"365,500",4.80
"Feb 11, 2016",4.48,4.89,4.17,4.75,"1,017,800",4.75
"Feb 10, 2016",4.18,4.69,4.11,4.57,"1,250,300",4.57
"Feb 9, 2016",4.10,4.27,4.00,4.15,"422,000",4.15
"Feb 8, 2016",4.36,4.38,4.10,4.19,"715,800",4.19
"Feb 5, 2016",4.67,4.85,4.42,4.44,"581,000",4.44
"Feb 4, 2016",4.67,5.01,4.60,4.71,"316,800",4.71
"Feb 3, 2016",4.89,4.89,4.53,4.70,"671,600",4.70
"Feb 2, 2016",5.05,5.21,4.75,4.81,"461,900",4.81
"Feb 1, 2016",5.94,6.00,5.07,5.22,"650,300",5.22
"Jan 29, 2016",5.84,6.24,5.71,6.00,"412,100",6.00
"Jan 28, 2016",6.34,6.51,5.74,5.84,"290,800",5.84
"Jan 27, 2016",6.48,6.59,6.16,6.30,"273,700",6.30
"Jan 26, 2016",6.40,6.51,5.96,6.50,"315,600",6.50
"Jan 25, 2016",6.36,6.60,6.29,6.38,"242,400",6.38
"Jan 22, 2016",6.38,6.62,6.17,6.42,"301,600",6.42
"Jan 21, 2016",6.22,6.40,5.92,6.24,"332,000",6.24
"Jan 20, 2016",5.58,6.29,5.41,6.18,"513,500",6.18
"Jan 19, 2016",6.18,6.33,5.54,5.75,"405,300",5.75
"Jan 15, 2016",5.79,6.09,5.73,6.07,"361,200",6.07
"Jan 14, 2016",6.11,6.20,5.72,6.00,"536,500",6.00
"Jan 13, 2016",6.37,6.39,5.98,6.02,"579,300",6.02
"Jan 12, 2016",6.77,7.01,6.06,6.33,"445,700",6.33
"Jan 11, 2016",7.32,7.32,6.46,6.65,"363,300",6.65
"Jan 8, 2016",7.60,7.83,7.17,7.28,"385,000",7.28
"Jan 7, 2016",7.74,8.22,7.26,7.51,"284,900",7.51
"Jan 6, 2016",8.64,8.64,7.82,7.95,"306,600",7.95
"Jan 5, 2016",8.75,8.96,8.47,8.80,"157,700",8.80
"Jan 4, 2016",9.33,9.37,8.53,8.69,"300,100",8.69
"Dec 31, 2015",9.43,9.59,9.36,9.52,"238,100",9.52
"Dec 30, 2015",9.73,9.84,9.37,9.45,"186,000",9.45
"Dec 29, 2015",9.34,9.75,9.26,9.71,"284,300",9.71
"Dec 28, 2015",9.43,9.50,9.11,9.26,"181,400",9.26
"Dec 24, 2015",9.37,9.62,9.36,9.55,"129,700",9.55
"Dec 23, 2015",9.34,9.52,9.16,9.31,"149,600",9.31
"Dec 22, 2015",9.71,9.78,9.15,9.27,"222,300",9.27
"Dec 21, 2015",9.31,9.69,8.99,9.69,"231,000",9.69
"Dec 18, 2015",8.90,9.49,8.90,9.23,"391,800",9.23
"Dec 17, 2015",9.12,9.24,8.76,8.90,"186,900",8.90
"Dec 16, 2015",8.90,9.20,8.63,9.09,"236,500",9.09
"Dec 15, 2015",8.51,9.01,8.43,8.85,"187,000",8.85
"Dec 14, 2015",8.50,8.70,8.29,8.36,"201,200",8.36
"Dec 11, 2015",9.15,9.15,8.45,8.54,"258,100",8.54
"Dec 10, 2015",9.02,9.22,8.91,9.05,"171,000",9.05
"Dec 9, 2015",9.23,9.40,8.95,9.04,"219,500",9.04
"Dec 8, 2015",8.80,9.42,8.80,9.29,"189,000",9.29
"Dec 7, 2015",9.38,9.38,8.82,8.93,"214,700",8.93
"Dec 4, 2015",9.29,9.56,9.19,9.38,"207,700",9.38
"Dec 3, 2015",10.05,10.12,9.14,9.24,"271,200",9.24
"Dec 2, 2015",9.95,10.31,9.77,10.02,"266,900",10.02
"Dec 1, 2015",10.54,10.68,9.73,9.94,"367,700",9.94
"Nov 30, 2015",10.14,10.69,10.06,10.48,"649,600",10.48
"Nov 27, 2015",9.99,10.33,9.94,10.10,"270,700",10.10
"Nov 25, 2015",9.55,9.96,9.48,9.95,"409,200",9.95
"Nov 24, 2015",9.07,9.59,8.98,9.51,"362,000",9.51
"Nov 23, 2015",8.69,9.17,8.64,9.15,"320,600",9.15
"Nov 20, 2015",8.53,8.81,8.40,8.71,"303,000",8.71
"Nov 19, 2015",8.41,8.61,8.19,8.46,"403,100",8.46
"Nov 18, 2015",7.75,8.48,7.75,8.43,"603,900",8.43
"Nov 17, 2015",7.87,8.20,7.65,7.75,"226,300",7.75
