Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",1.36,1.42,1.26,1.26,"613,800",1.26
"Jun 10, 2016",1.50,1.55,1.37,1.37,"1,093,200",1.37
"Jun 9, 2016",1.60,1.61,1.46,1.50,"759,400",1.50
"Jun 8, 2016",1.68,1.69,1.60,1.60,"757,600",1.60
"Jun 7, 2016",1.78,1.80,1.66,1.68,"532,000",1.68
"Jun 6, 2016",1.71,1.85,1.64,1.78,"545,400",1.78
"Jun 3, 2016",1.77,1.86,1.68,1.71,"655,900",1.71
"Jun 2, 2016",1.96,1.97,1.76,1.76,"753,500",1.76
"Jun 1, 2016",1.79,1.93,1.78,1.93,"907,900",1.93
"May 31, 2016",1.84,1.97,1.77,1.78,"1,358,100",1.78
"May 27, 2016",1.74,1.84,1.65,1.82,"809,600",1.82
"May 26, 2016",1.61,1.74,1.57,1.73,"700,900",1.73
"May 25, 2016",1.64,1.68,1.60,1.61,"623,600",1.61
"May 24, 2016",1.64,1.78,1.60,1.64,"559,300",1.64
"May 23, 2016",1.72,1.83,1.63,1.64,"594,900",1.64
"May 20, 2016",1.67,1.76,1.63,1.73,"361,700",1.73
"May 19, 2016",1.66,1.76,1.60,1.67,"934,600",1.67
"May 18, 2016",1.86,1.95,1.75,1.78,"812,100",1.78
"May 17, 2016",1.86,2.04,1.79,1.89,"2,053,300",1.89
"May 16, 2016",1.71,2.36,1.71,2.31,"1,327,400",2.31
"May 13, 2016",1.90,1.97,1.69,1.73,"896,300",1.73
"May 12, 2016",2.22,2.27,1.81,1.91,"1,083,400",1.91
"May 11, 2016",2.36,2.41,2.28,2.30,"453,500",2.30
"May 10, 2016",2.50,2.52,2.32,2.38,"269,600",2.38
"May 9, 2016",2.30,2.52,2.25,2.46,"400,900",2.46
"May 6, 2016",2.31,2.42,2.26,2.34,"461,000",2.34
"May 5, 2016",2.40,2.44,2.26,2.32,"652,700",2.32
"May 4, 2016",2.58,2.72,2.36,2.39,"974,300",2.39
"May 3, 2016",2.76,2.85,2.59,2.60,"883,900",2.60
"May 2, 2016",2.86,2.87,2.66,2.79,"1,120,800",2.79
"Apr 29, 2016",2.94,3.04,2.80,2.85,"982,100",2.85
"Apr 28, 2016",2.93,3.27,2.93,2.97,"1,273,900",2.97
"Apr 27, 2016",3.10,3.14,2.91,2.95,"767,200",2.95
"Apr 26, 2016",3.20,3.20,2.99,3.08,"584,400",3.08
"Apr 25, 2016",3.14,3.27,3.08,3.17,"465,100",3.17
"Apr 22, 2016",3.11,3.24,2.99,3.15,"914,100",3.15
"Apr 21, 2016",3.12,3.29,3.07,3.08,"844,700",3.08
"Apr 20, 2016",3.22,3.34,3.10,3.11,"574,500",3.11
"Apr 19, 2016",3.40,3.52,3.19,3.19,"679,800",3.19
"Apr 18, 2016",3.40,3.55,3.30,3.37,"765,100",3.37
"Apr 15, 2016",3.31,3.42,3.29,3.36,"396,900",3.36
"Apr 14, 2016",3.36,3.45,3.29,3.31,"351,300",3.31
"Apr 13, 2016",3.23,3.47,3.15,3.34,"1,397,300",3.34
