Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",18.39,19.39,18.28,18.35,"192,000",18.35
"Jun 10, 2016",18.61,18.91,18.26,18.59,"208,400",18.59
"Jun 9, 2016",19.31,19.59,18.60,18.81,"303,700",18.81
"Jun 8, 2016",19.95,19.95,19.33,19.50,"282,600",19.50
"Jun 7, 2016",18.69,19.99,18.40,19.92,"399,700",19.92
"Jun 6, 2016",18.47,19.24,18.10,18.89,"291,700",18.89
"Jun 3, 2016",19.75,19.89,18.27,18.29,"382,800",18.29
"Jun 2, 2016",17.63,19.19,17.22,19.06,"384,000",19.06
"Jun 1, 2016",17.74,17.89,17.36,17.72,"263,200",17.72
"May 31, 2016",17.30,17.95,16.41,17.87,"273,000",17.87
"May 27, 2016",16.67,17.40,16.56,17.14,"278,500",17.14
"May 26, 2016",16.54,16.83,16.28,16.54,"144,300",16.54
"May 25, 2016",16.85,17.26,16.42,16.66,"282,800",16.66
"May 24, 2016",15.69,16.85,15.52,16.75,"335,300",16.75
"May 23, 2016",15.33,15.77,14.91,15.47,"156,200",15.47
"May 20, 2016",14.81,15.29,14.50,15.24,"337,800",15.24
"May 19, 2016",15.52,16.04,14.62,14.65,"459,700",14.65
"May 18, 2016",13.57,15.68,13.52,15.62,"745,500",15.62
"May 17, 2016",13.75,14.43,13.52,13.69,"401,600",13.69
"May 16, 2016",13.08,13.94,12.63,13.88,"365,100",13.88
"May 13, 2016",12.90,13.15,12.56,12.93,"179,500",12.93
"May 12, 2016",13.50,13.57,12.63,12.88,"234,800",12.88
"May 11, 2016",13.77,14.30,13.31,13.39,"222,900",13.39
"May 10, 2016",14.67,14.67,13.80,13.85,"320,900",13.85
"May 9, 2016",13.36,14.78,13.26,14.51,"324,600",14.51
"May 6, 2016",14.34,14.66,13.23,13.44,"518,600",13.44
"May 5, 2016",15.91,15.94,14.47,14.52,"542,200",14.52
"May 4, 2016",15.62,16.28,15.58,15.84,"276,300",15.84
"May 3, 2016",15.52,16.50,14.63,15.87,"610,400",15.87
"May 2, 2016",15.99,16.35,15.49,16.33,"336,100",16.33
"Apr 29, 2016",15.99,16.25,15.55,15.86,"247,600",15.86
"Apr 28, 2016",15.90,16.38,15.57,16.02,"245,600",16.02
"Apr 27, 2016",16.48,16.50,15.66,15.97,"302,100",15.97
"Apr 26, 2016",15.96,16.57,15.72,16.36,"394,100",16.36
"Apr 25, 2016",16.54,16.54,15.80,16.00,"330,400",16.00
"Apr 22, 2016",15.97,16.57,15.73,16.56,"325,600",16.56
"Apr 21, 2016",15.20,16.20,15.20,16.00,"534,800",16.00
"Apr 20, 2016",15.49,15.73,15.13,15.26,"299,000",15.26
"Apr 19, 2016",16.00,16.28,15.00,15.37,"486,000",15.37
"Apr 18, 2016",15.15,16.24,15.04,16.05,"359,600",16.05
"Apr 15, 2016",15.04,15.49,14.85,15.15,"164,900",15.15
"Apr 14, 2016",15.00,15.20,14.73,15.15,"210,000",15.15
"Apr 13, 2016",14.54,15.06,14.28,14.95,"204,200",14.95
"Apr 12, 2016",14.59,14.75,13.95,14.49,"286,100",14.49
"Apr 11, 2016",15.12,15.39,14.54,14.61,"192,900",14.61
"Apr 8, 2016",15.13,15.61,14.79,15.10,"288,500",15.10
"Apr 7, 2016",14.64,15.62,14.64,15.06,"494,800",15.06
"Apr 6, 2016",13.00,14.76,13.00,14.68,"540,400",14.68
"Apr 5, 2016",13.27,13.48,12.94,12.96,"430,600",12.96
"Apr 4, 2016",13.24,13.61,13.00,13.31,"419,500",13.31
"Apr 1, 2016",12.01,13.23,11.89,13.17,"499,600",13.17
"Mar 31, 2016",12.11,12.51,11.99,12.16,"398,700",12.16
"Mar 30, 2016",12.54,12.99,12.05,12.14,"317,500",12.14
"Mar 29, 2016",11.49,12.45,10.82,12.41,"601,700",12.41
"Mar 28, 2016",12.00,12.04,10.92,11.65,"563,700",11.65
"Mar 24, 2016",11.67,12.23,11.16,11.97,"377,400",11.97
"Mar 23, 2016",12.45,12.57,11.64,11.82,"526,300",11.82
"Mar 22, 2016",12.00,12.81,11.89,12.49,"588,900",12.49
"Mar 21, 2016",12.39,12.71,11.76,12.07,"564,500",12.07
"Mar 18, 2016",11.93,13.05,11.10,12.37,"1,331,400",12.37
"Mar 17, 2016",11.57,11.74,10.88,11.09,"670,000",11.09
"Mar 16, 2016",12.36,12.69,11.45,11.53,"607,200",11.53
"Mar 15, 2016",13.48,13.50,12.41,12.48,"317,200",12.48
"Mar 14, 2016",13.57,13.91,13.41,13.56,"423,100",13.56
"Mar 11, 2016",12.52,13.56,12.29,13.50,"531,400",13.50
"Mar 10, 2016",13.22,13.46,12.08,12.53,"533,800",12.53
"Mar 9, 2016",13.97,14.24,12.83,13.00,"660,500",13.00
"Mar 8, 2016",14.81,15.02,13.84,13.93,"519,400",13.93
"Mar 7, 2016",14.63,15.40,14.31,14.86,"704,300",14.86
"Mar 4, 2016",15.18,15.59,14.63,14.84,"769,900",14.84
"Mar 3, 2016",17.00,17.10,14.52,15.08,"2,726,600",15.08
"Mar 2, 2016",16.44,18.55,15.95,17.63,"905,000",17.63
"Mar 1, 2016",16.80,17.09,15.86,16.76,"572,000",16.76
"Feb 29, 2016",16.77,17.13,16.60,16.84,"455,900",16.84
"Feb 26, 2016",16.43,17.41,16.28,16.97,"531,000",16.97
