Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.13,3.28,3.09,3.19,"182,800",3.19
"Jun 10, 2016",3.31,3.40,3.15,3.15,"228,500",3.15
"Jun 9, 2016",3.72,3.78,3.40,3.41,"156,300",3.41
"Jun 8, 2016",3.82,3.82,3.59,3.75,"65,600",3.75
"Jun 7, 2016",3.71,3.75,3.62,3.69,"80,100",3.69
"Jun 6, 2016",3.69,3.79,3.51,3.74,"161,700",3.74
"Jun 3, 2016",3.74,3.74,3.51,3.62,"109,900",3.62
"Jun 2, 2016",3.44,3.72,3.44,3.69,"111,600",3.69
"Jun 1, 2016",3.59,3.60,3.44,3.50,"92,500",3.50
"May 31, 2016",3.40,3.61,3.37,3.56,"125,400",3.56
"May 27, 2016",3.42,3.42,3.29,3.37,"66,200",3.37
"May 26, 2016",3.69,3.69,3.39,3.40,"79,200",3.40
"May 25, 2016",3.61,3.74,3.55,3.64,"132,100",3.64
"May 24, 2016",3.50,3.63,3.30,3.59,"170,500",3.59
"May 23, 2016",3.24,3.49,3.24,3.42,"102,000",3.42
"May 20, 2016",3.11,3.31,3.04,3.25,"218,000",3.25
"May 19, 2016",2.96,3.12,2.85,3.09,"324,200",3.09
"May 18, 2016",3.24,3.48,3.09,3.10,"226,200",3.10
"May 17, 2016",3.43,3.60,3.31,3.33,"127,600",3.33
"May 16, 2016",3.35,3.50,3.31,3.45,"113,900",3.45
"May 13, 2016",3.33,3.48,3.20,3.37,"149,800",3.37
"May 12, 2016",3.50,3.53,3.18,3.34,"210,300",3.34
"May 11, 2016",3.61,3.73,3.45,3.49,"155,900",3.49
"May 10, 2016",3.69,3.69,3.48,3.62,"156,500",3.62
"May 9, 2016",3.53,3.73,3.48,3.65,"115,300",3.65
"May 6, 2016",3.58,3.75,3.45,3.56,"168,800",3.56
"May 5, 2016",3.62,3.74,3.51,3.61,"157,600",3.61
"May 4, 2016",3.74,3.89,3.42,3.60,"295,200",3.60
"May 3, 2016",4.00,4.09,3.84,3.85,"191,100",3.85
"May 2, 2016",4.06,4.10,3.84,4.07,"135,800",4.07
"Apr 29, 2016",4.21,4.28,3.95,4.05,"181,400",4.05
"Apr 28, 2016",4.26,4.52,4.16,4.27,"148,100",4.27
"Apr 27, 2016",4.60,4.60,4.29,4.32,"212,900",4.32
"Apr 26, 2016",4.80,4.84,4.46,4.56,"236,700",4.56
"Apr 25, 2016",4.44,5.00,4.41,4.78,"378,000",4.78
"Apr 22, 2016",4.27,4.47,4.17,4.44,"645,000",4.44
"Apr 21, 2016",4.22,4.35,4.16,4.25,"124,200",4.25
"Apr 20, 2016",4.29,4.36,4.15,4.21,"113,900",4.21
"Apr 19, 2016",4.42,4.47,4.10,4.28,"174,700",4.28
"Apr 18, 2016",4.47,4.57,4.40,4.46,"197,300",4.46
"Apr 15, 2016",4.47,4.63,4.42,4.43,"171,300",4.43
"Apr 14, 2016",4.56,4.70,4.34,4.50,"178,300",4.50
"Apr 13, 2016",4.75,4.75,4.48,4.53,"247,400",4.53
"Apr 12, 2016",4.47,4.69,4.20,4.59,"265,500",4.59
"Apr 11, 2016",4.30,4.54,4.18,4.32,"187,700",4.32
"Apr 8, 2016",4.36,4.37,4.14,4.22,"118,500",4.22
