Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",54.56,54.68,48.52,51.97,"3,020,700",51.97
"Jun 10, 2016",55.22,55.96,50.02,50.35,"1,829,000",50.35
"Jun 9, 2016",63.67,64.67,54.02,56.22,"3,395,600",56.22
"Jun 8, 2016",62.04,66.74,61.80,66.09,"1,349,800",66.09
"Jun 7, 2016",59.44,61.80,58.79,61.62,"864,400",61.62
"Jun 6, 2016",57.05,59.78,56.43,59.68,"505,900",59.68
"Jun 3, 2016",60.38,60.89,56.22,56.80,"748,000",56.80
"Jun 2, 2016",57.13,61.44,57.13,60.99,"874,300",60.99
"Jun 1, 2016",55.50,58.56,54.82,57.34,"832,200",57.34
"May 31, 2016",53.92,56.48,53.92,55.95,"727,000",55.95
"May 27, 2016",52.83,53.81,52.02,53.34,"333,900",53.34
"May 26, 2016",52.79,53.98,51.17,52.90,"660,900",52.90
"May 25, 2016",48.72,52.71,48.00,52.63,"1,062,300",52.63
"May 24, 2016",49.33,50.29,47.98,48.34,"869,300",48.34
"May 23, 2016",45.44,48.90,45.21,48.58,"764,600",48.58
"May 20, 2016",45.05,45.98,43.47,45.44,"926,500",45.44
"May 19, 2016",50.14,51.00,45.17,45.30,"1,197,800",45.30
"May 18, 2016",53.43,53.50,49.53,50.51,"796,900",50.51
"May 17, 2016",50.21,52.10,50.13,51.27,"807,100",51.27
"May 16, 2016",46.83,50.82,46.56,50.57,"728,900",50.57
"May 13, 2016",44.95,48.56,43.42,46.82,"794,600",46.82
"May 12, 2016",45.45,45.79,43.44,44.85,"747,600",44.85
"May 11, 2016",47.24,48.39,44.93,45.05,"642,800",45.05
"May 10, 2016",47.94,48.43,46.05,47.41,"491,400",47.41
"May 9, 2016",43.72,48.03,43.72,47.67,"579,100",47.67
"May 6, 2016",42.52,44.37,42.27,43.58,"663,300",43.58
"May 5, 2016",45.30,47.00,42.53,43.15,"678,300",43.15
"May 4, 2016",46.42,46.57,43.91,44.16,"706,100",44.16
"May 3, 2016",49.01,49.17,46.40,46.52,"456,300",46.52
"May 2, 2016",49.44,50.11,46.75,49.74,"555,200",49.74
"Apr 29, 2016",50.37,50.98,48.02,48.95,"542,100",48.95
"Apr 28, 2016",50.69,52.67,49.75,50.53,"408,200",50.53
"Apr 27, 2016",51.83,52.92,50.20,50.91,"465,900",50.91
"Apr 26, 2016",53.19,53.67,50.39,52.24,"508,600",52.24
"Apr 25, 2016",54.53,56.72,52.56,53.21,"867,800",53.21
"Apr 22, 2016",54.28,55.15,52.20,54.54,"515,900",54.54
"Apr 21, 2016",49.17,54.48,49.17,54.33,"663,500",54.33
"Apr 20, 2016",49.69,50.17,48.24,49.19,"400,600",49.19
"Apr 19, 2016",50.49,50.76,48.33,49.37,"503,100",49.37
"Apr 18, 2016",48.14,51.20,47.66,50.44,"506,400",50.44
"Apr 15, 2016",48.87,48.99,47.44,48.58,"384,900",48.58
"Apr 14, 2016",49.31,49.60,47.79,49.12,"634,100",49.12
"Apr 13, 2016",47.15,49.82,46.68,49.52,"578,300",49.52
"Apr 12, 2016",45.56,47.25,44.44,46.55,"478,900",46.55
"Apr 11, 2016",47.92,48.10,45.30,45.46,"487,900",45.46
"Apr 8, 2016",48.04,48.76,45.56,47.40,"566,900",47.40
"Apr 7, 2016",48.00,50.08,46.91,47.04,"842,600",47.04
"Apr 6, 2016",43.01,48.39,42.92,48.31,"863,300",48.31
"Apr 5, 2016",43.03,44.72,41.98,42.72,"463,300",42.72
"Apr 4, 2016",42.18,45.87,41.50,43.77,"823,800",43.77
"Apr 1, 2016",40.51,42.85,39.36,41.83,"539,100",41.83
"Mar 31, 2016",37.87,41.96,37.52,40.60,"768,900",40.60
"Mar 30, 2016",38.02,39.95,37.09,37.89,"908,900",37.89
"Mar 29, 2016",35.92,37.42,34.31,36.98,"544,200",36.98
"Mar 28, 2016",38.29,38.35,36.00,36.17,"505,900",36.17
"Mar 24, 2016",36.76,39.25,35.00,37.91,"725,100",37.91
"Mar 23, 2016",39.84,40.88,37.02,37.07,"766,300",37.07
"Mar 22, 2016",36.25,40.44,36.16,39.87,"1,025,600",39.87
"Mar 21, 2016",35.78,37.72,35.25,36.25,"765,900",36.25
"Mar 18, 2016",36.00,36.71,34.48,36.10,"1,255,000",36.10
"Mar 17, 2016",36.71,37.15,34.45,35.89,"674,800",35.89
"Mar 16, 2016",37.25,38.35,35.00,36.74,"500,100",36.74
"Mar 15, 2016",40.27,40.78,36.90,37.45,"614,100",37.45
"Mar 14, 2016",39.70,41.93,39.45,41.00,"519,800",41.00
"Mar 11, 2016",38.60,40.07,38.04,39.91,"361,400",39.91
"Mar 10, 2016",39.96,41.23,36.98,37.87,"645,200",37.87
"Mar 9, 2016",42.26,42.82,39.03,39.55,"608,000",39.55
"Mar 8, 2016",47.41,48.02,41.37,41.49,"654,500",41.49
"Mar 7, 2016",44.31,48.70,42.29,47.72,"737,300",47.72
"Mar 4, 2016",42.90,46.27,41.44,44.32,"804,700",44.32
"Mar 3, 2016",43.88,44.59,41.90,42.96,"750,300",42.96
"Mar 2, 2016",43.07,45.89,42.34,43.80,"1,463,100",43.80
"Mar 1, 2016",38.77,43.53,38.22,43.42,"1,799,900",43.42
"Feb 29, 2016",39.57,40.97,38.13,38.35,"731,900",38.35
"Feb 26, 2016",37.50,39.85,37.43,39.71,"637,800",39.71
"Feb 25, 2016",38.24,40.00,36.30,37.09,"725,300",37.09
"Feb 24, 2016",37.52,38.63,35.30,38.32,"648,900",38.32
"Feb 23, 2016",38.95,39.74,36.78,38.20,"617,300",38.20
"Feb 22, 2016",39.18,40.86,38.29,38.96,"735,000",38.96
"Feb 19, 2016",37.00,39.25,36.72,38.44,"625,000",38.44
"Feb 18, 2016",39.04,42.09,35.01,37.15,"1,680,500",37.15
"Feb 17, 2016",40.34,43.43,39.19,41.93,"1,048,900",41.93
"Feb 16, 2016",38.50,40.78,38.28,39.76,"669,200",39.76
"Feb 12, 2016",36.23,38.18,35.05,37.76,"687,100",37.76
"Feb 11, 2016",35.49,37.98,34.45,35.76,"727,100",35.76
"Feb 10, 2016",37.12,40.00,36.00,36.48,"778,500",36.48
"Feb 9, 2016",34.91,39.39,33.88,36.34,"653,600",36.34
"Feb 8, 2016",36.99,37.86,35.71,35.91,"822,000",35.91
"Feb 5, 2016",37.86,38.40,33.50,38.00,"2,628,000",38.00
"Feb 4, 2016",36.85,41.06,36.22,37.94,"1,728,500",37.94
"Feb 3, 2016",37.54,38.25,33.57,36.80,"1,560,100",36.80
"Feb 2, 2016",41.44,41.44,36.56,37.15,"1,688,600",37.15
"Feb 1, 2016",42.47,43.44,38.85,42.31,"1,235,800",42.31
"Jan 29, 2016",43.46,45.32,40.21,42.22,"1,254,400",42.22
"Jan 28, 2016",46.64,47.69,43.07,43.65,"641,700",43.65
"Jan 27, 2016",51.11,52.49,46.00,46.10,"1,027,700",46.10
"Jan 26, 2016",55.28,55.28,49.39,51.39,"959,800",51.39
"Jan 25, 2016",53.37,58.00,53.01,55.27,"862,700",55.27
"Jan 22, 2016",53.27,55.35,51.54,54.10,"591,600",54.10
"Jan 21, 2016",49.94,56.56,49.17,52.03,"1,058,200",52.03
"Jan 20, 2016",44.59,51.30,43.00,50.55,"850,400",50.55
"Jan 19, 2016",50.39,51.78,44.62,45.83,"1,001,900",45.83
"Jan 15, 2016",45.84,51.13,44.38,50.35,"2,668,500",50.35
"Jan 14, 2016",45.87,50.36,43.54,48.76,"834,800",48.76
"Jan 13, 2016",51.97,54.42,45.01,45.03,"988,300",45.03
"Jan 12, 2016",48.14,55.02,47.02,51.54,"1,215,300",51.54
"Jan 11, 2016",52.63,52.94,45.12,47.42,"910,700",47.42
"Jan 8, 2016",55.30,56.55,51.22,51.69,"681,300",51.69
"Jan 7, 2016",54.36,56.18,51.50,54.75,"578,800",54.75
"Jan 6, 2016",63.36,63.74,55.52,55.87,"1,005,700",55.87
"Jan 5, 2016",64.11,66.87,63.18,64.43,"448,900",64.43
"Jan 4, 2016",63.52,65.61,62.28,63.64,"573,100",63.64
"Dec 31, 2015",64.92,66.98,63.52,64.92,"310,300",64.92
"Dec 30, 2015",67.03,67.98,64.89,65.10,"312,300",65.10
"Dec 29, 2015",63.69,67.98,63.20,67.51,"555,100",67.51
"Dec 28, 2015",65.59,66.83,62.27,63.13,"519,100",63.13
"Dec 24, 2015",63.28,67.09,62.90,66.02,"345,200",66.02
"Dec 23, 2015",61.91,65.98,61.07,62.81,"629,800",62.81
"Dec 22, 2015",64.93,64.96,59.51,61.34,"855,300",61.34
"Dec 21, 2015",57.11,64.71,57.00,64.44,"1,219,600",64.44
"Dec 18, 2015",55.61,60.57,55.55,56.45,"1,673,000",56.45
"Dec 17, 2015",55.51,56.63,53.71,55.57,"571,800",55.57
"Dec 16, 2015",51.27,56.10,50.78,55.41,"643,300",55.41
"Dec 15, 2015",49.05,51.38,48.97,50.53,"415,400",50.53
"Dec 14, 2015",53.77,54.14,48.20,48.63,"563,400",48.63
"Dec 11, 2015",54.16,54.75,53.00,53.74,"520,300",53.74
"Dec 10, 2015",52.58,54.95,51.91,54.73,"426,800",54.73
"Dec 9, 2015",51.96,53.00,51.31,52.40,"406,200",52.40
"Dec 8, 2015",50.00,52.75,48.72,52.31,"776,900",52.31
"Dec 7, 2015",51.50,54.75,48.00,49.26,"1,670,200",49.26
"Dec 4, 2015",60.15,62.24,58.83,61.89,"393,500",61.89
"Dec 3, 2015",64.89,64.92,59.68,59.87,"431,900",59.87
"Dec 2, 2015",63.89,66.67,63.73,64.27,"250,100",64.27
"Dec 1, 2015",65.27,65.38,62.33,64.28,"437,100",64.28
"Nov 30, 2015",69.05,69.67,63.97,64.59,"459,300",64.59
"Nov 27, 2015",69.14,71.49,68.12,69.05,"228,100",69.05
"Nov 25, 2015",63.03,69.27,63.03,68.52,"485,000",68.52
"Nov 24, 2015",63.95,64.66,62.53,63.28,"273,700",63.28
"Nov 23, 2015",62.32,66.25,62.32,64.16,"412,200",64.16
"Nov 20, 2015",62.04,62.74,60.56,62.47,"291,200",62.47
"Nov 19, 2015",64.09,64.80,60.09,61.66,"356,800",61.66
"Nov 18, 2015",60.00,64.21,59.76,64.04,"350,300",64.04
"Nov 17, 2015",59.38,61.76,58.34,59.87,"415,400",59.87
"Nov 16, 2015",63.05,63.05,57.85,59.13,"560,900",59.13
"Nov 13, 2015",63.19,65.25,63.03,63.46,"233,600",63.46
"Nov 12, 2015",65.66,66.86,63.30,63.83,"511,900",63.83
"Nov 11, 2015",66.92,67.44,64.34,66.13,"401,700",66.13
"Nov 10, 2015",65.02,67.11,61.69,66.12,"856,900",66.12
"Nov 9, 2015",71.40,71.76,63.90,65.04,"2,006,100",65.04
"Nov 6, 2015",74.62,76.29,71.00,75.83,"484,200",75.83
"Nov 5, 2015",74.28,77.48,70.00,75.25,"767,300",75.25
"Nov 4, 2015",78.19,78.66,74.71,77.88,"592,600",77.88
"Nov 3, 2015",77.52,81.77,77.20,78.41,"592,300",78.41
"Nov 2, 2015",73.41,78.60,72.91,77.90,"574,200",77.90
"Oct 30, 2015",75.40,75.97,72.50,72.86,"565,300",72.86
"Oct 29, 2015",73.50,78.30,72.02,75.44,"662,400",75.44
"Oct 28, 2015",80.46,80.46,72.25,73.49,"958,700",73.49
"Oct 27, 2015",64.00,81.49,64.00,80.94,"2,193,200",80.94
"Oct 26, 2015",61.59,65.57,59.02,64.85,"826,800",64.85
"Oct 23, 2015",62.36,62.50,60.26,61.72,"723,000",61.72
"Oct 22, 2015",63.11,63.98,58.80,61.48,"1,120,600",61.48
"Oct 21, 2015",63.91,64.68,58.62,62.83,"1,185,400",62.83
"Oct 20, 2015",68.44,68.74,62.18,63.81,"963,100",63.81
