Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",15.25,15.80,15.14,15.47,"98,900",15.47
"Jun 10, 2016",15.90,16.08,15.42,15.49,"40,500",15.49
"Jun 9, 2016",16.03,16.27,15.13,16.00,"143,900",16.00
"Jun 8, 2016",16.31,16.46,15.76,16.08,"107,500",16.08
"Jun 7, 2016",16.90,17.00,16.33,16.61,"119,900",16.61
"Jun 6, 2016",17.09,17.35,16.76,17.05,"78,900",17.05
"Jun 3, 2016",17.34,17.35,16.76,16.95,"116,800",16.95
"Jun 2, 2016",16.62,17.41,16.47,17.38,"139,200",17.38
"Jun 1, 2016",17.12,17.20,16.40,16.62,"85,800",16.62
"May 31, 2016",16.62,17.25,16.62,17.20,"62,300",17.20
"May 27, 2016",16.00,16.60,16.00,16.52,"38,500",16.52
"May 26, 2016",16.18,16.24,15.93,16.10,"20,300",16.10
"May 25, 2016",16.45,16.84,16.19,16.28,"63,700",16.28
"May 24, 2016",16.06,16.36,15.69,16.29,"76,400",16.29
"May 23, 2016",15.71,16.20,15.71,15.97,"109,700",15.97
"May 20, 2016",15.23,15.63,15.23,15.58,"38,300",15.58
"May 19, 2016",15.61,15.77,15.03,15.12,"56,700",15.12
"May 18, 2016",14.65,15.85,14.65,15.67,"131,900",15.67
"May 17, 2016",14.90,15.22,14.40,14.66,"100,200",14.66
"May 16, 2016",14.70,15.16,14.70,15.02,"78,600",15.02
"May 13, 2016",13.63,15.00,13.63,14.64,"177,200",14.64
"May 12, 2016",13.95,14.09,13.34,13.72,"118,300",13.72
"May 11, 2016",14.04,14.59,13.56,13.81,"112,700",13.81
"May 10, 2016",15.92,15.92,13.89,14.05,"187,800",14.05
"May 9, 2016",14.39,14.44,14.08,14.20,"180,400",14.20
"May 6, 2016",14.50,14.61,14.03,14.26,"151,800",14.26
"May 5, 2016",14.95,15.18,14.15,14.42,"148,200",14.42
"May 4, 2016",14.94,15.54,14.56,14.69,"90,100",14.69
"May 3, 2016",15.54,15.54,14.86,14.97,"67,100",14.97
"May 2, 2016",15.75,16.56,14.75,15.55,"135,400",15.55
"Apr 29, 2016",16.08,16.50,15.46,15.71,"65,300",15.71
"Apr 28, 2016",16.12,16.31,15.82,16.19,"228,400",16.19
"Apr 27, 2016",16.77,19.86,15.94,16.09,"108,200",16.09
"Apr 26, 2016",17.50,17.50,16.68,16.81,"86,100",16.81
"Apr 25, 2016",18.24,18.25,17.40,17.44,"119,700",17.44
"Apr 22, 2016",17.13,18.16,16.87,18.16,"112,100",18.16
"Apr 21, 2016",16.60,17.22,16.44,17.01,"98,900",17.01
"Apr 20, 2016",16.60,16.84,16.07,16.41,"45,500",16.41
"Apr 19, 2016",17.05,17.05,15.95,16.57,"94,600",16.57
"Apr 18, 2016",16.92,17.35,16.49,17.06,"69,900",17.06
"Apr 15, 2016",16.81,17.17,16.36,17.07,"62,600",17.07
"Apr 14, 2016",17.23,17.23,16.65,16.72,"87,300",16.72
"Apr 13, 2016",16.41,17.17,16.28,17.17,"200,900",17.17
