Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",8.31,8.60,8.23,8.41,"185,900",8.41
"Jun 10, 2016",8.40,8.55,8.30,8.37,"122,900",8.37
"Jun 9, 2016",8.60,8.72,8.45,8.48,"149,700",8.48
"Jun 8, 2016",8.59,8.75,8.48,8.66,"175,700",8.66
"Jun 7, 2016",8.67,8.78,8.51,8.60,"236,500",8.60
"Jun 6, 2016",8.85,8.98,8.65,8.76,"214,700",8.76
"Jun 3, 2016",9.08,9.08,8.54,8.84,"180,200",8.84
"Jun 2, 2016",8.87,9.18,8.87,9.08,"255,900",9.08
"Jun 1, 2016",8.90,9.05,8.83,8.99,"172,600",8.99
"May 31, 2016",8.81,9.10,8.75,8.91,"288,800",8.91
"May 27, 2016",8.87,8.92,8.64,8.80,"171,900",8.80
"May 26, 2016",8.95,8.97,8.56,8.83,"167,400",8.83
"May 25, 2016",8.63,9.15,8.49,8.93,"500,500",8.93
"May 24, 2016",8.41,8.71,8.29,8.62,"205,200",8.62
"May 23, 2016",8.24,8.59,8.18,8.40,"132,900",8.40
"May 20, 2016",8.07,8.36,7.98,8.25,"138,700",8.25
"May 19, 2016",8.17,8.30,7.92,8.06,"80,600",8.06
"May 18, 2016",8.01,8.34,8.00,8.21,"124,700",8.21
"May 17, 2016",8.18,8.41,8.02,8.08,"232,000",8.08
"May 16, 2016",7.77,8.26,7.72,8.24,"186,600",8.24
"May 13, 2016",7.66,7.90,7.66,7.78,"136,300",7.78
"May 12, 2016",8.08,8.08,7.55,7.71,"239,500",7.71
"May 11, 2016",8.29,8.50,7.98,8.02,"234,600",8.02
"May 10, 2016",8.28,8.51,8.21,8.34,"389,600",8.34
"May 9, 2016",8.28,8.64,8.20,8.27,"289,900",8.27
"May 6, 2016",8.54,8.89,7.60,8.36,"829,800",8.36
"May 5, 2016",9.20,9.22,9.01,9.04,"254,700",9.04
"May 4, 2016",9.34,9.43,9.02,9.17,"283,200",9.17
"May 3, 2016",9.42,9.61,9.30,9.36,"144,300",9.36
"May 2, 2016",9.39,9.54,9.19,9.50,"308,100",9.50
"Apr 29, 2016",9.41,9.60,9.23,9.39,"164,800",9.39
