Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",30.10,30.26,29.54,29.68,"1,161,000",29.68
"Jun 10, 2016",30.50,30.90,29.96,30.25,"1,230,000",30.25
"Jun 9, 2016",31.18,31.44,30.68,30.80,"1,137,100",30.80
"Jun 8, 2016",31.50,31.71,30.89,31.32,"902,600",31.32
"Jun 7, 2016",31.36,31.60,30.64,31.45,"1,384,900",31.45
"Jun 6, 2016",30.98,31.92,30.05,31.66,"1,303,900",31.66
"Jun 3, 2016",30.86,31.51,30.09,31.00,"1,708,800",31.00
"Jun 2, 2016",30.98,31.48,30.65,30.95,"1,869,900",30.95
"Jun 1, 2016",29.89,31.41,29.43,30.95,"2,010,300",30.95
"May 31, 2016",30.33,30.69,29.59,29.89,"1,398,700",29.89
"May 27, 2016",29.80,31.19,29.52,30.16,"2,878,100",30.16
"May 26, 2016",30.44,30.51,29.37,29.75,"2,743,300",29.75
"May 25, 2016",31.21,31.48,30.30,30.40,"2,131,100",30.40
"May 24, 2016",30.62,31.04,30.47,30.96,"1,099,400",30.96
"May 23, 2016",30.89,31.14,30.27,30.48,"1,189,500",30.48
"May 20, 2016",29.65,30.84,29.40,30.55,"2,257,100",30.55
"May 19, 2016",29.38,30.00,28.88,29.64,"1,643,000",29.64
"May 18, 2016",29.17,30.26,29.09,29.71,"2,976,800",29.71
"May 17, 2016",27.95,30.39,27.90,29.92,"5,596,200",29.92
"May 16, 2016",26.90,27.96,26.55,27.81,"2,566,700",27.81
"May 13, 2016",25.98,27.45,25.90,26.50,"1,990,600",26.50
"May 12, 2016",28.14,28.19,25.83,26.41,"3,379,800",26.41
"May 11, 2016",27.11,28.49,26.74,27.85,"2,865,200",27.85
"May 10, 2016",25.84,27.49,24.43,27.29,"5,269,000",27.29
"May 9, 2016",22.26,23.32,21.87,22.73,"1,973,000",22.73
"May 6, 2016",23.61,23.61,19.18,22.00,"9,725,900",22.00
"May 5, 2016",24.43,24.43,23.50,23.88,"960,500",23.88
"May 4, 2016",24.96,25.41,23.83,24.38,"1,001,100",24.38
"May 3, 2016",25.21,26.20,24.74,25.32,"1,255,600",25.32
"May 2, 2016",25.64,25.65,24.76,25.15,"1,434,500",25.15
"Apr 29, 2016",25.35,25.72,24.64,25.45,"1,351,800",25.45
"Apr 28, 2016",25.91,26.51,25.38,25.43,"630,600",25.43
"Apr 27, 2016",26.04,26.42,25.75,26.11,"867,300",26.11
"Apr 26, 2016",26.47,26.66,25.60,25.98,"931,200",25.98
"Apr 25, 2016",28.35,28.38,26.35,26.49,"3,181,200",26.49
"Apr 22, 2016",28.12,28.54,27.85,28.33,"1,320,900",28.33
"Apr 21, 2016",27.02,28.32,26.89,28.07,"1,247,900",28.07
"Apr 20, 2016",26.69,27.47,26.56,27.13,"948,500",27.13
"Apr 19, 2016",26.75,27.51,26.45,26.62,"1,193,900",26.62
"Apr 18, 2016",26.15,27.13,25.94,26.70,"1,036,100",26.70
"Apr 15, 2016",25.82,26.57,25.63,26.45,"1,066,400",26.45
"Apr 14, 2016",25.77,26.05,25.41,25.89,"740,200",25.89
"Apr 13, 2016",24.56,25.98,24.16,25.68,"970,300",25.68
"Apr 12, 2016",24.74,24.94,24.10,24.75,"1,023,100",24.75
"Apr 11, 2016",25.86,26.07,24.73,24.91,"774,800",24.91
"Apr 8, 2016",26.04,26.44,25.44,25.80,"925,000",25.80
"Apr 7, 2016",24.73,26.45,24.31,25.83,"2,139,400",25.83
"Apr 6, 2016",23.27,25.00,23.06,24.97,"2,159,000",24.97
"Apr 5, 2016",24.12,24.62,22.78,23.18,"3,019,000",23.18
"Apr 4, 2016",23.38,25.03,23.31,24.54,"2,380,300",24.54
"Apr 1, 2016",23.25,23.74,22.92,23.48,"1,568,200",23.48
"Mar 31, 2016",22.92,24.07,22.80,23.53,"2,002,300",23.53
"Mar 30, 2016",23.70,24.09,22.53,22.71,"1,281,000",22.71
"Mar 29, 2016",23.45,23.61,22.04,23.52,"1,100,400",23.52
"Mar 28, 2016",24.26,24.50,23.02,23.26,"1,465,900",23.26
"Mar 24, 2016",24.41,25.22,23.68,24.37,"1,773,200",24.37
"Mar 23, 2016",26.07,26.82,24.02,24.77,"5,113,800",24.77
"Mar 22, 2016",21.97,26.67,21.78,26.32,"13,330,000",26.32
"Mar 21, 2016",18.80,19.75,18.52,18.72,"2,129,400",18.72
"Mar 18, 2016",19.03,19.40,17.57,18.85,"5,393,200",18.85
"Mar 17, 2016",20.92,21.23,18.78,19.09,"5,259,500",19.09
"Mar 16, 2016",21.39,21.68,20.62,20.75,"2,086,700",20.75
"Mar 15, 2016",23.52,23.52,21.36,21.49,"2,303,900",21.49
"Mar 14, 2016",24.74,24.89,23.68,23.71,"1,300,000",23.71
"Mar 11, 2016",24.34,24.74,24.05,24.65,"1,195,400",24.65
"Mar 10, 2016",24.42,24.99,23.74,24.12,"1,093,200",24.12
"Mar 9, 2016",24.03,24.51,23.58,24.17,"729,600",24.17
"Mar 8, 2016",25.26,25.27,23.92,24.00,"1,023,700",24.00
"Mar 7, 2016",25.00,25.67,24.37,25.19,"1,362,500",25.19
"Mar 4, 2016",25.83,25.99,24.77,25.08,"1,695,300",25.08
"Mar 3, 2016",26.56,26.83,25.68,25.88,"1,657,800",25.88
"Mar 2, 2016",26.13,26.75,25.94,26.63,"850,200",26.63
"Mar 1, 2016",26.74,26.94,25.38,26.25,"2,113,900",26.25
"Feb 29, 2016",27.11,28.14,26.31,26.59,"1,791,000",26.59
"Feb 26, 2016",26.20,28.15,25.65,27.38,"1,279,900",27.38
"Feb 25, 2016",25.39,26.45,25.31,26.01,"1,050,400",26.01
"Feb 24, 2016",24.78,25.42,23.91,25.25,"618,600",25.25
"Feb 23, 2016",25.90,25.90,24.85,24.88,"968,800",24.88
"Feb 22, 2016",25.29,26.21,25.29,25.77,"1,032,200",25.77
"Feb 19, 2016",24.70,25.01,24.17,24.95,"765,200",24.95
"Feb 18, 2016",25.75,26.11,24.72,24.82,"1,076,300",24.82
"Feb 17, 2016",24.64,26.34,24.15,25.80,"1,390,900",25.80
"Feb 16, 2016",24.57,24.99,23.80,24.46,"1,109,300",24.46
"Feb 12, 2016",22.84,24.32,22.24,23.96,"1,620,700",23.96
"Feb 11, 2016",23.42,23.85,22.19,22.66,"1,428,300",22.66
"Feb 10, 2016",24.62,25.22,24.02,24.23,"1,361,400",24.23
"Feb 9, 2016",23.71,24.91,23.24,24.52,"1,311,700",24.52
"Feb 8, 2016",24.60,24.84,23.53,24.06,"1,328,300",24.06
"Feb 5, 2016",25.06,26.20,24.32,25.23,"1,279,800",25.23
"Feb 4, 2016",24.69,25.75,24.24,25.41,"1,015,300",25.41
"Feb 3, 2016",25.30,25.39,23.80,24.77,"1,696,600",24.77
"Feb 2, 2016",25.83,26.04,24.85,25.22,"1,153,600",25.22
"Feb 1, 2016",26.07,26.60,25.36,26.15,"1,100,200",26.15
"Jan 29, 2016",26.07,26.97,25.40,25.99,"1,515,600",25.99
"Jan 28, 2016",26.38,27.06,24.82,26.05,"1,948,400",26.05
"Jan 27, 2016",27.25,27.25,25.56,25.98,"2,855,200",25.98
"Jan 26, 2016",27.90,28.37,26.51,27.47,"1,534,700",27.47
"Jan 25, 2016",28.13,28.63,27.55,27.81,"1,121,900",27.81
"Jan 22, 2016",27.92,28.67,27.40,28.31,"1,366,400",28.31
"Jan 21, 2016",28.22,28.48,26.86,27.58,"1,595,700",27.58
"Jan 20, 2016",26.69,28.63,25.72,28.07,"1,899,000",28.07
"Jan 19, 2016",29.03,29.84,26.00,27.00,"2,615,400",27.00
"Jan 15, 2016",29.15,30.36,27.27,28.51,"3,719,400",28.51
"Jan 14, 2016",27.93,30.67,27.58,30.32,"3,344,300",30.32
"Jan 13, 2016",29.82,29.99,27.15,27.82,"4,348,100",27.82
"Jan 12, 2016",34.07,34.25,28.41,29.82,"7,649,000",29.82
"Jan 11, 2016",37.49,38.00,32.57,33.75,"2,136,700",33.75
"Jan 8, 2016",38.45,38.73,37.01,37.47,"1,576,900",37.47
"Jan 7, 2016",37.50,38.40,37.00,38.04,"1,803,500",38.04
"Jan 6, 2016",38.03,39.46,37.76,38.52,"4,220,100",38.52
"Jan 5, 2016",38.23,38.93,37.73,38.45,"1,627,200",38.45
"Jan 4, 2016",36.72,38.14,36.50,38.10,"2,088,100",38.10
"Dec 31, 2015",37.14,37.86,37.00,37.31,"657,500",37.31
"Dec 30, 2015",36.88,37.71,36.79,37.22,"601,300",37.22
"Dec 29, 2015",37.09,37.60,36.52,36.85,"809,300",36.85
"Dec 28, 2015",37.12,37.41,36.21,36.83,"684,400",36.83
"Dec 24, 2015",36.42,37.49,36.28,37.34,"417,000",37.34
"Dec 23, 2015",36.30,36.58,36.00,36.47,"942,700",36.47
"Dec 22, 2015",35.74,37.14,35.41,36.14,"2,773,400",36.14
"Dec 21, 2015",36.34,36.50,35.03,35.59,"3,060,700",35.59
"Dec 18, 2015",34.77,36.83,34.77,36.03,"2,815,900",36.03
"Dec 17, 2015",35.60,35.89,34.60,35.09,"1,373,300",35.09
"Dec 16, 2015",35.49,35.78,34.95,35.62,"1,204,400",35.62
"Dec 15, 2015",34.10,35.24,33.80,35.01,"2,052,500",35.01
"Dec 14, 2015",34.65,34.84,32.97,33.73,"1,704,200",33.73
"Dec 11, 2015",35.27,35.84,33.72,34.57,"1,245,400",34.57
"Dec 10, 2015",35.89,35.95,35.01,35.56,"869,300",35.56
"Dec 9, 2015",36.26,37.49,34.95,35.75,"1,275,700",35.75
"Dec 8, 2015",35.16,36.76,35.06,36.54,"1,228,100",36.54
"Dec 7, 2015",35.62,35.97,34.87,35.49,"1,121,700",35.49
"Dec 4, 2015",34.08,36.17,33.97,35.81,"1,384,100",35.81
"Dec 3, 2015",34.66,34.84,33.25,33.97,"1,199,200",33.97
"Dec 2, 2015",36.27,36.97,33.87,34.29,"1,566,900",34.29
"Dec 1, 2015",33.50,34.62,33.21,34.55,"1,186,600",34.55
"Nov 30, 2015",33.77,34.10,32.94,33.30,"851,700",33.30
"Nov 27, 2015",33.54,34.00,33.10,33.44,"258,500",33.44
"Nov 25, 2015",32.74,33.74,32.50,33.56,"666,500",33.56
