Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",29.40,30.02,28.33,29.00,"631,400",29.00
"Jun 10, 2016",29.67,30.50,28.58,29.88,"843,100",29.88
"Jun 9, 2016",30.23,31.00,29.30,29.42,"430,300",29.42
"Jun 8, 2016",30.81,30.84,29.00,30.62,"695,200",30.62
"Jun 7, 2016",31.94,32.08,30.96,31.16,"594,800",31.16
"Jun 6, 2016",29.55,31.79,28.69,31.71,"635,900",31.71
"Jun 3, 2016",31.83,32.42,29.38,29.51,"963,900",29.51
"Jun 2, 2016",29.91,32.44,29.91,31.95,"944,700",31.95
"Jun 1, 2016",29.99,30.51,28.94,30.11,"776,400",30.11
"May 31, 2016",28.99,30.75,28.65,30.07,"1,123,700",30.07
"May 27, 2016",29.18,30.34,28.47,29.04,"607,900",29.04
"May 26, 2016",27.84,29.93,27.12,29.26,"1,017,200",29.26
"May 25, 2016",28.62,29.06,27.53,27.74,"450,500",27.74
"May 24, 2016",27.83,28.44,27.28,28.36,"429,800",28.36
"May 23, 2016",27.84,28.08,27.35,27.57,"476,100",27.57
"May 20, 2016",26.37,28.05,26.28,27.96,"729,600",27.96
"May 19, 2016",26.63,27.20,25.50,26.61,"618,100",26.61
"May 18, 2016",25.23,27.77,25.11,26.79,"753,800",26.79
"May 17, 2016",25.43,26.01,25.13,25.26,"501,800",25.26
"May 16, 2016",24.25,25.66,23.99,25.48,"812,500",25.48
"May 13, 2016",23.71,24.54,23.56,24.01,"408,200",24.01
"May 12, 2016",25.85,26.22,23.27,23.99,"641,800",23.99
"May 11, 2016",26.02,26.73,25.54,25.62,"369,100",25.62
"May 10, 2016",26.39,26.65,25.41,26.12,"443,200",26.12
"May 9, 2016",25.22,26.79,25.13,26.22,"551,800",26.22
"May 6, 2016",24.88,25.67,24.51,25.10,"443,500",25.10
"May 5, 2016",25.80,26.38,24.94,25.21,"419,200",25.21
"May 4, 2016",26.29,26.55,25.24,25.84,"653,600",25.84
"May 3, 2016",27.19,27.75,26.28,26.54,"522,900",26.54
"May 2, 2016",26.48,27.92,25.77,27.48,"905,600",27.48
"Apr 29, 2016",27.06,28.15,25.51,26.55,"1,007,700",26.55
"Apr 28, 2016",27.78,28.88,27.30,27.58,"702,900",27.58
"Apr 27, 2016",27.70,28.76,27.41,28.13,"806,800",28.13
"Apr 26, 2016",27.81,28.25,26.25,27.86,"688,200",27.86
"Apr 25, 2016",28.62,28.88,27.57,27.63,"575,400",27.63
"Apr 22, 2016",28.52,29.08,27.18,28.87,"992,300",28.87
"Apr 21, 2016",28.00,29.09,27.79,28.19,"957,700",28.19
"Apr 20, 2016",27.94,28.90,27.36,27.73,"786,400",27.73
"Apr 19, 2016",27.93,28.29,26.92,27.50,"921,900",27.50
"Apr 18, 2016",27.83,28.99,27.75,28.00,"783,500",28.00
"Apr 15, 2016",27.76,28.36,27.01,27.89,"1,202,600",27.89
"Apr 14, 2016",26.07,28.14,25.91,27.87,"1,161,800",27.87
"Apr 13, 2016",24.72,26.23,24.52,26.00,"734,300",26.00
"Apr 12, 2016",24.72,24.96,23.61,24.51,"932,600",24.51
"Apr 11, 2016",25.30,25.77,24.02,24.78,"843,300",24.78
"Apr 8, 2016",27.32,27.49,24.32,25.11,"1,362,100",25.11
"Apr 7, 2016",25.60,27.27,25.41,26.95,"5,736,500",26.95
"Apr 6, 2016",24.35,25.98,24.24,25.92,"794,200",25.92
"Apr 5, 2016",24.46,25.10,23.83,24.21,"791,400",24.21
"Apr 4, 2016",25.88,26.30,24.64,24.71,"608,700",24.71
"Apr 1, 2016",24.36,26.34,23.70,25.78,"1,213,200",25.78
"Mar 31, 2016",23.50,24.83,23.09,24.49,"1,133,400",24.49
"Mar 30, 2016",24.50,25.10,22.76,23.36,"1,611,900",23.36
"Mar 29, 2016",26.10,26.19,23.76,24.51,"3,087,700",24.51
"Mar 28, 2016",22.10,27.79,21.75,25.70,"14,957,600",25.70
"Mar 24, 2016",17.55,17.98,16.71,17.18,"534,800",17.18
"Mar 23, 2016",18.39,18.90,17.42,17.68,"564,800",17.68
"Mar 22, 2016",17.80,18.52,17.76,18.44,"623,500",18.44
"Mar 21, 2016",18.48,18.55,17.40,17.81,"589,700",17.81
"Mar 18, 2016",17.23,19.11,16.74,18.69,"922,100",18.69
"Mar 17, 2016",17.51,17.76,15.82,17.08,"866,600",17.08
"Mar 16, 2016",18.24,18.76,17.18,17.65,"749,800",17.65
"Mar 15, 2016",19.64,20.08,18.24,18.41,"485,100",18.41
