Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",42.50,43.39,42.29,42.47,"963,900",42.47
"Jun 10, 2016",43.69,43.98,42.08,42.65,"1,177,800",42.65
"Jun 9, 2016",45.83,46.39,43.76,43.82,"689,100",43.82
"Jun 8, 2016",46.01,46.63,45.07,45.60,"449,100",45.60
"Jun 7, 2016",45.46,46.09,44.67,45.89,"679,600",45.89
"Jun 6, 2016",45.12,46.63,44.10,45.84,"1,144,500",45.84
"Jun 3, 2016",46.49,46.49,44.53,45.06,"1,133,800",45.06
"Jun 2, 2016",45.68,47.01,45.56,47.00,"1,319,000",47.00
"Jun 1, 2016",45.61,46.60,45.12,45.84,"1,167,900",45.84
"May 31, 2016",46.38,47.90,45.99,46.41,"1,461,900",46.41
"May 27, 2016",44.28,46.21,44.17,46.13,"1,285,600",46.13
"May 26, 2016",43.70,44.56,43.62,44.29,"1,288,900",44.29
"May 25, 2016",43.91,44.37,43.03,43.58,"913,000",43.58
"May 24, 2016",43.20,44.28,42.81,43.42,"1,047,400",43.42
"May 23, 2016",42.89,43.28,42.22,42.88,"939,600",42.88
"May 20, 2016",39.65,43.29,39.36,42.98,"2,430,700",42.98
"May 19, 2016",39.99,40.27,38.40,39.26,"681,300",39.26
"May 18, 2016",39.71,40.93,39.53,40.23,"589,500",40.23
"May 17, 2016",39.77,41.13,39.60,39.98,"961,500",39.98
"May 16, 2016",37.52,40.24,36.86,40.06,"1,812,000",40.06
"May 13, 2016",36.85,38.31,36.83,37.45,"689,300",37.45
"May 12, 2016",38.10,39.14,36.71,37.00,"940,700",37.00
"May 11, 2016",39.47,40.02,37.86,37.93,"948,200",37.93
"May 10, 2016",40.00,40.47,38.69,39.61,"982,400",39.61
"May 9, 2016",38.25,40.39,38.01,39.76,"851,500",39.76
"May 6, 2016",37.81,39.41,37.27,38.25,"818,600",38.25
"May 5, 2016",37.63,38.43,37.11,37.99,"822,100",37.99
"May 4, 2016",38.60,38.80,37.33,37.62,"1,059,100",37.62
"May 3, 2016",40.15,40.57,37.89,39.20,"1,768,000",39.20
"May 2, 2016",39.79,40.36,38.64,40.36,"846,000",40.36
"Apr 29, 2016",40.97,41.40,39.40,39.75,"1,088,200",39.75
"Apr 28, 2016",40.49,42.87,39.17,41.29,"1,711,100",41.29
"Apr 27, 2016",41.77,42.97,39.76,40.57,"2,137,900",40.57
"Apr 26, 2016",42.90,43.00,41.46,42.09,"1,300,600",42.09
"Apr 25, 2016",42.72,43.48,41.87,42.72,"1,093,400",42.72
"Apr 22, 2016",43.18,43.47,41.75,42.67,"1,242,600",42.67
"Apr 21, 2016",41.95,43.23,41.66,43.18,"1,568,300",43.18
"Apr 20, 2016",40.77,43.41,40.24,41.94,"1,922,600",41.94
"Apr 19, 2016",40.00,40.78,39.72,40.45,"1,053,500",40.45
"Apr 18, 2016",39.58,40.68,38.95,39.72,"836,000",39.72
"Apr 15, 2016",39.08,39.68,38.76,39.63,"1,360,900",39.63
"Apr 14, 2016",39.06,39.90,38.63,39.43,"883,900",39.43
"Apr 13, 2016",38.58,38.92,37.01,38.91,"1,282,500",38.91
