Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",62.54,63.19,60.39,60.65,"1,177,900",60.65
"Jun 10, 2016",64.46,64.98,62.28,63.17,"1,016,800",63.17
"Jun 9, 2016",69.26,70.20,65.38,65.41,"995,800",65.41
"Jun 8, 2016",71.16,71.79,68.38,69.88,"635,300",69.88
"Jun 7, 2016",71.40,72.64,69.68,71.05,"845,100",71.05
"Jun 6, 2016",70.50,72.83,68.44,72.60,"602,500",72.60
"Jun 3, 2016",73.48,73.48,69.97,70.20,"841,600",70.20
"Jun 2, 2016",70.56,74.20,70.50,74.12,"711,100",74.12
"Jun 1, 2016",71.02,71.56,69.01,70.54,"758,500",70.54
"May 31, 2016",68.28,73.68,68.21,71.72,"1,339,500",71.72
"May 27, 2016",69.96,70.89,67.18,67.57,"1,238,200",67.57
"May 26, 2016",66.15,72.16,66.11,70.57,"3,111,600",70.57
"May 25, 2016",58.23,64.64,58.23,63.55,"2,010,600",63.55
"May 24, 2016",56.86,57.92,55.72,57.81,"576,500",57.81
"May 23, 2016",55.12,56.90,54.53,56.07,"612,300",56.07
"May 20, 2016",53.94,55.50,53.03,55.11,"682,300",55.11
"May 19, 2016",54.02,55.92,52.43,53.67,"624,000",53.67
"May 18, 2016",53.65,55.46,53.20,54.34,"758,400",54.34
"May 17, 2016",54.08,55.76,53.95,54.28,"874,800",54.28
"May 16, 2016",54.01,55.63,53.22,54.54,"769,000",54.54
"May 13, 2016",52.38,54.03,52.08,52.55,"582,800",52.55
"May 12, 2016",54.02,54.13,49.96,52.37,"1,200,300",52.37
"May 11, 2016",57.05,57.36,53.65,53.82,"594,000",53.82
"May 10, 2016",58.27,58.41,55.63,57.44,"869,600",57.44
"May 9, 2016",55.30,59.42,55.30,57.81,"820,500",57.81
"May 6, 2016",58.03,59.15,53.90,55.55,"1,323,100",55.55
"May 5, 2016",58.41,59.46,57.03,58.73,"958,700",58.73
"May 4, 2016",60.13,60.63,57.16,57.45,"1,374,100",57.45
"May 3, 2016",66.80,66.99,60.07,60.81,"1,826,000",60.81
"May 2, 2016",67.47,69.03,65.87,68.79,"512,100",68.79
"Apr 29, 2016",67.68,68.23,66.40,67.04,"424,500",67.04
"Apr 28, 2016",68.38,70.39,67.00,67.88,"473,900",67.88
"Apr 27, 2016",70.43,70.77,68.37,68.63,"446,300",68.63
"Apr 26, 2016",72.03,72.25,69.21,70.37,"592,300",70.37
"Apr 25, 2016",71.50,72.72,71.26,71.95,"433,100",71.95
"Apr 22, 2016",71.67,72.83,69.95,71.86,"517,800",71.86
"Apr 21, 2016",67.03,71.79,66.76,71.63,"709,500",71.63
"Apr 20, 2016",67.89,69.00,66.85,67.25,"600,900",67.25
"Apr 19, 2016",69.05,69.34,66.50,66.81,"1,081,500",66.81
"Apr 18, 2016",68.21,70.58,67.69,69.16,"571,500",69.16
"Apr 15, 2016",67.91,68.90,66.84,68.79,"705,900",68.79
"Apr 14, 2016",69.39,69.39,67.29,67.79,"549,400",67.79
"Apr 13, 2016",67.89,69.59,66.70,69.39,"528,100",69.39
"Apr 12, 2016",66.80,67.61,65.52,67.43,"800,900",67.43
"Apr 11, 2016",69.39,70.00,66.50,66.77,"1,056,900",66.77
"Apr 8, 2016",73.26,73.42,66.90,69.15,"1,086,900",69.15
"Apr 7, 2016",74.30,75.08,68.81,71.74,"1,760,100",71.74
"Apr 6, 2016",68.05,73.11,68.05,73.00,"964,200",73.00
"Apr 5, 2016",67.69,69.65,65.83,68.33,"1,306,700",68.33
