Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",135.72,137.63,133.18,133.32,"1,649,500",133.32
"Jun 10, 2016",136.70,137.86,134.02,135.61,"1,980,200",135.61
"Jun 9, 2016",138.26,141.48,137.75,138.24,"2,371,200",138.24
"Jun 8, 2016",138.14,139.79,137.91,138.88,"2,952,000",138.88
"Jun 7, 2016",139.97,140.75,136.14,138.13,"5,629,200",138.13
"Jun 6, 2016",154.02,155.78,152.14,154.99,"715,200",154.99
"Jun 3, 2016",156.00,156.25,150.60,153.89,"1,466,200",153.89
"Jun 2, 2016",152.69,157.02,152.69,156.77,"1,550,500",156.77
"Jun 1, 2016",150.87,153.61,149.89,152.70,"975,000",152.70
"May 31, 2016",151.07,153.44,149.80,150.90,"1,115,100",150.90
"May 27, 2016",148.20,150.65,146.55,150.42,"1,094,200",150.42
"May 26, 2016",148.97,149.70,147.02,148.17,"905,500",148.17
"May 25, 2016",146.73,150.00,146.71,149.61,"1,392,100",149.61
"May 24, 2016",143.93,146.93,142.53,146.67,"1,165,200",146.67
"May 23, 2016",142.42,144.50,141.73,142.51,"978,900",142.51
"May 20, 2016",139.29,143.00,139.22,142.52,"975,500",142.52
"May 19, 2016",140.90,142.30,137.64,139.03,"1,290,900",139.03
"May 18, 2016",139.70,142.45,139.57,142.33,"1,242,400",142.33
"May 17, 2016",143.81,144.39,139.38,139.96,"1,544,400",139.96
"May 16, 2016",139.19,144.88,138.64,144.57,"1,293,000",144.57
"May 13, 2016",138.65,140.27,138.00,139.74,"1,134,600",139.74
"May 12, 2016",139.58,140.46,136.68,139.11,"1,141,400",139.11
"May 11, 2016",145.72,146.44,138.69,138.86,"1,111,700",138.86
"May 10, 2016",144.75,145.70,141.52,145.48,"902,400",145.48
"May 9, 2016",141.59,145.32,141.49,143.52,"949,400",143.52
"May 6, 2016",141.32,143.52,139.67,140.99,"933,100",140.99
"May 5, 2016",142.16,143.74,140.36,142.58,"1,005,000",142.58
"May 4, 2016",143.70,144.46,140.87,141.41,"1,280,400",141.41
"May 3, 2016",141.71,147.79,141.00,144.37,"2,251,200",144.37
"May 2, 2016",140.07,140.78,138.50,140.53,"1,360,000",140.53
"Apr 29, 2016",141.88,142.31,137.40,139.28,"2,046,500",139.28
"Apr 28, 2016",142.99,146.48,139.12,142.53,"3,267,300",142.53
"Apr 27, 2016",154.47,155.48,150.75,150.78,"1,861,000",150.78
"Apr 26, 2016",158.08,158.08,151.96,154.01,"1,450,800",154.01
"Apr 25, 2016",158.86,159.93,156.73,158.02,"849,000",158.02
"Apr 22, 2016",161.04,162.00,157.36,159.10,"1,209,000",159.10
"Apr 21, 2016",157.07,161.64,156.78,161.38,"1,191,800",161.38
"Apr 20, 2016",156.24,158.12,154.92,157.04,"821,100",157.04
"Apr 19, 2016",155.93,156.84,153.66,155.44,"774,900",155.44
"Apr 18, 2016",153.76,157.71,152.43,155.71,"988,500",155.71
"Apr 15, 2016",155.13,155.29,151.65,153.09,"1,565,300",153.09
"Apr 14, 2016",153.55,155.99,152.02,154.75,"983,400",154.75
"Apr 13, 2016",154.59,155.83,151.13,152.88,"1,622,300",152.88
"Apr 12, 2016",148.49,153.91,147.87,153.55,"1,454,300",153.55
"Apr 11, 2016",150.00,150.98,146.93,147.88,"1,294,000",147.88
"Apr 8, 2016",150.00,150.62,145.79,148.89,"1,537,300",148.89
"Apr 7, 2016",154.97,156.48,147.67,148.03,"2,062,700",148.03
"Apr 6, 2016",148.29,157.19,148.29,157.02,"2,098,700",157.02
"Apr 5, 2016",145.98,149.71,145.21,148.03,"1,718,900",148.03
"Apr 4, 2016",143.48,148.74,143.09,147.10,"1,995,900",147.10
