Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",20.92,22.21,20.69,21.80,"1,003,400",21.80
"Jun 10, 2016",21.79,21.79,20.72,21.04,"711,100",21.04
"Jun 9, 2016",21.97,22.49,21.77,21.86,"640,000",21.86
"Jun 8, 2016",21.96,22.18,21.52,22.10,"864,800",22.10
"Jun 7, 2016",21.27,22.28,20.75,22.05,"880,800",22.05
"Jun 6, 2016",21.68,21.77,20.83,21.43,"770,500",21.43
"Jun 3, 2016",22.10,22.18,21.02,21.57,"737,700",21.57
"Jun 2, 2016",21.98,22.44,21.40,22.19,"1,264,800",22.19
"Jun 1, 2016",21.38,22.64,21.31,22.13,"1,433,700",22.13
"May 31, 2016",21.06,21.50,20.94,21.44,"618,100",21.44
"May 27, 2016",20.35,20.98,20.18,20.96,"607,700",20.96
"May 26, 2016",20.15,20.48,19.72,20.36,"745,900",20.36
"May 25, 2016",19.69,20.40,19.60,20.25,"788,200",20.25
"May 24, 2016",18.85,19.69,18.59,19.67,"838,400",19.67
"May 23, 2016",19.03,19.15,18.61,18.84,"781,400",18.84
"May 20, 2016",18.39,19.12,18.32,18.96,"1,191,900",18.96
"May 19, 2016",18.39,18.85,17.92,18.35,"1,034,600",18.35
"May 18, 2016",18.58,19.02,18.21,18.46,"1,073,500",18.46
"May 17, 2016",18.52,18.99,18.27,18.75,"1,179,200",18.75
"May 16, 2016",18.33,19.15,18.33,18.58,"738,800",18.58
"May 13, 2016",18.34,19.03,18.09,18.27,"1,006,500",18.27
"May 12, 2016",19.01,19.25,18.18,18.34,"2,160,600",18.34
"May 11, 2016",19.56,19.85,18.85,18.90,"1,058,800",18.90
"May 10, 2016",20.02,20.02,19.16,19.67,"1,503,000",19.67
"May 9, 2016",19.96,20.17,19.50,19.84,"1,141,900",19.84
"May 6, 2016",19.84,20.24,19.47,19.85,"1,964,800",19.85
"May 5, 2016",19.60,20.49,19.55,20.10,"1,880,500",20.10
"May 4, 2016",21.55,21.72,19.35,19.55,"4,280,700",19.55
"May 3, 2016",24.26,24.48,21.98,22.03,"3,837,100",22.03
"May 2, 2016",26.50,26.59,25.11,25.68,"1,475,300",25.68
"Apr 29, 2016",27.20,27.57,26.27,26.52,"1,018,000",26.52
"Apr 28, 2016",27.72,28.23,27.09,27.43,"1,121,100",27.43
"Apr 27, 2016",28.06,28.24,27.01,27.66,"919,000",27.66
"Apr 26, 2016",28.36,28.57,27.57,28.29,"714,700",28.29
"Apr 25, 2016",28.85,28.87,27.46,28.24,"1,252,100",28.24
"Apr 22, 2016",27.83,28.98,27.82,28.91,"1,246,900",28.91
"Apr 21, 2016",26.58,27.90,26.58,27.87,"893,600",27.87
"Apr 20, 2016",26.33,26.99,26.06,26.71,"584,000",26.71
"Apr 19, 2016",26.73,27.01,25.37,26.09,"1,175,400",26.09
"Apr 18, 2016",25.17,26.77,25.17,26.68,"1,053,000",26.68
"Apr 15, 2016",25.81,25.95,25.16,25.45,"473,100",25.45
"Apr 14, 2016",25.51,25.91,25.18,25.78,"598,600",25.78
"Apr 13, 2016",24.80,25.66,24.66,25.51,"535,800",25.51
"Apr 12, 2016",24.48,24.71,23.96,24.60,"874,800",24.60
"Apr 11, 2016",25.24,25.30,24.20,24.58,"769,000",24.58
"Apr 8, 2016",26.09,26.10,24.76,25.07,"774,900",25.07
"Apr 7, 2016",25.02,26.22,25.02,25.90,"1,343,900",25.90
"Apr 6, 2016",23.76,25.19,23.72,25.13,"1,190,300",25.13
"Apr 5, 2016",23.43,23.89,23.20,23.65,"750,100",23.65
"Apr 4, 2016",24.24,24.44,23.47,23.58,"954,100",23.58
"Apr 1, 2016",23.25,23.94,22.96,23.89,"862,800",23.89
"Mar 31, 2016",22.39,23.47,22.24,23.40,"1,343,900",23.40
"Mar 30, 2016",22.26,23.18,21.88,22.12,"1,150,500",22.12
"Mar 29, 2016",20.87,22.19,20.25,22.19,"827,800",22.19
"Mar 28, 2016",21.51,21.57,20.79,20.92,"1,246,300",20.92
"Mar 24, 2016",20.56,22.29,20.23,21.42,"1,592,300",21.42
