Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",155.06,156.12,152.99,153.08,"2,333,700",153.08
"Jun 10, 2016",155.26,156.32,153.64,154.78,"2,612,800",154.78
"Jun 9, 2016",157.76,158.98,156.00,156.78,"2,372,500",156.78
"Jun 8, 2016",158.48,158.94,157.54,158.00,"2,470,100",158.00
"Jun 7, 2016",159.13,159.64,158.28,158.89,"1,891,400",158.89
"Jun 6, 2016",159.58,160.75,158.89,160.19,"1,896,300",160.19
"Jun 3, 2016",159.86,159.99,156.82,159.19,"2,138,600",159.19
"Jun 2, 2016",158.23,159.87,157.95,159.87,"2,386,300",159.87
"Jun 1, 2016",157.61,158.84,156.67,158.05,"1,716,400",158.05
"May 31, 2016",157.42,158.43,156.86,157.95,"3,182,000",157.95
"May 27, 2016",156.20,156.88,155.11,156.74,"1,364,000",156.74
"May 26, 2016",154.92,156.28,154.55,155.55,"1,707,600",155.55
"May 25, 2016",153.54,155.84,153.15,155.57,"3,053,100",155.57
"May 24, 2016",150.71,152.94,150.39,152.72,"2,579,200",152.72
"May 23, 2016",150.04,150.75,149.15,149.30,"1,533,500",149.30
"May 20, 2016",148.92,151.71,148.65,150.18,"3,075,800",150.18
"May 19, 2016",149.45,150.23,147.12,148.67,"3,023,600",148.67
"May 18, 2016",149.91,151.43,149.21,150.83,"3,234,500",150.83
"May 17, 2016",152.45,152.91,149.44,150.11,"4,486,500",150.11
"May 16, 2016",152.35,153.86,151.70,153.27,"2,415,100",153.27
"May 13, 2016",151.22,154.08,151.22,152.35,"2,451,200",152.35
"May 13, 2016",1.00 Dividend,,,,,
"May 12, 2016",154.68,155.00,151.97,152.90,"2,981,600",151.90
"May 11, 2016",157.73,158.25,154.09,154.18,"2,741,800",153.17
"May 10, 2016",155.95,157.50,154.95,157.24,"2,585,000",156.21
"May 9, 2016",153.70,156.08,153.02,155.41,"2,990,100",154.39
"May 6, 2016",153.49,154.45,151.36,153.19,"3,004,800",152.19
"May 5, 2016",154.13,156.21,153.36,154.25,"2,325,400",153.24
"May 4, 2016",155.28,155.86,153.53,154.18,"3,048,400",153.17
"May 3, 2016",158.37,158.46,156.00,156.35,"2,862,900",155.33
"May 2, 2016",158.62,159.42,157.21,158.99,"2,433,700",157.95
"Apr 29, 2016",159.39,161.92,156.38,158.30,"5,386,600",157.26
"Apr 28, 2016",160.22,163.68,159.36,160.56,"3,354,100",159.51
"Apr 27, 2016",162.72,162.90,160.50,161.00,"2,729,500",159.95
"Apr 26, 2016",163.39,163.91,162.02,162.85,"2,156,600",161.78
"Apr 25, 2016",163.15,163.75,162.24,163.46,"1,596,300",162.39
"Apr 22, 2016",164.52,164.70,162.18,163.19,"2,757,200",162.12
"Apr 21, 2016",162.44,164.54,162.03,164.35,"2,348,400",163.28
"Apr 20, 2016",163.02,163.84,161.80,162.76,"2,374,300",161.70
"Apr 19, 2016",160.80,162.50,160.34,162.10,"2,693,000",161.04
"Apr 18, 2016",159.49,162.10,159.40,161.70,"2,081,100",160.64
"Apr 15, 2016",160.15,160.39,158.46,160.13,"2,824,300",159.08
"Apr 14, 2016",159.81,160.77,159.37,160.12,"2,406,800",159.07
"Apr 13, 2016",159.02,160.89,158.23,160.06,"3,860,600",159.01
"Apr 12, 2016",156.14,159.20,156.11,158.60,"2,763,400",157.56
"Apr 11, 2016",156.40,157.75,155.28,156.39,"2,732,800",155.37
"Apr 8, 2016",158.24,159.00,155.42,156.46,"2,522,100",155.44
"Apr 7, 2016",159.05,159.98,156.57,157.38,"3,363,900",156.35
"Apr 6, 2016",154.24,159.85,153.52,159.66,"4,067,000",158.62
"Apr 5, 2016",153.68,155.16,152.62,152.95,"2,604,600",151.95
"Apr 4, 2016",154.00,155.96,153.70,154.66,"2,314,200",153.65
"Apr 1, 2016",150.02,154.44,149.10,154.16,"3,972,200",153.15
"Mar 31, 2016",149.33,150.96,149.13,149.93,"2,799,600",148.95
"Mar 30, 2016",149.61,150.88,148.30,149.48,"2,324,500",148.50
"Mar 29, 2016",148.46,149.69,146.80,149.49,"2,735,700",148.51
"Mar 28, 2016",149.32,150.36,147.32,148.37,"2,111,000",147.40
"Mar 24, 2016",148.76,150.95,147.60,149.24,"3,025,800",148.26
"Mar 23, 2016",150.31,151.91,148.14,148.76,"3,107,600",147.79
"Mar 22, 2016",147.05,150.99,146.83,150.62,"4,213,900",149.63
"Mar 21, 2016",145.30,147.95,145.02,147.01,"3,176,800",146.05
"Mar 18, 2016",144.97,146.40,142.51,145.51,"6,802,600",144.56
"Mar 17, 2016",143.72,145.80,141.84,144.13,"4,899,700",143.19
"Mar 16, 2016",143.00,147.00,141.93,143.98,"6,104,700",143.04
"Mar 15, 2016",144.84,145.30,142.80,143.21,"3,034,200",142.27
"Mar 14, 2016",143.86,145.31,143.19,144.62,"3,013,800",143.67
"Mar 11, 2016",142.95,144.99,142.17,144.57,"4,861,700",143.62
"Mar 10, 2016",142.06,143.48,139.02,141.03,"4,572,900",140.11
"Mar 9, 2016",144.00,144.08,139.91,140.90,"6,075,400",139.98
"Mar 8, 2016",146.89,147.00,144.32,144.63,"3,064,100",143.68
"Mar 7, 2016",144.98,147.87,144.76,147.31,"3,278,800",146.35
"Mar 4, 2016",147.03,147.30,144.54,145.98,"3,471,400",145.03
"Mar 3, 2016",147.22,147.29,145.32,145.84,"2,988,900",144.89
"Mar 2, 2016",148.00,148.63,146.21,147.49,"3,689,900",146.53
"Mar 1, 2016",144.30,148.45,142.28,148.39,"4,477,700",147.42
"Feb 29, 2016",146.96,147.67,142.22,142.28,"5,193,800",141.35
"Feb 26, 2016",148.51,149.50,146.95,147.60,"3,411,500",146.63
"Feb 25, 2016",147.36,148.39,145.26,146.75,"3,446,800",145.79
"Feb 24, 2016",145.50,147.27,143.91,147.11,"3,316,100",146.15
"Feb 23, 2016",148.15,149.72,146.86,147.26,"3,315,200",146.30
"Feb 22, 2016",148.72,149.77,146.94,148.56,"4,603,300",147.59
"Feb 19, 2016",148.98,151.76,148.26,150.12,"2,796,800",149.14
"Feb 18, 2016",150.79,152.36,149.08,149.30,"2,892,100",148.32
"Feb 17, 2016",148.30,151.52,147.40,151.07,"3,811,100",150.08
"Feb 16, 2016",146.89,148.06,145.68,147.15,"3,371,300",146.19
"Feb 12, 2016",143.13,144.97,141.14,144.72,"3,218,000",143.77
"Feb 11, 2016",140.76,143.49,140.04,141.46,"4,374,400",140.53
"Feb 11, 2016",1.00 Dividend,,,,,
"Feb 10, 2016",145.21,147.13,143.96,144.81,"4,273,500",142.87
"Feb 9, 2016",141.02,145.63,140.82,143.16,"4,211,100",141.24
"Feb 8, 2016",143.50,144.57,140.16,143.00,"4,627,300",141.08
"Feb 5, 2016",148.93,149.39,143.69,145.04,"6,451,900",143.10
"Feb 4, 2016",150.50,151.96,148.80,149.91,"3,685,200",147.90
"Feb 3, 2016",150.50,151.18,147.07,150.69,"4,530,600",148.67
"Feb 2, 2016",150.48,151.49,148.48,150.11,"3,881,400",148.10
"Feb 1, 2016",151.31,153.72,149.34,152.75,"4,602,200",150.70
"Jan 29, 2016",149.40,153.00,145.25,152.73,"7,174,400",150.68
"Jan 28, 2016",151.10,151.71,145.42,148.35,"4,246,500",146.36
"Jan 27, 2016",154.89,154.89,148.87,150.47,"3,752,300",148.45
"Jan 26, 2016",152.78,155.23,151.09,153.78,"3,645,500",151.72
"Jan 25, 2016",156.18,158.00,153.00,153.43,"4,765,100",151.37
"Jan 22, 2016",156.45,156.96,154.24,156.08,"4,577,300",153.99
"Jan 21, 2016",154.75,155.02,150.24,152.78,"4,674,000",150.73
"Jan 20, 2016",149.00,156.84,148.05,155.02,"7,338,600",152.94
"Jan 19, 2016",153.45,154.62,148.23,151.30,"4,382,200",149.27
"Jan 15, 2016",147.69,152.30,147.69,151.30,"6,213,000",149.27
"Jan 14, 2016",146.02,155.30,144.57,153.16,"5,649,000",151.11
"Jan 13, 2016",151.14,152.83,145.28,145.46,"3,982,100",143.51
"Jan 12, 2016",148.43,151.24,146.92,150.79,"4,410,600",148.77
"Jan 11, 2016",151.33,151.59,144.17,147.69,"4,747,400",145.71
"Jan 8, 2016",153.12,154.86,150.46,150.71,"4,179,600",148.69
"Jan 7, 2016",153.06,156.45,152.89,152.98,"4,162,500",150.93
"Jan 6, 2016",155.01,157.93,154.90,156.72,"3,826,900",154.62
"Jan 5, 2016",159.00,160.21,157.25,158.17,"2,678,900",156.05
"Jan 4, 2016",159.00,159.22,156.09,158.34,"5,083,200",156.22
"Dec 31, 2015",162.15,164.11,162.05,162.33,"1,775,900",160.15
"Dec 30, 2015",164.63,164.75,162.91,163.29,"1,493,000",161.10
"Dec 29, 2015",162.92,164.96,162.05,164.44,"2,171,100",162.24
"Dec 28, 2015",162.91,163.13,160.60,161.73,"1,513,000",159.56
"Dec 24, 2015",163.70,164.36,162.22,163.55,"943,000",161.36
"Dec 23, 2015",163.03,163.50,161.65,162.72,"2,202,100",160.54
"Dec 22, 2015",160.50,163.37,160.04,162.30,"3,125,500",160.13
"Dec 21, 2015",159.88,160.38,157.38,159.28,"3,818,900",157.15
"Dec 18, 2015",160.50,161.82,158.62,158.80,"6,227,000",156.67
"Dec 17, 2015",164.58,164.99,159.81,161.43,"3,699,400",159.27
"Dec 16, 2015",164.31,165.23,162.10,164.58,"3,923,600",162.37
"Dec 15, 2015",161.65,164.45,161.56,162.62,"5,336,000",160.44
"Dec 14, 2015",155.98,158.34,153.43,158.11,"2,780,600",155.99
"Dec 11, 2015",157.82,158.78,154.79,155.15,"3,005,700",153.07
"Dec 10, 2015",158.97,160.85,157.00,159.67,"2,814,000",157.53
"Dec 9, 2015",158.35,159.81,156.12,157.89,"2,995,600",155.77
"Dec 8, 2015",156.61,160.67,156.04,159.35,"2,249,200",157.21
"Dec 7, 2015",162.91,162.97,157.54,158.30,"3,566,700",156.18
"Dec 4, 2015",154.96,161.95,154.95,161.43,"3,920,900",159.27
"Dec 3, 2015",160.27,160.52,153.71,154.65,"4,468,600",152.58
"Dec 2, 2015",161.62,162.39,160.10,160.52,"2,871,600",158.37
"Dec 1, 2015",162.71,163.43,160.52,161.98,"2,429,000",159.81
"Nov 30, 2015",163.49,164.00,160.36,161.10,"2,982,600",158.94
"Nov 27, 2015",164.76,165.00,163.14,163.52,"1,052,400",161.33
"Nov 25, 2015",163.05,164.59,162.71,163.95,"2,134,200",161.75
"Nov 24, 2015",161.01,163.34,161.00,162.78,"3,687,000",160.60
"Nov 23, 2015",159.63,163.13,159.63,162.47,"4,168,400",160.29
"Nov 20, 2015",160.74,161.34,159.55,159.91,"2,728,000",157.77
"Nov 19, 2015",159.89,161.52,158.83,159.49,"2,041,000",157.35
"Nov 18, 2015",158.11,161.12,156.35,160.92,"2,975,800",158.76
"Nov 17, 2015",154.91,159.13,153.70,157.60,"3,644,300",155.49
"Nov 16, 2015",152.02,154.78,151.10,154.50,"2,443,200",152.43
"Nov 13, 2015",150.68,153.52,148.00,151.55,"3,855,000",149.52
"Nov 12, 2015",155.94,157.70,150.82,150.98,"4,767,200",148.96
"Nov 12, 2015",0.79 Dividend,,,,,
"Nov 11, 2015",159.26,159.57,156.76,156.86,"1,920,400",153.98
"Nov 10, 2015",160.25,161.17,158.05,158.37,"2,871,300",155.46
"Nov 9, 2015",159.75,160.61,158.32,159.63,"2,722,200",156.70
"Nov 6, 2015",160.87,160.87,156.84,160.46,"3,344,000",157.51
"Nov 5, 2015",162.20,162.48,158.82,161.22,"2,202,400",158.26
"Nov 4, 2015",162.85,163.99,160.77,161.88,"3,059,500",158.91
"Nov 3, 2015",160.97,163.15,160.50,162.46,"2,411,500",159.48
"Nov 2, 2015",159.01,162.75,158.37,162.31,"3,222,500",159.33
"Oct 30, 2015",161.06,162.00,158.13,158.18,"4,589,700",155.27
"Oct 29, 2015",164.99,165.00,158.94,160.58,"4,870,200",157.63
"Oct 28, 2015",162.72,162.87,158.73,162.67,"4,878,900",159.68
"Oct 27, 2015",158.58,162.12,157.83,161.98,"3,877,200",159.00
"Oct 26, 2015",156.00,159.91,154.65,158.58,"4,346,600",155.67
"Oct 23, 2015",153.61,156.20,151.86,155.75,"3,657,300",152.89
"Oct 22, 2015",152.10,152.94,148.57,152.31,"4,079,800",149.51
"Oct 21, 2015",152.37,152.75,147.30,150.09,"3,832,600",147.33
