Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",16.03,16.20,15.72,15.94,"240,700",15.94
"Jun 10, 2016",16.35,16.44,15.94,16.13,"317,100",16.13
"Jun 9, 2016",16.19,16.45,16.07,16.43,"338,900",16.43
"Jun 8, 2016",16.25,16.25,15.91,16.21,"257,400",16.21
"Jun 7, 2016",16.10,16.30,15.53,16.21,"601,500",16.21
"Jun 6, 2016",15.79,16.10,15.48,16.07,"294,300",16.07
"Jun 3, 2016",16.00,16.00,15.43,15.78,"315,200",15.78
"Jun 2, 2016",15.89,16.00,15.84,16.00,"278,600",16.00
"Jun 1, 2016",15.50,15.98,15.33,15.85,"418,800",15.85
"May 31, 2016",15.75,15.93,15.68,15.73,"362,900",15.73
"May 27, 2016",15.47,15.85,15.39,15.75,"386,000",15.75
"May 26, 2016",15.49,15.50,15.24,15.44,"172,800",15.44
"May 25, 2016",15.50,15.60,15.09,15.49,"269,200",15.49
"May 24, 2016",15.25,15.49,15.07,15.48,"314,000",15.48
"May 23, 2016",15.39,15.47,14.92,15.06,"303,300",15.06
"May 20, 2016",14.31,15.47,14.25,15.43,"644,200",15.43
"May 19, 2016",13.99,14.32,13.80,14.28,"354,900",14.28
"May 18, 2016",13.60,14.08,13.38,14.06,"364,900",14.06
"May 17, 2016",13.49,13.79,13.37,13.66,"298,800",13.66
"May 16, 2016",12.98,13.50,12.98,13.46,"284,100",13.46
"May 13, 2016",12.50,13.02,12.27,12.98,"162,800",12.98
"May 12, 2016",12.91,12.91,12.41,12.55,"255,800",12.55
"May 11, 2016",12.98,13.41,12.81,12.82,"279,300",12.82
"May 10, 2016",12.08,13.34,12.05,12.99,"588,900",12.99
"May 9, 2016",11.73,12.06,11.70,11.85,"190,500",11.85
"May 6, 2016",11.80,12.05,11.41,11.72,"211,800",11.72
"May 5, 2016",12.00,12.11,11.80,11.82,"120,500",11.82
"May 4, 2016",12.17,12.28,11.92,11.93,"133,900",11.93
"May 3, 2016",12.23,12.59,12.05,12.25,"139,500",12.25
"May 2, 2016",12.38,12.38,11.97,12.29,"181,000",12.29
"Apr 29, 2016",12.53,12.61,12.25,12.30,"147,800",12.30
"Apr 28, 2016",12.48,12.80,12.31,12.56,"175,200",12.56
"Apr 27, 2016",12.76,12.84,12.48,12.50,"123,000",12.50
"Apr 26, 2016",12.76,12.92,12.48,12.77,"136,100",12.77
"Apr 25, 2016",13.11,13.19,12.70,12.76,"132,000",12.76
