Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",14.54,14.61,14.15,14.31,"249,500",14.31
"Jun 10, 2016",14.71,14.96,14.33,14.59,"206,700",14.59
"Jun 9, 2016",15.01,15.15,14.71,14.87,"324,900",14.87
"Jun 8, 2016",14.73,15.12,14.44,15.06,"189,100",15.06
"Jun 7, 2016",14.86,14.91,14.67,14.73,"114,500",14.73
"Jun 6, 2016",14.71,15.09,14.45,14.95,"159,900",14.95
"Jun 3, 2016",14.88,14.89,14.61,14.70,"161,200",14.70
"Jun 2, 2016",14.82,15.14,14.73,14.96,"258,500",14.96
"Jun 1, 2016",14.53,14.90,14.40,14.82,"182,400",14.82
"May 31, 2016",14.49,14.62,14.38,14.52,"191,600",14.52
"May 27, 2016",14.16,14.41,13.98,14.40,"136,500",14.40
"May 26, 2016",14.28,14.31,13.88,14.09,"164,700",14.09
"May 25, 2016",14.20,14.35,14.08,14.32,"187,900",14.32
"May 24, 2016",13.93,14.24,13.90,14.16,"105,000",14.16
"May 23, 2016",13.77,14.17,13.74,13.78,"167,000",13.78
"May 20, 2016",13.64,13.91,13.64,13.72,"132,600",13.72
"May 19, 2016",13.81,13.90,13.50,13.57,"144,300",13.57
"May 18, 2016",13.54,13.90,13.43,13.88,"246,100",13.88
"May 17, 2016",12.98,13.61,12.96,13.54,"1,211,000",13.54
"May 16, 2016",12.69,13.19,12.68,12.78,"714,800",12.78
"May 13, 2016",12.78,12.96,12.51,12.58,"281,300",12.58
"May 12, 2016",13.12,13.22,12.45,12.79,"1,197,000",12.79
"May 11, 2016",13.13,13.67,12.90,13.02,"499,700",13.02
"May 10, 2016",13.48,13.81,12.77,13.29,"1,344,400",13.29
"May 9, 2016",14.36,14.72,14.28,14.39,"288,100",14.39
"May 6, 2016",14.91,15.16,14.19,14.30,"396,500",14.30
"May 5, 2016",14.89,15.30,14.83,15.04,"622,200",15.04
"May 4, 2016",14.84,14.96,14.62,14.76,"291,400",14.76
"May 3, 2016",15.10,15.16,14.74,14.97,"156,200",14.97
"May 2, 2016",15.13,15.24,14.88,15.20,"183,000",15.20
"Apr 29, 2016",15.34,15.34,14.98,15.05,"134,900",15.05
"Apr 28, 2016",15.55,15.73,15.32,15.42,"274,000",15.42
"Apr 27, 2016",15.74,15.80,15.51,15.60,"237,900",15.60
"Apr 26, 2016",15.85,15.95,15.55,15.74,"230,400",15.74
"Apr 25, 2016",15.95,16.07,15.79,15.86,"173,300",15.86
"Apr 22, 2016",16.07,16.27,15.85,15.96,"147,200",15.96
"Apr 21, 2016",15.79,16.09,15.74,16.05,"679,400",16.05
"Apr 20, 2016",15.80,16.03,15.63,15.85,"220,500",15.85
"Apr 19, 2016",16.07,16.07,15.68,15.78,"572,600",15.78
"Apr 18, 2016",16.29,16.36,15.88,16.08,"187,000",16.08
"Apr 15, 2016",16.06,16.42,15.66,16.39,"346,200",16.39
