Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",2.12,2.17,2.06,2.13,"1,068,600",2.13
"Jun 10, 2016",2.19,2.20,2.10,2.12,"1,075,900",2.12
"Jun 9, 2016",2.27,2.29,2.17,2.21,"990,800",2.21
"Jun 8, 2016",2.35,2.35,2.20,2.27,"1,417,600",2.27
"Jun 7, 2016",2.28,2.35,2.19,2.31,"1,763,800",2.31
"Jun 6, 2016",2.25,2.29,2.18,2.28,"1,321,100",2.28
"Jun 3, 2016",2.20,2.28,2.10,2.23,"2,315,500",2.23
"Jun 2, 2016",2.09,2.25,2.07,2.22,"2,483,100",2.22
"Jun 1, 2016",2.14,2.14,2.01,2.08,"1,963,400",2.08
"May 31, 2016",1.88,2.13,1.87,2.08,"5,431,900",2.08
"May 27, 2016",1.84,1.86,1.80,1.86,"462,800",1.86
"May 26, 2016",1.85,1.87,1.80,1.83,"620,400",1.83
"May 25, 2016",1.83,1.87,1.79,1.85,"560,100",1.85
"May 24, 2016",1.82,1.85,1.77,1.83,"590,200",1.83
"May 23, 2016",1.74,1.85,1.73,1.82,"864,100",1.82
"May 20, 2016",1.69,1.83,1.68,1.72,"1,348,000",1.72
"May 19, 2016",1.69,1.72,1.66,1.68,"314,800",1.68
"May 18, 2016",1.67,1.75,1.66,1.70,"345,600",1.70
"May 17, 2016",1.66,1.76,1.65,1.68,"651,700",1.68
"May 16, 2016",1.64,1.68,1.60,1.67,"399,300",1.67
"May 13, 2016",1.54,1.66,1.53,1.61,"652,200",1.61
"May 12, 2016",1.59,1.62,1.50,1.55,"684,400",1.55
"May 11, 2016",1.60,1.64,1.56,1.57,"488,800",1.57
"May 10, 2016",1.62,1.64,1.54,1.62,"419,100",1.62
"May 9, 2016",1.50,1.68,1.50,1.63,"1,092,600",1.63
"May 6, 2016",1.65,1.68,1.50,1.52,"1,488,500",1.52
"May 5, 2016",1.75,1.78,1.60,1.65,"1,596,100",1.65
"May 4, 2016",1.88,1.92,1.80,1.80,"1,044,300",1.80
"May 3, 2016",1.96,1.99,1.86,1.90,"1,084,800",1.90
"May 2, 2016",1.83,1.94,1.83,1.94,"758,900",1.94
"Apr 29, 2016",1.85,1.89,1.82,1.83,"857,200",1.83
"Apr 28, 2016",1.85,1.96,1.82,1.85,"957,600",1.85
"Apr 27, 2016",1.87,1.89,1.84,1.85,"627,100",1.85
"Apr 26, 2016",1.92,1.93,1.82,1.85,"956,900",1.85
"Apr 25, 2016",1.90,1.91,1.85,1.90,"651,300",1.90
"Apr 22, 2016",1.90,1.90,1.83,1.88,"688,800",1.88
"Apr 21, 2016",1.78,1.85,1.75,1.85,"1,209,000",1.85
"Apr 20, 2016",1.76,1.80,1.75,1.76,"564,300",1.76
"Apr 19, 2016",1.78,1.83,1.73,1.75,"881,500",1.75
"Apr 18, 2016",1.74,1.78,1.72,1.78,"457,600",1.78
"Apr 15, 2016",1.77,1.77,1.72,1.73,"577,400",1.73
"Apr 14, 2016",1.75,1.78,1.73,1.76,"343,900",1.76
"Apr 13, 2016",1.72,1.76,1.71,1.74,"511,600",1.74
"Apr 12, 2016",1.70,1.75,1.66,1.73,"428,100",1.73
"Apr 11, 2016",1.71,1.75,1.70,1.71,"735,100",1.71
"Apr 8, 2016",1.70,1.76,1.65,1.71,"636,200",1.71
"Apr 7, 2016",1.63,1.74,1.62,1.70,"4,278,300",1.70
"Apr 6, 2016",1.59,1.61,1.55,1.61,"822,800",1.61
"Apr 5, 2016",1.58,1.61,1.55,1.58,"522,900",1.58
"Apr 4, 2016",1.58,1.62,1.55,1.60,"604,200",1.60
"Apr 1, 2016",1.51,1.59,1.45,1.58,"697,300",1.58
"Mar 31, 2016",1.51,1.53,1.44,1.53,"1,925,400",1.53
"Mar 30, 2016",1.48,1.58,1.48,1.50,"607,400",1.50
"Mar 29, 2016",1.44,1.50,1.41,1.49,"373,400",1.49
"Mar 28, 2016",1.46,1.48,1.42,1.43,"294,200",1.43
"Mar 24, 2016",1.45,1.46,1.40,1.45,"492,700",1.45
"Mar 23, 2016",1.51,1.54,1.44,1.45,"506,500",1.45
"Mar 22, 2016",1.49,1.53,1.48,1.51,"395,100",1.51
"Mar 21, 2016",1.45,1.53,1.43,1.52,"821,300",1.52
"Mar 18, 2016",1.40,1.45,1.38,1.44,"1,267,300",1.44
"Mar 17, 2016",1.44,1.51,1.37,1.39,"1,318,300",1.39
"Mar 16, 2016",1.50,1.57,1.45,1.46,"626,400",1.46
"Mar 15, 2016",1.62,1.63,1.46,1.49,"1,243,400",1.49
"Mar 14, 2016",1.61,1.65,1.58,1.63,"370,600",1.63
"Mar 11, 2016",1.54,1.62,1.53,1.62,"516,900",1.62
"Mar 10, 2016",1.66,1.70,1.52,1.53,"1,310,200",1.53
"Mar 9, 2016",1.70,1.70,1.62,1.62,"1,637,600",1.62
"Mar 8, 2016",1.57,1.61,1.54,1.55,"429,700",1.55
"Mar 7, 2016",1.53,1.58,1.52,1.57,"701,300",1.57
"Mar 4, 2016",1.49,1.57,1.49,1.53,"419,900",1.53
"Mar 3, 2016",1.52,1.53,1.49,1.50,"555,600",1.50
"Mar 2, 2016",1.49,1.52,1.48,1.51,"543,000",1.51
"Mar 1, 2016",1.46,1.49,1.42,1.48,"527,100",1.48
"Feb 29, 2016",1.47,1.50,1.44,1.46,"506,100",1.46
"Feb 26, 2016",1.43,1.45,1.39,1.45,"729,500",1.45
"Feb 25, 2016",1.54,1.55,1.41,1.41,"925,400",1.41
"Feb 24, 2016",1.37,1.43,1.34,1.43,"484,700",1.43
"Feb 23, 2016",1.40,1.44,1.37,1.37,"406,000",1.37
"Feb 22, 2016",1.37,1.45,1.36,1.43,"435,000",1.43
"Feb 19, 2016",1.35,1.39,1.32,1.36,"360,400",1.36
"Feb 18, 2016",1.42,1.47,1.33,1.34,"420,600",1.34
"Feb 17, 2016",1.35,1.39,1.34,1.39,"685,400",1.39
"Feb 16, 2016",1.26,1.35,1.26,1.32,"1,165,200",1.32
"Feb 12, 2016",1.27,1.31,1.25,1.27,"810,400",1.27
"Feb 11, 2016",1.30,1.32,1.24,1.27,"933,900",1.27
"Feb 10, 2016",1.30,1.35,1.30,1.32,"466,900",1.32
"Feb 9, 2016",1.30,1.36,1.25,1.28,"447,400",1.28
"Feb 8, 2016",1.36,1.40,1.28,1.30,"971,500",1.30
"Feb 5, 2016",1.46,1.51,1.36,1.38,"654,900",1.38
"Feb 4, 2016",1.36,1.51,1.35,1.45,"1,182,500",1.45
"Feb 3, 2016",1.43,1.45,1.32,1.36,"832,300",1.36
"Feb 2, 2016",1.40,1.44,1.36,1.37,"490,900",1.37
"Feb 1, 2016",1.35,1.50,1.32,1.40,"1,166,300",1.40
"Jan 29, 2016",1.43,1.45,1.27,1.36,"1,773,100",1.36
"Jan 28, 2016",1.58,1.58,1.38,1.41,"1,769,000",1.41
"Jan 27, 2016",1.60,1.62,1.54,1.54,"457,100",1.54
"Jan 26, 2016",1.59,1.64,1.53,1.59,"405,100",1.59
"Jan 25, 2016",1.62,1.71,1.58,1.58,"454,700",1.58
