Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",99.14,99.30,99.08,99.10,"4,308,900",99.10
"Jun 10, 2016",99.10,99.28,99.08,99.17,"2,522,600",99.17
"Jun 9, 2016",99.21,99.34,99.00,99.08,"3,530,000",99.08
"Jun 8, 2016",99.27,99.29,99.17,99.19,"2,466,900",99.19
"Jun 7, 2016",99.24,99.33,99.14,99.21,"2,492,600",99.21
"Jun 6, 2016",99.28,99.58,99.12,99.15,"2,488,400",99.15
"Jun 3, 2016",99.28,99.42,99.19,99.30,"3,468,500",99.30
"Jun 2, 2016",99.43,99.50,99.22,99.30,"2,778,200",99.30
"Jun 1, 2016",99.28,99.57,99.24,99.40,"1,868,400",99.40
"May 31, 2016",99.41,99.74,99.15,99.30,"2,757,100",99.30
"May 27, 2016",99.76,99.99,99.17,99.43,"2,204,100",99.43
"May 26, 2016",99.27,100.47,99.25,100.07,"4,537,200",100.07
"May 25, 2016",99.56,99.60,99.21,99.24,"5,718,900",99.24
"May 24, 2016",99.49,99.67,99.34,99.43,"3,326,700",99.43
"May 23, 2016",99.39,99.79,99.31,99.39,"2,138,300",99.39
"May 20, 2016",99.52,99.97,99.30,99.66,"3,383,400",99.66
"May 19, 2016",99.59,99.67,99.24,99.49,"9,259,200",99.49
"May 18, 2016",100.14,100.19,99.25,99.56,"5,940,800",99.56
"May 17, 2016",99.81,100.50,99.57,99.99,"4,716,400",99.99
"May 16, 2016",98.96,101.08,98.81,100.67,"17,293,800",100.67
"May 13, 2016",61.57,65.48,60.85,64.03,"670,700",64.03
"May 12, 2016",65.34,65.60,60.65,61.44,"982,500",61.44
"May 11, 2016",68.85,69.31,65.08,65.55,"817,300",65.55
"May 10, 2016",61.49,69.59,61.01,68.98,"1,853,400",68.98
"May 9, 2016",58.53,66.51,57.17,62.55,"1,705,400",62.55
"May 6, 2016",58.18,60.36,55.41,58.70,"1,458,100",58.70
"May 5, 2016",61.78,62.01,57.84,58.59,"1,010,100",58.59
"May 4, 2016",64.31,64.75,59.34,61.33,"815,600",61.33
"May 3, 2016",65.16,66.17,64.33,64.61,"741,400",64.61
"May 2, 2016",63.37,66.35,62.69,66.08,"701,400",66.08
"Apr 29, 2016",66.33,66.63,62.12,62.74,"813,300",62.74
"Apr 28, 2016",66.83,68.80,65.54,66.26,"685,800",66.26
"Apr 27, 2016",67.34,68.33,65.83,67.08,"812,900",67.08
"Apr 26, 2016",65.93,68.70,64.05,68.01,"1,198,000",68.01
"Apr 25, 2016",63.80,66.46,62.89,65.99,"664,400",65.99
"Apr 22, 2016",63.30,64.35,62.28,64.25,"694,300",64.25
"Apr 21, 2016",61.00,64.23,60.54,62.99,"855,200",62.99
"Apr 20, 2016",60.67,62.24,59.82,60.96,"823,600",60.96
"Apr 19, 2016",67.25,67.40,58.05,60.46,"2,215,800",60.46
"Apr 18, 2016",63.93,67.41,63.50,66.81,"767,600",66.81
"Apr 15, 2016",64.82,65.46,63.77,64.71,"364,100",64.71
"Apr 14, 2016",63.73,65.83,62.62,65.36,"620,900",65.36
"Apr 13, 2016",62.62,63.67,61.50,63.47,"734,400",63.47
"Apr 12, 2016",65.07,65.69,60.21,62.39,"1,117,000",62.39
"Apr 11, 2016",68.11,69.15,64.97,65.10,"1,026,200",65.10
"Apr 8, 2016",70.50,71.74,65.74,67.94,"1,106,600",67.94
"Apr 7, 2016",74.18,77.47,68.70,69.30,"2,180,700",69.30
"Apr 6, 2016",63.17,74.48,63.04,73.20,"2,693,300",73.20
"Apr 5, 2016",61.01,65.48,60.79,62.86,"1,314,000",62.86
"Apr 4, 2016",57.36,62.73,57.20,61.51,"1,479,500",61.51
"Apr 1, 2016",53.00,58.23,52.00,57.08,"3,723,700",57.08
"Mar 31, 2016",54.75,56.66,52.90,53.45,"4,211,700",53.45
"Mar 30, 2016",59.39,61.60,57.05,58.66,"707,600",58.66
"Mar 29, 2016",58.19,58.81,56.05,58.58,"568,000",58.58
