Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",51.97,55.71,51.55,53.19,"266,300",53.19
"Jun 10, 2016",53.07,53.50,51.44,52.05,"216,000",52.05
"Jun 9, 2016",55.44,56.12,53.56,53.69,"218,300",53.69
"Jun 8, 2016",55.63,56.06,54.96,55.80,"148,800",55.80
"Jun 7, 2016",55.25,56.40,54.50,55.52,"138,800",55.52
"Jun 6, 2016",55.03,56.26,53.93,55.76,"176,500",55.76
"Jun 3, 2016",56.23,56.52,53.20,54.57,"207,000",54.57
"Jun 2, 2016",54.44,56.66,54.06,56.15,"189,800",56.15
"Jun 1, 2016",54.19,56.06,53.84,54.75,"403,300",54.75
"May 31, 2016",53.01,54.66,52.63,54.15,"242,100",54.15
"May 27, 2016",51.80,52.88,51.22,52.28,"111,700",52.28
"May 26, 2016",52.00,52.32,51.03,51.65,"124,000",51.65
"May 25, 2016",50.39,52.25,50.00,52.05,"209,400",52.05
"May 24, 2016",49.69,50.52,48.70,50.09,"177,100",50.09
"May 23, 2016",49.71,50.90,49.04,49.20,"181,400",49.20
"May 20, 2016",47.98,49.94,47.50,49.54,"151,200",49.54
"May 19, 2016",47.61,48.60,46.42,47.69,"158,600",47.69
"May 18, 2016",46.03,48.35,45.80,47.90,"163,100",47.90
"May 17, 2016",46.50,47.29,45.16,46.36,"220,700",46.36
"May 16, 2016",45.95,46.42,44.71,45.99,"160,500",45.99
"May 13, 2016",44.01,46.28,44.01,45.50,"197,800",45.50
"May 12, 2016",45.57,45.57,43.42,44.13,"165,400",44.13
"May 11, 2016",46.01,47.01,45.10,45.20,"128,400",45.20
"May 10, 2016",45.62,46.65,44.75,46.14,"148,400",46.14
"May 9, 2016",46.58,47.40,45.15,45.42,"171,100",45.42
"May 6, 2016",46.16,47.64,45.72,46.49,"318,400",46.49
"May 5, 2016",44.98,47.57,42.37,46.67,"440,400",46.67
"May 4, 2016",45.24,45.73,43.45,43.68,"249,300",43.68
"May 3, 2016",45.71,46.44,45.00,45.84,"216,300",45.84
"May 2, 2016",45.59,46.28,44.49,46.11,"195,200",46.11
"Apr 29, 2016",46.55,46.66,44.85,45.47,"229,400",45.47
"Apr 28, 2016",46.96,47.80,46.46,46.66,"149,700",46.66
"Apr 27, 2016",47.37,47.71,45.41,47.29,"206,300",47.29
"Apr 26, 2016",47.79,49.10,46.96,47.72,"210,600",47.72
"Apr 25, 2016",47.96,49.02,46.89,47.77,"134,200",47.77
"Apr 22, 2016",48.53,49.52,47.85,48.24,"201,400",48.24
"Apr 21, 2016",47.01,49.35,46.28,48.58,"198,600",48.58
"Apr 20, 2016",46.17,47.24,45.86,47.01,"214,100",47.01
"Apr 19, 2016",44.71,46.55,44.29,46.32,"252,400",46.32
"Apr 18, 2016",42.91,45.05,42.45,44.76,"181,200",44.76
"Apr 15, 2016",42.90,43.50,42.35,43.25,"135,900",43.25
"Apr 14, 2016",42.70,43.66,42.32,43.10,"152,100",43.10
"Apr 13, 2016",40.92,42.92,40.67,42.85,"362,700",42.85
"Apr 12, 2016",40.29,41.00,39.79,40.27,"159,100",40.27
"Apr 11, 2016",41.03,41.14,40.06,40.42,"152,900",40.42
"Apr 8, 2016",41.39,41.41,40.00,40.57,"201,600",40.57
"Apr 7, 2016",40.74,41.87,40.10,40.59,"497,600",40.59
"Apr 6, 2016",36.53,41.44,36.49,40.97,"392,200",40.97
"Apr 5, 2016",36.57,37.54,35.87,36.32,"217,800",36.32
"Apr 4, 2016",36.71,39.24,36.63,36.91,"820,100",36.91
"Apr 1, 2016",33.36,34.22,32.46,33.94,"196,800",33.94
"Mar 31, 2016",32.54,34.08,32.40,33.66,"259,500",33.66
"Mar 30, 2016",32.71,33.92,31.60,32.33,"219,800",32.33
"Mar 29, 2016",31.53,32.51,30.60,32.40,"232,900",32.40
"Mar 28, 2016",32.80,32.80,31.35,31.55,"308,700",31.55
"Mar 24, 2016",32.68,33.25,32.10,32.55,"209,600",32.55
"Mar 23, 2016",34.13,34.98,32.88,32.99,"235,600",32.99
"Mar 22, 2016",32.92,34.99,32.92,34.68,"152,500",34.68
"Mar 21, 2016",31.80,34.10,31.80,33.25,"227,700",33.25
"Mar 18, 2016",31.75,32.79,31.00,32.04,"695,900",32.04
"Mar 17, 2016",31.34,32.00,30.15,31.60,"297,400",31.60
"Mar 16, 2016",33.04,33.89,30.81,31.47,"234,900",31.47
"Mar 15, 2016",34.78,34.86,32.55,33.21,"286,600",33.21
"Mar 14, 2016",36.18,36.79,35.06,35.24,"185,900",35.24
"Mar 11, 2016",34.76,36.27,34.23,36.16,"225,400",36.16
"Mar 10, 2016",34.99,35.75,33.45,34.08,"224,100",34.08
"Mar 9, 2016",35.12,35.34,33.87,34.71,"231,800",34.71
"Mar 8, 2016",36.07,36.40,34.73,34.84,"168,800",34.84
"Mar 7, 2016",35.05,36.70,34.70,36.37,"178,200",36.37
"Mar 4, 2016",35.45,36.45,34.57,35.20,"174,800",35.20
"Mar 3, 2016",35.43,35.67,34.49,35.45,"208,300",35.45
"Mar 2, 2016",34.17,35.78,33.43,35.54,"323,500",35.54
"Mar 1, 2016",33.39,34.27,32.57,34.26,"120,300",34.26
"Feb 29, 2016",33.62,33.91,32.54,33.06,"150,400",33.06
"Feb 26, 2016",33.96,34.76,33.53,33.94,"124,500",33.94
"Feb 25, 2016",34.23,34.90,33.10,33.66,"170,600",33.66
"Feb 24, 2016",33.46,34.74,32.00,34.26,"380,100",34.26
"Feb 23, 2016",31.70,36.55,31.63,34.33,"598,400",34.33
"Feb 22, 2016",31.01,31.61,30.52,31.40,"227,400",31.40
"Feb 19, 2016",30.11,30.95,30.00,30.44,"142,800",30.44
"Feb 18, 2016",31.35,31.91,30.25,30.29,"277,000",30.29
"Feb 17, 2016",30.00,31.01,29.74,30.86,"230,800",30.86
"Feb 16, 2016",29.42,30.40,29.42,29.67,"197,700",29.67
"Feb 12, 2016",29.29,29.29,27.81,29.01,"106,000",29.01
"Feb 11, 2016",28.07,29.03,27.00,28.47,"146,000",28.47
"Feb 10, 2016",29.36,30.39,28.62,28.81,"205,000",28.81
"Feb 9, 2016",27.42,29.72,26.80,28.94,"148,600",28.94
"Feb 8, 2016",30.14,30.28,27.53,28.09,"202,500",28.09
"Feb 5, 2016",31.99,32.17,30.18,30.61,"186,300",30.61
"Feb 4, 2016",31.50,33.33,31.17,32.19,"123,200",32.19
