Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.38,3.60,3.35,3.41,"448,800",3.41
"Jun 10, 2016",3.46,3.58,3.30,3.40,"558,100",3.40
"Jun 9, 2016",3.72,3.77,3.44,3.52,"571,600",3.52
"Jun 8, 2016",3.82,3.92,3.70,3.73,"476,400",3.73
"Jun 7, 2016",3.80,3.98,3.78,3.82,"369,700",3.82
"Jun 6, 2016",3.75,3.83,3.61,3.80,"322,800",3.80
"Jun 3, 2016",3.80,3.88,3.66,3.74,"369,100",3.74
"Jun 2, 2016",3.60,3.82,3.55,3.81,"574,400",3.81
"Jun 1, 2016",3.68,3.74,3.58,3.62,"456,300",3.62
"May 31, 2016",3.51,3.80,3.51,3.68,"458,100",3.68
"May 27, 2016",3.53,3.61,3.46,3.49,"371,600",3.49
"May 26, 2016",3.61,3.70,3.43,3.54,"450,800",3.54
"May 25, 2016",3.63,3.76,3.58,3.65,"468,500",3.65
"May 24, 2016",3.63,3.67,3.54,3.58,"305,100",3.58
"May 23, 2016",3.61,3.78,3.29,3.60,"384,800",3.60
"May 20, 2016",3.37,3.64,3.34,3.60,"395,300",3.60
"May 19, 2016",3.34,3.45,3.23,3.36,"316,000",3.36
"May 18, 2016",3.38,3.52,3.28,3.36,"408,100",3.36
"May 17, 2016",3.43,3.59,3.35,3.40,"596,600",3.40
"May 16, 2016",3.26,3.44,3.22,3.44,"402,800",3.44
"May 13, 2016",3.11,3.34,3.07,3.25,"261,700",3.25
"May 12, 2016",3.38,3.46,3.02,3.14,"451,300",3.14
"May 11, 2016",3.49,3.52,3.36,3.36,"437,200",3.36
"May 10, 2016",3.15,3.50,3.06,3.50,"605,000",3.50
"May 9, 2016",2.91,3.17,2.69,3.12,"683,800",3.12
"May 6, 2016",3.08,3.12,2.89,3.02,"705,000",3.02
"May 5, 2016",3.24,3.31,3.03,3.12,"580,500",3.12
"May 4, 2016",3.51,3.54,3.21,3.22,"654,800",3.22
"May 3, 2016",3.53,3.73,3.47,3.56,"358,300",3.56
"May 2, 2016",3.70,3.70,3.45,3.57,"432,700",3.57
"Apr 29, 2016",3.77,3.86,3.60,3.70,"503,200",3.70
"Apr 28, 2016",3.77,4.00,3.62,3.80,"397,500",3.80
"Apr 27, 2016",3.95,3.95,3.75,3.80,"303,500",3.80
"Apr 26, 2016",4.21,4.21,3.86,3.97,"382,400",3.97
"Apr 25, 2016",4.32,4.37,4.08,4.16,"317,400",4.16
"Apr 22, 2016",4.31,4.40,4.15,4.27,"398,500",4.27
"Apr 21, 2016",3.88,4.34,3.87,4.31,"870,100",4.31
"Apr 20, 2016",3.80,3.94,3.70,3.86,"400,500",3.86
"Apr 19, 2016",4.02,4.05,3.66,3.77,"470,900",3.77
"Apr 18, 2016",3.85,4.04,3.82,3.97,"420,000",3.97
"Apr 15, 2016",3.82,3.95,3.71,3.85,"275,800",3.85
"Apr 14, 2016",3.74,3.89,3.71,3.83,"500,600",3.83
"Apr 13, 2016",3.54,3.79,3.51,3.72,"490,300",3.72
"Apr 12, 2016",3.47,3.63,3.43,3.51,"467,600",3.51
"Apr 11, 2016",3.86,3.94,3.45,3.49,"952,600",3.49
"Apr 8, 2016",4.13,4.19,3.79,3.84,"806,800",3.84
"Apr 7, 2016",4.13,4.32,4.00,4.06,"1,074,200",4.06
"Apr 6, 2016",3.88,4.20,3.86,4.14,"774,500",4.14
"Apr 5, 2016",3.83,4.00,3.80,3.85,"436,800",3.85
"Apr 4, 2016",3.75,4.06,3.71,3.87,"790,500",3.87
"Apr 1, 2016",3.61,3.76,3.54,3.71,"510,200",3.71
"Mar 31, 2016",3.55,3.75,3.46,3.62,"551,400",3.62
"Mar 30, 2016",3.70,3.78,3.41,3.51,"550,300",3.51
"Mar 29, 2016",3.46,3.69,3.33,3.60,"614,500",3.60
"Mar 28, 2016",3.58,3.63,3.32,3.46,"352,900",3.46
"Mar 24, 2016",3.38,3.53,3.25,3.46,"441,600",3.46
"Mar 23, 2016",3.77,3.77,3.38,3.43,"757,300",3.43
"Mar 22, 2016",3.60,3.81,3.51,3.72,"406,300",3.72
"Mar 21, 2016",3.78,3.98,3.65,3.67,"472,900",3.67
"Mar 18, 2016",3.72,3.88,3.51,3.80,"745,800",3.80
"Mar 17, 2016",3.69,3.91,3.50,3.66,"603,600",3.66
"Mar 16, 2016",3.62,3.82,3.58,3.68,"242,600",3.68
"Mar 15, 2016",4.00,4.16,3.62,3.65,"628,100",3.65
"Mar 14, 2016",4.18,4.37,4.10,4.19,"409,100",4.19
"Mar 11, 2016",4.20,4.56,3.80,4.20,"1,305,300",4.20
"Mar 10, 2016",4.72,4.90,4.04,4.14,"1,103,200",4.14
"Mar 9, 2016",4.40,4.81,4.34,4.66,"1,039,900",4.66
"Mar 8, 2016",4.25,4.42,4.10,4.35,"989,900",4.35
"Mar 7, 2016",3.71,4.46,3.66,4.27,"992,000",4.27
"Mar 4, 2016",3.63,3.86,3.51,3.75,"530,700",3.75
"Mar 3, 2016",3.68,3.87,3.56,3.63,"626,800",3.63
"Mar 2, 2016",3.08,3.55,3.07,3.54,"1,030,900",3.54
"Mar 1, 2016",3.07,3.15,2.91,3.07,"446,300",3.07
"Feb 29, 2016",3.02,3.17,2.99,3.03,"306,000",3.03
"Feb 26, 2016",2.95,3.06,2.89,3.03,"322,200",3.03
"Feb 25, 2016",2.99,3.06,2.85,2.92,"334,900",2.92
"Feb 24, 2016",2.91,3.04,2.78,2.99,"402,600",2.99
"Feb 23, 2016",3.11,3.16,2.96,2.97,"377,200",2.97
"Feb 22, 2016",3.10,3.19,3.06,3.14,"300,400",3.14
"Feb 19, 2016",2.99,3.08,2.76,3.03,"623,700",3.03
"Feb 18, 2016",3.19,3.22,2.87,2.90,"520,900",2.90
"Feb 17, 2016",3.13,3.30,3.03,3.18,"432,500",3.18
"Feb 16, 2016",2.96,3.11,2.91,3.11,"336,100",3.11
