Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.16,7.37,7.08,7.28,"149,100",7.28
"Jun 10, 2016",7.32,7.62,6.91,7.35,"371,400",7.35
"Jun 9, 2016",7.89,8.10,7.35,7.39,"146,800",7.39
"Jun 8, 2016",7.98,8.16,7.82,7.97,"118,600",7.97
"Jun 7, 2016",8.11,8.36,7.89,7.98,"193,500",7.98
"Jun 6, 2016",8.02,8.50,7.93,8.13,"213,500",8.13
"Jun 3, 2016",8.58,8.58,7.91,8.05,"164,700",8.05
"Jun 2, 2016",8.29,8.77,8.11,8.50,"119,600",8.50
"Jun 1, 2016",8.20,8.35,8.15,8.30,"101,100",8.30
"May 31, 2016",7.70,8.39,7.57,8.23,"325,500",8.23
"May 27, 2016",7.54,7.67,7.37,7.65,"77,800",7.65
"May 26, 2016",7.66,7.70,7.35,7.52,"104,500",7.52
"May 25, 2016",7.26,7.80,7.22,7.66,"238,700",7.66
"May 24, 2016",6.81,7.31,6.81,7.21,"278,400",7.21
"May 23, 2016",6.67,6.95,6.62,6.85,"135,800",6.85
"May 20, 2016",6.64,7.05,6.61,6.65,"163,000",6.65
"May 19, 2016",6.81,6.97,6.56,6.71,"138,000",6.71
"May 18, 2016",6.71,7.27,6.65,6.83,"143,700",6.83
"May 17, 2016",6.52,7.07,6.47,6.77,"335,600",6.77
"May 16, 2016",6.56,6.77,6.43,6.53,"78,400",6.53
"May 13, 2016",6.58,6.80,6.38,6.56,"151,600",6.56
"May 12, 2016",7.04,7.16,6.40,6.57,"177,400",6.57
"May 11, 2016",7.10,7.22,7.00,7.01,"109,500",7.01
"May 10, 2016",7.70,8.04,6.87,7.11,"205,200",7.11
"May 9, 2016",7.70,7.97,7.63,7.73,"84,200",7.73
"May 6, 2016",8.05,8.16,7.55,7.69,"240,000",7.69
"May 5, 2016",8.31,8.50,8.08,8.18,"171,000",8.18
"May 4, 2016",8.81,8.81,8.17,8.28,"229,200",8.28
"May 3, 2016",8.45,9.13,8.28,8.86,"207,400",8.86
"May 2, 2016",8.11,8.58,7.98,8.48,"131,700",8.48
"Apr 29, 2016",8.16,8.48,7.81,8.14,"107,900",8.14
