Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",8.23,8.99,8.08,8.69,"128,100",8.69
"Jun 10, 2016",8.52,8.71,8.04,8.23,"113,500",8.23
"Jun 9, 2016",9.10,9.42,8.61,8.66,"79,500",8.66
"Jun 8, 2016",9.03,9.32,8.78,9.19,"74,600",9.19
"Jun 7, 2016",9.66,9.81,8.98,9.01,"133,100",9.01
"Jun 6, 2016",9.06,9.60,8.98,9.59,"185,300",9.59
"Jun 3, 2016",9.26,9.26,8.72,9.03,"82,100",9.03
"Jun 2, 2016",9.13,9.37,9.01,9.27,"62,100",9.27
"Jun 1, 2016",9.07,9.18,8.97,9.16,"84,300",9.16
"May 31, 2016",8.96,9.23,8.86,9.15,"126,900",9.15
"May 27, 2016",8.78,9.04,8.70,8.85,"55,300",8.85
"May 26, 2016",8.78,8.88,8.55,8.70,"59,800",8.70
"May 25, 2016",8.45,8.83,8.33,8.80,"75,900",8.80
"May 24, 2016",8.48,8.48,8.04,8.38,"73,800",8.38
"May 23, 2016",7.85,8.32,7.78,7.96,"59,800",7.96
"May 20, 2016",7.59,7.90,7.52,7.86,"67,500",7.86
"May 19, 2016",7.63,7.85,7.35,7.52,"55,900",7.52
"May 18, 2016",7.13,7.73,7.10,7.67,"64,100",7.67
"May 17, 2016",7.28,7.56,7.09,7.17,"93,600",7.17
"May 16, 2016",6.87,7.32,6.87,7.30,"84,200",7.30
"May 13, 2016",6.46,6.79,6.39,6.79,"88,400",6.79
"May 12, 2016",7.06,7.06,6.36,6.48,"171,100",6.48
"May 11, 2016",7.23,7.37,6.93,6.99,"66,800",6.99
"May 10, 2016",7.15,7.40,6.85,7.25,"159,700",7.25
"May 9, 2016",7.24,7.78,7.12,7.66,"62,100",7.66
"May 6, 2016",7.63,7.71,7.23,7.27,"81,600",7.27
"May 5, 2016",7.86,7.87,7.55,7.64,"88,500",7.64
"May 4, 2016",8.18,8.22,7.72,7.75,"107,200",7.75
"May 3, 2016",8.08,8.93,8.08,8.31,"106,900",8.31
"May 2, 2016",7.94,8.27,7.79,8.18,"84,100",8.18
"Apr 29, 2016",8.00,8.25,7.92,8.01,"94,600",8.01
"Apr 28, 2016",8.22,8.31,8.00,8.05,"124,000",8.05
"Apr 27, 2016",8.41,8.54,8.11,8.24,"79,500",8.24
"Apr 26, 2016",8.70,8.75,8.26,8.37,"85,000",8.37
"Apr 25, 2016",8.90,9.04,8.50,8.65,"73,400",8.65
"Apr 22, 2016",8.76,8.86,8.45,8.85,"93,100",8.85
"Apr 21, 2016",8.12,8.69,8.05,8.68,"133,100",8.68
"Apr 20, 2016",8.09,8.24,7.85,8.05,"44,100",8.05
"Apr 19, 2016",8.29,8.37,7.80,8.07,"94,900",8.07
"Apr 18, 2016",8.21,8.63,8.14,8.23,"71,900",8.23
"Apr 15, 2016",8.19,8.38,8.01,8.23,"74,200",8.23
"Apr 14, 2016",8.09,8.59,8.05,8.26,"84,500",8.26
"Apr 13, 2016",7.82,8.17,7.66,8.08,"105,400",8.08
"Apr 12, 2016",7.80,8.00,7.58,7.74,"81,600",7.74
"Apr 11, 2016",8.02,8.15,7.70,7.76,"78,800",7.76
"Apr 8, 2016",8.07,8.20,7.79,7.95,"146,500",7.95
"Apr 7, 2016",7.99,8.31,7.59,7.96,"260,200",7.96
"Apr 6, 2016",7.43,8.09,7.42,8.08,"141,700",8.08
"Apr 5, 2016",7.73,7.94,7.39,7.42,"206,900",7.42
"Apr 4, 2016",7.85,8.27,7.78,7.83,"187,500",7.83
"Apr 1, 2016",7.67,8.08,7.57,7.78,"175,500",7.78
"Mar 31, 2016",7.87,8.02,7.41,7.77,"312,200",7.77
"Mar 30, 2016",7.60,8.10,7.32,7.54,"193,400",7.54
"Mar 29, 2016",6.91,7.79,6.90,7.50,"297,600",7.50
"Mar 28, 2016",7.40,7.79,6.88,6.98,"496,400",6.98
"Mar 24, 2016",7.10,7.48,6.90,7.35,"160,200",7.35
"Mar 23, 2016",7.85,8.00,7.10,7.19,"115,200",7.19
"Mar 22, 2016",7.66,8.26,7.66,7.85,"160,000",7.85
"Mar 21, 2016",7.14,7.86,7.08,7.44,"151,800",7.44
"Mar 18, 2016",6.94,7.47,6.88,7.17,"299,000",7.17
"Mar 17, 2016",7.45,7.45,6.84,6.88,"174,200",6.88
"Mar 16, 2016",7.82,7.93,7.32,7.45,"89,400",7.45
"Mar 15, 2016",8.11,8.25,7.84,7.89,"240,100",7.89
"Mar 14, 2016",8.19,8.53,8.12,8.24,"83,300",8.24
"Mar 11, 2016",8.05,8.88,7.81,8.19,"99,000",8.19
"Mar 10, 2016",8.53,8.74,7.58,7.96,"214,000",7.96
"Mar 9, 2016",8.83,9.27,8.13,8.58,"172,500",8.58
"Mar 8, 2016",9.46,9.60,8.50,8.51,"221,400",8.51
"Mar 7, 2016",9.01,9.81,9.01,9.54,"145,600",9.54
"Mar 4, 2016",10.18,10.85,9.03,9.14,"207,400",9.14
"Mar 3, 2016",10.88,10.96,9.95,10.06,"143,400",10.06
"Mar 2, 2016",10.20,10.97,9.31,10.54,"203,900",10.54
"Mar 1, 2016",9.74,10.28,9.48,10.25,"208,900",10.25
"Feb 29, 2016",9.91,9.91,9.29,9.66,"273,800",9.66
"Feb 26, 2016",9.91,10.22,9.68,9.94,"120,500",9.94
"Feb 25, 2016",10.01,10.20,9.62,9.84,"122,500",9.84
"Feb 24, 2016",9.80,10.51,9.76,10.09,"137,400",10.09
"Feb 23, 2016",10.82,11.08,10.01,10.04,"225,400",10.04
"Feb 22, 2016",11.00,11.17,10.81,10.89,"102,900",10.89
"Feb 19, 2016",10.42,11.02,10.11,10.85,"159,000",10.85
"Feb 18, 2016",11.29,11.47,10.37,10.45,"133,900",10.45
"Feb 17, 2016",10.70,11.55,10.53,11.26,"194,000",11.26
"Feb 16, 2016",10.36,10.69,10.12,10.59,"116,500",10.59
"Feb 12, 2016",9.49,10.26,9.20,10.22,"139,800",10.22
"Feb 11, 2016",9.12,9.44,9.03,9.38,"176,500",9.38
"Feb 10, 2016",9.26,10.00,9.02,9.40,"150,000",9.40
"Feb 9, 2016",8.96,9.44,8.87,9.16,"173,800",9.16
"Feb 8, 2016",9.67,9.68,8.86,9.10,"288,400",9.10
"Feb 5, 2016",9.94,10.03,9.65,9.82,"210,000",9.82
"Feb 4, 2016",9.80,10.56,9.61,10.10,"135,900",10.10
"Feb 3, 2016",9.84,9.98,9.13,9.87,"344,100",9.87
"Feb 2, 2016",10.32,10.46,9.65,9.87,"144,900",9.87
"Feb 1, 2016",10.40,10.78,10.19,10.57,"159,800",10.57
"Jan 29, 2016",10.16,10.74,9.91,10.41,"1,080,500",10.41
"Jan 28, 2016",10.72,10.92,9.80,10.09,"551,100",10.09
"Jan 27, 2016",11.34,11.40,10.36,10.53,"247,100",10.53
"Jan 26, 2016",11.57,11.68,10.90,11.41,"156,400",11.41
"Jan 25, 2016",11.69,12.27,11.26,11.55,"202,900",11.55
"Jan 22, 2016",11.00,11.87,10.73,11.75,"259,900",11.75
"Jan 21, 2016",10.82,11.14,10.49,10.77,"196,400",10.77
"Jan 20, 2016",10.49,10.96,10.29,10.77,"384,000",10.77
"Jan 19, 2016",10.75,10.98,10.15,10.80,"336,800",10.80
"Jan 15, 2016",10.32,11.03,10.11,10.55,"692,400",10.55
"Jan 14, 2016",9.92,10.65,9.43,10.52,"433,500",10.52
"Jan 13, 2016",10.65,10.72,9.70,9.85,"347,800",9.85
