Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",8.03,8.35,8.03,8.20,"2,718,000",8.20
"Jun 10, 2016",8.28,8.41,8.21,8.27,"3,744,500",8.27
"Jun 9, 2016",8.79,8.89,8.41,8.42,"4,696,100",8.42
"Jun 8, 2016",8.68,8.85,8.56,8.80,"3,595,300",8.80
"Jun 7, 2016",8.75,8.79,8.58,8.66,"3,558,400",8.66
"Jun 6, 2016",9.02,9.12,8.58,8.86,"9,489,100",8.86
"Jun 3, 2016",9.10,9.18,8.76,8.98,"9,982,100",8.98
"Jun 2, 2016",8.80,8.93,8.75,8.91,"3,944,100",8.91
"Jun 1, 2016",8.81,8.90,8.63,8.83,"4,959,200",8.83
"May 31, 2016",8.33,9.02,8.32,8.85,"10,223,000",8.85
"May 27, 2016",8.06,8.22,7.96,8.21,"2,604,900",8.21
"May 26, 2016",8.14,8.18,8.02,8.03,"1,962,800",8.03
"May 25, 2016",8.04,8.22,8.02,8.15,"3,150,500",8.15
"May 24, 2016",8.22,8.41,7.95,7.97,"7,288,000",7.97
"May 23, 2016",7.76,8.24,7.72,8.08,"9,016,700",8.08
"May 20, 2016",7.68,7.77,7.59,7.75,"5,018,000",7.75
"May 19, 2016",7.93,7.96,7.59,7.66,"7,459,700",7.66
"May 18, 2016",7.69,7.91,7.63,7.85,"3,966,700",7.85
"May 17, 2016",7.72,7.93,7.61,7.71,"3,641,200",7.71
"May 16, 2016",7.62,7.81,7.61,7.74,"3,082,500",7.74
"May 13, 2016",7.38,7.64,7.37,7.48,"5,515,200",7.48
"May 12, 2016",7.57,7.64,7.28,7.41,"2,964,200",7.41
"May 11, 2016",7.64,7.82,7.45,7.50,"3,993,100",7.50
"May 10, 2016",7.34,7.94,7.06,7.64,"10,850,100",7.64
"May 9, 2016",7.15,7.33,6.95,7.18,"4,720,300",7.18
"May 6, 2016",6.80,7.07,6.72,6.98,"2,822,800",6.98
"May 5, 2016",6.70,6.80,6.47,6.73,"3,845,800",6.73
"May 4, 2016",6.90,6.96,6.65,6.65,"2,970,900",6.65
"May 3, 2016",7.17,7.22,7.01,7.03,"2,398,500",7.03
"May 2, 2016",7.22,7.30,7.01,7.30,"1,739,900",7.30
"Apr 29, 2016",7.15,7.29,7.12,7.18,"2,611,200",7.18
"Apr 28, 2016",7.22,7.44,7.13,7.17,"2,365,200",7.17
"Apr 27, 2016",7.23,7.30,7.00,7.22,"2,307,000",7.22
"Apr 26, 2016",7.36,7.40,7.09,7.25,"2,385,500",7.25
"Apr 25, 2016",7.34,7.57,7.34,7.36,"2,161,900",7.36
"Apr 22, 2016",7.43,7.46,7.28,7.36,"1,668,600",7.36
"Apr 21, 2016",7.24,7.46,7.18,7.45,"2,410,900",7.45
"Apr 20, 2016",7.19,7.43,7.12,7.28,"2,948,300",7.28
"Apr 19, 2016",7.34,7.38,7.15,7.18,"2,931,400",7.18
"Apr 18, 2016",6.93,7.35,6.92,7.22,"2,771,500",7.22
"Apr 15, 2016",7.29,7.30,6.90,7.10,"9,904,100",7.10
"Apr 14, 2016",6.63,6.88,6.45,6.79,"3,663,100",6.79
"Apr 13, 2016",6.45,6.54,6.32,6.49,"2,315,600",6.49
"Apr 12, 2016",6.35,6.49,6.27,6.41,"2,128,100",6.41
"Apr 11, 2016",6.60,6.65,6.33,6.34,"2,544,200",6.34
"Apr 8, 2016",6.90,6.95,6.45,6.60,"3,364,300",6.60
"Apr 7, 2016",6.51,6.95,6.32,6.79,"7,619,300",6.79
"Apr 6, 2016",6.55,6.72,6.34,6.55,"7,001,100",6.55
"Apr 5, 2016",6.33,6.61,6.30,6.52,"3,054,200",6.52
"Apr 4, 2016",6.32,6.61,6.24,6.39,"3,138,600",6.39
"Apr 1, 2016",6.31,6.46,6.19,6.32,"2,717,000",6.32
"Mar 31, 2016",6.20,6.49,6.18,6.39,"3,258,800",6.39
"Mar 30, 2016",6.22,6.42,6.05,6.20,"2,913,300",6.20
"Mar 29, 2016",6.00,6.19,5.78,6.16,"4,495,300",6.16
"Mar 28, 2016",6.58,6.59,6.02,6.02,"4,172,200",6.02
"Mar 24, 2016",6.31,6.57,6.18,6.55,"2,617,600",6.55
"Mar 23, 2016",6.65,6.76,6.33,6.33,"2,966,400",6.33
"Mar 22, 2016",6.41,6.67,6.41,6.66,"2,436,900",6.66
"Mar 21, 2016",6.28,6.56,6.25,6.47,"2,293,700",6.47
"Mar 18, 2016",6.48,6.58,6.23,6.27,"7,792,300",6.27
"Mar 17, 2016",6.18,6.58,6.03,6.44,"4,069,600",6.44
"Mar 16, 2016",6.12,6.36,6.07,6.21,"2,551,100",6.21
"Mar 15, 2016",6.41,6.43,6.11,6.17,"3,316,600",6.17
"Mar 14, 2016",6.58,6.68,6.36,6.46,"2,709,200",6.46
"Mar 11, 2016",6.37,6.59,6.34,6.58,"3,128,300",6.58
"Mar 10, 2016",6.36,6.55,6.17,6.25,"4,489,000",6.25
"Mar 9, 2016",6.21,6.44,6.06,6.30,"5,022,700",6.30
"Mar 8, 2016",6.43,6.53,6.15,6.16,"3,654,000",6.16
"Mar 7, 2016",6.27,6.64,6.27,6.51,"3,979,400",6.51
"Mar 4, 2016",6.10,6.60,6.09,6.29,"8,267,100",6.29
"Mar 3, 2016",6.29,6.44,6.03,6.07,"9,870,600",6.07
"Mar 2, 2016",5.87,6.42,5.85,6.29,"7,328,000",6.29
"Mar 1, 2016",5.50,5.89,5.43,5.89,"4,706,000",5.89
"Feb 29, 2016",5.29,5.60,5.29,5.46,"5,815,300",5.46
"Feb 26, 2016",5.24,5.49,5.15,5.31,"4,022,800",5.31
"Feb 25, 2016",5.16,5.37,5.03,5.20,"10,123,500",5.20
"Feb 24, 2016",4.83,5.13,4.67,5.11,"3,690,900",5.11
"Feb 23, 2016",5.09,5.17,4.85,4.85,"2,493,200",4.85
"Feb 22, 2016",5.17,5.24,5.06,5.08,"2,553,000",5.08
"Feb 19, 2016",5.02,5.21,5.00,5.12,"2,041,800",5.12
"Feb 18, 2016",5.14,5.24,5.02,5.03,"2,525,100",5.03
"Feb 17, 2016",4.89,5.16,4.89,5.11,"2,859,000",5.11
"Feb 16, 2016",4.79,4.87,4.68,4.86,"2,596,900",4.86
"Feb 12, 2016",4.53,4.72,4.48,4.72,"2,773,300",4.72
"Feb 11, 2016",4.51,4.59,4.37,4.48,"3,599,800",4.48
"Feb 10, 2016",4.77,4.80,4.59,4.61,"2,377,700",4.61
"Feb 9, 2016",4.57,4.84,4.48,4.61,"2,672,200",4.61
"Feb 8, 2016",5.01,5.02,4.57,4.60,"4,041,000",4.60
"Feb 5, 2016",5.30,5.30,5.06,5.07,"3,535,600",5.07
"Feb 4, 2016",5.12,5.44,5.03,5.34,"3,408,700",5.34
"Feb 3, 2016",5.03,5.08,4.85,5.05,"3,900,600",5.05
"Feb 2, 2016",4.82,5.07,4.80,5.00,"3,937,100",5.00
"Feb 1, 2016",5.05,5.10,4.72,4.91,"4,534,100",4.91
"Jan 29, 2016",4.91,5.12,4.82,5.02,"5,009,600",5.02
"Jan 28, 2016",5.15,5.23,4.90,4.92,"2,887,100",4.92
"Jan 27, 2016",5.45,5.45,5.03,5.10,"3,233,000",5.10
"Jan 26, 2016",5.63,5.63,5.34,5.44,"2,608,100",5.44
"Jan 25, 2016",5.43,5.71,5.42,5.59,"3,614,200",5.59
"Jan 22, 2016",5.49,5.54,5.31,5.50,"2,746,200",5.50
"Jan 21, 2016",5.49,5.71,5.31,5.34,"2,926,400",5.34
"Jan 20, 2016",5.12,5.54,4.79,5.47,"6,735,000",5.47
"Jan 19, 2016",5.40,5.56,5.18,5.27,"5,574,900",5.27
"Jan 15, 2016",5.20,5.48,5.13,5.41,"4,483,400",5.41
"Jan 14, 2016",5.35,5.65,5.04,5.54,"4,037,100",5.54
"Jan 13, 2016",5.80,5.89,5.32,5.34,"4,355,300",5.34
"Jan 12, 2016",5.52,5.84,5.52,5.82,"7,876,500",5.82
"Jan 11, 2016",5.47,5.57,5.17,5.42,"7,322,900",5.42
"Jan 8, 2016",5.35,5.42,5.25,5.32,"4,385,100",5.32
"Jan 7, 2016",5.62,5.65,5.26,5.26,"4,607,700",5.26
"Jan 6, 2016",5.98,6.04,5.71,5.74,"3,000,400",5.74
"Jan 5, 2016",6.19,6.28,6.02,6.04,"1,926,600",6.04
"Jan 4, 2016",6.15,6.31,6.08,6.16,"3,000,200",6.16
"Dec 31, 2015",6.31,6.41,6.24,6.25,"1,562,500",6.25
"Dec 30, 2015",6.39,6.52,6.29,6.34,"1,690,900",6.34
"Dec 29, 2015",6.36,6.44,6.28,6.41,"2,092,700",6.41
"Dec 28, 2015",6.40,6.54,6.26,6.29,"2,308,000",6.29
"Dec 24, 2015",6.62,6.70,6.46,6.46,"1,130,500",6.46
"Dec 23, 2015",6.32,6.60,6.32,6.58,"3,351,800",6.58
"Dec 22, 2015",6.13,6.46,6.13,6.25,"3,830,900",6.25
"Dec 21, 2015",6.08,6.33,6.00,6.27,"2,511,900",6.27
"Dec 18, 2015",5.78,6.23,5.59,6.16,"11,005,600",6.16
"Dec 17, 2015",6.48,6.51,6.12,6.23,"2,243,800",6.23
"Dec 16, 2015",6.19,6.46,6.14,6.45,"3,626,300",6.45
"Dec 15, 2015",5.86,6.17,5.80,6.15,"2,846,300",6.15
"Dec 14, 2015",6.04,6.12,5.67,5.78,"4,458,300",5.78
"Dec 11, 2015",6.02,6.16,6.01,6.05,"5,000,600",6.05
"Dec 10, 2015",6.25,6.38,6.13,6.34,"1,532,700",6.34
"Dec 9, 2015",6.22,6.31,6.09,6.24,"3,008,900",6.24
"Dec 8, 2015",5.91,6.37,5.88,6.22,"4,798,300",6.22
"Dec 7, 2015",5.86,6.18,5.74,6.02,"7,420,700",6.02
"Dec 4, 2015",6.01,6.13,5.69,5.87,"4,255,800",5.87
"Dec 3, 2015",6.34,6.38,6.03,6.03,"2,956,200",6.03
"Dec 2, 2015",6.37,6.50,6.29,6.31,"1,795,000",6.31
"Dec 1, 2015",6.44,6.46,6.25,6.39,"2,238,800",6.39
"Nov 30, 2015",6.48,6.53,6.29,6.41,"2,363,900",6.41
"Nov 27, 2015",6.52,6.61,6.42,6.47,"986,500",6.47
"Nov 25, 2015",6.34,6.54,6.34,6.52,"1,860,500",6.52
"Nov 24, 2015",6.44,6.52,6.31,6.35,"2,711,900",6.35
"Nov 23, 2015",6.40,6.56,6.37,6.49,"2,279,300",6.49
"Nov 20, 2015",6.63,6.67,6.42,6.42,"2,708,400",6.42
"Nov 19, 2015",6.77,6.83,6.60,6.64,"1,806,800",6.64
"Nov 18, 2015",6.50,6.75,6.41,6.75,"2,767,300",6.75
"Nov 17, 2015",6.45,6.68,6.44,6.47,"2,686,300",6.47
"Nov 16, 2015",6.55,6.63,6.34,6.46,"2,398,900",6.46
"Nov 13, 2015",6.51,6.75,6.46,6.57,"2,960,200",6.57
"Nov 12, 2015",6.68,6.73,6.51,6.52,"1,942,300",6.52
"Nov 11, 2015",6.88,6.89,6.73,6.73,"1,562,100",6.73
"Nov 10, 2015",6.89,6.95,6.75,6.85,"2,022,500",6.85
"Nov 9, 2015",6.93,7.01,6.83,6.91,"2,295,200",6.91
"Nov 6, 2015",6.89,7.07,6.75,6.97,"2,845,800",6.97
"Nov 5, 2015",7.07,7.11,6.83,6.89,"2,790,900",6.89
"Nov 4, 2015",7.02,7.16,6.95,7.13,"4,072,900",7.13
"Nov 3, 2015",6.82,7.13,6.66,7.02,"4,881,000",7.02
"Nov 2, 2015",6.88,7.20,6.85,7.15,"4,184,600",7.15
"Oct 30, 2015",6.83,6.97,6.77,6.84,"2,111,900",6.84
"Oct 29, 2015",7.00,7.17,6.80,6.84,"3,568,500",6.84
"Oct 28, 2015",6.81,7.04,6.71,7.04,"3,121,700",7.04
"Oct 27, 2015",6.78,6.87,6.62,6.84,"2,682,000",6.84
"Oct 26, 2015",6.76,6.97,6.61,6.78,"1,852,500",6.78
"Oct 23, 2015",6.93,6.99,6.76,6.80,"3,629,900",6.80
"Oct 22, 2015",6.96,7.08,6.55,6.83,"4,685,000",6.83
"Oct 21, 2015",7.00,7.09,6.77,6.91,"2,653,500",6.91
"Oct 20, 2015",7.10,7.10,6.85,6.94,"2,808,500",6.94
