Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",2.02,2.07,1.96,2.00,"1,094,800",2.00
"Jun 10, 2016",2.03,2.04,1.94,1.99,"1,743,100",1.99
"Jun 9, 2016",2.16,2.16,2.06,2.06,"1,658,800",2.06
"Jun 8, 2016",1.99,2.15,1.93,2.15,"2,502,100",2.15
"Jun 7, 2016",1.99,2.00,1.91,1.96,"1,043,800",1.96
"Jun 6, 2016",1.87,2.01,1.82,2.01,"2,124,000",2.01
"Jun 3, 2016",1.95,1.95,1.81,1.87,"1,509,100",1.87
"Jun 2, 2016",1.78,1.93,1.78,1.93,"2,831,600",1.93
"Jun 1, 2016",1.81,1.82,1.76,1.79,"884,400",1.79
"May 31, 2016",1.75,1.82,1.74,1.81,"1,341,600",1.81
"May 27, 2016",1.62,1.76,1.62,1.75,"2,391,000",1.75
"May 26, 2016",1.60,1.64,1.59,1.62,"963,600",1.62
"May 25, 2016",1.63,1.67,1.59,1.59,"1,566,000",1.59
"May 24, 2016",1.64,1.66,1.61,1.63,"1,594,800",1.63
"May 23, 2016",1.56,1.65,1.56,1.62,"2,036,000",1.62
"May 20, 2016",1.53,1.58,1.52,1.57,"2,626,600",1.57
"May 19, 2016",1.49,1.55,1.49,1.51,"1,855,400",1.51
"May 18, 2016",1.51,1.57,1.48,1.50,"1,700,800",1.50
"May 17, 2016",1.57,1.61,1.51,1.52,"2,729,000",1.52
"May 16, 2016",1.57,1.61,1.54,1.58,"2,233,500",1.58
"May 13, 2016",1.51,1.57,1.50,1.53,"1,075,600",1.53
"May 12, 2016",1.58,1.58,1.49,1.52,"2,106,800",1.52
"May 11, 2016",1.60,1.66,1.55,1.55,"2,484,200",1.55
"May 10, 2016",1.66,1.69,1.60,1.61,"1,977,000",1.61
"May 9, 2016",1.57,1.60,1.53,1.58,"2,246,100",1.58
"May 6, 2016",1.55,1.61,1.55,1.56,"1,896,900",1.56
"May 5, 2016",1.59,1.62,1.52,1.58,"1,997,700",1.58
"May 4, 2016",1.62,1.68,1.56,1.58,"1,732,400",1.58
"May 3, 2016",1.66,1.73,1.62,1.62,"1,372,200",1.62
"May 2, 2016",1.72,1.73,1.64,1.71,"1,801,400",1.71
"Apr 29, 2016",1.79,1.80,1.72,1.72,"1,976,700",1.72
"Apr 28, 2016",1.83,1.83,1.77,1.77,"2,073,000",1.77
"Apr 27, 2016",1.78,1.84,1.74,1.79,"2,102,400",1.79
"Apr 26, 2016",1.81,1.83,1.73,1.77,"2,934,000",1.77
"Apr 25, 2016",1.85,1.88,1.80,1.80,"860,200",1.80
"Apr 22, 2016",1.85,1.92,1.84,1.85,"1,573,600",1.85
"Apr 21, 2016",1.84,1.88,1.82,1.88,"1,513,200",1.88
"Apr 20, 2016",1.81,1.87,1.80,1.84,"702,400",1.84
"Apr 19, 2016",1.87,1.88,1.82,1.82,"1,025,700",1.82
"Apr 18, 2016",1.85,1.91,1.82,1.88,"1,223,900",1.88
"Apr 15, 2016",1.86,1.91,1.84,1.85,"1,234,100",1.85
"Apr 14, 2016",1.89,1.92,1.86,1.87,"994,600",1.87
"Apr 13, 2016",1.93,1.95,1.87,1.91,"1,581,700",1.91
"Apr 12, 2016",1.99,2.04,1.86,1.89,"3,254,500",1.89
"Apr 11, 2016",1.90,1.96,1.84,1.84,"872,100",1.84
"Apr 8, 2016",2.03,2.04,1.86,1.90,"1,409,500",1.90
"Apr 7, 2016",2.00,2.03,1.96,2.00,"1,536,100",2.00
"Apr 6, 2016",1.96,2.03,1.93,2.02,"1,989,600",2.02
"Apr 5, 2016",2.01,2.04,1.92,1.93,"1,427,100",1.93
"Apr 4, 2016",1.97,2.06,1.96,2.01,"1,452,800",2.01
"Apr 1, 2016",1.98,2.02,1.93,1.98,"1,660,200",1.98
"Mar 31, 2016",1.93,1.98,1.92,1.97,"1,482,400",1.97
"Mar 30, 2016",1.90,1.99,1.87,1.91,"1,493,700",1.91
"Mar 29, 2016",1.82,1.89,1.72,1.86,"1,458,400",1.86
"Mar 28, 2016",1.85,1.89,1.82,1.83,"2,349,800",1.83
"Mar 24, 2016",1.78,1.90,1.73,1.83,"1,408,000",1.83
"Mar 23, 2016",1.94,2.05,1.78,1.79,"2,607,800",1.79
"Mar 22, 2016",1.76,1.95,1.75,1.94,"2,285,700",1.94
"Mar 21, 2016",1.64,1.82,1.62,1.78,"3,003,400",1.78
"Mar 18, 2016",1.55,1.70,1.50,1.65,"8,389,800",1.65
"Mar 17, 2016",1.42,1.55,1.36,1.53,"4,091,600",1.53
"Mar 16, 2016",1.45,1.48,1.39,1.41,"2,445,700",1.41
"Mar 15, 2016",1.50,1.53,1.44,1.44,"2,785,100",1.44
"Mar 14, 2016",1.46,1.57,1.46,1.53,"3,125,500",1.53
"Mar 11, 2016",1.48,1.52,1.45,1.50,"2,048,800",1.50
"Mar 10, 2016",1.54,1.56,1.46,1.46,"2,154,300",1.46
"Mar 9, 2016",1.52,1.56,1.46,1.54,"1,150,200",1.54
"Mar 8, 2016",1.54,1.63,1.50,1.50,"1,433,100",1.50
"Mar 7, 2016",1.49,1.59,1.48,1.59,"1,391,200",1.59
"Mar 4, 2016",1.58,1.58,1.49,1.51,"2,331,700",1.51
"Mar 3, 2016",1.52,1.59,1.52,1.56,"1,392,500",1.56
"Mar 2, 2016",1.50,1.56,1.47,1.55,"2,659,200",1.55
