Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.49,3.59,3.43,3.46,"2,168,900",3.46
"Jun 10, 2016",3.50,3.56,3.36,3.51,"1,807,700",3.51
"Jun 9, 2016",3.60,3.65,3.52,3.52,"1,616,400",3.52
"Jun 8, 2016",3.65,3.74,3.52,3.62,"1,772,300",3.62
"Jun 7, 2016",3.89,3.93,3.62,3.63,"3,356,000",3.63
"Jun 6, 2016",3.90,4.29,3.62,3.84,"13,500,500",3.84
"Jun 3, 2016",3.95,3.99,3.77,3.79,"3,041,700",3.79
"Jun 2, 2016",3.67,3.91,3.67,3.85,"2,885,000",3.85
"Jun 1, 2016",3.77,3.88,3.67,3.68,"2,922,200",3.68
"May 31, 2016",3.67,3.96,3.66,3.77,"3,280,400",3.77
"May 27, 2016",3.53,3.61,3.46,3.60,"1,148,400",3.60
"May 26, 2016",3.36,3.57,3.36,3.48,"1,856,800",3.48
"May 25, 2016",3.31,3.45,3.27,3.36,"1,948,400",3.36
"May 24, 2016",3.29,3.37,3.26,3.28,"1,464,300",3.28
"May 23, 2016",3.31,3.37,3.26,3.27,"1,495,900",3.27
"May 20, 2016",3.00,3.31,2.97,3.31,"2,085,400",3.31
"May 19, 2016",3.15,3.20,2.97,2.98,"1,952,700",2.98
"May 18, 2016",2.96,3.02,2.87,2.97,"1,470,400",2.97
"May 17, 2016",2.96,3.11,2.92,2.97,"1,330,300",2.97
"May 16, 2016",2.88,2.98,2.81,2.98,"955,400",2.98
"May 13, 2016",2.74,2.86,2.72,2.86,"1,005,500",2.86
"May 12, 2016",2.93,2.95,2.70,2.74,"1,889,200",2.74
"May 11, 2016",3.03,3.07,2.90,2.90,"1,149,300",2.90
"May 10, 2016",3.02,3.08,2.97,3.05,"1,092,800",3.05
"May 9, 2016",2.93,3.05,2.93,3.02,"1,202,000",3.02
"May 6, 2016",2.99,3.09,2.93,2.94,"1,610,000",2.94
"May 5, 2016",3.12,3.13,2.98,3.01,"2,082,700",3.01
"May 4, 2016",3.14,3.18,2.98,3.08,"4,008,200",3.08
"May 3, 2016",3.28,3.37,3.14,3.15,"2,569,600",3.15
"May 2, 2016",3.21,3.31,3.14,3.31,"1,174,000",3.31
"Apr 29, 2016",3.20,3.26,3.15,3.19,"1,660,800",3.19
"Apr 28, 2016",3.27,3.39,3.17,3.21,"1,744,000",3.21
"Apr 27, 2016",3.19,3.32,3.15,3.27,"1,710,900",3.27
"Apr 26, 2016",3.31,3.32,3.11,3.19,"1,485,700",3.19
"Apr 25, 2016",3.25,3.36,3.21,3.31,"1,438,000",3.31
"Apr 22, 2016",3.21,3.27,3.16,3.25,"1,148,900",3.25
"Apr 21, 2016",3.19,3.24,3.13,3.20,"1,410,500",3.20
"Apr 20, 2016",3.23,3.28,3.12,3.21,"1,147,700",3.21
"Apr 19, 2016",3.27,3.31,3.20,3.22,"1,307,800",3.22
"Apr 18, 2016",3.17,3.28,3.14,3.25,"1,232,600",3.25
"Apr 15, 2016",3.16,3.21,3.09,3.17,"717,800",3.17
"Apr 14, 2016",3.15,3.22,3.12,3.18,"1,052,900",3.18
"Apr 13, 2016",3.04,3.14,3.01,3.14,"941,300",3.14
"Apr 12, 2016",2.97,3.06,2.93,3.02,"1,134,100",3.02
"Apr 11, 2016",3.03,3.11,2.95,2.96,"1,002,100",2.96
"Apr 8, 2016",3.10,3.12,2.93,3.00,"1,153,500",3.00
"Apr 7, 2016",3.12,3.15,2.98,3.05,"1,250,700",3.05
"Apr 6, 2016",2.90,3.16,2.89,3.15,"2,210,000",3.15
"Apr 5, 2016",2.97,3.00,2.87,2.88,"1,261,600",2.88
"Apr 4, 2016",3.08,3.14,2.97,2.99,"1,300,300",2.99
"Apr 1, 2016",2.69,3.00,2.60,3.00,"1,643,500",3.00
"Mar 31, 2016",2.93,3.09,2.91,2.95,"2,747,900",2.95
"Mar 30, 2016",2.94,3.08,2.86,2.91,"1,926,900",2.91
"Mar 29, 2016",2.81,2.94,2.74,2.91,"1,535,800",2.91
"Mar 28, 2016",2.87,2.91,2.75,2.84,"1,766,600",2.84
"Mar 24, 2016",2.70,2.91,2.62,2.86,"1,638,000",2.86
"Mar 23, 2016",2.94,2.96,2.71,2.72,"1,538,800",2.72
"Mar 22, 2016",2.78,2.95,2.78,2.94,"1,294,600",2.94
"Mar 21, 2016",2.70,2.86,2.66,2.82,"1,224,000",2.82
"Mar 18, 2016",2.66,2.71,2.60,2.69,"2,679,400",2.69
"Mar 17, 2016",2.59,2.69,2.50,2.63,"1,253,400",2.63
"Mar 16, 2016",2.70,2.77,2.57,2.60,"1,355,400",2.60
"Mar 15, 2016",2.90,2.91,2.73,2.73,"1,420,000",2.73
"Mar 14, 2016",2.90,3.00,2.87,2.92,"893,900",2.92
"Mar 11, 2016",2.82,2.90,2.80,2.90,"919,600",2.90
