Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.79,5.98,5.79,5.87,"375,400",5.87
"Jun 10, 2016",5.88,5.98,5.80,5.85,"466,800",5.85
"Jun 9, 2016",6.18,6.19,5.98,5.99,"388,800",5.99
"Jun 8, 2016",6.15,6.18,6.00,6.08,"317,800",6.08
"Jun 7, 2016",6.23,6.23,6.08,6.15,"276,300",6.15
"Jun 6, 2016",6.17,6.25,5.98,6.24,"526,900",6.24
"Jun 3, 2016",6.17,6.18,5.95,6.12,"331,400",6.12
"Jun 2, 2016",6.00,6.20,6.00,6.18,"373,900",6.18
"Jun 1, 2016",6.09,6.13,5.97,6.03,"427,800",6.03
"May 31, 2016",5.93,6.24,5.83,6.13,"457,800",6.13
"May 27, 2016",5.84,5.93,5.71,5.89,"298,100",5.89
"May 26, 2016",5.94,5.94,5.76,5.84,"377,700",5.84
"May 25, 2016",5.78,5.93,5.70,5.88,"393,300",5.88
"May 24, 2016",5.68,5.82,5.58,5.75,"368,700",5.75
"May 23, 2016",5.48,5.75,5.46,5.64,"476,200",5.64
"May 20, 2016",5.10,5.50,5.02,5.42,"684,100",5.42
"May 19, 2016",5.15,5.34,4.86,5.01,"736,800",5.01
"May 18, 2016",4.88,5.12,4.85,4.99,"530,100",4.99
"May 17, 2016",5.14,5.21,4.92,4.95,"748,200",4.95
"May 16, 2016",5.24,5.44,5.08,5.09,"822,400",5.09
"May 13, 2016",5.25,5.62,5.18,5.23,"732,900",5.23
"May 12, 2016",5.56,5.62,5.18,5.33,"625,700",5.33
"May 11, 2016",5.69,5.89,5.43,5.58,"748,000",5.58
"May 10, 2016",5.77,5.85,5.50,5.72,"544,400",5.72
"May 9, 2016",5.65,5.85,5.56,5.76,"511,200",5.76
"May 6, 2016",5.62,5.75,5.43,5.59,"727,800",5.59
"May 5, 2016",5.74,5.75,5.61,5.67,"416,500",5.67
"May 4, 2016",5.74,5.87,5.66,5.74,"477,900",5.74
"May 3, 2016",5.84,6.00,5.75,5.81,"309,900",5.81
"May 2, 2016",5.78,6.03,5.64,6.02,"479,900",6.02
"Apr 29, 2016",5.89,5.99,5.75,5.79,"473,700",5.79
"Apr 28, 2016",5.94,6.14,5.83,5.92,"480,100",5.92
"Apr 27, 2016",5.95,6.01,5.74,5.94,"711,000",5.94
"Apr 26, 2016",6.22,6.24,5.86,6.01,"839,200",6.01
"Apr 25, 2016",6.23,6.37,6.19,6.24,"459,600",6.24
"Apr 22, 2016",6.12,6.34,6.06,6.26,"395,300",6.26
"Apr 21, 2016",6.00,6.24,5.88,6.13,"795,200",6.13
"Apr 20, 2016",6.29,6.30,6.04,6.14,"818,600",6.14
