Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",19.24,20.18,19.24,19.88,"168,400",19.88
"Jun 10, 2016",19.73,20.33,19.21,19.53,"183,200",19.53
"Jun 9, 2016",20.46,20.75,19.83,20.10,"170,100",20.10
"Jun 8, 2016",21.07,21.16,20.02,20.73,"182,500",20.73
"Jun 7, 2016",19.45,21.25,18.62,20.99,"322,400",20.99
"Jun 6, 2016",18.32,19.87,17.64,19.35,"160,400",19.35
"Jun 3, 2016",18.99,19.08,17.56,18.17,"130,800",18.17
"Jun 2, 2016",18.03,19.20,17.95,19.13,"203,600",19.13
"Jun 1, 2016",18.02,18.25,17.60,18.09,"99,300",18.09
"May 31, 2016",17.75,18.28,17.56,18.11,"189,400",18.11
"May 27, 2016",17.48,17.65,16.90,17.53,"134,200",17.53
"May 26, 2016",18.04,18.04,16.99,17.36,"134,500",17.36
"May 25, 2016",17.89,18.41,17.08,17.99,"245,700",17.99
"May 24, 2016",17.82,18.02,17.26,17.95,"138,300",17.95
"May 23, 2016",16.84,17.69,16.74,17.52,"140,800",17.52
"May 20, 2016",16.43,17.23,16.11,16.84,"166,100",16.84
"May 19, 2016",16.28,16.85,15.88,16.34,"137,300",16.34
"May 18, 2016",15.96,16.71,15.96,16.40,"125,800",16.40
"May 17, 2016",16.11,16.37,15.50,16.02,"269,300",16.02
"May 16, 2016",15.15,16.49,14.90,16.30,"286,600",16.30
"May 13, 2016",15.20,15.80,15.11,15.32,"135,600",15.32
"May 12, 2016",16.05,16.05,14.29,15.26,"184,000",15.26
"May 11, 2016",16.47,16.56,15.75,15.82,"164,800",15.82
"May 10, 2016",16.81,17.15,15.50,16.52,"292,600",16.52
"May 9, 2016",15.19,17.22,15.18,16.48,"255,700",16.48
"May 6, 2016",14.98,15.54,14.63,15.14,"260,800",15.14
"May 5, 2016",15.78,16.43,14.52,15.29,"256,600",15.29
"May 4, 2016",16.50,16.55,15.48,16.02,"257,200",16.02
"May 3, 2016",17.67,17.94,16.63,16.69,"221,000",16.69
"May 2, 2016",18.16,18.39,17.33,17.94,"157,600",17.94
"Apr 29, 2016",18.72,18.84,17.19,18.01,"260,600",18.01
"Apr 28, 2016",18.58,19.06,18.03,18.77,"223,600",18.77
"Apr 27, 2016",18.75,19.16,17.81,18.58,"185,000",18.58
"Apr 26, 2016",20.51,20.60,18.07,19.02,"448,400",19.02
"Apr 25, 2016",20.67,20.81,19.92,20.58,"404,600",20.58
"Apr 22, 2016",21.02,21.61,20.33,20.87,"239,500",20.87
"Apr 21, 2016",20.68,21.87,20.53,20.99,"317,700",20.99
"Apr 20, 2016",20.83,21.10,20.16,20.68,"212,300",20.68
"Apr 19, 2016",21.19,21.44,20.09,20.50,"151,500",20.50
"Apr 18, 2016",21.14,21.38,20.67,21.09,"204,500",21.09
"Apr 15, 2016",20.95,21.39,20.80,21.24,"105,300",21.24
"Apr 14, 2016",21.23,21.31,20.39,21.08,"127,700",21.08
"Apr 13, 2016",20.65,21.44,20.21,21.18,"261,800",21.18
"Apr 12, 2016",20.53,20.69,19.67,20.25,"210,000",20.25
"Apr 11, 2016",20.88,20.98,19.97,20.54,"321,300",20.54
"Apr 8, 2016",20.90,21.11,20.14,20.61,"302,700",20.61
"Apr 7, 2016",22.25,22.25,19.60,20.48,"372,000",20.48
"Apr 6, 2016",19.88,22.88,19.88,22.84,"318,400",22.84
"Apr 5, 2016",20.36,20.56,19.34,19.82,"281,500",19.82
"Apr 4, 2016",20.02,21.69,19.98,20.67,"263,300",20.67
"Apr 1, 2016",18.76,20.30,18.70,19.93,"225,900",19.93
"Mar 31, 2016",19.08,20.10,18.85,19.03,"243,800",19.03
