Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.02,3.14,3.00,3.05,"999,800",3.05
"Jun 10, 2016",3.33,3.35,2.95,3.05,"1,603,500",3.05
"Jun 9, 2016",3.85,3.87,3.36,3.38,"1,299,000",3.38
"Jun 8, 2016",3.83,3.94,3.75,3.88,"702,400",3.88
"Jun 7, 2016",3.74,4.03,3.74,3.83,"1,343,200",3.83
"Jun 6, 2016",3.61,3.83,3.46,3.77,"833,500",3.77
"Jun 3, 2016",3.59,3.70,3.52,3.60,"822,900",3.60
"Jun 2, 2016",3.46,3.60,3.45,3.59,"647,700",3.59
"Jun 1, 2016",3.37,3.49,3.20,3.45,"1,030,600",3.45
"May 31, 2016",3.40,3.46,3.33,3.39,"605,600",3.39
"May 27, 2016",3.36,3.39,3.23,3.38,"834,900",3.38
"May 26, 2016",3.35,3.39,3.25,3.36,"459,600",3.36
"May 25, 2016",3.40,3.49,3.27,3.35,"585,500",3.35
"May 24, 2016",3.25,3.38,3.14,3.35,"861,300",3.35
"May 23, 2016",3.32,3.49,3.21,3.22,"714,600",3.22
"May 20, 2016",3.14,3.34,3.09,3.32,"990,900",3.32
"May 19, 2016",3.07,3.17,2.97,3.13,"672,700",3.13
"May 18, 2016",3.04,3.15,2.97,3.08,"586,200",3.08
"May 17, 2016",3.05,3.18,3.03,3.05,"657,200",3.05
"May 16, 2016",2.94,3.14,2.94,3.06,"665,500",3.06
"May 13, 2016",2.83,2.97,2.74,2.91,"634,300",2.91
"May 12, 2016",2.84,2.89,2.75,2.84,"701,100",2.84
"May 11, 2016",2.95,3.07,2.83,2.83,"567,700",2.83
"May 10, 2016",3.13,3.13,2.93,2.96,"844,800",2.96
"May 9, 2016",2.91,3.18,2.82,3.06,"736,700",3.06
"May 6, 2016",2.68,2.87,2.63,2.84,"876,400",2.84
"May 5, 2016",2.67,2.98,2.49,2.73,"1,909,900",2.73
"May 4, 2016",3.20,3.29,2.97,3.00,"1,013,300",3.00
"May 3, 2016",3.42,3.42,3.19,3.24,"686,200",3.24
"May 2, 2016",3.29,3.44,3.17,3.43,"956,500",3.43
"Apr 29, 2016",3.31,3.40,3.14,3.26,"938,300",3.26
"Apr 28, 2016",3.32,3.44,3.22,3.32,"764,600",3.32
"Apr 27, 2016",3.41,3.41,3.21,3.32,"986,200",3.32
"Apr 26, 2016",3.67,3.73,3.10,3.42,"2,141,400",3.42
"Apr 25, 2016",3.47,3.73,3.46,3.63,"1,243,000",3.63
"Apr 22, 2016",3.38,3.55,3.30,3.45,"1,115,600",3.45
"Apr 21, 2016",3.10,3.50,3.08,3.36,"1,936,800",3.36
"Apr 20, 2016",3.09,3.19,3.05,3.13,"950,500",3.13
"Apr 19, 2016",3.09,3.14,2.99,3.07,"1,128,800",3.07
"Apr 18, 2016",3.11,3.20,3.03,3.06,"804,800",3.06
"Apr 15, 2016",2.95,3.10,2.93,3.10,"1,021,700",3.10
"Apr 14, 2016",2.89,2.99,2.87,2.97,"770,300",2.97
"Apr 13, 2016",2.89,2.97,2.83,2.89,"1,023,900",2.89
"Apr 12, 2016",2.89,2.95,2.75,2.83,"748,600",2.83
"Apr 11, 2016",2.89,3.00,2.87,2.90,"876,100",2.90
"Apr 8, 2016",2.87,2.91,2.84,2.88,"1,278,300",2.88
"Apr 7, 2016",2.79,2.94,2.73,2.84,"1,549,500",2.84
"Apr 6, 2016",2.72,2.81,2.67,2.80,"1,650,700",2.80
"Apr 5, 2016",2.77,2.82,2.70,2.72,"950,200",2.72
"Apr 4, 2016",2.85,2.93,2.76,2.80,"906,400",2.80
"Apr 1, 2016",2.82,2.93,2.77,2.83,"875,700",2.83
"Mar 31, 2016",2.73,2.89,2.73,2.83,"1,538,900",2.83
"Mar 30, 2016",2.75,2.87,2.69,2.74,"1,079,900",2.74
"Mar 29, 2016",2.74,2.75,2.48,2.71,"1,086,600",2.71
"Mar 28, 2016",2.80,2.84,2.62,2.76,"817,200",2.76
"Mar 24, 2016",2.60,2.81,2.56,2.79,"1,083,600",2.79
"Mar 23, 2016",2.87,2.97,2.61,2.62,"1,199,300",2.62
"Mar 22, 2016",2.76,2.95,2.74,2.87,"938,700",2.87
"Mar 21, 2016",2.64,2.85,2.63,2.76,"829,100",2.76
"Mar 18, 2016",2.62,2.74,2.50,2.63,"2,307,900",2.63
"Mar 17, 2016",2.45,2.64,2.36,2.59,"1,324,800",2.59
"Mar 16, 2016",2.44,2.58,2.37,2.44,"1,355,200",2.44
"Mar 15, 2016",2.76,2.76,2.51,2.55,"1,310,100",2.55
"Mar 14, 2016",2.81,2.90,2.70,2.79,"942,400",2.79
