Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",245.76,248.40,244.04,244.35,"1,622,700",244.35
"Jun 10, 2016",248.15,249.04,244.02,246.13,"2,448,100",246.13
"Jun 9, 2016",253.14,256.19,249.57,250.46,"2,848,500",250.46
"Jun 8, 2016",255.03,256.79,251.41,254.17,"3,606,500",254.17
"Jun 7, 2016",264.45,264.73,250.87,252.86,"8,860,300",252.86
"Jun 6, 2016",290.00,290.74,285.21,289.84,"1,616,900",289.84
"Jun 3, 2016",289.51,292.69,283.79,290.23,"1,467,500",290.23
"Jun 2, 2016",286.88,289.91,286.56,289.73,"1,128,200",289.73
"Jun 1, 2016",287.97,289.95,286.14,286.82,"1,417,400",286.82
"May 31, 2016",285.00,291.63,284.66,289.73,"2,138,200",289.73
"May 27, 2016",282.00,284.25,280.61,282.79,"1,262,400",282.79
"May 26, 2016",279.53,284.28,279.09,282.00,"1,805,900",282.00
"May 25, 2016",273.73,280.07,273.51,279.70,"1,796,300",279.70
"May 24, 2016",266.33,273.42,263.94,272.94,"1,540,300",272.94
"May 23, 2016",263.77,267.18,263.15,264.85,"844,300",264.85
"May 20, 2016",259.31,265.55,259.00,263.66,"1,338,900",263.66
"May 19, 2016",262.80,264.70,256.42,258.72,"1,277,700",258.72
"May 18, 2016",262.65,265.82,262.26,264.29,"1,035,300",264.29
"May 17, 2016",265.15,267.89,263.08,263.52,"1,158,100",263.52
"May 16, 2016",263.03,266.95,262.60,266.26,"1,301,500",266.26
"May 13, 2016",261.41,264.98,260.10,262.03,"993,200",262.03
"May 12, 2016",268.25,270.55,259.59,262.71,"1,295,600",262.71
"May 11, 2016",272.22,273.61,267.00,267.25,"968,300",267.25
"May 10, 2016",271.64,273.61,269.60,273.27,"1,029,900",273.27
"May 9, 2016",264.72,273.14,264.10,270.17,"1,424,300",270.17
"May 6, 2016",263.47,265.87,260.89,263.61,"1,202,000",263.61
"May 5, 2016",263.58,265.40,262.63,264.62,"1,104,800",264.62
"May 4, 2016",271.70,271.75,262.44,263.12,"1,775,900",263.12
"May 3, 2016",272.82,276.61,271.09,273.71,"1,598,400",273.71
"May 2, 2016",274.74,274.99,268.88,273.69,"1,358,300",273.69
"Apr 29, 2016",278.24,280.53,271.40,274.99,"1,937,800",274.99
"Apr 28, 2016",278.00,284.05,277.51,281.08,"1,403,300",281.08
"Apr 27, 2016",281.57,282.00,278.52,280.06,"1,099,100",280.06
"Apr 26, 2016",285.63,285.95,280.67,281.70,"1,472,300",281.70
"Apr 25, 2016",281.57,286.32,281.56,284.85,"1,633,400",284.85
"Apr 22, 2016",280.40,283.54,278.21,282.70,"2,334,400",282.70
"Apr 21, 2016",268.84,280.13,268.84,279.60,"3,145,500",279.60
"Apr 20, 2016",271.92,271.92,263.31,265.89,"2,513,900",265.89
"Apr 19, 2016",273.10,275.98,270.23,271.00,"1,366,500",271.00
"Apr 18, 2016",267.85,273.37,267.04,272.92,"1,513,100",272.92
"Apr 15, 2016",270.56,271.07,265.31,268.50,"1,683,900",268.50
"Apr 14, 2016",270.71,272.00,269.07,270.56,"905,400",270.56
"Apr 13, 2016",269.22,272.77,267.35,271.73,"1,382,200",271.73
"Apr 12, 2016",265.00,268.68,262.27,267.61,"1,441,400",267.61
