Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",12.50,13.09,12.40,12.43,"346,300",12.43
"Jun 10, 2016",12.60,13.20,12.50,12.91,"411,400",12.91
"Jun 9, 2016",12.85,13.12,12.50,12.95,"312,500",12.95
"Jun 8, 2016",13.18,13.39,12.76,13.01,"234,000",13.01
"Jun 7, 2016",13.48,13.48,12.70,13.01,"182,500",13.01
"Jun 6, 2016",13.09,13.75,12.63,13.58,"271,000",13.58
"Jun 3, 2016",13.47,13.47,12.40,13.02,"376,500",13.02
"Jun 2, 2016",12.31,13.54,12.21,13.35,"434,000",13.35
"Jun 1, 2016",11.77,12.55,11.53,12.39,"412,000",12.39
"May 31, 2016",11.36,11.98,11.20,11.67,"306,200",11.67
"May 27, 2016",10.82,11.26,10.63,11.24,"183,000",11.24
"May 26, 2016",10.94,10.98,10.45,10.77,"192,300",10.77
"May 25, 2016",10.92,11.06,10.58,10.95,"497,700",10.95
"May 24, 2016",10.88,10.95,10.53,10.82,"247,500",10.82
"May 23, 2016",10.16,10.89,9.98,10.75,"352,300",10.75
"May 20, 2016",9.56,10.20,9.37,10.16,"206,400",10.16
"May 19, 2016",9.57,9.93,9.18,9.50,"176,800",9.50
"May 18, 2016",9.28,9.75,9.27,9.66,"141,900",9.66
"May 17, 2016",9.44,9.70,9.15,9.40,"298,100",9.40
"May 16, 2016",9.08,9.67,8.92,9.46,"258,100",9.46
"May 13, 2016",8.71,9.26,8.65,9.00,"267,100",9.00
"May 12, 2016",9.35,9.39,8.67,8.75,"315,100",8.75
"May 11, 2016",9.32,9.81,9.07,9.25,"183,000",9.25
"May 10, 2016",9.40,9.43,8.78,9.36,"305,000",9.36
"May 9, 2016",9.24,9.70,8.84,9.41,"321,200",9.41
"May 6, 2016",8.67,9.26,8.61,9.16,"382,700",9.16
"May 5, 2016",9.15,9.15,8.75,8.87,"285,400",8.87
"May 4, 2016",9.55,9.77,9.00,9.07,"241,600",9.07
"May 3, 2016",9.95,10.09,9.66,9.69,"184,100",9.69
"May 2, 2016",10.19,10.19,9.67,10.10,"266,700",10.10
"Apr 29, 2016",10.41,10.61,9.87,10.14,"273,400",10.14
"Apr 28, 2016",10.41,11.00,10.19,10.50,"224,100",10.50
"Apr 27, 2016",10.46,10.75,10.18,10.43,"249,700",10.43
"Apr 26, 2016",11.05,11.15,10.47,10.53,"336,400",10.53
"Apr 25, 2016",11.41,11.63,10.94,10.98,"310,100",10.98
"Apr 22, 2016",11.42,11.96,10.86,11.50,"795,800",11.50
"Apr 21, 2016",10.73,11.53,10.73,11.35,"232,900",11.35
"Apr 20, 2016",10.74,11.05,10.61,10.78,"233,800",10.78
"Apr 19, 2016",11.45,11.49,10.60,10.65,"347,100",10.65
"Apr 18, 2016",11.03,11.45,10.84,11.32,"223,100",11.32
"Apr 15, 2016",11.11,11.30,10.65,11.15,"216,700",11.15
"Apr 14, 2016",11.73,11.76,10.99,11.08,"240,300",11.08
"Apr 13, 2016",11.00,11.82,10.86,11.71,"385,100",11.71
"Apr 12, 2016",10.55,11.09,10.32,10.81,"241,500",10.81
"Apr 11, 2016",10.80,11.04,10.44,10.54,"267,500",10.54
"Apr 8, 2016",11.06,11.06,10.45,10.63,"238,500",10.63
"Apr 7, 2016",11.10,11.50,10.75,10.80,"282,600",10.80
"Apr 6, 2016",10.49,11.33,10.41,11.19,"410,700",11.19
"Apr 5, 2016",10.08,10.95,10.08,10.41,"415,700",10.41
"Apr 4, 2016",10.07,10.69,10.04,10.11,"330,500",10.11
"Apr 1, 2016",9.25,10.12,9.07,10.02,"338,900",10.02
"Mar 31, 2016",8.66,9.48,8.66,9.35,"379,200",9.35
"Mar 30, 2016",8.70,9.24,8.53,8.77,"399,400",8.77
"Mar 29, 2016",7.82,8.65,7.57,8.64,"277,700",8.64
"Mar 28, 2016",8.12,8.26,7.68,7.91,"190,100",7.91
"Mar 24, 2016",7.69,8.66,7.51,8.07,"342,400",8.07
"Mar 23, 2016",8.82,9.01,7.68,7.76,"481,000",7.76
"Mar 22, 2016",8.40,9.15,8.40,8.82,"309,000",8.82
"Mar 21, 2016",8.14,8.92,8.14,8.67,"407,100",8.67
"Mar 18, 2016",7.73,8.17,7.65,8.14,"538,900",8.14
"Mar 17, 2016",7.75,7.94,7.24,7.71,"728,600",7.71
"Mar 16, 2016",8.06,8.40,7.68,7.79,"523,400",7.79
"Mar 15, 2016",9.50,9.77,8.01,8.09,"1,469,500",8.09
"Mar 14, 2016",9.54,10.30,9.50,10.03,"251,000",10.03
"Mar 11, 2016",9.25,9.64,9.15,9.62,"211,200",9.62
"Mar 10, 2016",9.64,10.19,8.95,9.14,"336,500",9.14
"Mar 9, 2016",10.02,10.08,9.08,9.58,"252,500",9.58
"Mar 8, 2016",11.05,11.24,9.93,9.93,"396,900",9.93
"Mar 7, 2016",10.60,11.44,10.36,11.14,"401,800",11.14
"Mar 4, 2016",10.52,11.08,10.10,10.62,"380,900",10.62
"Mar 3, 2016",10.46,10.96,10.17,10.53,"382,400",10.53
"Mar 2, 2016",9.65,10.64,9.65,10.45,"493,300",10.45
"Mar 1, 2016",9.09,9.75,8.80,9.69,"547,200",9.69
"Feb 29, 2016",9.12,9.44,8.98,9.02,"275,000",9.02
"Feb 26, 2016",9.18,9.50,9.03,9.16,"330,400",9.16
"Feb 25, 2016",9.51,9.90,9.00,9.18,"410,200",9.18
"Feb 24, 2016",9.50,9.86,8.81,9.78,"416,500",9.78
"Feb 23, 2016",10.60,10.63,9.58,9.61,"397,900",9.61
"Feb 22, 2016",10.32,11.30,10.17,10.62,"670,700",10.62
"Feb 19, 2016",9.78,10.16,9.35,9.93,"483,400",9.93
"Feb 18, 2016",10.65,10.73,9.80,9.84,"335,700",9.84
"Feb 17, 2016",10.41,10.80,10.01,10.58,"316,600",10.58
"Feb 16, 2016",9.82,10.33,9.82,10.28,"309,100",10.28
"Feb 12, 2016",9.39,9.72,8.94,9.66,"258,100",9.66
"Feb 11, 2016",9.00,9.43,8.91,9.16,"327,300",9.16
"Feb 10, 2016",9.46,10.00,9.36,9.51,"282,200",9.51
"Feb 9, 2016",9.11,9.82,8.77,9.40,"268,000",9.40
"Feb 8, 2016",10.33,10.39,9.20,9.25,"465,000",9.25
"Feb 5, 2016",11.44,11.44,10.45,10.50,"254,100",10.50
"Feb 4, 2016",10.13,11.61,10.08,11.17,"310,900",11.17
"Feb 3, 2016",11.06,11.25,9.80,10.16,"507,500",10.16
"Feb 2, 2016",11.27,11.39,10.75,10.99,"294,000",10.99
"Feb 1, 2016",11.08,11.87,10.81,11.49,"287,300",11.49
"Jan 29, 2016",10.87,11.39,10.66,11.30,"311,300",11.30
"Jan 28, 2016",12.10,12.13,10.75,10.92,"537,500",10.92
"Jan 27, 2016",12.62,12.84,11.77,11.90,"327,700",11.90
"Jan 26, 2016",12.84,12.98,11.97,12.68,"359,300",12.68
"Jan 25, 2016",12.43,13.43,12.15,12.72,"582,500",12.72
"Jan 22, 2016",12.80,13.20,12.34,12.53,"397,800",12.53
"Jan 21, 2016",12.99,13.46,11.76,12.18,"1,193,900",12.18
"Jan 20, 2016",11.54,13.67,11.34,12.97,"791,400",12.97
"Jan 19, 2016",12.70,12.71,11.17,11.81,"605,600",11.81
"Jan 15, 2016",12.35,12.76,11.76,12.69,"426,300",12.69
"Jan 14, 2016",12.70,13.40,11.80,12.96,"540,500",12.96
"Jan 13, 2016",14.39,14.39,12.63,12.65,"326,400",12.65
"Jan 12, 2016",14.05,15.00,13.47,14.08,"372,900",14.08
"Jan 11, 2016",15.45,15.84,13.26,13.78,"510,300",13.78
"Jan 8, 2016",16.49,17.18,15.81,15.93,"373,900",15.93
"Jan 7, 2016",18.08,18.25,16.16,16.35,"560,700",16.35
"Jan 6, 2016",18.97,19.32,18.28,18.49,"441,300",18.49
"Jan 5, 2016",19.16,19.85,18.81,19.45,"249,400",19.45
"Jan 4, 2016",19.53,20.25,18.70,19.00,"444,200",19.00
"Dec 31, 2015",20.55,21.00,20.27,20.27,"164,500",20.27
"Dec 30, 2015",20.46,21.06,19.67,20.69,"224,400",20.69
