Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",41.35,42.80,40.60,40.82,"737,800",40.82
"Jun 10, 2016",44.40,44.40,40.92,41.59,"1,149,500",41.59
"Jun 9, 2016",46.43,46.79,45.00,45.51,"673,700",45.51
"Jun 8, 2016",46.61,47.85,46.11,46.83,"476,200",46.83
"Jun 7, 2016",47.41,47.96,46.18,46.50,"564,700",46.50
"Jun 6, 2016",45.49,47.98,44.32,47.77,"792,700",47.77
"Jun 3, 2016",47.01,47.53,44.80,45.00,"667,800",45.00
"Jun 2, 2016",45.31,47.90,45.31,47.87,"659,000",47.87
"Jun 1, 2016",44.84,46.16,44.79,45.50,"761,500",45.50
"May 31, 2016",44.63,45.96,44.62,45.25,"725,500",45.25
"May 27, 2016",43.93,44.31,43.01,44.15,"411,900",44.15
"May 26, 2016",44.10,44.99,43.51,43.66,"717,500",43.66
"May 25, 2016",42.51,44.63,42.24,44.38,"766,600",44.38
"May 24, 2016",42.91,43.41,41.55,42.26,"664,900",42.26
"May 23, 2016",40.74,42.48,40.08,42.39,"654,700",42.39
"May 20, 2016",38.93,40.85,38.73,40.60,"587,400",40.60
"May 19, 2016",39.16,40.43,38.18,38.83,"558,900",38.83
"May 18, 2016",38.65,40.12,37.96,39.39,"548,500",39.39
"May 17, 2016",38.32,40.42,37.95,38.91,"675,400",38.91
"May 16, 2016",38.73,39.38,37.89,38.73,"949,700",38.73
"May 13, 2016",36.20,38.59,35.75,38.46,"859,400",38.46
"May 12, 2016",38.85,38.91,35.37,36.20,"1,224,700",36.20
"May 11, 2016",40.69,41.11,38.45,38.62,"621,300",38.62
"May 10, 2016",41.46,41.76,39.51,40.80,"665,800",40.80
"May 9, 2016",38.50,41.46,38.46,41.05,"875,200",41.05
"May 6, 2016",38.26,39.22,36.94,38.52,"903,700",38.52
"May 5, 2016",40.55,41.50,38.16,38.70,"1,125,600",38.70
"May 4, 2016",42.31,42.94,40.50,40.73,"874,200",40.73
"May 3, 2016",44.95,45.69,42.59,42.69,"746,500",42.69
"May 2, 2016",44.87,45.95,43.65,45.87,"783,400",45.87
"Apr 29, 2016",44.80,45.26,44.00,44.35,"794,100",44.35
"Apr 28, 2016",45.95,46.97,44.70,45.09,"934,200",45.09
"Apr 27, 2016",45.27,47.06,45.05,46.31,"696,700",46.31
"Apr 26, 2016",47.01,47.48,45.63,45.75,"687,800",45.75
"Apr 25, 2016",49.75,50.30,47.00,47.12,"749,000",47.12
"Apr 22, 2016",47.70,50.37,47.45,50.32,"1,245,700",50.32
"Apr 21, 2016",44.36,47.61,44.16,47.56,"1,185,600",47.56
"Apr 20, 2016",49.79,49.97,43.07,44.31,"3,054,700",44.31
"Apr 19, 2016",51.13,51.46,47.61,47.72,"1,141,600",47.72
"Apr 18, 2016",50.00,52.10,49.60,50.82,"824,000",50.82
"Apr 15, 2016",50.11,51.16,49.09,50.38,"594,500",50.38
"Apr 14, 2016",50.51,51.73,49.67,49.92,"572,000",49.92
"Apr 13, 2016",48.21,50.98,47.39,50.73,"1,181,100",50.73
"Apr 12, 2016",47.58,48.46,46.64,47.66,"999,000",47.66
"Apr 11, 2016",51.51,51.76,47.26,47.44,"934,700",47.44
"Apr 8, 2016",51.52,52.92,49.60,50.82,"1,161,100",50.82
"Apr 7, 2016",50.96,53.38,50.20,50.51,"1,389,700",50.51
"Apr 6, 2016",46.02,51.69,46.02,51.57,"1,777,700",51.57
"Apr 5, 2016",44.87,46.96,44.02,45.66,"834,300",45.66
"Apr 4, 2016",43.70,47.21,42.92,45.54,"1,403,700",45.54
"Apr 1, 2016",41.98,43.92,40.75,43.46,"1,018,700",43.46
"Mar 31, 2016",40.40,43.07,40.03,42.50,"1,283,700",42.50
"Mar 30, 2016",40.39,41.42,39.50,40.00,"1,021,000",40.00
"Mar 29, 2016",39.48,40.23,38.12,39.99,"1,352,400",39.99
"Mar 28, 2016",39.80,40.28,38.35,39.78,"1,154,300",39.78
"Mar 24, 2016",40.80,41.44,38.17,39.39,"2,633,900",39.39
"Mar 23, 2016",46.50,46.96,40.95,40.96,"1,822,800",40.96
"Mar 22, 2016",44.08,46.94,43.47,46.11,"1,820,500",46.11
"Mar 21, 2016",43.95,45.06,43.01,44.02,"1,686,800",44.02
"Mar 18, 2016",45.19,46.21,43.53,44.64,"1,645,600",44.64
"Mar 17, 2016",44.49,46.07,42.80,45.46,"1,194,100",45.46
"Mar 16, 2016",43.37,44.92,43.00,44.56,"912,700",44.56
"Mar 15, 2016",47.46,48.10,43.10,43.87,"1,368,200",43.87
"Mar 14, 2016",48.22,48.90,46.67,48.30,"858,900",48.30
"Mar 11, 2016",45.77,48.45,44.61,48.22,"1,459,500",48.22
"Mar 10, 2016",45.90,48.47,44.08,44.94,"1,327,000",44.94
"Mar 9, 2016",49.60,50.01,44.88,45.41,"1,667,700",45.41
"Mar 8, 2016",55.06,55.36,48.50,49.00,"1,506,000",49.00
"Mar 7, 2016",54.69,57.19,53.40,55.12,"1,160,400",55.12
"Mar 4, 2016",54.83,59.29,53.64,54.50,"1,868,000",54.50
"Mar 3, 2016",53.82,56.50,52.61,53.87,"1,213,400",53.87
"Mar 2, 2016",50.26,54.28,49.56,53.86,"1,912,900",53.86
"Mar 1, 2016",46.92,50.99,45.71,50.51,"1,887,700",50.51
"Feb 29, 2016",49.23,50.34,45.77,46.22,"1,102,500",46.22
"Feb 26, 2016",48.51,49.97,47.40,49.73,"1,267,100",49.73
"Feb 25, 2016",51.03,52.45,47.05,48.15,"1,430,100",48.15
"Feb 24, 2016",50.70,52.74,47.13,52.37,"1,261,700",52.37
"Feb 23, 2016",52.98,54.81,51.28,51.46,"909,800",51.46
"Feb 22, 2016",52.59,54.95,52.57,53.16,"917,300",53.16
"Feb 19, 2016",51.71,52.98,49.46,52.05,"1,143,000",52.05
"Feb 18, 2016",54.42,54.85,51.06,52.10,"1,073,000",52.10
"Feb 17, 2016",51.00,55.94,50.01,54.24,"1,870,600",54.24
"Feb 16, 2016",45.53,50.85,45.01,50.13,"1,635,600",50.13
"Feb 12, 2016",43.83,45.39,42.19,44.55,"1,573,500",44.55
"Feb 11, 2016",44.79,45.97,42.03,43.32,"1,375,200",43.32
"Feb 10, 2016",46.64,48.65,44.81,45.99,"1,248,600",45.99
"Feb 9, 2016",44.27,49.50,44.20,45.79,"1,987,700",45.79
"Feb 8, 2016",46.84,47.92,44.30,45.63,"1,594,400",45.63
"Feb 5, 2016",49.15,49.39,46.68,47.73,"1,553,200",47.73
"Feb 4, 2016",44.55,50.90,44.14,49.28,"1,919,100",49.28
"Feb 3, 2016",42.83,45.70,41.53,45.30,"2,159,900",45.30
"Feb 2, 2016",44.78,45.05,41.67,42.37,"1,545,000",42.37
"Feb 1, 2016",41.37,46.41,40.29,45.75,"1,693,400",45.75
"Jan 29, 2016",39.66,42.46,39.10,41.36,"1,113,900",41.36
"Jan 28, 2016",42.22,43.33,39.23,39.66,"985,300",39.66
"Jan 27, 2016",45.23,46.13,41.86,42.53,"1,116,200",42.53
"Jan 26, 2016",44.45,45.98,41.90,45.24,"1,214,100",45.24
"Jan 25, 2016",44.55,46.49,43.86,44.14,"768,000",44.14
"Jan 22, 2016",44.09,46.20,42.52,45.03,"1,593,500",45.03
"Jan 21, 2016",43.84,47.00,42.04,42.96,"1,265,600",42.96
"Jan 20, 2016",40.45,45.49,37.40,44.22,"1,798,800",44.22
"Jan 19, 2016",45.34,45.99,40.48,41.84,"1,365,600",41.84
"Jan 15, 2016",44.50,46.33,42.57,44.64,"1,246,900",44.64
"Jan 14, 2016",46.65,48.59,42.16,46.57,"1,675,100",46.57
"Jan 13, 2016",50.38,51.88,45.78,46.17,"1,399,200",46.17
"Jan 12, 2016",45.95,51.89,45.86,49.81,"2,216,600",49.81
"Jan 11, 2016",55.49,56.00,43.51,44.64,"3,347,800",44.64
"Jan 8, 2016",55.05,58.69,54.87,55.44,"995,400",55.44
"Jan 7, 2016",57.33,57.48,53.31,54.10,"1,196,800",54.10
"Jan 6, 2016",61.41,61.59,57.16,58.23,"971,700",58.23
"Jan 5, 2016",63.54,65.00,61.67,61.76,"847,200",61.76
"Jan 4, 2016",62.82,64.28,61.76,63.47,"1,039,700",63.47
"Dec 31, 2015",64.59,66.56,64.02,64.22,"861,100",64.22
"Dec 30, 2015",66.15,66.52,63.64,64.76,"693,900",64.76
"Dec 29, 2015",66.34,66.78,64.97,66.17,"588,200",66.17
"Dec 28, 2015",65.80,67.15,64.68,65.66,"701,300",65.66
"Dec 24, 2015",64.70,67.10,64.66,66.18,"591,800",66.18
"Dec 23, 2015",64.36,65.98,63.60,65.18,"554,300",65.18
"Dec 22, 2015",64.85,65.96,63.10,64.12,"1,475,100",64.12
"Dec 21, 2015",61.26,65.00,60.00,64.57,"1,039,300",64.57
"Dec 18, 2015",61.53,63.93,60.75,61.45,"2,009,600",61.45
"Dec 17, 2015",60.83,64.75,60.57,62.00,"1,445,000",62.00
"Dec 16, 2015",60.13,60.92,57.61,60.44,"865,200",60.44
"Dec 15, 2015",58.51,60.29,55.61,59.97,"1,520,500",59.97
"Dec 14, 2015",59.31,61.28,57.05,58.12,"1,695,200",58.12
"Dec 11, 2015",60.45,61.73,58.02,59.52,"1,760,400",59.52
"Dec 10, 2015",57.49,61.83,57.18,61.75,"2,709,400",61.75
"Dec 9, 2015",54.69,58.00,54.27,56.53,"2,427,800",56.53
"Dec 8, 2015",51.50,55.48,48.85,55.24,"5,200,000",55.24
"Dec 7, 2015",59.06,63.89,51.72,52.25,"10,060,700",52.25
"Dec 4, 2015",80.00,83.94,77.59,83.66,"1,278,200",83.66
"Dec 3, 2015",82.75,83.26,77.54,78.61,"1,365,100",78.61
"Dec 2, 2015",81.05,85.00,81.00,81.01,"1,506,900",81.01
"Dec 1, 2015",90.01,90.01,79.80,80.34,"3,004,000",80.34
"Nov 30, 2015",93.65,94.61,86.23,88.75,"1,188,000",88.75
"Nov 27, 2015",90.11,95.28,89.67,92.60,"569,300",92.60
"Nov 25, 2015",85.00,90.75,85.00,89.47,"836,100",89.47
"Nov 24, 2015",83.95,86.17,82.60,85.21,"815,200",85.21
"Nov 23, 2015",80.90,84.91,80.02,84.68,"902,900",84.68
"Nov 20, 2015",79.72,82.65,79.12,80.65,"1,200,500",80.65
"Nov 19, 2015",84.47,85.13,79.15,79.73,"972,900",79.73
"Nov 18, 2015",85.24,87.57,82.43,84.59,"1,937,000",84.59
"Nov 17, 2015",75.30,84.56,74.72,79.61,"1,836,400",79.61
"Nov 16, 2015",70.93,74.74,70.21,74.45,"847,400",74.45
"Nov 13, 2015",72.18,73.45,70.00,71.39,"604,700",71.39
"Nov 12, 2015",73.85,75.00,71.57,72.29,"973,900",72.29
"Nov 11, 2015",75.86,76.00,73.50,74.30,"924,500",74.30
"Nov 10, 2015",75.19,75.99,72.61,75.23,"989,700",75.23
"Nov 9, 2015",72.99,77.00,72.60,76.09,"1,448,100",76.09
"Nov 6, 2015",72.47,76.43,69.28,73.64,"2,790,400",73.64
"Nov 5, 2015",76.53,77.25,66.51,70.36,"8,250,500",70.36
"Nov 4, 2015",96.01,99.70,88.70,90.15,"1,215,900",90.15
"Nov 3, 2015",84.36,95.46,83.26,93.64,"1,886,700",93.64
"Nov 2, 2015",77.59,85.98,77.12,84.38,"1,369,100",84.38
"Oct 30, 2015",80.00,80.30,76.40,77.13,"1,108,700",77.13
"Oct 29, 2015",85.75,87.89,78.83,79.09,"1,467,100",79.09
"Oct 28, 2015",85.51,85.93,81.30,85.72,"887,900",85.72
"Oct 27, 2015",83.26,85.86,82.54,85.62,"953,600",85.62
"Oct 26, 2015",82.11,85.59,81.86,83.31,"957,800",83.31
"Oct 23, 2015",77.52,83.59,77.52,83.10,"1,647,600",83.10
"Oct 22, 2015",80.50,83.00,75.75,76.37,"1,284,800",76.37
"Oct 21, 2015",81.71,82.94,77.00,80.78,"1,414,000",80.78
"Oct 20, 2015",83.59,86.83,80.22,80.63,"1,337,600",80.63
"Oct 19, 2015",85.24,91.91,70.57,81.83,"6,721,100",81.83
"Oct 16, 2015",85.61,89.98,83.26,85.57,"1,362,200",85.57
"Oct 15, 2015",80.06,86.50,78.51,85.83,"1,700,800",85.83
"Oct 14, 2015",83.00,84.98,78.92,80.96,"1,333,900",80.96
"Oct 13, 2015",86.68,88.56,80.96,81.08,"1,199,300",81.08
"Oct 12, 2015",89.66,90.44,86.02,87.14,"800,000",87.14
"Oct 9, 2015",88.57,90.50,85.55,88.80,"1,060,200",88.80
"Oct 8, 2015",93.67,94.20,86.62,88.50,"1,271,500",88.50
"Oct 7, 2015",94.33,96.65,90.26,94.30,"1,131,000",94.30
"Oct 6, 2015",97.65,98.44,88.07,94.80,"1,195,100",94.80
"Oct 5, 2015",100.90,106.95,95.58,98.54,"2,228,600",98.54
"Oct 2, 2015",86.10,95.31,85.45,94.07,"1,544,500",94.07
"Oct 1, 2015",85.55,89.93,83.00,89.63,"1,765,600",89.63
"Sep 30, 2015",89.45,92.45,82.05,85.55,"1,843,900",85.55
"Sep 29, 2015",87.44,94.74,84.00,86.94,"1,686,200",86.94
"Sep 28, 2015",99.97,101.82,85.27,86.93,"2,593,700",86.93
"Sep 25, 2015",112.28,113.26,96.28,100.21,"1,831,100",100.21
"Sep 24, 2015",112.99,112.99,104.48,111.02,"1,082,500",111.02
"Sep 23, 2015",120.30,120.50,112.00,113.37,"1,169,800",113.37
"Sep 22, 2015",125.17,127.03,117.51,119.84,"1,038,100",119.84
"Sep 21, 2015",142.50,143.08,123.00,127.44,"1,598,700",127.44
"Sep 18, 2015",136.95,142.00,136.17,141.14,"1,036,500",141.14
"Sep 17, 2015",131.70,140.68,130.61,138.08,"555,100",138.08
"Sep 16, 2015",132.15,133.95,129.06,132.73,"389,900",132.73
"Sep 15, 2015",130.67,134.65,128.70,132.51,"397,900",132.51
"Sep 14, 2015",133.35,133.77,129.82,130.11,"333,800",130.11
"Sep 11, 2015",129.54,133.45,127.55,132.79,"426,500",132.79
"Sep 10, 2015",130.33,133.36,127.72,130.91,"471,400",130.91
"Sep 9, 2015",138.74,138.98,130.01,130.31,"605,700",130.31
"Sep 8, 2015",132.54,138.83,130.01,138.10,"1,323,500",138.10
"Sep 4, 2015",126.35,133.87,125.72,129.32,"416,600",129.32
"Sep 3, 2015",132.64,135.90,126.73,128.08,"492,500",128.08
"Sep 2, 2015",130.61,132.94,127.51,131.80,"473,300",131.80
"Sep 1, 2015",127.95,133.63,125.00,128.86,"601,200",128.86
"Aug 31, 2015",136.17,138.94,132.07,133.07,"759,200",133.07
"Aug 28, 2015",133.26,138.67,131.64,137.47,"584,700",137.47
"Aug 27, 2015",130.83,134.98,129.51,133.36,"723,800",133.36
"Aug 26, 2015",129.90,130.00,121.81,129.67,"829,700",129.67
"Aug 25, 2015",125.73,127.98,122.36,125.07,"868,700",125.07
"Aug 24, 2015",115.96,120.01,113.50,120.01,"1,185,000",120.01
"Aug 21, 2015",118.85,128.71,117.56,123.79,"990,300",123.79
"Aug 20, 2015",126.35,131.47,121.11,121.25,"917,500",121.25
"Aug 19, 2015",128.41,130.50,122.51,127.01,"738,600",127.01
"Aug 18, 2015",130.01,134.00,128.81,129.61,"482,600",129.61
"Aug 17, 2015",127.48,133.37,124.51,131.69,"728,300",131.69
"Aug 14, 2015",131.90,132.99,123.10,127.82,"833,400",127.82
"Aug 13, 2015",135.36,139.13,130.77,131.91,"449,100",131.91
"Aug 12, 2015",133.03,140.00,124.73,134.86,"1,701,600",134.86
"Aug 11, 2015",136.02,143.30,132.01,135.89,"980,400",135.89
"Aug 10, 2015",153.40,153.99,136.01,139.23,"2,167,500",139.23
"Aug 7, 2015",154.75,157.50,129.01,154.84,"3,881,300",154.84
"Aug 6, 2015",167.00,168.03,154.75,156.83,"573,300",156.83
"Aug 5, 2015",164.40,169.16,162.78,166.51,"470,000",166.51
"Aug 4, 2015",165.65,166.42,162.21,164.47,"326,500",164.47
"Aug 3, 2015",165.71,167.49,162.32,164.60,"479,900",164.60
"Jul 31, 2015",159.58,168.20,156.03,165.83,"678,500",165.83
"Jul 30, 2015",159.00,160.00,153.63,159.17,"384,300",159.17
"Jul 29, 2015",160.64,160.67,155.31,159.02,"445,100",159.02
"Jul 28, 2015",159.75,161.13,154.39,160.32,"665,400",160.32
"Jul 27, 2015",157.79,160.99,154.12,159.49,"423,500",159.49
"Jul 24, 2015",162.01,165.00,158.70,158.91,"556,600",158.91
"Jul 23, 2015",162.11,165.67,161.32,163.54,"541,800",163.54
"Jul 22, 2015",158.36,162.78,158.00,162.00,"396,900",162.00
"Jul 21, 2015",165.41,165.50,157.08,160.63,"496,100",160.63
"Jul 20, 2015",164.33,166.00,161.64,165.33,"434,200",165.33
"Jul 17, 2015",166.16,166.31,162.20,164.19,"570,200",164.19
"Jul 16, 2015",170.66,170.99,164.00,166.59,"623,300",166.59
"Jul 15, 2015",168.88,171.24,165.22,167.81,"1,027,900",167.81
"Jul 14, 2015",163.61,168.50,163.11,166.17,"500,000",166.17
"Jul 13, 2015",161.50,168.58,161.37,163.90,"785,000",163.90
"Jul 10, 2015",162.68,162.68,156.87,159.03,"480,200",159.03
"Jul 9, 2015",157.95,161.00,156.52,158.43,"559,500",158.43
"Jul 8, 2015",158.45,161.00,154.04,154.63,"638,200",154.63
"Jul 7, 2015",163.95,164.00,156.25,159.60,"729,700",159.60
"Jul 6, 2015",161.64,164.67,159.37,163.22,"1,147,500",163.22
"Jul 2, 2015",164.00,164.98,160.54,163.21,"828,400",163.21
"Jul 1, 2015",169.95,170.69,162.41,163.07,"841,500",163.07
"Jun 30, 2015",161.68,169.00,161.50,168.37,"1,190,000",168.37
"Jun 29, 2015",160.01,166.37,159.04,159.27,"877,000",159.27
"Jun 26, 2015",169.80,170.15,163.96,165.67,"3,915,700",165.67
"Jun 25, 2015",171.26,171.80,165.50,168.93,"1,370,600",168.93
"Jun 24, 2015",171.03,175.00,169.01,170.10,"2,673,300",170.10
"Jun 23, 2015",178.14,179.00,172.53,174.31,"651,300",174.31
"Jun 22, 2015",172.27,181.49,168.61,177.75,"1,188,700",177.75
"Jun 19, 2015",172.00,172.99,169.62,170.14,"1,356,100",170.14
"Jun 18, 2015",171.23,175.40,170.45,171.98,"805,900",171.98
"Jun 17, 2015",173.78,176.49,168.08,171.07,"1,146,300",171.07
"Jun 16, 2015",179.00,180.87,170.33,170.64,"1,313,600",170.64
