Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",81.09,83.98,79.51,80.11,"1,253,200",80.11
"Jun 10, 2016",82.35,82.48,79.52,81.10,"1,077,300",81.10
"Jun 9, 2016",83.75,84.61,82.71,82.94,"889,400",82.94
"Jun 8, 2016",85.36,85.64,83.04,84.10,"1,021,100",84.10
"Jun 7, 2016",88.64,89.30,85.23,85.50,"1,172,800",85.50
"Jun 6, 2016",89.14,90.05,87.21,89.52,"721,800",89.52
"Jun 3, 2016",91.15,91.49,88.02,90.00,"1,092,800",90.00
"Jun 2, 2016",89.04,92.48,87.17,91.52,"1,950,500",91.52
"Jun 1, 2016",88.69,88.90,86.01,87.40,"1,284,500",87.40
"May 31, 2016",89.35,91.26,88.94,89.65,"1,368,000",89.65
"May 27, 2016",87.57,89.23,86.41,89.09,"846,300",89.09
"May 26, 2016",88.04,88.39,86.21,87.26,"856,600",87.26
"May 25, 2016",88.31,89.85,87.50,88.81,"1,062,600",88.81
"May 24, 2016",86.32,88.88,86.16,87.95,"909,100",87.95
"May 23, 2016",86.85,88.15,85.35,85.51,"829,100",85.51
"May 20, 2016",84.94,86.63,84.34,86.45,"869,100",86.45
"May 19, 2016",86.46,87.44,83.40,84.75,"865,200",84.75
"May 18, 2016",83.54,87.51,83.21,87.16,"1,186,200",87.16
"May 17, 2016",85.73,87.50,82.89,84.05,"1,565,700",84.05
"May 16, 2016",82.82,86.80,82.82,86.47,"1,072,100",86.47
"May 13, 2016",79.79,84.39,79.79,82.71,"1,359,900",82.71
"May 12, 2016",82.51,83.02,78.20,79.79,"987,700",79.79
"May 11, 2016",87.24,87.24,82.09,82.22,"893,800",82.22
"May 10, 2016",84.55,87.62,82.73,87.37,"1,430,900",87.37
"May 9, 2016",81.10,85.06,80.57,83.98,"1,035,400",83.98
"May 6, 2016",80.36,82.35,79.40,80.80,"794,300",80.80
"May 5, 2016",82.16,82.63,79.32,80.74,"1,073,200",80.74
"May 4, 2016",84.15,84.74,81.72,82.14,"1,512,400",82.14
"May 3, 2016",86.00,87.41,84.91,85.09,"1,010,000",85.09
"May 2, 2016",85.71,86.98,83.92,86.90,"1,112,100",86.90
"Apr 29, 2016",83.44,87.50,83.02,84.68,"1,704,200",84.68
"Apr 28, 2016",86.95,87.38,84.60,85.10,"1,472,000",85.10
"Apr 27, 2016",87.01,88.61,86.22,87.72,"1,009,800",87.72
"Apr 26, 2016",90.07,91.00,86.73,88.71,"1,225,700",88.71
"Apr 25, 2016",93.76,93.76,89.80,90.22,"1,741,000",90.22
"Apr 22, 2016",91.98,94.08,89.68,93.80,"2,549,700",93.80
"Apr 21, 2016",89.25,92.05,85.50,91.99,"2,121,800",91.99
"Apr 20, 2016",92.00,92.81,88.00,89.31,"3,922,400",89.31
"Apr 19, 2016",87.26,88.25,85.32,86.37,"1,715,600",86.37
"Apr 18, 2016",86.09,87.16,83.90,87.00,"1,191,700",87.00
"Apr 15, 2016",89.61,89.61,85.04,86.75,"1,550,500",86.75
"Apr 14, 2016",89.93,89.98,88.02,88.85,"1,421,000",88.85
"Apr 13, 2016",85.00,88.64,85.00,88.52,"1,732,400",88.52
"Apr 12, 2016",83.03,85.39,82.26,85.00,"1,235,700",85.00
"Apr 11, 2016",85.58,86.28,82.67,83.20,"1,145,600",83.20
"Apr 8, 2016",88.77,89.35,84.02,85.21,"1,401,400",85.21
"Apr 7, 2016",89.00,91.91,86.66,87.79,"1,822,000",87.79
"Apr 6, 2016",83.01,89.44,82.95,89.34,"1,820,700",89.34
"Apr 5, 2016",83.99,84.70,82.48,83.02,"808,600",83.02
"Apr 4, 2016",85.67,87.17,84.34,84.47,"1,040,800",84.47
"Apr 1, 2016",81.46,86.72,81.03,84.66,"1,599,400",84.66
"Mar 31, 2016",79.09,84.12,78.35,82.48,"2,165,300",82.48
"Mar 30, 2016",79.37,81.50,77.10,78.10,"936,000",78.10
"Mar 29, 2016",79.01,79.93,76.42,78.76,"1,466,500",78.76
"Mar 28, 2016",81.35,81.45,78.87,79.00,"716,900",79.00
"Mar 24, 2016",80.82,83.01,78.42,80.87,"1,548,000",80.87
"Mar 23, 2016",83.18,85.32,80.34,80.61,"2,189,300",80.61
"Mar 22, 2016",77.46,83.66,77.46,83.43,"2,620,200",83.43
"Mar 21, 2016",76.13,79.81,75.90,78.19,"2,746,400",78.19
"Mar 18, 2016",77.81,81.47,77.08,80.94,"2,471,000",80.94
"Mar 17, 2016",80.40,80.40,74.67,77.32,"2,967,500",77.32
"Mar 16, 2016",82.81,84.00,78.61,80.34,"1,471,800",80.34
"Mar 15, 2016",85.44,85.55,82.40,83.43,"1,147,000",83.43
"Mar 14, 2016",87.52,88.76,85.47,85.98,"1,453,900",85.98
"Mar 11, 2016",84.60,88.54,83.59,88.27,"1,301,500",88.27
"Mar 10, 2016",86.54,86.54,81.32,83.60,"1,288,300",83.60
"Mar 9, 2016",85.86,86.21,82.51,85.22,"1,500,600",85.22
"Mar 8, 2016",89.36,90.46,85.29,85.54,"1,334,200",85.54
"Mar 7, 2016",87.70,89.84,86.18,88.22,"1,761,600",88.22
"Mar 4, 2016",89.73,89.83,86.47,86.67,"1,745,600",86.67
"Mar 3, 2016",88.91,90.99,88.28,89.57,"2,802,800",89.57
"Mar 2, 2016",87.44,90.34,84.00,87.44,"2,080,500",87.44
"Mar 1, 2016",82.50,88.04,81.03,87.57,"2,372,900",87.57
"Feb 29, 2016",80.75,84.90,80.62,81.87,"2,410,200",81.87
"Feb 26, 2016",76.64,82.11,74.80,80.14,"2,299,000",80.14
"Feb 25, 2016",76.92,78.91,74.64,76.41,"1,864,100",76.41
"Feb 24, 2016",74.31,76.52,72.96,76.34,"1,465,100",76.34
"Feb 23, 2016",78.11,80.25,75.48,75.61,"1,765,900",75.61
"Feb 22, 2016",79.05,81.90,76.75,78.49,"1,625,600",78.49
"Feb 19, 2016",74.55,77.91,73.28,77.70,"1,983,100",77.70
"Feb 18, 2016",78.36,78.80,74.45,74.87,"1,839,000",74.87
"Feb 17, 2016",75.16,79.63,73.61,77.81,"2,550,600",77.81
"Feb 16, 2016",72.11,74.40,71.49,74.26,"2,441,300",74.26
"Feb 12, 2016",68.00,71.25,67.07,70.08,"2,156,300",70.08
"Feb 11, 2016",65.43,68.89,65.03,67.26,"1,641,700",67.26
"Feb 10, 2016",65.96,70.76,65.57,67.02,"1,861,400",67.02
"Feb 9, 2016",63.59,67.40,62.12,65.11,"2,478,200",65.11
"Feb 8, 2016",68.17,68.17,63.71,64.74,"1,839,000",64.74
"Feb 5, 2016",70.75,71.58,66.20,68.41,"2,239,100",68.41
"Feb 4, 2016",71.50,73.78,69.57,71.15,"2,231,600",71.15
"Feb 3, 2016",72.37,74.69,67.53,71.91,"2,201,100",71.91
"Feb 2, 2016",74.44,76.00,71.78,72.04,"1,559,000",72.04
"Feb 1, 2016",73.81,76.70,73.27,75.65,"2,329,500",75.65
"Jan 29, 2016",73.84,75.50,70.25,74.02,"3,266,300",74.02
"Jan 28, 2016",80.72,81.02,72.53,73.38,"2,862,700",73.38
"Jan 27, 2016",86.18,87.93,79.15,80.14,"1,713,700",80.14
"Jan 26, 2016",84.62,87.25,82.05,86.04,"1,244,900",86.04
"Jan 25, 2016",83.86,87.52,83.86,85.01,"1,530,100",85.01
"Jan 22, 2016",82.43,85.84,81.07,84.66,"1,739,300",84.66
"Jan 21, 2016",81.64,83.38,79.48,80.82,"1,717,200",80.82
"Jan 20, 2016",78.03,82.67,74.69,81.38,"2,422,400",81.38
"Jan 19, 2016",83.81,84.04,77.57,79.51,"2,061,200",79.51
"Jan 15, 2016",81.12,85.25,81.01,83.14,"3,447,700",83.14
"Jan 14, 2016",86.27,86.86,77.59,84.43,"6,306,900",84.43
"Jan 13, 2016",92.60,93.84,83.67,84.12,"1,824,400",84.12
"Jan 12, 2016",93.43,96.77,89.35,93.11,"1,576,800",93.11
"Jan 11, 2016",95.87,95.95,89.40,93.29,"1,825,100",93.29
"Jan 8, 2016",97.71,99.34,94.30,95.75,"1,333,800",95.75
"Jan 7, 2016",99.44,100.85,97.09,97.09,"1,411,100",97.09
"Jan 6, 2016",101.87,103.67,99.53,100.44,"1,289,800",100.44
"Jan 5, 2016",105.02,105.61,101.24,103.45,"899,600",103.45
"Jan 4, 2016",102.80,104.99,102.10,104.92,"1,611,900",104.92
"Dec 31, 2015",105.44,105.92,104.51,104.76,"742,200",104.76
"Dec 30, 2015",106.30,107.02,105.12,105.77,"849,500",105.77
"Dec 29, 2015",106.02,106.32,105.00,106.07,"555,400",106.07
"Dec 28, 2015",105.91,107.56,104.40,105.30,"635,400",105.30
"Dec 24, 2015",105.83,106.46,104.52,105.84,"325,500",105.84
"Dec 23, 2015",104.40,106.28,104.40,105.52,"761,200",105.52
"Dec 22, 2015",104.36,105.89,103.93,104.35,"969,300",104.35
"Dec 21, 2015",104.84,104.88,102.42,104.14,"1,214,100",104.14
"Dec 18, 2015",100.50,105.14,99.94,104.44,"3,160,900",104.44
"Dec 17, 2015",101.80,103.34,99.39,100.64,"1,042,900",100.64
"Dec 16, 2015",99.71,101.93,98.06,101.71,"1,050,700",101.71
"Dec 15, 2015",94.84,99.21,94.36,99.14,"1,206,600",99.14
"Dec 14, 2015",93.94,95.25,91.21,94.23,"1,186,400",94.23
"Dec 11, 2015",95.25,97.33,93.78,93.79,"1,028,900",93.79
"Dec 10, 2015",94.59,97.02,94.49,96.65,"938,300",96.65
"Dec 9, 2015",95.36,96.50,93.82,94.15,"947,500",94.15
"Dec 8, 2015",94.33,97.51,93.65,95.52,"1,154,700",95.52
"Dec 7, 2015",98.15,98.50,94.89,95.51,"1,410,000",95.51
"Dec 4, 2015",93.97,98.57,93.55,98.11,"1,079,400",98.11
"Dec 3, 2015",96.04,96.50,93.12,94.21,"1,425,700",94.21
"Dec 2, 2015",98.00,98.50,95.49,95.65,"1,149,800",95.65
"Dec 1, 2015",96.23,98.10,95.01,97.93,"1,234,300",97.93
"Nov 30, 2015",96.31,96.42,94.00,95.37,"1,523,400",95.37
"Nov 27, 2015",96.03,97.63,95.00,96.45,"661,000",96.45
"Nov 25, 2015",94.81,98.06,94.29,96.06,"3,782,600",96.06
"Nov 24, 2015",97.80,97.80,97.80,97.80,0,97.80
"Nov 23, 2015",97.50,98.95,96.53,97.80,"1,849,600",97.80
"Nov 20, 2015",95.15,101.57,94.00,97.00,"4,810,500",97.00
"Nov 19, 2015",107.61,108.35,102.10,103.11,"2,014,500",103.11
"Nov 18, 2015",107.84,108.97,104.81,107.70,"1,399,300",107.70
"Nov 17, 2015",105.28,108.64,104.68,107.32,"1,333,600",107.32
"Nov 16, 2015",107.57,108.79,102.87,104.54,"1,853,100",104.54
"Nov 13, 2015",106.22,110.35,105.74,107.44,"875,500",107.44
"Nov 12, 2015",111.00,111.84,106.55,106.80,"891,900",106.80
"Nov 11, 2015",112.88,113.33,110.85,111.15,"721,000",111.15
"Nov 10, 2015",110.79,113.12,110.08,112.30,"1,056,100",112.30
"Nov 9, 2015",113.70,114.63,110.57,111.36,"1,373,300",111.36
"Nov 6, 2015",112.00,115.20,110.92,114.92,"1,259,400",114.92
"Nov 5, 2015",112.95,113.19,108.21,112.32,"1,053,800",112.32
"Nov 4, 2015",116.00,116.72,110.84,112.72,"1,263,900",112.72
"Nov 3, 2015",116.10,116.55,114.01,115.29,"1,288,800",115.29
"Nov 2, 2015",118.37,118.37,114.50,116.84,"1,763,300",116.84
"Oct 30, 2015",111.66,118.48,110.01,117.04,"2,166,500",117.04
"Oct 29, 2015",112.69,115.88,112.10,113.80,"1,702,800",113.80
"Oct 28, 2015",110.88,113.70,109.88,113.69,"1,919,500",113.69
"Oct 27, 2015",105.24,110.86,104.71,110.71,"1,669,900",110.71
"Oct 26, 2015",103.87,106.20,102.20,104.68,"888,300",104.68
"Oct 23, 2015",102.92,105.00,102.02,104.14,"1,236,900",104.14
"Oct 22, 2015",103.93,105.81,99.59,101.60,"1,541,800",101.60
"Oct 21, 2015",105.27,105.98,99.36,103.94,"1,311,100",103.94
"Oct 20, 2015",107.00,107.51,103.25,103.92,"1,445,000",103.92
"Oct 19, 2015",108.89,111.48,105.04,107.28,"1,566,000",107.28
"Oct 16, 2015",111.61,112.41,106.60,108.84,"1,682,200",108.84
"Oct 15, 2015",103.60,111.83,102.67,111.50,"1,967,000",111.50
"Oct 14, 2015",101.61,106.72,99.64,103.77,"2,346,900",103.77
"Oct 13, 2015",102.01,105.50,99.11,99.34,"1,158,100",99.34
"Oct 12, 2015",103.28,103.98,101.45,102.91,"793,200",102.91
"Oct 9, 2015",99.92,104.20,98.53,102.69,"1,010,100",102.69
"Oct 8, 2015",102.38,102.76,96.38,100.72,"1,480,600",100.72
"Oct 7, 2015",103.28,103.79,100.28,102.13,"2,791,500",102.13
"Oct 6, 2015",107.97,108.87,99.25,103.24,"2,770,100",103.24
"Oct 5, 2015",114.77,115.98,109.12,109.93,"1,635,400",109.93
"Oct 2, 2015",108.41,113.85,106.01,113.00,"2,048,900",113.00
"Oct 1, 2015",103.75,110.06,102.76,109.79,"2,597,000",109.79
"Sep 30, 2015",99.50,109.56,99.50,105.32,"3,346,800",105.32
"Sep 29, 2015",100.12,104.65,95.09,96.82,"2,606,400",96.82
"Sep 28, 2015",106.85,107.38,95.84,99.38,"3,346,500",99.38
"Sep 25, 2015",113.05,114.96,105.37,108.69,"2,270,000",108.69
"Sep 24, 2015",117.00,117.92,111.08,113.00,"2,088,300",113.00
"Sep 23, 2015",118.68,120.61,116.63,117.82,"911,000",117.82
"Sep 22, 2015",119.27,121.50,117.02,117.97,"2,255,700",117.97
"Sep 21, 2015",132.68,132.80,120.91,122.09,"2,085,200",122.09
"Sep 18, 2015",130.98,132.82,129.60,130.65,"1,581,300",130.65
"Sep 17, 2015",129.19,133.79,128.25,132.13,"751,800",132.13
"Sep 16, 2015",131.71,132.79,127.26,129.09,"917,100",129.09
"Sep 15, 2015",131.64,132.90,130.56,131.88,"646,200",131.88
"Sep 14, 2015",133.75,133.94,130.32,131.49,"547,700",131.49
"Sep 11, 2015",132.65,133.82,131.12,132.88,"815,900",132.88
"Sep 10, 2015",129.83,134.16,129.40,133.08,"974,500",133.08
"Sep 9, 2015",134.27,134.71,129.46,129.87,"678,500",129.87
"Sep 8, 2015",129.19,133.10,126.82,132.59,"944,900",132.59
"Sep 4, 2015",124.60,127.56,124.20,126.51,"698,900",126.51
"Sep 3, 2015",129.50,130.99,126.24,126.45,"854,700",126.45
"Sep 2, 2015",126.43,129.39,124.43,129.26,"1,079,600",129.26
"Sep 1, 2015",126.07,127.82,123.77,124.63,"1,305,300",124.63
"Aug 31, 2015",134.05,136.85,128.67,129.24,"1,156,500",129.24
"Aug 28, 2015",130.43,133.28,129.66,133.18,"885,100",133.18
"Aug 27, 2015",129.50,132.51,128.43,130.89,"1,078,500",130.89
"Aug 26, 2015",124.95,128.26,120.09,128.10,"1,335,000",128.10
"Aug 25, 2015",124.74,126.42,120.93,121.14,"1,681,000",121.14
"Aug 24, 2015",115.01,124.84,114.95,119.68,"2,060,800",119.68
"Aug 21, 2015",126.80,131.10,125.54,126.17,"1,372,600",126.17
"Aug 20, 2015",134.53,137.40,128.96,129.01,"1,096,700",129.01
"Aug 19, 2015",135.96,136.84,133.50,135.70,"598,200",135.70
"Aug 18, 2015",139.39,140.68,136.66,137.23,"555,800",137.23
"Aug 17, 2015",135.21,139.76,134.12,139.44,"710,400",139.44
"Aug 14, 2015",135.03,137.80,132.53,135.51,"750,200",135.51
"Aug 13, 2015",137.64,139.02,135.75,135.84,"662,100",135.84
"Aug 12, 2015",134.99,138.00,131.70,137.60,"969,000",137.60
"Aug 11, 2015",134.82,136.99,131.40,136.02,"851,500",136.02
"Aug 10, 2015",134.41,138.12,134.29,136.23,"1,178,200",136.23
"Aug 7, 2015",134.51,134.54,128.95,133.84,"2,030,700",133.84
"Aug 6, 2015",143.57,143.79,134.53,134.74,"1,856,100",134.74
"Aug 5, 2015",144.76,146.55,142.81,143.66,"792,300",143.66
"Aug 4, 2015",145.00,147.76,141.92,143.78,"1,626,000",143.78
"Aug 3, 2015",146.68,148.30,144.53,147.17,"1,207,000",147.17
"Jul 31, 2015",145.44,148.10,144.02,146.27,"1,120,600",146.27
"Jul 30, 2015",143.83,144.82,140.18,144.56,"951,400",144.56
"Jul 29, 2015",147.42,147.42,142.28,144.32,"1,005,600",144.32
"Jul 28, 2015",144.93,146.21,142.21,145.94,"1,227,800",145.94
"Jul 27, 2015",143.99,145.07,141.51,144.32,"1,399,500",144.32
"Jul 24, 2015",146.11,148.92,144.00,144.99,"5,721,100",144.99
"Jul 23, 2015",146.87,149.54,146.02,148.05,"2,061,200",148.05
"Jul 22, 2015",142.81,144.90,141.17,144.00,"1,333,100",144.00
"Jul 21, 2015",149.77,149.84,143.71,143.79,"1,673,400",143.79
"Jul 20, 2015",150.00,151.75,148.88,149.13,"1,129,600",149.13
"Jul 17, 2015",148.01,149.14,146.32,149.09,"912,300",149.09
"Jul 16, 2015",145.57,148.49,145.50,147.72,"972,500",147.72
"Jul 15, 2015",146.98,148.90,145.41,146.30,"1,508,600",146.30
"Jul 14, 2015",144.78,147.50,144.52,147.25,"1,062,400",147.25
"Jul 13, 2015",142.92,144.93,142.81,144.50,"860,500",144.50
"Jul 10, 2015",141.49,142.34,138.66,141.67,"1,118,400",141.67
"Jul 9, 2015",139.58,140.94,137.92,140.13,"1,286,300",140.13
"Jul 8, 2015",138.84,139.01,136.50,137.59,"1,071,300",137.59
"Jul 7, 2015",140.39,141.00,137.00,139.79,"1,420,300",139.79
"Jul 6, 2015",136.07,140.30,135.52,140.10,"1,695,200",140.10
"Jul 2, 2015",136.37,136.97,135.09,136.84,"786,600",136.84
"Jul 1, 2015",138.54,138.71,135.81,136.73,"839,300",136.73
"Jun 30, 2015",134.29,137.24,133.47,136.78,"1,269,000",136.78
"Jun 29, 2015",133.70,136.29,131.57,132.31,"1,583,400",132.31
"Jun 26, 2015",135.52,135.99,132.85,134.84,"1,227,500",134.84
"Jun 25, 2015",136.66,137.38,133.78,135.36,"932,600",135.36
"Jun 24, 2015",138.85,139.87,136.00,136.49,"1,249,800",136.49
"Jun 23, 2015",141.04,141.51,137.16,138.86,"1,198,500",138.86
"Jun 22, 2015",138.79,140.32,137.28,140.00,"1,253,500",140.00
"Jun 19, 2015",137.21,138.65,135.07,137.93,"2,013,100",137.93
"Jun 18, 2015",132.27,140.49,132.21,138.66,"5,642,100",138.66
