Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",19.48,20.04,19.10,19.30,"214,400",19.30
"Jun 10, 2016",20.24,20.49,19.48,19.65,"196,700",19.65
"Jun 9, 2016",20.50,21.10,20.00,20.52,"154,800",20.52
"Jun 8, 2016",22.14,22.16,20.56,20.61,"161,000",20.61
"Jun 7, 2016",21.35,22.48,20.96,22.04,"138,400",22.04
"Jun 6, 2016",20.54,21.70,19.80,21.53,"198,000",21.53
"Jun 3, 2016",19.42,20.84,18.95,20.36,"460,500",20.36
"Jun 2, 2016",18.79,19.79,18.79,19.65,"143,600",19.65
"Jun 1, 2016",18.76,19.20,18.74,19.03,"119,300",19.03
"May 31, 2016",18.30,19.10,18.17,18.99,"150,600",18.99
"May 27, 2016",18.41,19.25,17.64,18.59,"101,700",18.59
"May 26, 2016",18.23,18.36,16.80,18.09,"93,100",18.09
"May 25, 2016",18.46,18.54,17.88,18.13,"152,300",18.13
"May 24, 2016",17.91,18.50,17.34,18.23,"156,000",18.23
"May 23, 2016",17.99,18.77,17.71,17.91,"100,700",17.91
"May 20, 2016",17.47,18.30,17.23,18.02,"109,200",18.02
"May 19, 2016",16.40,17.42,16.33,17.30,"172,400",17.30
"May 18, 2016",16.31,16.99,16.04,16.67,"198,300",16.67
"May 17, 2016",15.87,16.58,15.45,16.45,"232,600",16.45
"May 16, 2016",15.43,16.10,15.14,15.98,"199,900",15.98
"May 13, 2016",14.64,15.50,14.60,15.31,"126,100",15.31
"May 12, 2016",15.40,15.50,14.04,14.70,"194,700",14.70
"May 11, 2016",15.50,15.71,14.92,15.24,"145,900",15.24
"May 10, 2016",15.50,16.88,14.64,15.36,"122,100",15.36
"May 9, 2016",13.74,15.95,13.28,15.45,"407,400",15.45
"May 6, 2016",13.78,14.16,13.27,13.65,"81,500",13.65
"May 5, 2016",14.63,14.88,13.78,13.90,"150,600",13.90
"May 4, 2016",15.01,15.30,14.63,14.75,"177,200",14.75
"May 3, 2016",15.62,15.70,15.06,15.10,"53,600",15.10
"May 2, 2016",15.30,15.94,14.55,15.84,"97,900",15.84
"Apr 29, 2016",14.96,15.82,14.51,15.18,"352,200",15.18
"Apr 28, 2016",15.75,15.97,14.95,15.06,"216,800",15.06
"Apr 27, 2016",17.26,18.01,15.77,15.89,"275,900",15.89
"Apr 26, 2016",18.08,19.48,17.13,17.31,"101,300",17.31
"Apr 25, 2016",18.89,18.90,17.55,18.04,"110,200",18.04
"Apr 22, 2016",18.53,18.92,18.11,18.77,"65,100",18.77
"Apr 21, 2016",18.16,19.48,17.90,18.36,"67,300",18.36
"Apr 20, 2016",18.47,19.50,18.06,18.13,"50,200",18.13
"Apr 19, 2016",19.55,19.55,17.83,18.28,"125,800",18.28
"Apr 18, 2016",19.01,19.70,19.00,19.40,"105,200",19.40
"Apr 15, 2016",19.21,19.70,18.84,18.98,"129,300",18.98
"Apr 14, 2016",19.40,19.60,18.16,19.08,"138,500",19.08
"Apr 13, 2016",20.00,20.07,19.52,20.00,"108,400",20.00
"Apr 12, 2016",19.97,20.11,19.55,19.99,"72,500",19.99
"Apr 11, 2016",20.90,20.90,20.04,20.16,"59,800",20.16
"Apr 8, 2016",21.39,22.25,20.70,20.90,"103,500",20.90
"Apr 7, 2016",21.06,22.25,20.46,21.06,"182,100",21.06
"Apr 6, 2016",19.43,21.23,19.43,21.11,"161,500",21.11
