Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.41,5.55,5.32,5.37,"419,700",5.37
"Jun 10, 2016",5.92,5.92,5.35,5.44,"742,800",5.44
"Jun 9, 2016",6.05,6.10,5.76,5.82,"888,500",5.82
"Jun 8, 2016",6.04,6.24,6.00,6.12,"388,000",6.12
"Jun 7, 2016",6.33,6.39,6.07,6.09,"375,100",6.09
"Jun 6, 2016",6.36,6.48,6.17,6.33,"748,300",6.33
"Jun 3, 2016",6.64,6.64,6.22,6.25,"589,000",6.25
"Jun 2, 2016",6.14,6.52,6.14,6.45,"737,900",6.45
"Jun 1, 2016",6.49,6.56,6.08,6.14,"762,200",6.14
"May 31, 2016",6.39,6.68,6.31,6.46,"1,529,500",6.46
"May 27, 2016",6.25,6.40,6.14,6.37,"627,900",6.37
"May 26, 2016",6.27,6.32,6.03,6.25,"426,700",6.25
"May 25, 2016",6.21,6.35,6.11,6.24,"390,700",6.24
"May 24, 2016",6.21,6.35,5.85,6.19,"798,400",6.19
"May 23, 2016",5.83,6.20,5.82,6.15,"595,500",6.15
"May 20, 2016",5.56,5.88,5.47,5.80,"495,500",5.80
"May 19, 2016",5.66,5.86,5.41,5.50,"405,700",5.50
"May 18, 2016",5.47,5.87,5.47,5.66,"400,400",5.66
"May 17, 2016",5.52,5.63,5.38,5.50,"360,700",5.50
"May 16, 2016",5.28,5.63,5.27,5.48,"469,200",5.48
"May 13, 2016",5.22,5.37,5.11,5.22,"323,300",5.22
"May 12, 2016",5.66,5.81,5.01,5.21,"679,400",5.21
"May 11, 2016",5.74,5.95,5.60,5.64,"453,100",5.64
"May 10, 2016",5.55,5.79,5.33,5.77,"520,000",5.77
"May 9, 2016",5.53,5.62,5.33,5.48,"627,700",5.48
"May 6, 2016",5.50,5.99,5.27,5.56,"578,200",5.56
"May 5, 2016",5.79,5.95,5.51,5.57,"544,700",5.57
"May 4, 2016",6.15,6.18,5.75,5.81,"614,200",5.81
"May 3, 2016",6.08,6.35,5.91,6.13,"438,100",6.13
"May 2, 2016",6.20,6.20,5.90,6.11,"466,700",6.11
"Apr 29, 2016",6.42,6.58,6.00,6.10,"685,600",6.10
"Apr 28, 2016",6.13,6.78,5.82,6.52,"1,127,600",6.52
"Apr 27, 2016",6.31,6.39,6.00,6.08,"1,143,300",6.08
"Apr 26, 2016",6.82,7.04,6.21,6.34,"887,200",6.34
"Apr 25, 2016",6.77,7.20,6.60,6.86,"951,300",6.86
"Apr 22, 2016",7.10,7.14,6.45,6.63,"1,214,300",6.63
"Apr 21, 2016",7.61,7.62,6.92,7.11,"1,802,000",7.11
"Apr 20, 2016",8.99,9.00,7.45,7.68,"3,195,700",7.68
"Apr 19, 2016",8.21,8.69,7.73,8.22,"1,177,900",8.22
"Apr 18, 2016",7.47,8.16,7.40,8.12,"677,900",8.12
"Apr 15, 2016",7.48,7.59,7.22,7.40,"368,100",7.40
"Apr 14, 2016",7.49,8.00,7.30,7.52,"659,200",7.52
"Apr 13, 2016",7.15,7.48,7.01,7.44,"497,900",7.44
"Apr 12, 2016",6.60,7.10,6.45,7.06,"621,600",7.06
"Apr 11, 2016",6.66,6.88,6.47,6.61,"351,200",6.61
"Apr 8, 2016",6.90,6.95,6.44,6.66,"387,600",6.66
"Apr 7, 2016",6.90,7.00,6.68,6.80,"401,800",6.80
"Apr 6, 2016",6.78,6.92,6.51,6.91,"507,900",6.91
"Apr 5, 2016",6.85,7.06,6.54,6.69,"661,600",6.69
"Apr 4, 2016",6.68,7.36,6.57,6.84,"696,000",6.84
"Apr 1, 2016",6.21,6.78,6.13,6.60,"638,100",6.60
"Mar 31, 2016",6.00,6.39,5.97,6.22,"481,500",6.22
"Mar 30, 2016",6.14,6.54,5.77,6.00,"633,500",6.00
