Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",1.17,1.17,1.12,1.12,"795,800",1.12
"Jun 10, 2016",1.19,1.20,1.15,1.17,"343,600",1.17
"Jun 9, 2016",1.23,1.25,1.18,1.20,"361,700",1.20
"Jun 8, 2016",1.19,1.22,1.17,1.21,"715,200",1.21
"Jun 7, 2016",1.21,1.22,1.13,1.19,"1,569,600",1.19
"Jun 6, 2016",1.29,1.39,1.19,1.23,"4,382,900",1.23
"Jun 3, 2016",1.11,1.16,1.07,1.13,"1,751,000",1.13
"Jun 2, 2016",1.17,1.25,1.16,1.22,"1,566,900",1.22
"Jun 1, 2016",1.16,1.20,1.14,1.18,"920,400",1.18
"May 31, 2016",1.14,1.21,1.14,1.16,"973,900",1.16
"May 27, 2016",1.14,1.16,1.12,1.13,"420,700",1.13
"May 26, 2016",1.17,1.18,1.12,1.14,"838,300",1.14
"May 25, 2016",1.13,1.19,1.11,1.17,"971,600",1.17
"May 24, 2016",1.11,1.14,1.07,1.13,"637,100",1.13
"May 23, 2016",1.10,1.16,1.09,1.09,"586,100",1.09
"May 20, 2016",1.14,1.17,1.06,1.11,"1,113,500",1.11
"May 19, 2016",1.13,1.16,1.08,1.14,"775,700",1.14
"May 18, 2016",1.16,1.19,1.13,1.14,"643,000",1.14
"May 17, 2016",1.09,1.19,1.09,1.15,"1,268,800",1.15
"May 16, 2016",1.05,1.11,1.04,1.10,"899,800",1.10
"May 13, 2016",1.03,1.09,1.01,1.04,"554,100",1.04
"May 12, 2016",1.10,1.10,1.00,1.03,"934,800",1.03
"May 11, 2016",1.11,1.12,1.08,1.09,"587,000",1.09
"May 10, 2016",1.16,1.19,1.09,1.12,"1,108,300",1.12
"May 9, 2016",1.23,1.23,1.17,1.19,"737,500",1.19
"May 6, 2016",1.15,1.22,1.15,1.16,"671,000",1.16
"May 5, 2016",1.17,1.19,1.15,1.15,"845,500",1.15
"May 4, 2016",1.20,1.24,1.16,1.17,"703,600",1.17
"May 3, 2016",1.25,1.29,1.20,1.21,"909,600",1.21
"May 2, 2016",1.32,1.32,1.25,1.28,"664,600",1.28
"Apr 29, 2016",1.34,1.37,1.27,1.30,"984,500",1.30
"Apr 28, 2016",1.30,1.41,1.27,1.32,"1,181,700",1.32
"Apr 27, 2016",1.30,1.33,1.26,1.29,"725,900",1.29
"Apr 26, 2016",1.37,1.43,1.29,1.31,"1,731,700",1.31
"Apr 25, 2016",1.23,1.38,1.21,1.35,"2,027,700",1.35
"Apr 22, 2016",1.18,1.25,1.17,1.21,"701,300",1.21
"Apr 21, 2016",1.17,1.22,1.16,1.18,"656,300",1.18
"Apr 20, 2016",1.22,1.22,1.15,1.16,"1,071,200",1.16
"Apr 19, 2016",1.24,1.26,1.21,1.22,"749,700",1.22
"Apr 18, 2016",1.22,1.26,1.20,1.20,"704,100",1.20
"Apr 15, 2016",1.20,1.23,1.19,1.21,"474,700",1.21
"Apr 14, 2016",1.19,1.22,1.18,1.20,"406,600",1.20
"Apr 13, 2016",1.15,1.20,1.14,1.19,"1,258,000",1.19
"Apr 12, 2016",1.19,1.19,1.13,1.14,"786,000",1.14
"Apr 11, 2016",1.22,1.28,1.17,1.17,"897,200",1.17
"Apr 8, 2016",1.22,1.23,1.12,1.21,"1,588,000",1.21
"Apr 7, 2016",1.24,1.26,1.19,1.20,"816,700",1.20
"Apr 6, 2016",1.20,1.26,1.17,1.23,"750,700",1.23
"Apr 5, 2016",1.18,1.21,1.17,1.20,"373,500",1.20
"Apr 4, 2016",1.23,1.24,1.18,1.18,"579,600",1.18
"Apr 1, 2016",1.25,1.27,1.18,1.24,"544,500",1.24
"Mar 31, 2016",1.20,1.28,1.17,1.27,"991,000",1.27
"Mar 30, 2016",1.14,1.22,1.13,1.17,"776,700",1.17
"Mar 29, 2016",1.17,1.17,1.07,1.12,"970,000",1.12
"Mar 28, 2016",1.12,1.16,1.10,1.11,"445,300",1.11
"Mar 24, 2016",1.16,1.20,1.07,1.12,"523,500",1.12
"Mar 23, 2016",1.24,1.28,1.16,1.16,"669,200",1.16
"Mar 22, 2016",1.40,1.42,1.23,1.27,"1,259,200",1.27
"Mar 21, 2016",1.31,1.53,1.30,1.39,"3,090,200",1.39
"Mar 18, 2016",1.04,1.37,1.01,1.29,"4,771,500",1.29
"Mar 17, 2016",1.06,1.07,0.97,1.01,"717,700",1.01
"Mar 16, 2016",1.08,1.10,1.05,1.06,"249,100",1.06
"Mar 15, 2016",1.12,1.12,1.03,1.08,"1,013,100",1.08
"Mar 14, 2016",1.12,1.18,1.10,1.16,"519,800",1.16
"Mar 11, 2016",1.09,1.11,1.05,1.11,"414,800",1.11
"Mar 10, 2016",1.13,1.15,1.08,1.09,"457,500",1.09
"Mar 9, 2016",1.13,1.16,1.08,1.11,"520,800",1.11
"Mar 8, 2016",1.22,1.24,1.12,1.12,"1,175,400",1.12
"Mar 7, 2016",1.23,1.27,1.18,1.22,"951,000",1.22
"Mar 4, 2016",1.20,1.24,1.18,1.21,"977,800",1.21
"Mar 3, 2016",1.08,1.22,1.07,1.16,"1,722,500",1.16
"Mar 2, 2016",1.03,1.08,1.00,1.07,"602,900",1.07
"Mar 1, 2016",1.00,1.03,0.97,1.03,"962,400",1.03
"Feb 29, 2016",1.05,1.06,0.96,0.99,"961,400",0.99
"Feb 26, 2016",1.02,1.06,1.01,1.04,"488,900",1.04
"Feb 25, 2016",0.95,1.06,0.95,1.03,"1,410,700",1.03
"Feb 24, 2016",0.93,0.95,0.90,0.94,"474,300",0.94
"Feb 23, 2016",1.02,1.05,0.93,0.93,"743,000",0.93
"Feb 22, 2016",1.08,1.10,1.03,1.03,"496,000",1.03
"Feb 19, 2016",1.05,1.09,1.02,1.05,"490,500",1.05
"Feb 18, 2016",1.09,1.11,1.04,1.04,"589,100",1.04
"Feb 17, 2016",1.07,1.10,1.04,1.07,"644,700",1.07
"Feb 16, 2016",1.04,1.07,1.01,1.06,"628,900",1.06
"Feb 12, 2016",1.03,1.07,0.99,1.03,"350,100",1.03
"Feb 11, 2016",1.00,1.07,1.00,1.02,"571,400",1.02
"Feb 10, 2016",1.05,1.22,1.02,1.02,"657,200",1.02
"Feb 9, 2016",1.02,1.11,1.02,1.06,"445,700",1.06
"Feb 8, 2016",1.11,1.15,1.02,1.05,"926,800",1.05
"Feb 5, 2016",1.18,1.19,1.13,1.15,"789,000",1.15
"Feb 4, 2016",1.19,1.28,1.18,1.19,"573,300",1.19
"Feb 3, 2016",1.27,1.28,1.15,1.19,"1,084,800",1.19
"Feb 2, 2016",1.28,1.30,1.25,1.28,"476,400",1.28
"Feb 1, 2016",1.33,1.49,1.27,1.30,"946,700",1.30
"Jan 29, 2016",1.38,1.45,1.30,1.33,"962,800",1.33
"Jan 28, 2016",1.47,1.47,1.37,1.38,"1,079,900",1.38
"Jan 27, 2016",1.52,1.58,1.45,1.46,"830,800",1.46
"Jan 26, 2016",1.59,1.59,1.43,1.52,"920,200",1.52
"Jan 25, 2016",1.70,1.72,1.54,1.55,"801,300",1.55
"Jan 22, 2016",1.68,1.71,1.59,1.66,"594,600",1.66
"Jan 21, 2016",1.71,1.78,1.65,1.66,"740,900",1.66
"Jan 20, 2016",1.52,1.72,1.45,1.70,"1,097,200",1.70
"Jan 19, 2016",1.63,1.67,1.51,1.56,"957,500",1.56
"Jan 15, 2016",1.61,1.62,1.50,1.58,"1,049,500",1.58
"Jan 14, 2016",1.52,1.66,1.40,1.66,"766,800",1.66
"Jan 13, 2016",1.67,1.72,1.48,1.49,"1,602,700",1.49
"Jan 12, 2016",1.68,1.73,1.60,1.67,"932,700",1.67
"Jan 11, 2016",1.77,1.82,1.62,1.65,"1,310,900",1.65
"Jan 8, 2016",1.82,1.88,1.73,1.76,"586,600",1.76
"Jan 7, 2016",1.90,1.93,1.79,1.82,"835,700",1.82
"Jan 6, 2016",2.01,2.06,1.92,1.95,"613,500",1.95
"Jan 5, 2016",2.08,2.11,2.02,2.05,"497,100",2.05
"Jan 4, 2016",2.19,2.19,2.03,2.04,"1,032,400",2.04
"Dec 31, 2015",2.33,2.34,2.20,2.22,"984,200",2.22
"Dec 30, 2015",2.37,2.40,2.28,2.32,"640,300",2.32
"Dec 29, 2015",2.37,2.43,2.31,2.38,"449,000",2.38
"Dec 28, 2015",2.43,2.47,2.35,2.36,"545,300",2.36
"Dec 24, 2015",2.38,2.49,2.36,2.45,"375,300",2.45
"Dec 23, 2015",2.38,2.42,2.31,2.41,"528,300",2.41
"Dec 22, 2015",2.33,2.41,2.30,2.37,"1,000,500",2.37
"Dec 21, 2015",2.33,2.38,2.19,2.35,"1,403,300",2.35
"Dec 18, 2015",2.17,2.28,2.16,2.20,"3,324,100",2.20
"Dec 17, 2015",2.18,2.24,2.16,2.17,"1,061,900",2.17
"Dec 16, 2015",2.21,2.23,2.15,2.20,"1,206,600",2.20
"Dec 15, 2015",2.20,2.28,2.10,2.18,"2,035,700",2.18
"Dec 14, 2015",2.38,2.39,2.12,2.16,"2,336,400",2.16
"Dec 11, 2015",2.27,2.46,2.19,2.34,"3,561,400",2.34
"Dec 10, 2015",2.29,2.48,2.21,2.35,"3,808,400",2.35
"Dec 9, 2015",2.70,2.70,2.10,2.13,"8,139,500",2.13
"Dec 8, 2015",3.25,3.41,3.11,3.13,"3,815,500",3.13
"Dec 7, 2015",3.41,3.42,3.12,3.25,"1,978,200",3.25
"Dec 4, 2015",3.35,3.43,3.33,3.40,"1,020,500",3.40
"Dec 3, 2015",3.57,3.58,3.26,3.34,"1,781,800",3.34
"Dec 2, 2015",3.49,3.75,3.45,3.55,"2,080,200",3.55
"Dec 1, 2015",3.63,3.65,3.40,3.49,"1,238,800",3.49
"Nov 30, 2015",3.43,3.61,3.31,3.55,"1,981,500",3.55
"Nov 27, 2015",3.37,3.40,3.30,3.38,"237,700",3.38
"Nov 25, 2015",3.33,3.47,3.25,3.38,"696,500",3.38
"Nov 24, 2015",3.25,3.36,3.20,3.31,"689,900",3.31
"Nov 23, 2015",3.21,3.34,3.17,3.25,"654,500",3.25
"Nov 20, 2015",3.15,3.26,3.08,3.23,"732,700",3.23
"Nov 19, 2015",3.29,3.34,3.10,3.12,"807,400",3.12
"Nov 18, 2015",3.32,3.38,3.18,3.33,"1,336,400",3.33
"Nov 17, 2015",3.38,3.42,3.26,3.31,"1,128,400",3.31
"Nov 16, 2015",3.46,3.55,3.25,3.35,"1,858,300",3.35
"Nov 13, 2015",3.23,3.49,3.19,3.46,"1,240,500",3.46
"Nov 12, 2015",3.23,3.29,3.13,3.27,"601,000",3.27
"Nov 11, 2015",3.45,3.46,3.26,3.27,"533,700",3.27
"Nov 10, 2015",3.35,3.50,3.30,3.45,"781,500",3.45
"Nov 9, 2015",3.30,3.40,3.27,3.36,"819,600",3.36
"Nov 6, 2015",3.17,3.40,3.03,3.30,"1,063,700",3.30
"Nov 5, 2015",3.24,3.25,3.07,3.20,"460,100",3.20
"Nov 4, 2015",3.26,3.34,3.14,3.24,"636,300",3.24
"Nov 3, 2015",3.23,3.34,3.16,3.26,"665,700",3.26
"Nov 2, 2015",2.95,3.33,2.95,3.25,"937,000",3.25
"Oct 30, 2015",2.97,3.04,2.89,2.96,"573,700",2.96
"Oct 29, 2015",2.75,3.09,2.74,2.98,"1,115,400",2.98
"Oct 28, 2015",2.67,2.78,2.62,2.76,"549,800",2.76
"Oct 27, 2015",2.65,2.71,2.60,2.66,"435,700",2.66
