Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",115.59,116.14,109.80,110.03,"532,800",110.03
"Jun 10, 2016",116.72,117.29,115.86,116.27,"248,700",116.27
"Jun 9, 2016",116.56,118.45,115.78,117.78,"200,200",117.78
"Jun 8, 2016",117.29,119.04,116.00,117.36,"253,700",117.36
"Jun 7, 2016",119.66,119.72,116.24,117.04,"401,300",117.04
"Jun 6, 2016",118.24,120.21,117.82,119.64,"391,000",119.64
"Jun 3, 2016",118.49,120.00,116.29,118.53,"1,026,600",118.53
"Jun 2, 2016",116.67,116.97,113.52,114.06,"274,200",114.06
"Jun 1, 2016",117.96,119.39,116.82,116.99,"215,600",116.99
"May 31, 2016",116.76,118.61,116.20,117.96,"200,200",117.96
"May 27, 2016",115.79,117.58,114.49,117.39,"206,400",117.39
"May 26, 2016",115.23,117.59,114.10,116.17,"168,300",116.17
"May 25, 2016",115.55,115.86,114.04,114.84,"277,900",114.84
"May 24, 2016",114.73,116.25,114.30,115.48,"143,000",115.48
"May 23, 2016",113.44,115.24,112.99,114.97,"128,800",114.97
"May 20, 2016",113.84,114.32,112.70,113.75,"156,400",113.75
"May 19, 2016",114.50,116.80,112.43,112.67,"385,800",112.67
"May 18, 2016",113.40,115.19,112.22,115.19,"326,800",115.19
"May 17, 2016",115.77,115.77,111.66,113.40,"231,500",113.40
"May 16, 2016",115.29,119.78,112.46,115.33,"305,500",115.33
"May 13, 2016",116.26,116.98,114.46,115.01,"277,000",115.01
"May 12, 2016",118.31,118.31,115.00,116.49,"213,200",116.49
"May 11, 2016",118.32,120.50,117.68,118.44,"276,500",118.44
"May 10, 2016",116.33,118.86,115.00,118.61,"240,600",118.61
"May 9, 2016",118.05,118.15,115.29,115.53,"219,500",115.53
"May 6, 2016",117.83,119.95,115.04,119.03,"254,300",119.03
"May 5, 2016",117.15,121.04,115.08,119.57,"391,400",119.57
"May 4, 2016",116.80,118.07,115.71,117.06,"154,400",117.06
"May 3, 2016",119.22,120.47,116.31,117.51,"260,700",117.51
"May 2, 2016",117.44,120.95,114.51,120.43,"296,900",120.43
"Apr 29, 2016",119.99,120.52,114.45,117.00,"156,100",117.00
"Apr 28, 2016",118.23,121.80,116.84,119.99,"190,100",119.99
"Apr 27, 2016",123.19,123.52,115.67,119.23,"286,900",119.23
"Apr 26, 2016",128.81,129.54,123.75,124.01,"358,700",124.01
"Apr 25, 2016",128.05,128.64,126.37,128.17,"194,700",128.17
"Apr 22, 2016",126.65,129.23,124.28,128.74,"201,600",128.74
"Apr 21, 2016",124.93,129.18,124.31,126.98,"170,700",126.98
"Apr 20, 2016",127.21,127.21,121.07,124.12,"236,300",124.12
"Apr 19, 2016",128.13,128.13,125.35,126.26,"178,800",126.26
"Apr 18, 2016",123.00,128.47,122.22,127.14,"335,300",127.14
"Apr 15, 2016",122.25,124.26,121.35,123.39,"125,500",123.39
"Apr 14, 2016",123.28,123.75,122.00,122.50,"175,000",122.50
"Apr 13, 2016",122.00,123.80,121.24,122.75,"228,400",122.75
"Apr 12, 2016",119.84,122.00,118.84,121.81,"118,400",121.81
"Apr 11, 2016",121.24,121.24,118.55,119.79,"74,100",119.79
"Apr 8, 2016",122.97,122.99,119.20,120.37,"140,800",120.37
"Apr 7, 2016",122.50,122.75,120.00,121.97,"178,900",121.97
"Apr 6, 2016",114.87,123.21,114.18,122.76,"192,000",122.76
"Apr 5, 2016",116.00,118.01,114.02,114.23,"114,500",114.23
"Apr 4, 2016",115.15,117.02,113.96,116.78,"124,500",116.78
"Apr 1, 2016",113.40,115.50,112.90,114.99,"193,600",114.99
"Mar 31, 2016",113.92,116.57,113.92,114.48,"144,500",114.48
"Mar 30, 2016",114.08,116.16,112.15,114.17,"237,700",114.17
"Mar 29, 2016",110.50,113.57,110.50,113.04,"110,500",113.04
"Mar 28, 2016",110.77,112.60,109.64,110.76,"118,600",110.76
"Mar 24, 2016",109.50,110.54,107.53,110.30,"163,600",110.30
"Mar 23, 2016",112.18,114.87,109.50,110.00,"240,500",110.00
"Mar 22, 2016",113.00,113.96,111.65,112.75,"457,600",112.75
"Mar 21, 2016",111.04,114.63,111.04,112.48,"104,700",112.48
"Mar 18, 2016",113.75,114.00,110.66,111.27,"366,100",111.27
