Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.29,5.49,5.24,5.32,"241,600",5.32
"Jun 10, 2016",5.23,5.51,5.20,5.39,"437,300",5.39
"Jun 9, 2016",5.44,5.55,5.32,5.37,"468,700",5.37
"Jun 8, 2016",5.46,5.59,5.32,5.50,"669,700",5.50
"Jun 7, 2016",5.32,5.64,5.24,5.48,"924,100",5.48
"Jun 6, 2016",5.09,5.50,5.00,5.40,"732,500",5.40
"Jun 3, 2016",5.09,5.24,4.93,5.08,"571,200",5.08
"Jun 2, 2016",4.92,5.23,4.79,5.17,"1,002,400",5.17
"Jun 1, 2016",5.56,5.60,4.77,4.96,"3,599,800",4.96
"May 31, 2016",5.19,5.69,5.18,5.39,"3,502,100",5.39
"May 27, 2016",4.41,5.60,4.40,5.20,"3,659,300",5.20
"May 26, 2016",4.52,4.59,4.35,4.42,"618,800",4.42
"May 25, 2016",4.38,4.66,4.25,4.48,"761,600",4.48
"May 24, 2016",4.38,4.47,4.20,4.37,"859,000",4.37
"May 23, 2016",4.37,4.98,4.23,4.37,"1,836,700",4.37
"May 20, 2016",4.41,4.51,4.18,4.28,"875,300",4.28
"May 19, 2016",4.80,5.19,4.15,4.37,"4,216,500",4.37
"May 18, 2016",3.85,4.82,3.81,4.77,"3,297,400",4.77
"May 17, 2016",4.06,4.26,3.76,3.85,"1,540,000",3.85
"May 16, 2016",3.93,4.29,3.80,4.03,"2,173,600",4.03
"May 13, 2016",3.98,4.13,3.70,3.82,"2,240,800",3.82
"May 12, 2016",4.67,4.67,3.82,3.98,"6,077,900",3.98
"May 11, 2016",3.02,4.86,2.90,4.60,"20,692,900",4.60
"May 10, 2016",3.78,3.93,2.70,2.99,"15,075,600",2.99
"May 9, 2016",2.06,2.16,2.00,2.10,"54,000",2.10
"May 6, 2016",2.04,2.20,1.99,2.03,"113,400",2.03
"May 5, 2016",2.00,2.14,1.92,2.05,"127,600",2.05
"May 4, 2016",2.23,2.40,2.00,2.04,"176,000",2.04
