Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",102.84,104.37,101.54,101.61,"3,189,700",101.61
"Jun 10, 2016",104.90,105.47,102.51,102.91,"4,856,000",102.91
"Jun 9, 2016",106.07,107.74,105.75,106.13,"3,422,900",106.13
"Jun 8, 2016",107.42,107.49,106.20,106.78,"3,498,200",106.78
"Jun 7, 2016",106.77,107.80,105.65,107.40,"3,969,500",107.40
"Jun 6, 2016",107.60,108.50,106.52,107.65,"2,766,000",107.65
"Jun 3, 2016",108.10,108.32,106.11,107.59,"3,062,400",107.59
"Jun 2, 2016",106.02,108.24,105.88,108.24,"3,992,400",108.24
"Jun 1, 2016",104.48,106.44,104.42,106.02,"2,849,700",106.02
"May 31, 2016",107.25,107.44,105.42,105.52,"5,916,600",105.52
"May 27, 2016",106.29,106.74,105.30,106.43,"2,511,700",106.43
"May 26, 2016",104.80,107.40,104.24,105.78,"4,781,100",105.78
"May 25, 2016",104.24,105.87,104.02,105.11,"3,654,900",105.11
"May 24, 2016",101.62,103.87,101.32,103.70,"3,461,900",103.70
"May 23, 2016",101.31,102.25,100.80,101.02,"2,744,300",101.02
"May 20, 2016",100.12,102.41,100.04,101.46,"3,707,800",101.46
"May 19, 2016",100.30,100.92,99.03,99.94,"3,633,000",99.94
"May 18, 2016",100.36,102.04,100.06,101.08,"3,353,700",101.08
"May 17, 2016",101.03,101.84,100.12,100.68,"3,273,000",100.68
"May 16, 2016",99.99,101.80,99.76,101.57,"2,416,600",101.57
"May 13, 2016",99.92,101.91,99.57,100.16,"3,195,000",100.16
"May 12, 2016",100.89,100.99,99.24,100.30,"3,973,600",100.30
"May 11, 2016",103.21,103.23,100.13,100.25,"3,299,500",100.25
"May 10, 2016",102.80,103.48,101.75,103.25,"2,911,700",103.25
"May 9, 2016",100.61,103.05,100.59,102.41,"3,493,000",102.41
"May 6, 2016",100.72,102.11,99.27,100.25,"3,727,400",100.25
"May 5, 2016",100.82,101.83,99.98,101.71,"3,406,300",101.71
"May 4, 2016",102.84,102.84,100.22,100.90,"4,359,500",100.90
"May 3, 2016",103.49,104.65,102.54,103.22,"3,605,600",103.22
"May 2, 2016",103.25,105.02,102.72,104.97,"4,915,700",104.97
"Apr 29, 2016",106.06,108.34,102.39,103.41,"6,930,500",103.41
"Apr 28, 2016",105.08,110.20,103.36,108.03,"8,598,500",108.03
"Apr 27, 2016",107.90,108.11,105.82,106.15,"5,844,400",106.15
"Apr 26, 2016",110.70,110.77,107.21,107.55,"5,468,500",107.55
"Apr 25, 2016",110.43,111.90,109.83,110.57,"3,047,800",110.57
"Apr 22, 2016",110.34,111.50,109.65,110.52,"4,838,600",110.52
"Apr 21, 2016",106.51,110.07,106.31,109.92,"3,969,800",109.92
"Apr 20, 2016",106.50,107.35,105.86,106.73,"2,729,900",106.73
"Apr 19, 2016",108.19,108.72,106.36,106.53,"3,896,600",106.53
"Apr 18, 2016",107.15,108.73,106.51,107.84,"3,474,000",107.84
"Apr 15, 2016",106.84,107.42,105.08,107.34,"5,189,700",107.34
"Apr 14, 2016",107.82,107.94,106.07,106.99,"3,173,300",106.99
"Apr 13, 2016",106.44,107.79,105.28,107.60,"4,344,900",107.60
"Apr 12, 2016",103.33,105.80,103.14,105.26,"3,996,600",105.26
"Apr 11, 2016",106.52,107.06,103.29,103.81,"4,832,700",103.81
"Apr 8, 2016",109.11,109.20,105.39,106.26,"4,043,500",106.26
"Apr 7, 2016",108.20,109.76,106.61,107.11,"6,161,300",107.11
"Apr 6, 2016",102.55,108.50,102.48,108.22,"8,344,800",108.22
