Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",18.74,19.70,18.51,18.78,"752,000",18.78
"Jun 10, 2016",18.71,19.00,18.20,18.72,"550,100",18.72
"Jun 9, 2016",19.08,19.40,18.69,18.86,"370,900",18.86
"Jun 8, 2016",19.48,19.67,19.17,19.24,"505,500",19.24
"Jun 7, 2016",19.50,19.62,18.94,19.38,"723,600",19.38
"Jun 6, 2016",18.88,19.65,18.50,19.48,"556,200",19.48
"Jun 3, 2016",19.83,20.00,18.69,18.73,"970,700",18.73
"Jun 2, 2016",19.12,20.02,19.05,19.85,"1,170,500",19.85
"Jun 1, 2016",18.75,19.22,18.54,19.14,"978,100",19.14
"May 31, 2016",18.44,19.04,18.36,18.79,"1,161,800",18.79
"May 27, 2016",18.03,18.52,17.79,18.26,"973,500",18.26
"May 26, 2016",18.00,18.30,17.63,17.89,"719,700",17.89
"May 25, 2016",17.15,17.76,17.07,17.49,"771,800",17.49
"May 24, 2016",16.16,17.68,16.11,16.91,"1,054,400",16.91
"May 23, 2016",15.78,16.38,15.71,16.02,"468,200",16.02
"May 20, 2016",14.99,15.93,14.81,15.76,"560,300",15.76
"May 19, 2016",15.18,15.61,14.48,14.81,"600,900",14.81
"May 18, 2016",14.97,15.37,14.80,15.36,"609,400",15.36
"May 17, 2016",15.41,15.77,14.90,14.99,"905,600",14.99
"May 16, 2016",14.81,15.58,14.50,15.53,"984,300",15.53
"May 13, 2016",15.15,15.69,14.56,14.75,"870,100",14.75
"May 12, 2016",15.33,15.60,14.47,14.83,"713,700",14.83
"May 11, 2016",15.85,16.00,15.19,15.22,"403,900",15.22
"May 10, 2016",15.85,16.14,15.42,15.87,"583,300",15.87
"May 9, 2016",14.42,16.15,14.32,15.92,"1,175,300",15.92
"May 6, 2016",15.66,15.98,15.22,15.67,"600,900",15.67
"May 5, 2016",16.16,16.42,15.31,15.84,"574,900",15.84
"May 4, 2016",16.93,17.21,16.01,16.10,"821,500",16.10
"May 3, 2016",17.08,17.69,17.00,17.04,"695,600",17.04
"May 2, 2016",17.68,19.28,17.08,17.39,"1,637,200",17.39
"Apr 29, 2016",17.33,17.63,16.66,16.93,"576,500",16.93
"Apr 28, 2016",17.87,18.14,17.33,17.39,"548,000",17.39
"Apr 27, 2016",18.07,18.55,17.64,17.90,"364,100",17.90
"Apr 26, 2016",18.88,18.90,17.55,18.16,"545,800",18.16
"Apr 25, 2016",19.14,19.38,18.56,18.83,"353,800",18.83
"Apr 22, 2016",19.23,19.45,18.51,19.20,"541,000",19.20
"Apr 21, 2016",18.09,19.08,17.96,19.07,"552,000",19.07
"Apr 20, 2016",18.22,18.62,17.71,18.17,"361,700",18.17
"Apr 19, 2016",18.74,18.94,17.64,18.17,"451,700",18.17
"Apr 18, 2016",18.15,19.00,18.15,18.78,"370,800",18.78
"Apr 15, 2016",18.69,19.00,18.09,18.32,"339,500",18.32
"Apr 14, 2016",18.63,19.13,18.56,18.79,"384,900",18.79
"Apr 13, 2016",17.98,18.58,17.74,18.56,"413,300",18.56
"Apr 12, 2016",17.98,18.22,17.50,17.82,"402,800",17.82
"Apr 11, 2016",19.02,19.28,17.90,18.08,"428,200",18.08
