Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.03,6.18,5.96,6.09,"1,279,000",6.09
"Jun 10, 2016",5.89,6.17,5.78,6.09,"1,211,800",6.09
"Jun 9, 2016",6.05,6.08,5.94,5.97,"829,700",5.97
"Jun 8, 2016",6.03,6.13,5.99,6.08,"897,200",6.08
"Jun 7, 2016",5.75,6.16,5.74,6.03,"2,093,600",6.03
"Jun 6, 2016",5.54,5.78,5.47,5.74,"893,200",5.74
"Jun 3, 2016",5.68,5.70,5.50,5.52,"598,000",5.52
"Jun 2, 2016",5.66,5.76,5.64,5.69,"737,700",5.69
"Jun 1, 2016",5.54,5.70,5.53,5.66,"908,100",5.66
"May 31, 2016",5.51,5.61,5.49,5.56,"1,536,900",5.56
"May 27, 2016",5.55,5.62,5.44,5.51,"723,200",5.51
"May 26, 2016",5.62,5.67,5.54,5.55,"804,500",5.55
"May 25, 2016",5.54,5.75,5.52,5.63,"976,500",5.63
"May 24, 2016",5.40,5.56,5.33,5.53,"1,006,700",5.53
"May 23, 2016",5.50,5.62,5.33,5.40,"1,814,500",5.40
"May 20, 2016",5.10,5.20,4.90,5.20,"1,520,700",5.20
"May 19, 2016",5.18,5.26,5.07,5.07,"889,900",5.07
"May 18, 2016",5.17,5.28,5.14,5.20,"737,800",5.20
"May 17, 2016",5.42,5.42,5.13,5.18,"1,056,500",5.18
"May 16, 2016",5.29,5.46,5.27,5.43,"668,400",5.43
"May 13, 2016",5.22,5.45,5.21,5.31,"778,000",5.31
"May 12, 2016",5.44,5.52,5.11,5.22,"1,533,100",5.22
"May 11, 2016",5.61,5.72,5.44,5.44,"823,000",5.44
"May 10, 2016",5.72,5.80,5.58,5.64,"750,000",5.64
"May 9, 2016",5.45,5.83,5.45,5.73,"1,008,200",5.73
"May 6, 2016",5.58,5.63,5.50,5.51,"928,300",5.51
"May 5, 2016",5.89,5.89,5.55,5.63,"1,113,100",5.63
"May 4, 2016",5.86,5.91,5.42,5.83,"2,068,900",5.83
"May 3, 2016",6.22,6.31,6.11,6.17,"1,077,100",6.17
"May 2, 2016",6.26,6.29,6.11,6.24,"982,300",6.24
"Apr 29, 2016",6.43,6.47,6.16,6.26,"950,000",6.26
"Apr 28, 2016",6.41,6.61,6.40,6.42,"723,800",6.42
"Apr 27, 2016",6.42,6.58,6.32,6.47,"790,900",6.47
"Apr 26, 2016",6.52,6.54,6.26,6.45,"1,394,500",6.45
"Apr 25, 2016",6.69,6.70,6.44,6.48,"857,200",6.48
"Apr 22, 2016",6.75,6.89,6.56,6.65,"1,019,300",6.65
"Apr 21, 2016",6.52,6.71,6.50,6.65,"1,636,000",6.65
"Apr 20, 2016",6.32,6.58,6.28,6.52,"927,700",6.52
"Apr 19, 2016",6.43,6.50,6.32,6.35,"812,500",6.35
"Apr 18, 2016",6.63,6.67,6.35,6.43,"878,400",6.43
"Apr 15, 2016",6.47,6.68,6.39,6.60,"1,811,700",6.60
"Apr 14, 2016",6.25,6.49,6.17,6.46,"1,468,800",6.46
"Apr 13, 2016",6.36,6.36,6.17,6.22,"713,600",6.22
"Apr 12, 2016",6.13,6.31,6.00,6.30,"707,900",6.30
"Apr 11, 2016",6.22,6.30,6.05,6.10,"794,200",6.10
"Apr 8, 2016",6.40,6.48,6.06,6.15,"1,097,500",6.15
"Apr 7, 2016",6.39,6.49,6.32,6.38,"1,401,300",6.38
"Apr 6, 2016",6.19,6.40,6.09,6.40,"1,559,600",6.40
"Apr 5, 2016",6.10,6.30,6.10,6.16,"1,226,000",6.16
"Apr 4, 2016",5.99,6.25,5.93,6.15,"1,740,000",6.15
"Apr 1, 2016",5.91,6.03,5.86,6.00,"850,300",6.00
"Mar 31, 2016",5.91,5.98,5.85,5.93,"649,400",5.93
"Mar 30, 2016",5.99,6.05,5.69,5.88,"1,083,000",5.88
"Mar 29, 2016",5.79,5.99,5.60,5.95,"830,500",5.95
"Mar 28, 2016",5.77,5.85,5.68,5.79,"683,000",5.79
"Mar 24, 2016",5.75,5.82,5.62,5.78,"707,800",5.78
"Mar 23, 2016",6.01,6.13,5.79,5.80,"757,800",5.80
"Mar 22, 2016",6.02,6.10,6.01,6.01,"847,700",6.01
"Mar 21, 2016",6.02,6.11,5.97,5.99,"1,695,400",5.99
"Mar 18, 2016",5.82,5.99,5.69,5.95,"1,667,600",5.95
"Mar 17, 2016",5.82,5.88,5.50,5.78,"1,148,000",5.78
"Mar 16, 2016",6.10,6.17,5.61,5.79,"2,379,800",5.79
"Mar 15, 2016",5.66,6.15,5.66,5.99,"4,614,800",5.99
"Mar 14, 2016",5.62,5.89,5.62,5.70,"1,062,700",5.70
"Mar 11, 2016",5.58,5.67,5.42,5.65,"1,588,200",5.65
"Mar 10, 2016",5.69,5.82,5.44,5.49,"1,129,500",5.49
"Mar 9, 2016",5.25,5.96,5.25,5.66,"3,031,100",5.66
"Mar 8, 2016",5.59,5.61,5.30,5.32,"882,300",5.32
"Mar 7, 2016",5.69,5.81,5.57,5.63,"1,091,200",5.63
"Mar 4, 2016",5.75,5.96,5.62,5.72,"1,624,500",5.72
"Mar 3, 2016",5.44,5.67,5.35,5.65,"2,450,500",5.65
"Mar 2, 2016",5.04,5.30,5.04,5.26,"1,004,200",5.26
"Mar 1, 2016",4.95,5.07,4.81,5.06,"1,349,500",5.06
