Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.36,6.44,6.26,6.30,"227,000",6.30
"Jun 10, 2016",6.58,6.60,6.40,6.43,"76,800",6.43
"Jun 9, 2016",6.67,6.75,6.61,6.62,"69,300",6.62
"Jun 8, 2016",6.73,6.84,6.66,6.78,"72,900",6.78
"Jun 7, 2016",6.77,6.83,6.69,6.77,"66,800",6.77
"Jun 6, 2016",6.75,6.84,6.61,6.78,"128,900",6.78
"Jun 3, 2016",6.89,6.91,6.75,6.80,"65,200",6.80
"Jun 2, 2016",6.86,6.98,6.83,6.92,"57,300",6.92
"Jun 1, 2016",6.87,6.99,6.83,6.95,"63,400",6.95
"May 31, 2016",6.90,6.99,6.85,6.96,"58,100",6.96
"May 27, 2016",6.81,6.98,6.76,6.83,"39,000",6.83
"May 26, 2016",6.95,6.95,6.79,6.82,"87,000",6.82
"May 25, 2016",7.01,7.10,6.72,7.00,"190,200",7.00
"May 24, 2016",6.95,7.01,6.88,6.97,"162,000",6.97
"May 23, 2016",6.80,6.95,6.80,6.91,"81,700",6.91
"May 20, 2016",6.82,6.88,6.76,6.84,"85,600",6.84
"May 19, 2016",6.86,6.89,6.66,6.78,"63,700",6.78
"May 18, 2016",6.72,6.94,6.70,6.89,"164,600",6.89
"May 17, 2016",6.75,6.97,6.71,6.77,"58,900",6.77
"May 16, 2016",6.63,6.89,6.63,6.79,"108,700",6.79
"May 13, 2016",6.55,6.74,6.53,6.67,"42,100",6.67
"May 12, 2016",6.69,6.70,6.42,6.54,"80,700",6.54
"May 11, 2016",6.99,6.99,6.63,6.66,"158,400",6.66
"May 10, 2016",6.78,7.13,6.78,7.05,"214,100",7.05
"May 9, 2016",6.43,6.75,6.42,6.69,"91,600",6.69
"May 6, 2016",6.57,6.63,6.43,6.46,"134,400",6.46
"May 5, 2016",6.79,6.79,6.48,6.54,"115,700",6.54
"May 4, 2016",6.76,6.83,6.65,6.78,"148,600",6.78
"May 3, 2016",6.73,7.01,6.65,6.88,"119,300",6.88
"May 2, 2016",6.79,6.85,6.60,6.78,"183,300",6.78
"Apr 29, 2016",7.01,7.01,6.76,6.78,"99,800",6.78
"Apr 28, 2016",6.88,7.10,6.68,6.91,"58,400",6.91
"Apr 27, 2016",6.85,6.95,6.78,6.89,"50,800",6.89
"Apr 26, 2016",7.10,7.10,6.86,6.88,"56,000",6.88
"Apr 25, 2016",7.05,7.13,7.02,7.02,"53,600",7.02
"Apr 22, 2016",7.04,7.12,6.90,7.12,"55,200",7.12
"Apr 21, 2016",7.09,7.11,6.96,7.03,"66,000",7.03
"Apr 20, 2016",7.00,7.08,6.96,6.97,"82,700",6.97
"Apr 19, 2016",6.95,7.07,6.90,7.02,"93,900",7.02
"Apr 18, 2016",6.93,7.14,6.82,6.94,"111,200",6.94
"Apr 15, 2016",6.84,7.04,6.80,6.86,"127,800",6.86
"Apr 14, 2016",6.66,6.89,6.57,6.83,"97,100",6.83
"Apr 13, 2016",6.50,6.70,6.50,6.70,"86,800",6.70
"Apr 12, 2016",6.24,6.47,6.21,6.41,"148,200",6.41
"Apr 11, 2016",6.18,6.40,6.18,6.24,"83,000",6.24
"Apr 8, 2016",6.28,6.30,6.17,6.21,"52,300",6.21
"Apr 7, 2016",6.07,6.29,6.04,6.18,"100,700",6.18
"Apr 6, 2016",5.69,6.14,5.69,6.13,"308,200",6.13
"Apr 5, 2016",5.60,5.70,5.52,5.64,"70,700",5.64
"Apr 4, 2016",5.67,5.74,5.61,5.66,"111,700",5.66
"Apr 1, 2016",5.55,5.69,5.48,5.66,"92,200",5.66
"Mar 31, 2016",5.68,5.76,5.54,5.58,"94,400",5.58
"Mar 30, 2016",5.60,5.72,5.59,5.69,"157,900",5.69
"Mar 29, 2016",5.50,5.60,5.31,5.59,"211,700",5.59
"Mar 28, 2016",5.82,5.82,5.54,5.57,"79,200",5.57
"Mar 24, 2016",5.80,5.94,5.59,5.82,"60,800",5.82
"Mar 23, 2016",5.90,5.95,5.65,5.72,"72,400",5.72
"Mar 22, 2016",5.75,5.99,5.75,5.93,"77,600",5.93
"Mar 21, 2016",5.51,5.83,5.51,5.80,"109,500",5.80
"Mar 18, 2016",5.41,5.68,5.41,5.59,"214,000",5.59
"Mar 17, 2016",5.36,5.54,5.33,5.46,"68,100",5.46
"Mar 16, 2016",5.34,5.39,5.25,5.35,"81,800",5.35
"Mar 15, 2016",5.50,5.50,5.25,5.34,"205,700",5.34
"Mar 14, 2016",5.51,5.60,5.46,5.53,"53,700",5.53
"Mar 11, 2016",5.42,5.65,5.42,5.59,"118,400",5.59
"Mar 10, 2016",5.57,5.57,5.30,5.33,"55,600",5.33
"Mar 9, 2016",5.56,5.59,5.36,5.45,"88,500",5.45
"Mar 8, 2016",5.86,5.86,5.50,5.50,"111,500",5.50
