Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",2.86,2.97,2.78,2.80,"127,000",2.80
"Jun 10, 2016",3.13,3.13,2.85,2.91,"320,900",2.91
"Jun 9, 2016",3.36,3.39,3.10,3.14,"225,900",3.14
"Jun 8, 2016",3.21,3.40,3.15,3.35,"266,000",3.35
"Jun 7, 2016",3.25,3.30,3.18,3.26,"168,600",3.26
"Jun 6, 2016",3.27,3.34,3.20,3.27,"163,700",3.27
"Jun 3, 2016",3.28,3.36,3.19,3.29,"179,200",3.29
"Jun 2, 2016",3.33,3.39,3.28,3.32,"178,400",3.32
"Jun 1, 2016",3.18,3.38,3.18,3.31,"376,600",3.31
"May 31, 2016",3.10,3.29,3.10,3.21,"322,600",3.21
"May 27, 2016",3.03,3.16,2.95,3.10,"221,000",3.10
"May 26, 2016",3.14,3.14,2.94,3.02,"165,300",3.02
"May 25, 2016",3.14,3.22,3.02,3.11,"190,100",3.11
"May 24, 2016",3.05,3.19,3.00,3.10,"193,300",3.10
"May 23, 2016",2.86,3.15,2.86,3.01,"196,400",3.01
"May 20, 2016",2.81,2.88,2.74,2.86,"307,700",2.86
"May 19, 2016",3.00,3.00,2.76,2.83,"237,400",2.83
"May 18, 2016",2.84,3.12,2.76,3.00,"486,300",3.00
"May 17, 2016",2.81,2.97,2.76,2.87,"380,000",2.87
"May 16, 2016",2.68,2.85,2.58,2.84,"343,000",2.84
"May 13, 2016",2.68,2.69,2.50,2.65,"548,500",2.65
"May 12, 2016",2.86,3.00,2.55,2.55,"529,900",2.55
"May 11, 2016",3.06,3.17,2.89,2.92,"410,100",2.92
"May 10, 2016",3.07,3.16,2.91,3.09,"301,700",3.09
"May 9, 2016",2.95,3.13,2.92,3.04,"279,800",3.04
"May 6, 2016",3.01,3.10,2.89,2.95,"220,100",2.95
"May 5, 2016",2.99,3.07,2.90,3.03,"286,600",3.03
"May 4, 2016",3.05,3.14,2.95,2.98,"600,300",2.98
"May 3, 2016",3.34,3.45,3.10,3.13,"447,700",3.13
"May 2, 2016",3.41,3.42,3.26,3.38,"352,000",3.38
"Apr 29, 2016",3.50,3.53,3.31,3.37,"352,000",3.37
"Apr 28, 2016",3.50,3.66,3.43,3.46,"421,400",3.46
"Apr 27, 2016",3.48,3.55,3.40,3.50,"417,200",3.50
"Apr 26, 2016",3.64,3.67,3.41,3.50,"597,300",3.50
"Apr 25, 2016",3.67,3.84,3.63,3.68,"628,300",3.68
"Apr 22, 2016",3.93,3.93,3.73,3.83,"499,700",3.83
"Apr 21, 2016",3.62,3.87,3.53,3.82,"937,100",3.82
"Apr 20, 2016",3.79,3.80,3.53,3.59,"1,271,500",3.59
"Apr 19, 2016",3.74,3.89,3.72,3.79,"1,941,500",3.79
"Apr 18, 2016",4.28,4.39,3.70,3.75,"7,346,200",3.75
"Apr 15, 2016",9.92,11.41,9.78,10.17,"904,700",10.17
"Apr 14, 2016",9.89,10.20,9.00,10.04,"1,675,600",10.04
"Apr 13, 2016",11.06,11.61,10.22,10.90,"949,700",10.90
"Apr 12, 2016",11.51,11.63,10.65,11.00,"894,100",11.00
"Apr 11, 2016",12.80,12.90,11.00,11.51,"959,900",11.51
"Apr 8, 2016",11.15,13.38,11.06,12.72,"901,000",12.72
"Apr 7, 2016",10.51,11.06,9.62,10.98,"634,700",10.98
"Apr 6, 2016",10.67,10.95,10.25,10.54,"469,200",10.54
"Apr 5, 2016",10.50,10.86,10.42,10.67,"416,900",10.67
"Apr 4, 2016",10.02,11.10,10.00,10.54,"604,000",10.54
"Apr 1, 2016",9.15,10.25,8.99,9.79,"577,700",9.79
"Mar 31, 2016",8.50,9.42,8.50,9.16,"454,300",9.16
"Mar 30, 2016",8.85,9.22,8.33,8.61,"311,000",8.61
"Mar 29, 2016",8.26,8.87,8.01,8.74,"491,100",8.74
"Mar 28, 2016",8.55,8.89,7.75,8.06,"440,000",8.06
"Mar 24, 2016",9.16,9.16,8.16,8.44,"318,100",8.44
"Mar 23, 2016",9.90,9.90,9.08,9.17,"177,600",9.17
"Mar 22, 2016",10.08,10.20,9.75,9.87,"215,100",9.87
"Mar 21, 2016",9.88,10.61,9.83,10.11,"221,800",10.11
"Mar 18, 2016",9.75,9.96,9.30,9.80,"393,000",9.80
"Mar 17, 2016",10.33,10.40,9.20,9.66,"219,900",9.66
"Mar 16, 2016",10.32,10.69,10.18,10.26,"313,500",10.26
"Mar 15, 2016",10.50,11.13,10.11,10.32,"342,300",10.32
"Mar 14, 2016",10.40,10.87,10.20,10.75,"116,600",10.75
"Mar 11, 2016",10.11,10.54,10.01,10.41,"104,700",10.41
"Mar 10, 2016",10.50,10.69,9.83,9.99,"138,900",9.99
"Mar 9, 2016",10.08,10.66,9.91,10.52,"155,900",10.52
"Mar 8, 2016",10.56,10.70,10.10,10.22,"127,900",10.22
"Mar 7, 2016",10.10,10.92,10.05,10.84,"164,000",10.84
"Mar 4, 2016",10.25,10.30,9.80,10.11,"263,500",10.11
"Mar 3, 2016",10.30,10.86,10.19,10.38,"72,400",10.38
"Mar 2, 2016",9.78,10.40,9.61,10.35,"72,600",10.35
"Mar 1, 2016",9.95,9.98,9.32,9.90,"62,700",9.90
"Feb 29, 2016",10.21,10.26,9.47,9.87,"135,000",9.87
"Feb 26, 2016",10.08,10.40,10.01,10.24,"79,600",10.24
"Feb 25, 2016",9.82,10.10,9.50,10.05,"144,800",10.05
"Feb 24, 2016",9.65,10.79,9.07,9.84,"196,700",9.84
"Feb 23, 2016",10.96,11.13,9.70,9.86,"75,200",9.86
"Feb 22, 2016",11.34,11.64,10.78,11.04,"263,500",11.04
"Feb 19, 2016",10.17,11.13,9.70,11.08,"322,900",11.08
"Feb 18, 2016",11.13,11.13,10.02,10.28,"515,400",10.28
"Feb 17, 2016",11.31,11.72,10.61,11.01,"144,400",11.01
"Feb 16, 2016",10.66,11.17,10.61,11.11,"222,900",11.11
"Feb 12, 2016",10.06,10.69,9.76,10.52,"115,700",10.52
"Feb 11, 2016",9.74,10.15,9.25,9.98,"86,200",9.98
"Feb 10, 2016",9.44,10.51,9.39,9.93,"112,000",9.93
"Feb 9, 2016",9.40,9.85,9.06,9.30,"189,700",9.30
"Feb 8, 2016",10.31,10.34,9.26,9.55,"168,700",9.55
"Feb 5, 2016",10.73,11.71,10.03,10.15,"228,900",10.15
"Feb 4, 2016",10.39,11.36,10.08,10.69,"425,300",10.69
"Feb 3, 2016",10.00,10.63,8.71,10.38,"314,900",10.38
"Feb 2, 2016",9.81,10.21,9.48,9.99,"120,300",9.99
"Feb 1, 2016",10.37,11.69,9.78,10.06,"85,000",10.06
"Jan 29, 2016",8.55,10.54,7.91,10.30,"306,800",10.30
"Jan 28, 2016",8.49,8.65,7.96,8.19,"347,900",8.19
"Jan 27, 2016",9.31,9.32,8.17,8.43,"80,900",8.43
"Jan 26, 2016",9.22,10.17,8.36,9.34,"298,500",9.34
"Jan 25, 2016",9.48,9.77,9.04,9.09,"147,700",9.09
"Jan 22, 2016",10.00,10.00,9.33,9.46,"130,000",9.46
"Jan 21, 2016",10.19,10.51,9.65,9.78,"220,600",9.78
"Jan 20, 2016",11.00,11.06,9.71,10.19,"322,900",10.19
"Jan 19, 2016",12.55,12.55,10.90,11.32,"187,000",11.32
"Jan 15, 2016",11.79,12.92,11.48,12.37,"284,900",12.37
"Jan 14, 2016",12.91,12.91,12.01,12.24,"131,700",12.24
"Jan 13, 2016",13.39,13.97,12.63,12.84,"118,100",12.84
"Jan 12, 2016",13.11,13.68,12.66,13.27,"159,500",13.27
"Jan 11, 2016",15.53,15.59,11.79,12.98,"928,300",12.98
"Jan 8, 2016",17.31,17.33,15.30,15.45,"214,300",15.45
"Jan 7, 2016",17.98,18.36,17.06,17.38,"165,500",17.38
"Jan 6, 2016",18.92,19.05,17.72,18.35,"95,000",18.35
"Jan 5, 2016",19.50,19.71,18.68,19.27,"63,400",19.27
"Jan 4, 2016",19.17,19.46,17.92,19.45,"137,900",19.45
"Dec 31, 2015",19.22,19.80,19.16,19.57,"61,200",19.57
"Dec 30, 2015",19.95,20.60,19.33,19.35,"98,500",19.35
"Dec 29, 2015",20.13,21.15,19.75,20.10,"75,700",20.10
"Dec 28, 2015",20.12,20.54,19.61,19.97,"86,000",19.97
"Dec 24, 2015",20.21,20.33,19.92,20.22,"15,000",20.22
"Dec 23, 2015",20.41,20.55,19.93,20.06,"116,100",20.06
"Dec 22, 2015",20.27,21.06,19.66,20.12,"110,900",20.12
"Dec 21, 2015",20.79,21.08,19.63,20.22,"78,500",20.22
"Dec 18, 2015",21.00,21.41,20.31,20.66,"741,300",20.66
"Dec 17, 2015",23.50,23.50,20.66,20.99,"166,700",20.99
"Dec 16, 2015",23.09,24.04,22.32,23.54,"201,400",23.54
"Dec 15, 2015",21.71,23.70,20.81,22.84,"170,200",22.84
"Dec 14, 2015",20.50,21.58,20.49,21.43,"117,200",21.43
"Dec 11, 2015",20.18,20.69,20.01,20.47,"62,900",20.47
"Dec 10, 2015",20.78,20.98,20.21,20.65,"77,400",20.65
"Dec 9, 2015",21.56,21.81,20.61,20.88,"98,500",20.88
"Dec 8, 2015",21.18,22.48,21.18,21.58,"87,200",21.58
"Dec 7, 2015",22.41,22.58,21.27,21.57,"37,600",21.57
"Dec 4, 2015",22.70,22.90,20.40,22.58,"39,800",22.58
"Dec 3, 2015",22.66,22.93,22.45,22.80,"61,900",22.80
"Dec 2, 2015",22.77,23.23,21.83,22.56,"77,000",22.56
"Dec 1, 2015",22.34,22.62,21.35,22.08,"112,300",22.08
"Nov 30, 2015",21.53,22.67,21.29,22.19,"178,300",22.19
"Nov 27, 2015",21.24,21.83,21.05,21.54,"29,300",21.54
"Nov 25, 2015",20.19,21.01,20.13,20.98,"43,800",20.98
"Nov 24, 2015",19.87,20.23,19.66,20.19,"67,500",20.19
"Nov 23, 2015",19.21,20.07,18.83,19.86,"66,300",19.86
"Nov 20, 2015",19.78,19.95,18.90,19.31,"82,400",19.31
"Nov 19, 2015",21.07,21.07,19.48,19.62,"84,500",19.62
"Nov 18, 2015",20.03,21.10,20.01,21.07,"92,100",21.07
"Nov 17, 2015",20.98,21.58,19.33,19.97,"99,400",19.97
"Nov 16, 2015",22.69,22.69,20.28,20.93,"202,800",20.93
"Nov 13, 2015",22.22,23.36,22.06,22.84,"168,400",22.84
"Nov 12, 2015",23.63,23.83,22.06,22.32,"54,700",22.32
"Nov 11, 2015",23.64,23.93,23.18,23.79,"61,100",23.79
"Nov 10, 2015",24.14,24.35,23.14,23.62,"223,800",23.62
"Nov 9, 2015",23.93,24.35,23.46,24.14,"144,100",24.14
"Nov 6, 2015",23.37,24.27,22.82,23.94,"156,900",23.94
"Nov 5, 2015",23.70,23.88,22.89,23.44,"81,200",23.44
"Nov 4, 2015",23.56,24.10,22.71,23.52,"101,100",23.52
"Nov 3, 2015",22.42,23.67,22.11,23.44,"105,300",23.44
"Nov 2, 2015",22.87,23.64,21.66,22.40,"128,500",22.40
"Oct 30, 2015",23.18,23.52,22.02,22.74,"111,800",22.74
"Oct 29, 2015",24.66,24.67,22.78,23.16,"112,100",23.16
"Oct 28, 2015",23.99,24.78,23.43,24.66,"82,400",24.66
"Oct 27, 2015",23.95,24.19,23.25,23.97,"62,100",23.97
"Oct 26, 2015",23.68,24.45,23.08,23.99,"167,200",23.99
"Oct 23, 2015",22.93,23.96,22.17,23.67,"91,100",23.67
"Oct 22, 2015",21.82,23.64,21.31,22.52,"149,100",22.52
"Oct 21, 2015",21.76,22.54,20.41,21.74,"57,300",21.74
"Oct 20, 2015",21.90,22.35,21.29,21.59,"102,300",21.59
"Oct 19, 2015",21.60,22.63,20.82,21.87,"75,000",21.87
"Oct 16, 2015",22.75,24.20,21.51,21.59,"206,900",21.59
"Oct 15, 2015",20.73,22.77,20.73,22.65,"63,000",22.65
"Oct 14, 2015",20.05,21.40,19.87,20.88,"72,300",20.88
"Oct 13, 2015",21.15,21.59,19.71,19.98,"81,300",19.98
"Oct 12, 2015",21.04,22.28,20.25,21.26,"270,400",21.26
"Oct 9, 2015",21.73,23.10,21.11,21.32,"77,900",21.32
"Oct 8, 2015",22.21,23.18,20.60,21.81,"120,000",21.81
"Oct 7, 2015",20.85,23.49,20.71,22.61,"185,700",22.61
"Oct 6, 2015",21.18,21.57,20.35,20.88,"184,400",20.88
"Oct 5, 2015",21.05,21.44,20.23,21.20,"125,700",21.20
"Oct 2, 2015",18.25,21.05,18.15,20.70,"260,500",20.70
"Oct 1, 2015",19.73,20.30,18.12,18.49,"194,600",18.49
"Sep 30, 2015",19.02,20.46,17.13,19.88,"1,874,200",19.88
"Sep 29, 2015",19.72,21.20,18.64,18.82,"288,200",18.82
"Sep 28, 2015",22.63,23.60,19.23,19.83,"222,400",19.83
"Sep 25, 2015",24.84,25.12,22.34,22.57,"189,900",22.57
"Sep 24, 2015",24.94,25.13,23.62,24.37,"326,000",24.37
"Sep 23, 2015",25.33,26.19,24.29,25.74,"87,700",25.74
"Sep 22, 2015",25.75,26.05,25.00,25.29,"128,200",25.29
"Sep 21, 2015",25.70,26.72,25.25,26.05,"225,100",26.05
"Sep 18, 2015",26.10,27.37,25.13,25.51,"444,400",25.51
"Sep 17, 2015",27.30,27.53,25.83,26.06,"230,900",26.06
"Sep 16, 2015",28.22,28.46,26.79,27.14,"289,200",27.14
