Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",16.01,16.87,15.65,16.51,"453,300",16.51
"Jun 10, 2016",16.96,17.02,15.62,16.01,"876,300",16.01
"Jun 9, 2016",17.83,18.17,16.95,16.95,"371,800",16.95
"Jun 8, 2016",17.43,18.15,16.56,18.04,"436,900",18.04
"Jun 7, 2016",17.66,18.06,17.10,17.42,"740,400",17.42
"Jun 6, 2016",18.32,18.32,17.36,17.81,"192,100",17.81
"Jun 3, 2016",19.54,19.54,18.02,18.28,"860,500",18.28
"Jun 2, 2016",18.74,19.70,18.52,19.47,"503,600",19.47
"Jun 1, 2016",18.57,19.00,18.11,18.88,"597,000",18.88
"May 31, 2016",18.16,19.18,17.83,18.65,"715,700",18.65
"May 27, 2016",18.02,18.27,17.30,17.96,"355,400",17.96
"May 26, 2016",18.31,18.59,17.90,18.01,"219,100",18.01
"May 25, 2016",18.48,18.57,18.10,18.26,"271,400",18.26
"May 24, 2016",18.30,18.55,17.87,18.28,"359,000",18.28
"May 23, 2016",18.29,18.96,17.75,18.12,"951,400",18.12
"May 20, 2016",19.03,19.52,18.75,19.50,"167,400",19.50
"May 19, 2016",19.27,19.30,17.98,18.96,"432,600",18.96
"May 18, 2016",18.54,19.88,18.00,19.49,"1,701,300",19.49
"May 17, 2016",16.12,20.01,16.00,18.85,"1,631,600",18.85
"May 16, 2016",15.40,16.30,15.02,16.27,"380,900",16.27
"May 13, 2016",15.99,16.13,15.06,15.23,"227,800",15.23
"May 12, 2016",17.33,17.33,15.61,16.02,"295,200",16.02
"May 11, 2016",17.84,18.65,17.13,17.17,"200,700",17.17
"May 10, 2016",18.82,19.17,15.04,18.00,"1,206,300",18.00
"May 9, 2016",19.15,19.74,18.90,19.20,"235,000",19.20
"May 6, 2016",18.38,19.21,18.33,19.21,"285,300",19.21
"May 5, 2016",18.81,18.91,18.32,18.57,"169,100",18.57
"May 4, 2016",19.00,19.17,18.58,18.65,"208,900",18.65
"May 3, 2016",19.68,19.80,18.96,19.11,"151,200",19.11
"May 2, 2016",18.90,20.00,18.58,19.97,"164,900",19.97
"Apr 29, 2016",19.12,19.22,18.40,18.83,"211,500",18.83
"Apr 28, 2016",20.00,20.15,19.16,19.25,"180,700",19.25
"Apr 27, 2016",20.39,20.58,19.22,20.09,"166,400",20.09
"Apr 26, 2016",21.06,21.08,20.25,20.46,"146,700",20.46
"Apr 25, 2016",21.61,21.70,19.87,20.98,"100,100",20.98
"Apr 22, 2016",21.82,22.22,21.16,21.74,"184,000",21.74
"Apr 21, 2016",20.95,21.70,20.81,21.66,"326,900",21.66
"Apr 20, 2016",21.51,21.53,20.60,21.06,"204,500",21.06
"Apr 19, 2016",22.14,22.14,21.07,21.17,"124,500",21.17
"Apr 18, 2016",21.68,22.32,21.57,21.99,"137,200",21.99
"Apr 15, 2016",21.91,21.96,21.25,21.86,"126,700",21.86
"Apr 14, 2016",22.07,22.33,21.56,21.88,"130,100",21.88
"Apr 13, 2016",22.13,22.42,21.65,22.11,"225,500",22.11
"Apr 12, 2016",21.58,21.66,20.59,21.56,"165,800",21.56
"Apr 11, 2016",22.29,22.48,21.52,21.60,"121,700",21.60
"Apr 8, 2016",22.87,22.98,21.68,22.23,"142,000",22.23
"Apr 7, 2016",23.53,24.38,22.37,22.52,"263,900",22.52
"Apr 6, 2016",22.78,24.90,22.77,23.85,"270,700",23.85
"Apr 5, 2016",21.77,22.97,21.51,22.62,"212,400",22.62
"Apr 4, 2016",22.50,23.59,20.84,22.07,"374,100",22.07
"Apr 1, 2016",20.97,22.57,20.60,22.47,"252,500",22.47
"Mar 31, 2016",19.41,21.77,19.41,21.23,"227,600",21.23
"Mar 30, 2016",20.01,20.96,19.15,19.25,"180,900",19.25
"Mar 29, 2016",18.89,19.90,18.12,19.82,"182,000",19.82
"Mar 28, 2016",19.54,19.82,18.47,18.83,"98,600",18.83
"Mar 24, 2016",19.01,19.87,18.29,19.41,"190,200",19.41
"Mar 23, 2016",19.99,20.12,18.83,19.11,"225,300",19.11
"Mar 22, 2016",20.00,20.71,19.87,20.00,"192,800",20.00
"Mar 21, 2016",19.07,20.83,19.07,20.24,"221,100",20.24
"Mar 18, 2016",18.57,19.68,18.09,19.39,"303,600",19.39
"Mar 17, 2016",18.21,18.64,17.01,18.42,"137,700",18.42
"Mar 16, 2016",18.22,19.07,17.68,18.41,"92,700",18.41
"Mar 15, 2016",19.78,19.89,18.05,18.26,"207,100",18.26
"Mar 14, 2016",19.12,20.69,19.12,20.04,"180,500",20.04
"Mar 11, 2016",18.28,19.11,18.22,19.09,"180,800",19.09
"Mar 10, 2016",19.44,19.60,17.58,18.00,"278,200",18.00
"Mar 9, 2016",19.29,19.75,17.94,19.61,"243,500",19.61
"Mar 8, 2016",19.84,20.16,18.07,19.27,"366,100",19.27
"Mar 7, 2016",18.40,20.82,18.40,19.93,"320,900",19.93
"Mar 4, 2016",18.02,19.44,17.44,18.46,"331,800",18.46
"Mar 3, 2016",17.82,18.08,16.80,18.06,"259,000",18.06
"Mar 2, 2016",15.00,19.07,14.92,17.64,"544,500",17.64
"Mar 1, 2016",13.85,15.03,13.12,15.02,"275,500",15.02
"Feb 29, 2016",14.38,14.89,14.00,14.19,"279,200",14.19
"Feb 26, 2016",13.99,14.62,13.98,14.43,"110,300",14.43
"Feb 25, 2016",14.04,14.18,13.42,13.82,"97,700",13.82
"Feb 24, 2016",13.75,14.07,13.10,13.99,"209,200",13.99
"Feb 23, 2016",14.53,14.73,13.85,13.94,"334,300",13.94
"Feb 22, 2016",14.81,14.88,14.39,14.60,"292,900",14.60
"Feb 19, 2016",14.58,14.72,13.90,14.63,"210,800",14.63
"Feb 18, 2016",15.52,15.61,14.52,14.66,"191,300",14.66
"Feb 17, 2016",14.80,16.20,14.69,15.41,"268,300",15.41
"Feb 16, 2016",13.90,15.27,13.81,14.69,"244,900",14.69
"Feb 12, 2016",13.56,13.99,12.80,13.61,"227,000",13.61
"Feb 11, 2016",12.48,13.52,12.31,13.34,"247,800",13.34
"Feb 10, 2016",12.78,13.67,12.59,12.85,"217,800",12.85
"Feb 9, 2016",12.23,13.09,12.04,12.71,"202,100",12.71
"Feb 8, 2016",14.02,14.33,12.35,12.54,"328,700",12.54
"Feb 5, 2016",13.48,15.28,13.35,14.33,"807,400",14.33
"Feb 4, 2016",12.62,13.37,12.42,13.24,"249,800",13.24
"Feb 3, 2016",13.26,13.33,12.17,12.75,"357,000",12.75
"Feb 2, 2016",13.36,13.59,12.94,13.12,"664,000",13.12
"Feb 1, 2016",13.20,13.41,12.34,13.16,"316,600",13.16
"Jan 29, 2016",13.28,13.63,12.95,13.26,"308,800",13.26
"Jan 28, 2016",13.70,13.92,12.98,13.36,"212,000",13.36
"Jan 27, 2016",14.56,14.62,13.43,13.61,"234,100",13.61
"Jan 26, 2016",14.82,14.82,13.77,14.55,"210,300",14.55
"Jan 25, 2016",14.38,15.09,14.38,14.69,"281,100",14.69
"Jan 22, 2016",14.41,14.89,14.15,14.49,"346,800",14.49
"Jan 21, 2016",15.46,15.57,13.97,14.03,"425,300",14.03
"Jan 20, 2016",14.78,15.97,12.96,15.02,"652,800",15.02
"Jan 19, 2016",16.42,16.50,14.59,15.10,"311,300",15.10
"Jan 15, 2016",15.33,16.21,15.05,16.19,"331,300",16.19
"Jan 14, 2016",14.30,16.07,13.24,16.00,"397,300",16.00
"Jan 13, 2016",16.74,17.04,13.68,14.07,"351,600",14.07
"Jan 12, 2016",17.97,18.55,16.19,16.70,"611,800",16.70
"Jan 11, 2016",18.47,18.63,16.68,17.71,"418,000",17.71
"Jan 8, 2016",18.51,18.96,17.80,18.27,"181,300",18.27
"Jan 7, 2016",18.38,18.77,17.34,18.28,"691,700",18.28
"Jan 6, 2016",20.29,20.46,18.36,18.87,"433,300",18.87
"Jan 5, 2016",21.19,21.35,20.32,20.59,"246,500",20.59
"Jan 4, 2016",22.49,22.57,21.01,21.07,"209,900",21.07
"Dec 31, 2015",23.19,23.51,22.83,22.96,"112,600",22.96
"Dec 30, 2015",23.64,24.18,23.14,23.32,"86,700",23.32
"Dec 29, 2015",22.42,23.91,22.15,23.74,"136,000",23.74
"Dec 28, 2015",22.84,22.93,22.01,22.27,"86,700",22.27
"Dec 24, 2015",22.43,23.19,22.27,22.97,"67,300",22.97
"Dec 23, 2015",21.73,22.55,21.52,22.40,"115,700",22.40
"Dec 22, 2015",22.33,22.35,21.10,21.55,"169,000",21.55
"Dec 21, 2015",22.39,23.30,22.01,22.31,"189,700",22.31
"Dec 18, 2015",23.17,23.91,22.20,22.41,"1,342,900",22.41
"Dec 17, 2015",25.53,25.57,23.18,23.30,"306,800",23.30
"Dec 16, 2015",26.13,26.99,25.20,25.35,"365,400",25.35
"Dec 15, 2015",24.74,26.13,24.48,25.87,"243,000",25.87
"Dec 14, 2015",24.69,25.50,23.73,24.36,"268,500",24.36
"Dec 11, 2015",25.50,26.52,24.28,24.59,"180,600",24.59
"Dec 10, 2015",24.37,25.90,24.20,25.89,"126,000",25.89
"Dec 9, 2015",26.85,26.85,23.96,24.30,"665,500",24.30
