Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",4.12,4.16,3.97,4.05,"2,523,200",4.05
"Jun 10, 2016",4.26,4.31,4.07,4.12,"2,368,100",4.12
"Jun 9, 2016",4.68,4.79,4.31,4.32,"2,691,800",4.32
"Jun 8, 2016",4.67,4.78,4.60,4.72,"1,994,700",4.72
"Jun 7, 2016",4.86,4.89,4.63,4.66,"2,539,200",4.66
"Jun 6, 2016",4.71,4.90,4.56,4.86,"3,757,100",4.86
"Jun 3, 2016",5.02,5.13,4.55,4.56,"4,800,000",4.56
"Jun 2, 2016",4.55,5.00,4.51,5.00,"4,411,900",5.00
"Jun 1, 2016",4.55,4.62,4.41,4.55,"3,029,700",4.55
"May 31, 2016",4.40,4.59,4.38,4.58,"2,812,300",4.58
"May 27, 2016",4.17,4.34,4.09,4.33,"1,446,900",4.33
"May 26, 2016",4.25,4.30,4.14,4.17,"1,785,700",4.17
"May 25, 2016",4.23,4.38,4.17,4.22,"2,735,700",4.22
"May 24, 2016",4.32,4.37,4.06,4.21,"3,612,200",4.21
"May 23, 2016",4.05,4.50,4.03,4.27,"4,252,700",4.27
"May 20, 2016",3.90,4.03,3.84,4.03,"3,030,100",4.03
"May 19, 2016",3.91,4.12,3.85,3.88,"2,731,100",3.88
"May 18, 2016",3.71,3.94,3.71,3.93,"2,032,100",3.93
"May 17, 2016",3.82,3.94,3.72,3.74,"2,714,200",3.74
"May 16, 2016",3.72,3.87,3.65,3.85,"2,784,700",3.85
"May 13, 2016",3.45,3.82,3.45,3.74,"2,722,200",3.74
"May 12, 2016",3.59,3.66,3.41,3.46,"2,817,600",3.46
"May 11, 2016",3.80,3.85,3.54,3.57,"2,363,800",3.57
"May 10, 2016",3.93,4.00,3.70,3.82,"2,211,300",3.82
"May 9, 2016",3.49,3.96,3.43,3.92,"3,972,600",3.92
"May 6, 2016",3.51,3.58,3.40,3.49,"2,671,900",3.49
"May 5, 2016",3.90,3.96,3.48,3.49,"4,714,100",3.49
"May 4, 2016",4.08,4.21,3.82,3.83,"3,676,700",3.83
"May 3, 2016",4.13,4.38,4.03,4.07,"3,577,500",4.07
"May 2, 2016",4.09,4.21,3.95,4.15,"2,906,700",4.15
"Apr 29, 2016",4.20,4.38,3.97,4.00,"3,254,900",4.00
"Apr 28, 2016",3.96,4.46,3.95,4.19,"4,250,800",4.19
"Apr 27, 2016",4.02,4.19,3.84,4.08,"3,209,300",4.08
"Apr 26, 2016",4.05,4.14,3.91,3.96,"4,138,600",3.96
"Apr 25, 2016",4.08,4.21,4.02,4.03,"2,285,600",4.03
"Apr 22, 2016",4.11,4.20,3.99,4.07,"3,523,700",4.07
"Apr 21, 2016",4.00,4.19,3.95,4.13,"4,017,300",4.13
"Apr 20, 2016",4.03,4.10,3.95,4.00,"3,186,300",4.00
"Apr 19, 2016",4.45,4.48,3.99,4.00,"5,009,200",4.00
"Apr 18, 2016",4.97,4.97,4.38,4.40,"5,560,200",4.40
"Apr 15, 2016",4.60,4.69,4.45,4.64,"6,352,800",4.64
"Apr 14, 2016",4.59,4.79,4.50,4.60,"2,751,600",4.60
"Apr 13, 2016",4.65,4.82,4.52,4.57,"3,999,200",4.57
"Apr 12, 2016",4.48,4.60,4.32,4.56,"3,809,800",4.56
"Apr 11, 2016",4.66,4.77,4.40,4.49,"3,112,400",4.49
"Apr 8, 2016",4.79,4.85,4.46,4.67,"3,012,400",4.67
"Apr 7, 2016",4.87,4.96,4.50,4.71,"5,060,100",4.71
"Apr 6, 2016",4.39,4.89,4.39,4.89,"4,505,500",4.89
"Apr 5, 2016",4.33,4.65,4.25,4.38,"3,793,800",4.38
"Apr 4, 2016",3.97,4.52,3.95,4.37,"5,393,300",4.37
"Apr 1, 2016",3.71,3.96,3.63,3.95,"2,675,800",3.95
"Mar 31, 2016",3.57,3.87,3.51,3.78,"2,918,600",3.78
"Mar 30, 2016",3.72,3.97,3.59,3.60,"2,841,500",3.60
"Mar 29, 2016",3.46,3.73,3.30,3.71,"2,285,000",3.71
"Mar 28, 2016",3.56,3.62,3.41,3.47,"1,359,800",3.47
"Mar 24, 2016",3.54,3.64,3.36,3.53,"2,380,900",3.53
"Mar 23, 2016",3.90,4.00,3.56,3.57,"3,468,000",3.57
"Mar 22, 2016",3.61,3.99,3.58,3.89,"4,895,300",3.89
"Mar 21, 2016",3.21,3.63,3.19,3.61,"5,739,000",3.61
"Mar 18, 2016",3.13,3.24,2.98,3.23,"10,058,600",3.23
"Mar 17, 2016",3.16,3.23,2.96,3.17,"3,330,200",3.17
"Mar 16, 2016",3.26,3.33,3.12,3.21,"3,742,800",3.21
"Mar 15, 2016",3.45,3.48,3.27,3.28,"3,706,600",3.28
"Mar 14, 2016",3.45,3.65,3.44,3.48,"4,686,600",3.48
"Mar 11, 2016",3.67,3.67,3.42,3.48,"4,990,600",3.48
"Mar 10, 2016",3.60,3.74,3.57,3.61,"3,405,400",3.61
"Mar 9, 2016",3.70,3.79,3.45,3.62,"4,512,800",3.62
"Mar 8, 2016",3.87,4.08,3.57,3.68,"7,664,900",3.68
"Mar 7, 2016",3.76,4.33,3.70,3.79,"23,377,000",3.79
"Mar 4, 2016",8.31,8.53,7.98,8.19,"3,169,500",8.19
"Mar 3, 2016",8.36,8.75,8.15,8.25,"3,243,300",8.25
"Mar 2, 2016",7.51,8.37,7.43,8.31,"5,185,600",8.31
"Mar 1, 2016",7.11,7.71,7.00,7.50,"5,446,100",7.50
"Feb 29, 2016",7.58,7.65,6.80,6.80,"3,927,900",6.80
"Feb 26, 2016",7.04,7.64,6.63,7.62,"4,903,700",7.62
"Feb 25, 2016",7.44,7.70,6.89,6.91,"5,666,700",6.91
"Feb 24, 2016",6.66,6.91,6.26,6.87,"4,419,200",6.87
"Feb 23, 2016",7.00,7.12,6.69,6.69,"3,161,500",6.69
"Feb 22, 2016",7.16,7.28,6.68,7.01,"3,186,700",7.01
"Feb 19, 2016",7.01,7.08,6.75,7.00,"2,131,300",7.00
"Feb 18, 2016",7.50,7.58,6.73,7.00,"2,970,700",7.00
"Feb 17, 2016",7.76,7.89,7.26,7.49,"3,414,700",7.49
