Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",14.00,14.40,13.55,13.57,"711,200",13.57
"Jun 10, 2016",14.90,15.10,14.05,14.11,"1,053,800",14.11
"Jun 9, 2016",15.74,15.89,15.01,15.23,"632,000",15.23
"Jun 8, 2016",16.32,16.43,15.67,15.87,"826,200",15.87
"Jun 7, 2016",17.19,17.34,16.37,16.39,"1,011,200",16.39
"Jun 6, 2016",16.42,17.38,16.11,17.34,"969,000",17.34
"Jun 3, 2016",17.30,17.48,16.26,16.30,"1,349,300",16.30
"Jun 2, 2016",17.05,17.44,16.93,17.27,"901,400",17.27
"Jun 1, 2016",16.93,17.22,16.68,17.05,"947,100",17.05
"May 31, 2016",16.80,17.21,16.32,16.83,"677,700",16.83
"May 27, 2016",16.45,16.75,15.72,16.70,"956,500",16.70
"May 26, 2016",16.00,16.80,15.97,16.44,"1,283,100",16.44
"May 25, 2016",15.65,16.11,15.51,16.00,"1,434,800",16.00
"May 24, 2016",15.11,15.85,14.81,15.58,"1,387,200",15.58
"May 23, 2016",14.35,15.30,14.32,14.91,"1,134,500",14.91
"May 20, 2016",13.76,14.65,13.67,14.50,"930,900",14.50
"May 19, 2016",13.74,14.10,13.19,13.65,"1,052,100",13.65
"May 18, 2016",12.77,13.80,12.73,13.75,"765,000",13.75
"May 17, 2016",12.97,13.21,12.66,12.78,"658,800",12.78
"May 16, 2016",12.66,13.34,12.21,13.09,"1,050,100",13.09
"May 13, 2016",12.09,12.73,12.01,12.50,"669,800",12.50
"May 12, 2016",12.51,12.57,11.58,12.17,"933,800",12.17
"May 11, 2016",13.01,13.06,12.33,12.39,"541,700",12.39
"May 10, 2016",13.85,13.88,13.02,13.09,"690,900",13.09
"May 9, 2016",13.15,13.85,13.15,13.74,"758,000",13.74
"May 6, 2016",12.74,14.69,12.57,13.11,"2,397,000",13.11
"May 5, 2016",13.19,13.66,12.58,12.66,"1,077,300",12.66
"May 4, 2016",13.78,14.01,12.94,13.19,"1,050,900",13.19
"May 3, 2016",14.26,14.57,13.90,13.95,"559,800",13.95
"May 2, 2016",13.98,14.55,13.71,14.54,"1,110,900",14.54
"Apr 29, 2016",14.50,14.82,13.67,13.91,"1,594,500",13.91
"Apr 28, 2016",14.17,14.95,13.79,14.48,"941,800",14.48
"Apr 27, 2016",14.33,14.48,13.86,14.16,"658,900",14.16
"Apr 26, 2016",14.59,14.65,13.76,14.39,"943,000",14.39
"Apr 25, 2016",15.00,15.15,14.56,14.60,"847,500",14.60
"Apr 22, 2016",14.78,15.06,14.48,14.99,"519,600",14.99
"Apr 21, 2016",14.03,14.93,14.01,14.73,"1,045,100",14.73
"Apr 20, 2016",14.32,14.65,13.73,14.06,"1,017,800",14.06
"Apr 19, 2016",14.21,14.35,13.51,14.19,"1,193,300",14.19
"Apr 18, 2016",14.00,14.83,13.26,14.30,"1,794,100",14.30
"Apr 15, 2016",13.77,14.32,13.54,13.84,"1,777,800",13.84
"Apr 14, 2016",13.51,14.51,13.34,14.21,"2,604,900",14.21
"Apr 13, 2016",13.66,13.74,12.29,13.49,"5,527,300",13.49
"Apr 12, 2016",12.91,14.25,12.25,14.24,"5,350,400",14.24
"Apr 11, 2016",15.97,16.05,14.38,15.06,"4,742,500",15.06
"Apr 8, 2016",20.14,20.90,15.75,15.77,"8,300,000",15.77
"Apr 7, 2016",18.70,20.58,18.60,19.17,"3,461,000",19.17
"Apr 6, 2016",17.72,18.60,17.30,18.56,"2,587,600",18.56
"Apr 5, 2016",17.50,18.07,16.69,17.51,"2,185,600",17.51
"Apr 4, 2016",19.22,19.31,17.25,17.26,"2,653,300",17.26
"Apr 1, 2016",19.02,19.55,18.51,19.37,"1,589,100",19.37
"Mar 31, 2016",19.27,19.79,18.85,19.20,"788,500",19.20
"Mar 30, 2016",19.97,20.99,18.96,19.24,"822,000",19.24
"Mar 29, 2016",18.59,19.86,17.76,19.84,"1,195,000",19.84
"Mar 28, 2016",19.21,19.44,18.42,18.58,"654,600",18.58
"Mar 24, 2016",18.45,19.50,17.87,19.03,"667,300",19.03
"Mar 23, 2016",20.50,21.19,18.58,18.62,"856,500",18.62
"Mar 22, 2016",19.52,20.70,19.52,20.56,"518,000",20.56
"Mar 21, 2016",19.27,20.39,19.11,19.76,"700,200",19.76
