Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",4.12,4.14,3.87,3.94,"1,261,500",3.94
"Jun 10, 2016",4.50,4.58,4.11,4.14,"1,685,800",4.14
"Jun 9, 2016",4.77,4.77,4.58,4.58,"655,600",4.58
"Jun 8, 2016",4.74,4.79,4.65,4.79,"859,400",4.79
"Jun 7, 2016",4.93,4.95,4.73,4.74,"897,500",4.74
"Jun 6, 2016",4.81,5.00,4.71,4.98,"1,044,800",4.98
"Jun 3, 2016",4.98,5.00,4.76,4.78,"849,300",4.78
"Jun 2, 2016",4.91,5.06,4.89,4.99,"1,076,000",4.99
"Jun 1, 2016",4.91,5.00,4.80,4.92,"709,500",4.92
"May 31, 2016",4.80,5.00,4.80,4.90,"797,300",4.90
"May 27, 2016",4.80,4.83,4.70,4.79,"505,600",4.79
"May 26, 2016",4.83,4.83,4.68,4.79,"486,400",4.79
"May 25, 2016",4.77,4.88,4.73,4.82,"915,600",4.82
"May 24, 2016",4.75,4.85,4.67,4.74,"711,600",4.74
"May 23, 2016",4.72,4.96,4.71,4.73,"1,021,400",4.73
"May 20, 2016",4.54,4.75,4.45,4.71,"1,042,600",4.71
"May 19, 2016",4.64,4.78,4.46,4.52,"990,200",4.52
"May 18, 2016",4.59,4.79,4.59,4.65,"768,700",4.65
"May 17, 2016",4.72,4.87,4.62,4.63,"797,400",4.63
"May 16, 2016",4.58,4.83,4.51,4.73,"1,374,800",4.73
"May 13, 2016",4.56,4.68,4.46,4.55,"966,600",4.55
"May 12, 2016",4.85,4.88,4.55,4.57,"1,414,900",4.57
"May 11, 2016",4.88,4.95,4.75,4.75,"582,600",4.75
"May 10, 2016",4.96,5.00,4.56,4.90,"1,807,900",4.90
"May 9, 2016",4.94,6.10,4.90,4.91,"6,513,000",4.91
"May 6, 2016",5.19,5.40,5.06,5.12,"774,400",5.12
"May 5, 2016",5.45,5.58,5.22,5.24,"774,900",5.24
"May 4, 2016",5.62,5.81,5.33,5.43,"848,400",5.43
"May 3, 2016",5.81,5.86,5.62,5.64,"808,600",5.64
"May 2, 2016",5.96,6.14,5.81,5.89,"1,097,300",5.89
"Apr 29, 2016",6.01,6.22,5.84,5.98,"1,093,600",5.98
"Apr 28, 2016",5.97,6.20,5.87,6.02,"1,146,200",6.02
"Apr 27, 2016",5.99,6.24,5.83,5.99,"778,100",5.99
"Apr 26, 2016",6.15,6.27,5.85,6.03,"797,400",6.03
"Apr 25, 2016",6.25,6.37,6.13,6.17,"706,100",6.17
"Apr 22, 2016",6.24,6.35,6.10,6.27,"868,600",6.27
"Apr 21, 2016",5.98,6.27,5.96,6.21,"1,096,200",6.21
"Apr 20, 2016",6.30,6.46,5.99,6.01,"1,492,900",6.01
"Apr 19, 2016",6.34,6.47,6.12,6.30,"1,816,500",6.30
"Apr 18, 2016",5.91,6.37,5.80,6.30,"2,152,000",6.30
"Apr 15, 2016",5.69,6.11,5.41,5.90,"2,686,700",5.90
"Apr 14, 2016",5.66,5.84,5.60,5.68,"785,800",5.68
"Apr 13, 2016",5.49,5.74,5.44,5.67,"1,152,700",5.67
"Apr 12, 2016",5.60,5.60,5.32,5.46,"921,300",5.46
"Apr 11, 2016",5.56,5.72,5.55,5.61,"1,136,400",5.61
"Apr 8, 2016",5.73,5.75,5.51,5.54,"1,797,800",5.54
"Apr 7, 2016",5.48,5.74,5.40,5.63,"1,179,200",5.63
"Apr 6, 2016",5.15,5.50,5.10,5.50,"1,230,000",5.50
"Apr 5, 2016",5.21,5.31,5.08,5.13,"590,900",5.13
"Apr 4, 2016",5.26,5.48,5.14,5.27,"1,233,700",5.27
"Apr 1, 2016",5.07,5.35,4.98,5.23,"1,096,900",5.23
"Mar 31, 2016",4.95,5.19,4.80,5.11,"1,408,400",5.11
"Mar 30, 2016",5.00,5.19,4.90,4.97,"1,702,000",4.97
"Mar 29, 2016",4.71,5.03,4.63,4.96,"1,111,000",4.96
"Mar 28, 2016",4.94,4.94,4.65,4.71,"861,500",4.71
"Mar 24, 2016",4.71,4.98,4.62,4.86,"1,013,200",4.86
"Mar 23, 2016",5.14,5.17,4.76,4.76,"1,672,800",4.76
"Mar 22, 2016",5.10,5.27,4.75,5.16,"1,773,600",5.16
"Mar 21, 2016",5.20,5.40,5.08,5.15,"1,568,700",5.15
"Mar 18, 2016",5.13,5.24,4.88,5.21,"2,860,900",5.21
"Mar 17, 2016",5.01,5.13,4.76,5.09,"1,442,700",5.09
"Mar 16, 2016",5.08,5.19,4.76,4.93,"1,205,000",4.93
"Mar 15, 2016",5.42,5.48,5.05,5.08,"1,204,400",5.08
"Mar 14, 2016",5.39,5.60,5.28,5.49,"1,015,500",5.49
"Mar 11, 2016",5.25,5.40,5.02,5.39,"1,239,100",5.39
"Mar 10, 2016",5.19,5.45,5.01,5.15,"1,178,600",5.15
"Mar 9, 2016",5.37,5.42,5.00,5.13,"1,853,800",5.13
"Mar 8, 2016",5.44,5.60,5.19,5.36,"2,938,500",5.36
"Mar 7, 2016",5.17,5.72,5.14,5.45,"3,231,900",5.45
"Mar 4, 2016",5.15,5.44,5.02,5.17,"1,743,400",5.17
"Mar 3, 2016",5.20,5.45,5.14,5.16,"2,095,000",5.16
"Mar 2, 2016",4.95,5.24,4.86,5.16,"2,718,000",5.16
"Mar 1, 2016",4.58,5.02,4.48,4.95,"3,550,300",4.95
"Feb 29, 2016",4.51,4.73,4.41,4.61,"3,086,800",4.61
"Feb 26, 2016",5.03,5.05,4.70,4.72,"2,358,000",4.72
"Feb 25, 2016",5.06,5.21,4.99,5.05,"3,049,800",5.05
"Feb 24, 2016",4.37,5.05,4.36,5.03,"4,766,100",5.03
"Feb 23, 2016",4.62,4.79,4.46,4.46,"5,346,800",4.46
"Feb 22, 2016",5.61,5.61,4.52,4.55,"19,151,200",4.55
"Feb 19, 2016",7.14,7.73,7.00,7.63,"2,051,900",7.63
"Feb 18, 2016",7.84,7.84,7.07,7.10,"2,268,900",7.10
"Feb 17, 2016",7.63,7.97,7.28,7.83,"2,223,200",7.83
"Feb 16, 2016",7.50,7.67,7.35,7.45,"1,498,200",7.45
"Feb 12, 2016",7.18,7.34,6.90,7.27,"1,382,200",7.27
"Feb 11, 2016",6.78,7.43,6.70,7.11,"1,896,500",7.11
"Feb 10, 2016",6.77,7.35,6.60,7.01,"1,532,700",7.01
"Feb 9, 2016",6.35,6.78,6.15,6.72,"1,671,100",6.72
"Feb 8, 2016",6.80,7.00,6.36,6.42,"2,160,400",6.42
"Feb 5, 2016",7.28,7.34,6.90,6.93,"1,913,800",6.93
"Feb 4, 2016",7.26,7.88,7.10,7.30,"1,877,600",7.30
"Feb 3, 2016",7.43,7.64,6.95,7.21,"1,673,400",7.21
