Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",12.31,12.73,12.03,12.09,"81,400",12.09
"Jun 10, 2016",12.77,12.89,12.17,12.46,"69,600",12.46
"Jun 9, 2016",13.25,13.32,12.92,12.96,"75,500",12.96
"Jun 8, 2016",13.50,13.73,13.26,13.30,"66,100",13.30
"Jun 7, 2016",13.59,13.76,13.04,13.46,"54,100",13.46
"Jun 6, 2016",13.42,13.66,13.03,13.58,"54,800",13.58
"Jun 3, 2016",13.40,13.96,13.18,13.42,"61,200",13.42
"Jun 2, 2016",13.55,13.93,13.32,13.40,"95,900",13.40
"Jun 1, 2016",13.30,13.61,13.19,13.59,"91,500",13.59
"May 31, 2016",13.53,13.65,13.26,13.31,"65,100",13.31
"May 27, 2016",13.21,13.44,13.11,13.42,"86,600",13.42
"May 26, 2016",13.39,13.39,13.11,13.27,"115,600",13.27
"May 25, 2016",13.34,13.47,12.83,13.35,"66,400",13.35
"May 24, 2016",12.93,13.48,12.84,13.28,"65,600",13.28
"May 23, 2016",12.83,13.13,12.66,12.84,"66,900",12.84
"May 20, 2016",12.31,12.77,12.12,12.76,"81,500",12.76
"May 19, 2016",12.50,12.74,11.82,12.19,"118,500",12.19
"May 18, 2016",12.17,12.79,12.03,12.60,"166,100",12.60
"May 17, 2016",11.70,12.64,11.67,12.26,"214,600",12.26
"May 16, 2016",11.19,11.69,10.90,11.63,"178,300",11.63
"May 13, 2016",10.24,11.32,10.22,11.13,"154,300",11.13
"May 12, 2016",10.54,10.59,9.81,10.13,"189,800",10.13
"May 11, 2016",10.77,11.09,10.55,10.55,"148,000",10.55
"May 10, 2016",10.84,11.00,10.30,10.67,"284,400",10.67
"May 9, 2016",10.89,11.16,10.50,10.75,"467,700",10.75
"May 6, 2016",11.84,11.94,10.75,10.85,"276,200",10.85
"May 5, 2016",13.20,13.35,11.54,12.01,"337,200",12.01
"May 4, 2016",13.55,13.69,13.33,13.62,"124,000",13.62
"May 3, 2016",14.18,14.31,13.57,13.63,"74,300",13.63
"May 2, 2016",14.10,14.38,13.70,14.35,"117,400",14.35
"Apr 29, 2016",14.16,14.43,13.69,13.94,"75,800",13.94
"Apr 28, 2016",14.09,14.68,13.84,14.31,"118,600",14.31
"Apr 27, 2016",14.38,14.39,13.90,14.09,"85,400",14.09
"Apr 26, 2016",15.33,15.36,14.03,14.48,"127,100",14.48
"Apr 25, 2016",14.64,15.53,14.64,15.19,"224,400",15.19
"Apr 22, 2016",13.95,15.31,13.72,14.63,"346,900",14.63
"Apr 21, 2016",13.86,14.14,13.79,13.86,"129,000",13.86
"Apr 20, 2016",13.89,14.21,13.65,13.84,"108,700",13.84
"Apr 19, 2016",13.70,14.07,13.55,13.78,"129,300",13.78
"Apr 18, 2016",13.56,13.84,13.41,13.64,"139,500",13.64
"Apr 15, 2016",13.65,13.78,13.36,13.57,"58,900",13.57
"Apr 14, 2016",13.50,13.88,13.02,13.72,"103,200",13.72
"Apr 13, 2016",13.18,13.66,12.80,13.54,"127,200",13.54
"Apr 12, 2016",13.31,13.72,13.03,13.09,"131,600",13.09
"Apr 11, 2016",14.03,14.16,13.38,13.40,"58,700",13.40
"Apr 8, 2016",14.34,14.34,13.35,13.90,"100,000",13.90
"Apr 7, 2016",14.09,14.39,13.90,14.16,"72,400",14.16
"Apr 6, 2016",14.00,14.72,13.68,14.22,"174,000",14.22
"Apr 5, 2016",14.16,14.24,13.77,13.92,"71,400",13.92
"Apr 4, 2016",13.89,14.44,13.75,14.19,"130,800",14.19
