Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",16.05,16.27,15.09,15.33,"143,900",15.33
"Jun 10, 2016",16.19,16.53,15.72,16.17,"147,700",16.17
"Jun 9, 2016",16.51,16.84,16.23,16.49,"101,500",16.49
"Jun 8, 2016",16.57,16.81,16.25,16.60,"89,100",16.60
"Jun 7, 2016",17.11,17.20,16.40,16.72,"86,600",16.72
"Jun 6, 2016",16.25,17.41,16.07,17.30,"162,300",17.30
"Jun 3, 2016",16.39,16.44,15.60,16.13,"144,500",16.13
"Jun 2, 2016",16.39,16.70,16.20,16.47,"154,000",16.47
"Jun 1, 2016",16.56,16.71,16.07,16.39,"224,900",16.39
"May 31, 2016",16.75,16.82,16.29,16.72,"277,000",16.72
"May 27, 2016",16.57,16.83,16.30,16.60,"234,700",16.60
"May 26, 2016",16.90,17.03,16.46,16.65,"153,000",16.65
"May 25, 2016",17.02,17.25,16.55,16.67,"143,000",16.67
"May 24, 2016",16.50,16.99,16.31,16.89,"143,400",16.89
"May 23, 2016",17.04,17.49,16.27,16.46,"89,900",16.46
"May 20, 2016",15.68,17.12,15.53,16.99,"169,100",16.99
"May 19, 2016",16.23,16.35,15.13,15.53,"117,100",15.53
"May 18, 2016",15.48,16.50,15.48,16.21,"129,200",16.21
"May 17, 2016",16.01,16.26,15.20,15.59,"165,500",15.59
"May 16, 2016",15.28,16.15,15.21,16.08,"157,700",16.08
"May 13, 2016",14.94,15.24,14.86,15.11,"162,400",15.11
"May 12, 2016",15.25,15.35,14.78,15.01,"308,500",15.01
"May 11, 2016",14.84,15.42,14.08,15.07,"355,400",15.07
"May 10, 2016",15.71,15.71,15.00,15.35,"104,600",15.35
"May 9, 2016",15.21,15.97,15.05,15.54,"146,600",15.54
"May 6, 2016",15.94,16.28,14.54,15.10,"303,800",15.10
"May 5, 2016",17.09,17.10,15.16,15.95,"266,600",15.95
"May 4, 2016",18.52,18.64,16.41,17.05,"289,600",17.05
"May 3, 2016",18.84,19.69,18.62,18.65,"111,400",18.65
"May 2, 2016",19.11,19.30,18.31,19.10,"218,700",19.10
"Apr 29, 2016",18.83,19.55,18.50,19.06,"235,900",19.06
"Apr 28, 2016",18.42,19.77,17.80,18.70,"291,000",18.70
"Apr 27, 2016",19.50,19.99,17.69,18.09,"1,001,700",18.09
"Apr 26, 2016",19.16,19.79,18.05,18.43,"86,900",18.43
"Apr 25, 2016",18.84,18.95,18.50,18.84,"165,900",18.84
"Apr 22, 2016",18.48,18.94,18.24,18.83,"106,800",18.83
"Apr 21, 2016",17.84,18.60,17.70,18.43,"98,900",18.43
"Apr 20, 2016",18.07,18.26,17.59,17.92,"130,500",17.92
"Apr 19, 2016",19.10,19.20,17.80,17.97,"219,700",17.97
"Apr 18, 2016",18.58,19.10,18.38,18.96,"166,300",18.96
"Apr 15, 2016",19.00,19.02,18.43,18.54,"144,700",18.54
"Apr 14, 2016",18.99,18.99,18.37,18.80,"74,100",18.80
"Apr 13, 2016",18.65,19.12,18.26,18.87,"103,900",18.87
"Apr 12, 2016",18.72,19.08,18.05,18.55,"76,300",18.55
"Apr 11, 2016",18.97,19.30,18.60,18.74,"126,900",18.74
"Apr 8, 2016",19.31,19.45,18.45,18.74,"115,400",18.74
"Apr 7, 2016",19.56,19.90,18.71,18.96,"95,800",18.96
"Apr 6, 2016",18.34,19.49,18.34,19.33,"235,000",19.33
"Apr 5, 2016",19.00,19.49,18.12,18.17,"168,000",18.17
"Apr 4, 2016",19.30,19.63,18.90,19.25,"108,700",19.25
"Apr 1, 2016",18.05,20.03,18.05,19.17,"203,900",19.17
"Mar 31, 2016",17.11,19.28,17.03,18.15,"183,400",18.15
"Mar 30, 2016",17.75,18.25,16.84,17.01,"98,000",17.01
"Mar 29, 2016",16.50,17.71,16.14,17.61,"89,500",17.61
"Mar 28, 2016",17.22,17.22,16.35,16.47,"60,900",16.47
"Mar 24, 2016",16.68,17.53,16.39,17.13,"120,200",17.13
"Mar 23, 2016",17.05,17.61,16.50,16.92,"144,700",16.92
"Mar 22, 2016",16.15,17.89,16.00,17.04,"171,000",17.04
"Mar 21, 2016",15.85,16.44,15.75,16.29,"158,400",16.29
"Mar 18, 2016",15.50,16.44,15.26,15.83,"189,200",15.83
"Mar 17, 2016",16.82,16.82,15.06,15.39,"340,000",15.39
"Mar 16, 2016",17.16,17.21,16.42,16.83,"157,900",16.83
"Mar 15, 2016",18.17,18.17,16.90,17.19,"155,600",17.19
"Mar 14, 2016",17.87,18.12,17.49,17.83,"150,500",17.83
"Mar 11, 2016",17.87,18.08,17.18,17.66,"175,800",17.66
"Mar 10, 2016",17.81,18.31,17.11,17.71,"84,600",17.71
"Mar 9, 2016",17.69,18.00,17.00,17.74,"105,500",17.74
"Mar 8, 2016",18.50,18.78,17.57,17.65,"80,400",17.65
"Mar 7, 2016",18.37,18.76,17.86,18.63,"78,000",18.63
"Mar 4, 2016",18.25,19.22,17.77,18.43,"158,200",18.43
"Mar 3, 2016",18.59,19.13,17.97,18.20,"87,600",18.20
"Mar 2, 2016",17.87,19.20,17.75,18.88,"128,600",18.88
"Mar 1, 2016",17.62,18.28,16.92,18.01,"159,100",18.01
