Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",1.69,1.77,1.63,1.63,"398,300",1.63
"Jun 10, 2016",1.76,1.77,1.68,1.69,"614,000",1.69
"Jun 9, 2016",1.88,1.90,1.76,1.79,"548,300",1.79
"Jun 8, 2016",1.87,1.93,1.80,1.89,"590,900",1.89
"Jun 7, 2016",1.86,1.93,1.82,1.85,"465,000",1.85
"Jun 6, 2016",1.85,1.91,1.80,1.86,"405,600",1.86
"Jun 3, 2016",2.00,2.05,1.85,1.87,"628,100",1.87
"Jun 2, 2016",1.87,1.99,1.87,1.97,"687,300",1.97
"Jun 1, 2016",1.80,1.89,1.80,1.85,"620,900",1.85
"May 31, 2016",1.68,1.80,1.67,1.75,"385,000",1.75
"May 27, 2016",1.72,1.73,1.68,1.70,"260,700",1.70
"May 26, 2016",1.76,1.81,1.69,1.71,"335,800",1.71
"May 25, 2016",1.79,1.84,1.77,1.80,"400,400",1.80
"May 24, 2016",1.74,1.80,1.71,1.76,"470,700",1.76
"May 23, 2016",1.68,1.74,1.66,1.70,"299,400",1.70
"May 20, 2016",1.64,1.71,1.62,1.65,"408,900",1.65
"May 19, 2016",1.66,1.72,1.60,1.62,"278,200",1.62
"May 18, 2016",1.63,1.70,1.60,1.65,"186,100",1.65
"May 17, 2016",1.73,1.77,1.64,1.66,"348,300",1.66
"May 16, 2016",1.71,1.75,1.70,1.71,"361,500",1.71
"May 13, 2016",1.77,1.80,1.67,1.68,"1,076,700",1.68
"May 12, 2016",1.86,1.87,1.69,1.76,"541,000",1.76
"May 11, 2016",1.94,1.95,1.82,1.82,"161,700",1.82
"May 10, 2016",1.90,1.96,1.82,1.92,"148,900",1.92
"May 9, 2016",1.81,1.99,1.81,1.86,"330,400",1.86
"May 6, 2016",1.81,1.90,1.76,1.79,"295,200",1.79
"May 5, 2016",1.89,1.89,1.77,1.79,"129,700",1.79
"May 4, 2016",1.92,1.96,1.84,1.85,"255,100",1.85
"May 3, 2016",1.99,2.00,1.91,1.92,"229,600",1.92
"May 2, 2016",2.03,2.06,1.95,2.01,"152,800",2.01
"Apr 29, 2016",2.06,2.07,1.95,2.00,"535,900",2.00
"Apr 28, 2016",2.14,2.17,2.03,2.03,"310,400",2.03
