Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",23.62,23.79,22.92,23.11,"554,300",23.11
"Jun 10, 2016",24.33,24.49,23.70,23.80,"505,000",23.80
"Jun 9, 2016",24.05,25.25,24.03,24.47,"330,700",24.47
"Jun 8, 2016",25.27,25.52,24.11,24.34,"701,300",24.34
"Jun 7, 2016",26.03,26.11,24.74,25.11,"861,700",25.11
"Jun 6, 2016",27.01,27.16,25.86,26.71,"1,105,400",26.71
"Jun 3, 2016",28.04,28.41,26.46,26.53,"1,070,800",26.53
"Jun 2, 2016",32.00,34.52,25.15,28.04,"7,084,500",28.04
"Jun 1, 2016",30.56,31.49,29.86,31.05,"732,100",31.05
"May 31, 2016",33.10,33.71,30.55,30.82,"618,900",30.82
"May 27, 2016",31.38,33.08,30.94,32.95,"912,900",32.95
"May 26, 2016",31.55,32.00,30.54,31.10,"432,500",31.10
"May 25, 2016",31.53,31.86,31.25,31.63,"346,000",31.63
"May 24, 2016",32.14,32.14,30.89,31.14,"445,400",31.14
"May 23, 2016",31.03,33.94,30.65,32.52,"372,000",32.52
"May 20, 2016",31.48,32.00,30.34,30.65,"614,800",30.65
"May 19, 2016",29.53,31.84,29.25,31.56,"522,600",31.56
"May 18, 2016",29.36,30.58,29.17,29.78,"341,700",29.78
"May 17, 2016",29.99,32.08,29.33,29.63,"995,300",29.63
"May 16, 2016",27.09,29.66,26.26,29.07,"1,031,100",29.07
"May 13, 2016",23.19,26.58,22.25,26.30,"1,098,500",26.30
"May 12, 2016",23.63,23.73,22.65,23.03,"453,900",23.03
"May 11, 2016",23.33,24.39,23.25,23.42,"336,000",23.42
"May 10, 2016",23.18,23.99,22.70,23.42,"503,300",23.42
"May 9, 2016",24.55,24.68,22.99,23.22,"608,900",23.22
"May 6, 2016",26.28,26.47,24.40,24.55,"644,200",24.55
"May 5, 2016",27.32,27.55,26.70,26.76,"260,500",26.76
"May 4, 2016",26.42,27.47,26.21,27.27,"456,900",27.27
"May 3, 2016",26.61,27.53,25.81,26.42,"463,800",26.42
"May 2, 2016",28.82,28.82,25.69,26.51,"826,900",26.51
"Apr 29, 2016",30.36,30.58,27.64,29.14,"1,345,300",29.14
"Apr 28, 2016",31.64,31.90,30.46,30.54,"480,100",30.54
"Apr 27, 2016",32.47,32.89,31.64,31.70,"401,500",31.70
"Apr 26, 2016",32.08,32.79,31.00,32.50,"449,600",32.50
"Apr 25, 2016",32.20,33.00,31.50,32.35,"394,900",32.35
"Apr 22, 2016",33.01,33.40,31.00,32.47,"2,959,400",32.47
"Apr 21, 2016",24.52,31.00,23.40,30.50,"2,364,400",30.50
"Apr 20, 2016",25.07,25.31,24.30,24.39,"243,200",24.39
"Apr 19, 2016",25.10,25.28,24.82,25.01,"156,900",25.01
"Apr 18, 2016",23.60,25.01,23.60,24.94,"207,900",24.94
"Apr 15, 2016",24.33,24.43,23.33,23.97,"207,800",23.97
"Apr 14, 2016",23.96,25.05,23.96,24.14,"300,600",24.14
"Apr 13, 2016",24.84,25.12,24.19,24.40,"391,700",24.40
"Apr 13, 2016",0.075 Dividend,,,,,
"Apr 12, 2016",25.79,26.07,24.78,24.84,"271,200",24.77
"Apr 11, 2016",27.25,27.32,25.65,25.76,"273,600",25.68
"Apr 8, 2016",27.46,27.70,26.41,26.61,"178,000",26.53
"Apr 7, 2016",27.50,28.18,26.66,27.03,"320,200",26.95
"Apr 6, 2016",25.12,27.33,25.12,27.29,"260,400",27.21
"Apr 5, 2016",26.00,26.00,25.00,25.04,"230,500",24.96
"Apr 4, 2016",25.48,26.91,25.48,25.78,"342,200",25.70
"Apr 1, 2016",25.09,26.02,24.44,25.44,"430,200",25.36
"Mar 31, 2016",24.58,25.95,24.39,25.60,"457,300",25.52
"Mar 30, 2016",23.60,25.30,23.60,24.33,"507,900",24.26
"Mar 29, 2016",24.57,24.96,21.24,23.05,"1,080,600",22.98
