Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",30.25,31.01,30.08,30.65,"146,500",30.65
"Jun 10, 2016",31.43,32.42,31.40,32.00,"234,600",32.00
"Jun 9, 2016",32.74,33.20,32.74,33.00,"102,400",33.00
"Jun 8, 2016",33.12,33.37,33.00,33.20,"34,200",33.20
"Jun 7, 2016",33.24,33.45,33.00,33.01,"33,200",33.01
"Jun 6, 2016",32.85,33.54,32.83,33.42,"44,500",33.42
"Jun 3, 2016",33.36,33.50,32.95,33.08,"36,200",33.08
"Jun 2, 2016",33.49,33.85,33.41,33.69,"55,600",33.69
"Jun 1, 2016",33.61,33.88,33.36,33.40,"45,800",33.40
"May 31, 2016",33.90,34.04,33.26,33.53,"62,000",33.53
"May 27, 2016",31.99,32.61,31.85,32.54,"44,900",32.54
"May 26, 2016",32.33,32.34,31.81,32.25,"32,100",32.25
"May 25, 2016",31.85,32.66,31.78,32.26,"96,700",32.26
"May 24, 2016",30.77,32.45,30.70,32.08,"216,100",32.08
"May 23, 2016",30.47,31.03,30.42,30.85,"58,400",30.85
"May 20, 2016",29.72,30.47,29.68,29.99,"124,100",29.99
"May 19, 2016",29.27,29.85,29.04,29.74,"191,500",29.74
"May 18, 2016",28.70,30.05,28.70,29.64,"167,800",29.64
"May 17, 2016",29.10,29.18,28.46,28.68,"218,200",28.68
"May 16, 2016",29.08,29.54,28.79,29.00,"162,100",29.00
"May 13, 2016",29.83,29.83,28.64,28.68,"78,100",28.68
"May 12, 2016",30.83,31.00,29.59,29.97,"79,100",29.97
"May 11, 2016",30.54,31.06,30.11,30.13,"222,400",30.13
"May 10, 2016",30.70,30.99,30.21,30.92,"104,600",30.92
"May 9, 2016",30.80,31.15,30.01,30.70,"311,600",30.70
"May 6, 2016",30.61,30.76,29.83,30.46,"189,900",30.46
"May 5, 2016",31.89,31.89,30.05,30.19,"277,700",30.19
"May 4, 2016",33.00,33.00,31.86,31.89,"136,200",31.89
"May 3, 2016",33.73,33.91,33.28,33.40,"62,600",33.40
"May 2, 2016",33.71,33.89,33.28,33.77,"72,000",33.77
"Apr 29, 2016",35.02,35.21,33.70,33.97,"68,700",33.97
"Apr 28, 2016",34.90,35.04,34.25,34.28,"30,600",34.28
"Apr 27, 2016",35.30,35.30,34.66,34.85,"66,500",34.85
"Apr 26, 2016",35.07,35.30,34.40,34.98,"60,300",34.98
"Apr 25, 2016",35.41,35.60,35.04,35.10,"62,300",35.10
"Apr 22, 2016",35.46,35.58,34.80,35.10,"72,200",35.10
"Apr 21, 2016",35.29,35.80,35.26,35.38,"127,500",35.38
"Apr 20, 2016",35.74,36.04,35.30,35.38,"111,100",35.38
"Apr 19, 2016",36.18,36.62,35.92,36.09,"62,300",36.09
"Apr 18, 2016",35.83,36.26,35.47,35.97,"58,800",35.97
"Apr 15, 2016",35.89,35.89,35.05,35.35,"27,300",35.35
"Apr 14, 2016",36.00,36.00,35.13,35.84,"106,700",35.84
"Apr 13, 2016",34.91,35.19,34.67,34.96,"35,100",34.96
"Apr 12, 2016",34.65,35.05,34.56,34.76,"60,300",34.76
"Apr 11, 2016",35.76,35.76,34.25,34.25,"95,700",34.25
"Apr 8, 2016",35.92,36.00,34.68,34.94,"48,700",34.94
"Apr 7, 2016",35.23,35.86,35.05,35.35,"84,200",35.35
"Apr 6, 2016",34.76,37.10,34.76,36.51,"156,300",36.51
"Apr 5, 2016",33.60,34.01,33.42,33.65,"55,900",33.65
"Apr 4, 2016",34.09,34.31,33.44,33.60,"48,100",33.60
"Apr 1, 2016",32.37,34.01,32.37,33.69,"91,900",33.69
"Mar 31, 2016",32.22,32.94,32.05,32.55,"37,800",32.55
"Mar 30, 2016",31.97,32.53,31.32,31.58,"72,900",31.58
"Mar 29, 2016",30.45,31.79,30.28,31.52,"37,900",31.52
"Mar 28, 2016",30.85,30.88,30.20,30.45,"39,800",30.45
"Mar 24, 2016",30.56,31.05,30.36,30.65,"46,900",30.65
"Mar 23, 2016",32.02,32.21,30.60,30.65,"52,900",30.65
"Mar 22, 2016",30.63,31.63,30.59,31.52,"32,200",31.52
"Mar 21, 2016",30.81,31.36,30.61,30.85,"77,000",30.85
"Mar 18, 2016",30.11,31.02,29.86,30.74,"108,000",30.74
"Mar 17, 2016",29.99,30.84,29.95,30.44,"137,300",30.44
"Mar 16, 2016",30.23,30.69,29.97,30.47,"59,800",30.47
"Mar 15, 2016",31.69,31.69,30.53,30.62,"94,600",30.62
"Mar 14, 2016",31.50,32.32,31.42,32.03,"131,400",32.03
"Mar 11, 2016",30.58,31.01,30.31,30.85,"84,000",30.85
"Mar 10, 2016",30.38,30.61,29.90,30.25,"98,500",30.25
"Mar 9, 2016",29.37,30.13,28.98,30.03,"278,000",30.03
"Mar 8, 2016",30.26,30.37,29.08,29.61,"346,300",29.61
"Mar 7, 2016",27.57,30.55,27.20,30.11,"785,800",30.11
"Mar 4, 2016",25.56,26.69,25.00,26.15,"471,800",26.15
"Mar 3, 2016",25.87,25.87,24.94,25.27,"72,100",25.27
"Mar 2, 2016",25.95,26.08,25.52,25.97,"58,000",25.97
"Mar 1, 2016",25.93,26.20,25.66,26.08,"277,600",26.08
"Feb 29, 2016",26.32,26.33,25.13,25.15,"312,300",25.15
"Feb 26, 2016",26.46,26.68,25.37,25.70,"120,600",25.70
"Feb 25, 2016",26.27,26.51,25.58,25.60,"79,200",25.60
"Feb 24, 2016",26.50,26.50,25.92,26.03,"120,700",26.03
"Feb 23, 2016",26.80,27.29,26.35,26.43,"106,500",26.43
"Feb 22, 2016",26.49,26.89,26.22,26.37,"50,800",26.37
"Feb 19, 2016",24.82,25.67,24.37,25.61,"31,000",25.61
"Feb 18, 2016",26.14,26.21,24.88,25.04,"71,100",25.04
"Feb 17, 2016",25.06,25.98,24.80,25.24,"150,600",25.24
"Feb 16, 2016",24.24,24.39,23.72,23.83,"91,300",23.83
