Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",19.62,20.16,19.46,19.57,"822,400",19.57
"Jun 10, 2016",20.25,20.59,19.69,19.82,"773,200",19.82
"Jun 9, 2016",20.52,21.01,20.51,20.63,"637,000",20.63
"Jun 8, 2016",20.52,20.84,20.19,20.63,"820,300",20.63
"Jun 7, 2016",20.48,20.92,20.03,20.43,"1,427,300",20.43
"Jun 6, 2016",20.23,20.88,19.91,20.59,"1,324,700",20.59
"Jun 3, 2016",20.78,20.82,19.94,20.16,"1,251,400",20.16
"Jun 2, 2016",20.55,21.10,20.55,20.89,"1,411,600",20.89
"Jun 1, 2016",20.41,21.02,20.18,20.72,"1,566,000",20.72
"May 31, 2016",20.42,20.84,20.12,20.43,"1,455,900",20.43
"May 27, 2016",20.20,20.73,20.13,20.34,"864,000",20.34
"May 26, 2016",20.19,20.34,19.56,20.01,"1,150,500",20.01
"May 25, 2016",20.30,20.39,19.73,19.97,"1,839,600",19.97
"May 24, 2016",19.87,20.34,19.64,20.13,"1,842,800",20.13
"May 23, 2016",19.81,20.37,19.70,19.81,"1,617,200",19.81
"May 20, 2016",19.11,19.94,19.01,19.92,"1,577,000",19.92
"May 19, 2016",19.09,19.25,18.42,19.10,"1,077,800",19.10
"May 18, 2016",18.81,19.50,18.71,19.16,"1,189,300",19.16
"May 17, 2016",18.29,19.20,18.18,18.84,"1,924,700",18.84
"May 16, 2016",17.99,18.46,17.76,18.38,"2,132,400",18.38
"May 13, 2016",17.52,18.41,17.26,17.87,"1,267,800",17.87
"May 12, 2016",17.88,17.89,16.95,17.52,"2,465,500",17.52
"May 11, 2016",18.11,18.48,17.61,17.73,"2,319,700",17.73
"May 10, 2016",17.83,18.37,17.26,18.22,"3,246,900",18.22
"May 9, 2016",16.63,18.13,15.88,17.85,"4,415,600",17.85
"May 6, 2016",15.35,16.09,15.11,15.51,"2,398,500",15.51
"May 5, 2016",16.60,16.69,16.04,16.15,"1,924,600",16.15
