Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",30.34,30.85,29.78,29.87,"360,800",29.87
"Jun 10, 2016",29.82,30.60,28.76,30.27,"431,000",30.27
"Jun 9, 2016",29.78,31.73,29.69,30.11,"723,200",30.11
"Jun 8, 2016",29.74,30.49,28.54,29.80,"2,836,700",29.80
"Jun 7, 2016",30.41,30.48,29.75,30.21,"118,300",30.21
"Jun 6, 2016",30.30,30.82,29.22,30.62,"295,200",30.62
"Jun 3, 2016",30.63,30.88,29.70,30.33,"633,800",30.33
"Jun 2, 2016",34.00,34.00,30.05,30.66,"2,430,700",30.66
"Jun 1, 2016",31.36,32.36,30.98,32.00,"214,900",32.00
"May 31, 2016",31.35,31.97,31.18,31.74,"271,100",31.74
"May 27, 2016",31.23,31.86,30.83,31.16,"193,000",31.16
"May 26, 2016",30.94,31.37,30.59,31.29,"125,800",31.29
"May 25, 2016",31.01,31.86,30.29,30.90,"204,900",30.90
"May 24, 2016",30.71,31.00,30.43,30.93,"208,300",30.93
"May 23, 2016",30.93,31.38,30.24,30.49,"344,000",30.49
"May 20, 2016",30.60,31.06,30.16,30.87,"236,700",30.87
"May 19, 2016",31.26,31.67,30.02,30.26,"215,300",30.26
"May 18, 2016",30.59,32.07,30.59,31.76,"233,200",31.76
"May 17, 2016",29.95,31.62,29.95,30.83,"404,100",30.83
"May 16, 2016",28.50,30.31,28.36,30.22,"428,100",30.22
"May 13, 2016",27.26,28.14,26.96,27.80,"190,100",27.80
"May 12, 2016",28.33,28.68,26.48,27.28,"216,100",27.28
"May 11, 2016",28.73,29.31,27.97,28.14,"396,100",28.14
"May 10, 2016",29.00,29.44,26.52,28.69,"1,450,400",28.69
"May 9, 2016",23.55,24.91,23.33,24.46,"105,600",24.46
"May 6, 2016",23.83,24.73,23.42,23.60,"164,200",23.60
"May 5, 2016",24.78,24.78,23.75,23.94,"329,100",23.94
"May 4, 2016",25.09,25.31,24.52,24.68,"171,900",24.68
"May 3, 2016",25.06,25.68,24.90,25.35,"116,700",25.35
"May 2, 2016",25.38,25.51,24.52,25.38,"164,300",25.38
"Apr 29, 2016",25.46,25.71,24.90,25.29,"123,700",25.29
"Apr 28, 2016",25.09,26.15,24.70,25.55,"139,900",25.55
"Apr 27, 2016",25.22,25.52,24.84,25.12,"118,800",25.12
"Apr 26, 2016",25.36,25.63,24.37,25.18,"117,700",25.18
"Apr 25, 2016",25.91,25.92,25.10,25.37,"184,700",25.37
"Apr 22, 2016",26.02,26.30,25.59,25.88,"167,800",25.88
"Apr 21, 2016",25.53,25.97,25.34,25.90,"150,700",25.90
"Apr 20, 2016",26.17,26.53,25.04,25.54,"244,200",25.54
"Apr 19, 2016",25.71,27.29,25.57,26.13,"247,300",26.13
"Apr 18, 2016",24.31,26.10,24.28,25.78,"217,900",25.78
"Apr 15, 2016",23.89,24.91,23.75,24.46,"103,000",24.46
"Apr 14, 2016",24.63,24.96,23.87,24.02,"233,300",24.02
"Apr 13, 2016",23.88,24.59,23.22,24.51,"158,800",24.51
"Apr 12, 2016",23.50,23.87,22.84,23.73,"114,800",23.73
"Apr 11, 2016",24.00,24.00,23.07,23.54,"145,100",23.54
"Apr 8, 2016",23.99,24.03,23.17,23.93,"107,600",23.93
"Apr 7, 2016",24.09,24.79,23.40,23.64,"132,600",23.64
"Apr 6, 2016",22.59,24.43,22.59,24.27,"203,200",24.27
"Apr 5, 2016",21.21,23.00,21.21,22.50,"246,200",22.50
"Apr 4, 2016",21.27,21.49,21.01,21.38,"212,000",21.38
"Apr 1, 2016",20.70,21.27,20.13,21.25,"237,900",21.25
"Mar 31, 2016",20.41,21.45,20.08,20.68,"295,700",20.68
"Mar 30, 2016",21.05,21.63,20.18,20.25,"234,000",20.25
"Mar 29, 2016",20.22,20.97,19.99,20.88,"363,900",20.88
"Mar 28, 2016",20.27,20.31,19.63,20.25,"162,600",20.25
"Mar 24, 2016",19.74,20.73,19.47,20.33,"141,600",20.33
"Mar 23, 2016",20.53,20.70,19.66,19.86,"168,700",19.86
"Mar 22, 2016",20.43,21.01,20.43,20.68,"323,400",20.68
"Mar 21, 2016",19.91,20.52,19.63,20.45,"402,300",20.45
"Mar 18, 2016",18.86,20.08,18.34,19.88,"356,500",19.88
"Mar 17, 2016",19.56,19.77,17.42,18.67,"660,000",18.67
"Mar 16, 2016",19.46,19.75,18.51,19.54,"223,800",19.54
"Mar 15, 2016",21.20,21.33,19.72,19.93,"146,300",19.93
"Mar 14, 2016",20.99,21.94,20.49,21.37,"219,500",21.37
"Mar 11, 2016",21.16,21.30,20.57,21.10,"167,900",21.10
"Mar 10, 2016",21.34,21.64,20.98,21.21,"63,200",21.21
"Mar 9, 2016",21.64,21.87,21.00,21.31,"110,200",21.31
"Mar 8, 2016",22.81,23.00,21.57,21.74,"106,200",21.74
"Mar 7, 2016",22.55,23.20,22.44,23.03,"67,200",23.03
"Mar 4, 2016",21.71,23.27,21.64,22.59,"215,700",22.59
"Mar 3, 2016",22.93,23.15,21.42,21.80,"215,900",21.80
"Mar 2, 2016",22.36,23.81,21.16,23.26,"165,300",23.26
"Mar 1, 2016",23.51,23.51,22.03,22.50,"128,200",22.50
"Feb 29, 2016",23.43,24.76,22.57,23.06,"196,600",23.06
"Feb 26, 2016",23.37,23.98,22.81,23.48,"106,800",23.48
"Feb 25, 2016",23.46,23.72,22.28,23.08,"118,200",23.08
"Feb 24, 2016",21.91,23.87,21.36,23.42,"185,400",23.42
"Feb 23, 2016",23.45,24.35,22.14,22.15,"180,900",22.15
