Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",2.00,2.00,1.86,1.86,"2,072,300",1.86
"Jun 10, 2016",2.02,2.06,1.98,1.99,"2,524,700",1.99
"Jun 9, 2016",2.07,2.09,2.00,2.06,"2,254,900",2.06
"Jun 8, 2016",2.14,2.14,2.01,2.04,"3,277,800",2.04
"Jun 7, 2016",2.13,2.19,2.02,2.07,"3,732,800",2.07
"Jun 6, 2016",2.94,2.96,2.06,2.07,"12,275,800",2.07
"Jun 3, 2016",6.52,6.58,6.22,6.38,"579,600",6.38
"Jun 2, 2016",6.32,6.70,6.13,6.40,"323,600",6.40
"Jun 1, 2016",6.33,6.40,6.04,6.28,"220,000",6.28
"May 31, 2016",5.99,6.35,5.82,6.28,"402,500",6.28
"May 27, 2016",6.51,6.69,5.75,5.82,"378,400",5.82
"May 26, 2016",6.11,6.50,6.01,6.40,"160,900",6.40
"May 25, 2016",6.01,6.23,5.98,6.12,"267,400",6.12
"May 24, 2016",6.02,6.04,5.89,5.95,"152,600",5.95
"May 23, 2016",5.89,6.10,5.85,5.94,"339,400",5.94
"May 20, 2016",5.50,6.07,5.45,5.82,"608,900",5.82
"May 19, 2016",5.10,5.58,5.01,5.37,"495,500",5.37
"May 18, 2016",5.12,5.34,4.92,5.00,"468,600",5.00
"May 17, 2016",4.92,5.46,4.92,5.15,"508,400",5.15
"May 16, 2016",4.90,5.06,4.81,5.00,"156,500",5.00
"May 13, 2016",4.73,5.17,4.60,4.85,"71,800",4.85
"May 12, 2016",5.35,5.58,4.65,4.75,"372,800",4.75
"May 11, 2016",5.30,5.48,5.18,5.32,"364,000",5.32
"May 10, 2016",4.71,5.40,4.48,5.38,"138,400",5.38
"May 9, 2016",4.80,4.89,4.48,4.66,"189,100",4.66
"May 6, 2016",4.75,4.94,4.68,4.78,"67,900",4.78
"May 5, 2016",5.20,5.20,4.79,4.86,"143,200",4.86
"May 4, 2016",5.24,5.24,4.92,5.15,"215,400",5.15
"May 3, 2016",5.50,5.59,5.12,5.27,"213,200",5.27
"May 2, 2016",5.60,5.75,5.40,5.56,"53,100",5.56
"Apr 29, 2016",5.72,5.80,5.50,5.60,"63,000",5.60
"Apr 28, 2016",6.00,6.00,5.68,5.78,"171,900",5.78
"Apr 27, 2016",5.95,5.95,5.69,5.87,"82,200",5.87
"Apr 26, 2016",6.16,6.20,5.86,5.90,"82,700",5.90
"Apr 25, 2016",6.28,6.30,6.08,6.17,"43,100",6.17
"Apr 22, 2016",6.20,6.33,6.11,6.25,"44,500",6.25
"Apr 21, 2016",6.02,6.25,5.94,6.20,"75,600",6.20
"Apr 20, 2016",6.18,6.29,5.88,5.93,"119,500",5.93
"Apr 19, 2016",6.55,6.55,6.12,6.13,"145,500",6.13
"Apr 18, 2016",6.56,6.57,6.35,6.45,"50,200",6.45
"Apr 15, 2016",6.79,6.85,6.51,6.59,"108,400",6.59
"Apr 14, 2016",6.63,6.83,6.50,6.73,"111,000",6.73
"Apr 13, 2016",6.33,6.71,6.31,6.58,"117,300",6.58
"Apr 12, 2016",6.43,6.55,6.20,6.30,"55,300",6.30
"Apr 11, 2016",6.69,6.78,6.37,6.38,"86,500",6.38
"Apr 8, 2016",7.05,7.05,6.50,6.55,"93,500",6.55
"Apr 7, 2016",7.03,7.07,6.80,6.95,"129,900",6.95
"Apr 6, 2016",7.04,7.22,6.90,7.03,"141,900",7.03
"Apr 5, 2016",6.90,7.06,6.90,6.99,"67,800",6.99
"Apr 4, 2016",6.91,7.12,6.75,6.89,"164,900",6.89
"Apr 1, 2016",6.61,7.05,6.61,6.94,"84,400",6.94
"Mar 31, 2016",6.84,7.09,6.59,6.74,"142,900",6.74
"Mar 30, 2016",6.54,7.15,6.38,6.96,"231,000",6.96
"Mar 29, 2016",6.45,6.54,6.15,6.51,"80,300",6.51
"Mar 28, 2016",6.46,6.66,6.06,6.52,"79,500",6.52
"Mar 24, 2016",6.49,6.49,5.98,6.27,"73,700",6.27
"Mar 23, 2016",6.99,7.28,6.44,6.48,"45,400",6.48
"Mar 22, 2016",6.90,7.12,6.76,7.06,"100,700",7.06
"Mar 21, 2016",6.82,7.16,6.69,6.99,"70,500",6.99
"Mar 18, 2016",6.37,7.00,6.23,6.83,"213,300",6.83
"Mar 17, 2016",6.25,6.52,5.90,6.31,"92,600",6.31
"Mar 16, 2016",6.38,6.55,5.82,6.25,"166,600",6.25
"Mar 15, 2016",7.75,8.24,6.25,6.42,"543,000",6.42
"Mar 14, 2016",7.18,7.77,6.90,7.53,"192,800",7.53
"Mar 11, 2016",6.61,7.07,6.22,6.99,"97,300",6.99
"Mar 10, 2016",6.31,6.75,6.25,6.51,"124,400",6.51
"Mar 9, 2016",6.65,7.00,6.15,6.24,"143,700",6.24
"Mar 8, 2016",6.98,7.28,6.50,6.58,"132,100",6.58
"Mar 7, 2016",6.99,7.80,6.65,7.01,"354,200",7.01
"Mar 4, 2016",6.45,7.22,6.30,6.95,"156,100",6.95
"Mar 3, 2016",6.02,6.49,5.95,6.41,"99,400",6.41
"Mar 2, 2016",6.00,6.06,5.80,6.02,"146,600",6.02
"Mar 1, 2016",5.91,6.31,5.70,6.00,"59,600",6.00
"Feb 29, 2016",6.00,6.06,5.88,5.89,"57,700",5.89
"Feb 26, 2016",6.00,6.62,5.93,6.04,"102,200",6.04
"Feb 25, 2016",6.11,6.39,5.91,6.01,"77,900",6.01
"Feb 24, 2016",6.34,6.97,6.00,6.03,"140,800",6.03
"Feb 23, 2016",6.82,7.46,6.49,6.50,"101,500",6.50
"Feb 22, 2016",7.06,7.39,6.83,7.01,"52,300",7.01
"Feb 19, 2016",6.95,7.25,6.78,7.07,"82,200",7.07
"Feb 18, 2016",7.11,7.20,6.87,7.03,"87,800",7.03
"Feb 17, 2016",6.72,7.34,6.53,7.07,"175,200",7.07
