Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.44,3.52,3.33,3.36,"156,500",3.36
"Jun 10, 2016",3.61,3.66,3.30,3.45,"209,000",3.45
"Jun 9, 2016",3.79,3.85,3.60,3.66,"107,800",3.66
"Jun 8, 2016",3.82,3.85,3.73,3.81,"88,400",3.81
"Jun 7, 2016",3.93,3.97,3.80,3.82,"117,600",3.82
"Jun 6, 2016",3.92,4.07,3.77,3.96,"103,900",3.96
"Jun 3, 2016",3.91,4.09,3.71,3.88,"182,800",3.88
"Jun 2, 2016",3.77,3.94,3.66,3.89,"92,400",3.89
"Jun 1, 2016",3.71,3.84,3.66,3.78,"91,000",3.78
"May 31, 2016",3.78,3.80,3.54,3.72,"166,200",3.72
"May 27, 2016",3.75,3.75,3.53,3.72,"99,600",3.72
"May 26, 2016",3.94,3.94,3.69,3.71,"103,100",3.71
"May 25, 2016",3.79,3.95,3.76,3.86,"166,300",3.86
"May 24, 2016",3.75,3.90,3.68,3.76,"77,000",3.76
"May 23, 2016",3.77,3.95,3.66,3.68,"150,100",3.68
"May 20, 2016",3.47,3.85,3.43,3.75,"258,500",3.75
"May 19, 2016",3.50,3.55,3.33,3.45,"113,800",3.45
"May 18, 2016",3.31,3.60,3.31,3.52,"126,400",3.52
"May 17, 2016",3.48,3.65,3.30,3.33,"175,100",3.33
"May 16, 2016",3.43,3.58,3.38,3.49,"156,500",3.49
"May 13, 2016",3.25,3.47,3.21,3.38,"154,100",3.38
"May 12, 2016",3.47,3.52,3.08,3.26,"180,400",3.26
"May 11, 2016",3.65,3.73,3.36,3.45,"128,900",3.45
"May 10, 2016",4.12,4.12,3.55,3.67,"310,700",3.67
"May 9, 2016",3.97,4.18,3.43,4.11,"281,200",4.11
"May 6, 2016",4.15,4.28,3.88,3.99,"130,900",3.99
"May 5, 2016",4.43,4.50,4.15,4.17,"126,500",4.17
"May 4, 2016",4.47,4.47,4.13,4.43,"184,600",4.43
"May 3, 2016",4.81,4.89,4.46,4.48,"102,200",4.48
"May 2, 2016",4.71,4.87,4.51,4.80,"83,600",4.80
"Apr 29, 2016",4.85,4.93,4.50,4.62,"93,600",4.62
"Apr 28, 2016",4.77,5.21,4.70,4.84,"183,500",4.84
"Apr 27, 2016",4.77,4.90,4.61,4.76,"110,600",4.76
"Apr 26, 2016",4.87,4.90,4.52,4.75,"132,100",4.75
"Apr 25, 2016",5.24,5.26,4.85,4.87,"80,900",4.87
"Apr 22, 2016",4.99,5.26,4.91,5.23,"78,600",5.23
"Apr 21, 2016",4.83,5.11,4.72,4.96,"114,000",4.96
"Apr 20, 2016",5.08,5.16,4.81,4.86,"106,200",4.86
"Apr 19, 2016",5.40,5.42,5.00,5.07,"202,300",5.07
"Apr 18, 2016",5.34,5.49,5.20,5.38,"47,100",5.38
"Apr 15, 2016",5.43,5.52,5.15,5.37,"55,400",5.37
"Apr 14, 2016",5.53,5.65,5.30,5.45,"59,800",5.45
"Apr 13, 2016",5.22,5.59,5.14,5.49,"245,100",5.49
"Apr 12, 2016",5.16,5.34,5.01,5.17,"68,400",5.17
"Apr 11, 2016",5.34,5.42,5.10,5.19,"86,800",5.19
"Apr 8, 2016",5.48,5.48,5.10,5.29,"95,200",5.29
"Apr 7, 2016",5.45,5.69,5.22,5.38,"68,400",5.38
"Apr 6, 2016",5.16,5.62,5.12,5.50,"161,600",5.50
"Apr 5, 2016",5.54,5.79,5.05,5.19,"147,700",5.19
"Apr 4, 2016",5.51,5.85,5.51,5.62,"137,000",5.62
"Apr 1, 2016",5.30,5.66,5.22,5.55,"63,800",5.55
"Mar 31, 2016",5.21,5.69,5.21,5.36,"143,100",5.36
"Mar 30, 2016",5.21,5.58,4.97,5.15,"119,000",5.15
"Mar 29, 2016",4.62,5.23,4.51,5.21,"132,200",5.21
"Mar 28, 2016",4.81,4.90,4.59,4.64,"92,000",4.64
"Mar 24, 2016",4.65,5.00,4.55,4.74,"103,600",4.74
"Mar 23, 2016",5.14,5.24,4.59,4.73,"124,400",4.73
"Mar 22, 2016",5.26,5.50,5.10,5.20,"123,900",5.20
"Mar 21, 2016",5.18,5.40,5.04,5.30,"123,500",5.30
"Mar 18, 2016",4.79,5.17,4.69,5.13,"173,500",5.13
"Mar 17, 2016",4.73,4.90,4.47,4.75,"98,700",4.75
"Mar 16, 2016",4.62,5.00,4.60,4.73,"102,200",4.73
"Mar 15, 2016",4.97,5.01,4.30,4.62,"235,300",4.62
"Mar 14, 2016",5.41,5.52,5.00,5.00,"166,600",5.00
"Mar 11, 2016",5.30,5.56,4.93,5.47,"144,900",5.47
"Mar 10, 2016",5.87,5.93,5.36,5.44,"103,800",5.44
"Mar 9, 2016",5.83,6.00,5.51,5.85,"88,000",5.85
"Mar 8, 2016",6.47,6.47,5.80,5.81,"129,600",5.81
"Mar 7, 2016",6.01,6.50,5.92,6.48,"249,400",6.48
"Mar 4, 2016",5.64,6.26,5.60,6.02,"231,500",6.02
"Mar 3, 2016",5.37,5.66,5.20,5.59,"138,500",5.59
"Mar 2, 2016",5.24,5.54,4.86,5.36,"157,500",5.36
"Mar 1, 2016",5.02,5.30,4.89,5.26,"74,900",5.26
