Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",1.28,1.33,1.26,1.28,"328,300",1.28
"Jun 10, 2016",1.32,1.37,1.26,1.29,"406,700",1.29
"Jun 9, 2016",1.40,1.41,1.31,1.32,"488,500",1.32
"Jun 8, 2016",1.38,1.40,1.34,1.39,"338,200",1.39
"Jun 7, 2016",1.40,1.42,1.37,1.38,"365,100",1.38
"Jun 6, 2016",1.40,1.41,1.34,1.39,"688,500",1.39
"Jun 3, 2016",1.36,1.40,1.31,1.39,"899,300",1.39
"Jun 2, 2016",1.29,1.38,1.28,1.36,"765,500",1.36
"Jun 1, 2016",1.18,1.29,1.16,1.29,"544,200",1.29
"May 31, 2016",1.21,1.23,1.17,1.17,"2,391,800",1.17
"May 27, 2016",1.21,1.21,1.17,1.19,"356,600",1.19
"May 26, 2016",1.21,1.27,1.17,1.20,"1,222,000",1.20
"May 25, 2016",1.22,1.24,1.19,1.23,"1,229,500",1.23
"May 24, 2016",1.18,1.24,1.15,1.20,"813,400",1.20
"May 23, 2016",1.16,1.19,1.15,1.16,"318,300",1.16
"May 20, 2016",1.16,1.17,1.14,1.16,"405,700",1.16
"May 19, 2016",1.17,1.18,1.14,1.14,"328,300",1.14
"May 18, 2016",1.18,1.21,1.14,1.15,"597,400",1.15
"May 17, 2016",1.20,1.22,1.15,1.16,"375,000",1.16
"May 16, 2016",1.21,1.21,1.18,1.19,"346,700",1.19
"May 13, 2016",1.19,1.21,1.16,1.20,"240,800",1.20
"May 12, 2016",1.20,1.23,1.17,1.18,"503,300",1.18
"May 11, 2016",1.27,1.27,1.19,1.20,"345,400",1.20
"May 10, 2016",1.28,1.28,1.18,1.27,"858,600",1.27
"May 9, 2016",1.20,1.24,1.17,1.23,"545,000",1.23
"May 6, 2016",1.30,1.30,1.15,1.17,"853,000",1.17
"May 5, 2016",1.40,1.40,1.30,1.30,"561,800",1.30
"May 4, 2016",1.43,1.52,1.39,1.42,"1,131,800",1.42
"May 3, 2016",1.34,1.46,1.33,1.46,"646,600",1.46
"May 2, 2016",1.35,1.40,1.31,1.36,"471,500",1.36
"Apr 29, 2016",1.43,1.46,1.32,1.34,"813,900",1.34
"Apr 28, 2016",1.50,1.51,1.40,1.40,"813,800",1.40
"Apr 27, 2016",1.35,1.52,1.33,1.47,"1,508,800",1.47
"Apr 26, 2016",1.30,1.39,1.28,1.34,"3,072,900",1.34
"Apr 25, 2016",1.43,1.47,1.40,1.42,"571,800",1.42
"Apr 22, 2016",1.35,1.40,1.34,1.38,"299,000",1.38
"Apr 21, 2016",1.35,1.36,1.32,1.33,"308,000",1.33
"Apr 20, 2016",1.38,1.38,1.32,1.34,"223,900",1.34
"Apr 19, 2016",1.41,1.41,1.36,1.37,"237,400",1.37
"Apr 18, 2016",1.41,1.41,1.34,1.40,"331,300",1.40
"Apr 15, 2016",1.40,1.43,1.29,1.40,"605,100",1.40
"Apr 14, 2016",1.35,1.42,1.34,1.41,"931,300",1.41
"Apr 13, 2016",1.29,1.32,1.25,1.31,"1,534,200",1.31
"Apr 12, 2016",1.23,1.27,1.20,1.26,"379,000",1.26
"Apr 11, 2016",1.26,1.28,1.16,1.24,"394,100",1.24
"Apr 8, 2016",1.31,1.31,1.15,1.26,"695,700",1.26
