Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.91,4.02,3.76,3.78,"144,800",3.78
"Jun 10, 2016",4.06,4.06,3.95,3.95,"175,900",3.95
"Jun 9, 2016",4.09,4.14,4.00,4.10,"128,700",4.10
"Jun 8, 2016",4.08,4.15,4.00,4.11,"113,300",4.11
"Jun 7, 2016",4.04,4.12,4.02,4.09,"126,200",4.09
"Jun 6, 2016",4.11,4.11,3.97,4.06,"329,100",4.06
"Jun 3, 2016",4.09,4.12,3.95,4.07,"90,500",4.07
"Jun 2, 2016",3.98,4.13,3.96,4.13,"146,300",4.13
"Jun 1, 2016",3.90,4.00,3.84,3.97,"112,500",3.97
"May 31, 2016",3.84,3.97,3.84,3.92,"96,800",3.92
"May 27, 2016",3.77,3.95,3.77,3.84,"121,800",3.84
"May 26, 2016",3.87,3.98,3.77,3.77,"54,800",3.77
"May 25, 2016",3.78,3.94,3.77,3.87,"133,600",3.87
"May 24, 2016",3.64,3.78,3.60,3.77,"122,300",3.77
"May 23, 2016",3.55,3.72,3.51,3.60,"115,300",3.60
"May 20, 2016",3.50,3.55,3.48,3.55,"113,400",3.55
"May 19, 2016",3.49,3.55,3.42,3.47,"93,500",3.47
"May 18, 2016",3.46,3.53,3.46,3.51,"69,300",3.51
"May 17, 2016",3.52,3.52,3.36,3.48,"187,200",3.48
"May 16, 2016",3.44,3.53,3.39,3.48,"78,400",3.48
"May 13, 2016",3.36,3.44,3.34,3.42,"150,500",3.42
"May 12, 2016",3.40,3.49,3.25,3.30,"175,200",3.30
"May 11, 2016",3.51,3.60,3.36,3.37,"125,500",3.37
"May 10, 2016",3.53,3.64,3.45,3.51,"119,400",3.51
"May 9, 2016",3.30,3.70,3.30,3.47,"269,500",3.47
"May 6, 2016",3.34,3.43,3.28,3.30,"315,300",3.30
"May 5, 2016",3.49,3.49,3.33,3.35,"190,100",3.35
"May 4, 2016",3.61,3.69,3.43,3.50,"253,600",3.50
"May 3, 2016",3.84,3.90,3.74,3.77,"143,100",3.77
"May 2, 2016",3.89,3.95,3.75,3.90,"150,500",3.90
"Apr 29, 2016",4.05,4.15,3.80,3.90,"590,900",3.90
"Apr 28, 2016",4.03,4.19,4.01,4.07,"84,900",4.07
"Apr 27, 2016",4.08,4.19,4.02,4.08,"95,800",4.08
"Apr 26, 2016",4.11,4.14,4.00,4.11,"91,500",4.11
"Apr 25, 2016",4.12,4.17,4.01,4.14,"92,100",4.14
"Apr 22, 2016",4.07,4.18,4.04,4.12,"136,100",4.12
"Apr 21, 2016",4.09,4.33,3.96,4.10,"351,100",4.10
"Apr 20, 2016",3.94,4.14,3.82,4.05,"137,900",4.05
"Apr 19, 2016",3.90,3.98,3.77,3.87,"176,600",3.87
"Apr 18, 2016",3.98,3.99,3.86,3.92,"96,300",3.92
"Apr 15, 2016",3.87,3.97,3.85,3.96,"101,800",3.96
"Apr 14, 2016",3.86,3.98,3.69,3.88,"219,000",3.88
"Apr 13, 2016",3.57,3.95,3.46,3.83,"449,800",3.83
"Apr 12, 2016",3.42,3.63,3.35,3.53,"177,500",3.53
"Apr 11, 2016",3.37,3.48,3.37,3.39,"66,400",3.39
"Apr 8, 2016",3.43,3.46,3.30,3.36,"142,800",3.36
"Apr 7, 2016",3.47,3.48,3.32,3.38,"146,200",3.38
"Apr 6, 2016",3.22,3.48,3.22,3.47,"247,500",3.47
"Apr 5, 2016",3.32,3.34,3.20,3.21,"121,800",3.21
"Apr 4, 2016",3.24,3.39,3.21,3.36,"139,100",3.36
"Apr 1, 2016",3.10,3.34,3.10,3.27,"179,700",3.27
"Mar 31, 2016",3.30,3.36,3.09,3.10,"495,700",3.10
