Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.58,5.63,5.03,5.03,"66,700",5.03
"Jun 10, 2016",6.25,6.25,5.41,5.46,"45,900",5.46
"Jun 9, 2016",6.00,6.28,6.00,6.27,"77,500",6.27
"Jun 8, 2016",5.94,6.13,5.92,6.09,"36,800",6.09
"Jun 7, 2016",5.66,6.15,5.64,5.92,"35,300",5.92
"Jun 6, 2016",5.54,5.86,5.54,5.85,"30,600",5.85
"Jun 3, 2016",5.70,5.85,5.50,5.53,"29,900",5.53
"Jun 2, 2016",5.73,5.88,5.70,5.73,"38,400",5.73
"Jun 1, 2016",5.74,5.92,5.65,5.76,"34,700",5.76
"May 31, 2016",5.66,5.80,5.58,5.72,"48,500",5.72
"May 27, 2016",5.29,5.69,5.29,5.66,"73,500",5.66
"May 26, 2016",5.38,5.42,5.12,5.31,"54,900",5.31
"May 25, 2016",5.40,5.45,5.25,5.37,"90,800",5.37
"May 24, 2016",5.32,5.50,5.25,5.44,"142,100",5.44
"May 23, 2016",5.56,5.73,5.25,5.29,"71,500",5.29
"May 20, 2016",5.09,5.39,5.04,5.35,"82,100",5.35
"May 19, 2016",5.35,5.58,5.09,5.21,"129,400",5.21
"May 18, 2016",5.16,5.49,5.06,5.40,"239,400",5.40
"May 17, 2016",5.14,5.33,5.11,5.21,"267,200",5.21
"May 16, 2016",5.29,5.39,5.04,5.14,"53,600",5.14
"May 13, 2016",5.14,5.62,5.00,5.25,"115,800",5.25
"May 12, 2016",5.63,5.63,4.96,5.11,"260,900",5.11
"May 11, 2016",5.92,5.92,5.53,5.60,"65,400",5.60
"May 10, 2016",5.64,5.86,5.30,5.78,"72,200",5.78
"May 9, 2016",5.86,5.91,5.39,5.58,"92,700",5.58
"May 6, 2016",6.23,6.48,5.38,5.62,"318,000",5.62
"May 5, 2016",6.35,6.59,6.10,6.29,"58,800",6.29
"May 4, 2016",7.01,7.22,6.30,6.30,"62,100",6.30
"May 3, 2016",6.40,7.26,6.25,7.01,"80,600",7.01
"May 2, 2016",6.80,7.23,5.83,6.44,"135,900",6.44
